index,Score,Score Rank,Percentile,Percentile Rank
NEK2,2.4772,1,99.16,1
RAF1,1.7792,3,98.24,2
NEK7,1.5843,4,97.82,3
STK33,0.6047,26,95.52,4
AURA,2.3168,2,94.75,5
ULK1,0.1795,48,94.63,6
PKCI,1.2391,10,94.45,7
MARK3,1.3079,7,94.35,8
PDHK4,0.5918,29,94.27,9
NEK4,-0.0515,65,94.24,10
MARK2,1.3986,5,94.21,11
MYO3A,-0.8925,126,94.02,12
ULK3,0.4541,37,93.72,13
PDHK1,0.5758,32,93.69,14
PKCH,1.0884,12,93.55,15
MARK1,1.0585,13,93.43,16
PKCZ,1.2727,9,93.27,17
NEK8,-0.264,74,93.03,18
QSK,1.294,8,92.98,19
HPK1,-0.16,72,92.91,20
RIPK2,-0.7021,111,92.82,21
PKG1,0.7809,17,92.27,22
NIM1,0.6214,22,92.16,23
ATR,0.6372,21,91.8,24
AURB,1.3096,6,91.66,25
MINK,-0.7477,115,91.57,26
PKCT,0.708,19,91.46,27
PAK5,0.6111,25,91.3,28
PKCD,1.102,11,91.18,29
MARK4,0.8237,16,91.05,30
HGK,-0.6303,102,90.7,31
SLK,-0.5381,93,90.57,32
MYO3B,-1.2547,145,90.55,33
TNIK,-0.5539,94,89.98,34
LOK,-0.4838,88,89.91,35
TBK1,0.5682,33,89.64,36
NEK11,-0.7593,116,89.35,37
QIK,0.4229,38,89.22,38
KHS2,-0.6557,104,89.21,39
WNK1,0.8668,15,89.12,40
PAK2,0.5826,31,88.98,41
ULK2,0.0908,55,88.91,42
MST4,0.5917,30,88.85,43
AURC,0.7438,18,88.81,44
SIK,0.5932,28,88.72,45
PAK6,0.3589,41,88.48,46
PAK3,0.6136,23,88.33,47
PAK4,-0.3303,79,88.33,47
NEK6,0.2968,43,88.15,49
GCK,-0.717,112,88.08,50
CHAK1,0.0845,57,88.0,51
KHS1,-0.8216,122,87.56,52
SNRK,-0.7018,110,87.48,53
PINK1,0.6035,27,87.33,54
TAO1,-1.6831,182,87.24,55
IRE2,-0.117,68,87.23,56
PKCE,-0.0789,67,87.21,57
MEK2,-1.9469,201,87.05,58
PKCG,0.1156,54,86.98,59
PKG2,0.3679,40,86.93,60
MNK1,0.2185,46,86.79,61
PKCA,0.2163,47,86.44,62
PKACG,0.5599,35,86.35,63
PHKG2,-0.6961,107,86.28,64
IKKE,-0.1336,70,86.22,65
MNK2,0.5488,36,86.01,66
DSTYK,0.4031,39,85.99,67
PKCB,-0.017,63,85.8,68
CK1G3,0.144,51,85.68,69
HUNK,-0.246,73,85.5,70
WNK3,0.1185,53,85.34,71
CK1A2,0.612,24,85.25,72
MYLK4,0.2328,45,84.68,73
PAK1,0.1575,49,84.25,74
PKACA,-0.0271,64,84.2,75
AKT1,0.0366,60,84.18,76
NEK1,-1.3852,153,84.08,77
MST3,-0.6033,99,83.82,78
WNK4,-0.2774,76,83.54,79
MEKK3,-0.7598,117,83.51,80
CAMKK1,-1.3358,148,83.37,81
YSK1,-1.8012,196,83.12,82
ROCK1,-1.2223,142,83.03,83
MRCKA,-0.4981,89,83.0,84
IRAK1,-1.0575,132,82.78,85
IRE1,-0.4768,87,82.66,86
NEK3,-1.3443,150,82.62,87
MRCKB,-0.6106,100,82.48,88
WNK2,0.1555,50,82.08,89
AKT2,0.0488,59,81.86,90
TAO2,-1.3206,146,81.81,91
MLK1,-0.3656,82,81.73,92
NEK5,-0.812,121,81.71,93
TAO3,-0.616,101,81.7,94
TAK1,-2.0409,209,81.54,95
CAMLCK,0.5605,34,81.5,96
MST2,-1.7637,192,81.47,97
BRSK2,-0.9154,128,81.45,98
EEF2K,-1.6328,174,81.3,99
AKT3,-0.903,127,81.3,99
PKACB,-0.2858,77,81.29,101
PKN2,-0.2684,75,80.76,102
PLK4,-1.6737,180,80.67,103
NIK,0.333,42,80.47,104
MSK2,-0.5077,90,80.12,105
SKMLCK,-0.6638,105,80.03,106
MEK5,-1.243,144,79.97,107
CAMK1G,-0.7917,119,79.9,108
CK1G1,-0.4682,86,79.61,109
SMMLCK,-0.8497,123,79.37,110
SSTK,-0.9402,129,79.09,111
MST1,-1.4774,163,79.03,112
MEK1,-0.9827,131,78.7,113
NEK9,-0.3778,83,78.69,114
ANKRD3,-0.5949,98,78.5,115
BRSK1,-1.1012,134,78.48,116
MSK1,-0.5324,92,78.2,117
IRAK4,-0.7995,120,78.04,118
CLK1,0.6821,20,77.95,119
DAPK2,0.0889,56,77.71,120
SGK3,-0.4517,85,77.37,121
LKB1,-1.3415,149,76.82,122
YSK4,-1.1221,136,76.72,123
IKKB,-0.1178,69,76.71,124
TSSK1,-0.4215,84,76.61,125
AMPKA1,-0.3641,81,76.18,126
TTBK1,-1.5641,171,75.77,127
PKN1,-1.8234,198,75.61,128
CDK2,0.8997,14,75.14,129
PRKX,-1.5102,166,74.09,130
MEKK6,-2.923,247,74.02,131
CAMK1B,0.1276,52,74.0,132
BCKDK,-1.331,147,73.8,133
TGFBR2,-0.9818,130,73.75,134
DNAPK,-0.6349,103,73.3,135
CAMK4,-1.229,143,72.99,136
CHAK2,-0.7295,114,72.69,137
CK1G2,-0.8628,125,72.64,138
CDK3,0.0059,62,72.57,139
P70S6K,-1.689,183,72.25,140
CLK4,0.2708,44,71.87,141
DAPK1,-1.6989,185,71.77,142
ROCK2,-1.9796,204,71.44,143
NUAK1,-1.5387,169,70.2,144
CAMKK2,-2.7495,241,69.78,145
GRK1,-0.3405,80,69.59,146
CAMK1D,-1.6394,176,69.28,147
P70S6KB,-0.7865,118,69.19,148
ZAK,-1.9026,200,69.17,149
DMPK1,-2.6769,237,68.93,150
PDK1,-1.7283,187,68.79,151
SGK1,-1.7898,195,68.72,152
MEKK2,-1.6387,175,68.5,153
IKKA,-1.0624,133,68.08,154
RIPK3,-1.4277,159,67.95,155
MEKK1,-1.6403,177,67.56,156
AMPKA2,-1.1789,141,67.13,157
DAPK3,-2.1996,218,67.05,158
MTOR,0.053,58,66.95,159
MLK3,-1.3986,155,66.84,160
CLK3,-0.0742,66,66.63,161
MAP3K15,-2.4488,224,65.79,162
OSR1,-3.2571,259,65.73,163
CAMK2G,-0.5142,91,65.33,164
YANK3,-0.5868,96,65.11,165
RSK4,-1.6189,173,65.07,166
RSK3,-1.4629,161,64.81,167
MLK4,-2.1769,216,64.6,168
PLK1,-1.1682,140,64.46,169
CAMK1A,-2.906,245,63.79,170
STLK3,-4.8858,302,63.74,171
MELK,-1.6528,178,63.7,172
CDK6,-0.7184,113,63.5,173
PLK3,-1.3547,151,63.22,174
CDK5,-0.6968,108,62.97,175
HRI,-1.752,191,62.71,176
NDR1,-1.4847,164,62.67,177
TSSK2,-1.3918,154,62.33,178
TSSK4,-1.1329,137,62.09,179
YANK2,-1.5442,170,61.94,180
PHKG1,-2.2249,219,61.69,181
TLK2,-1.3761,152,61.63,182
SMG1,-1.4682,162,61.41,183
DRAK1,-1.5288,167,61.39,184
LRRK2,-2.6066,234,61.11,185
CDK1,-0.8564,124,60.82,186
CLK2,-0.5574,95,60.11,187
TTBK2,-1.5385,168,59.97,188
PBK,-3.5284,269,58.88,189
CHK2,-3.045,252,58.1,190
PIM2,-2.0334,207,56.75,191
PRKD3,-2.0545,211,56.05,192
CDK4,-1.7135,186,56.01,193
NLK,0.0072,61,55.94,194
HASPIN,-3.6265,274,55.34,195
GCN2,-2.0382,208,55.13,196
BRAF,-2.0775,212,55.09,197
PKN3,-0.6987,109,54.89,198
ASK1,-4.6204,296,52.84,199
DLK,-1.1629,139,52.71,200
MASTL,-1.4104,158,52.67,201
PLK2,-2.6739,236,52.51,202
TTK,-4.4765,292,52.24,203
TLK1,-2.4908,227,52.15,204
GRK6,-1.119,135,52.01,205
CRIK,-4.0864,286,51.03,206
COT,-0.6647,106,50.64,207
DYRK3,-1.7837,194,49.16,208
PIM1,-1.6665,179,49.14,209
RSK2,-1.9718,203,49.09,210
SRPK3,-1.7476,190,49.01,211
NUAK2,-1.729,188,48.77,212
CDK14,-1.9544,202,48.73,213
CK1D,-2.485,226,48.12,214
CDK12,-2.1837,217,47.88,215
RIPK1,-2.2297,220,47.21,216
CK1A,-1.5669,172,46.87,217
CDK13,-1.4014,156,46.25,218
DCAMKL1,-2.2763,221,45.76,219
PKR,-2.0004,205,45.56,220
ACVR2A,-2.0518,210,44.87,221
MAPKAPK5,-3.4537,265,44.18,222
PRPK,-0.3003,78,43.92,223
DCAMKL2,-2.7557,242,43.81,224
GRK7,-3.5352,270,43.77,225
ICK,-3.3708,263,43.74,226
SRPK2,-2.2914,222,42.58,227
SRPK1,-1.8102,197,42.46,228
HIPK3,-1.733,189,42.11,229
DYRK1A,-2.1122,214,41.87,230
ATM,-2.0243,206,41.68,231
PERK,-2.7912,243,41.56,232
PIM3,-1.7668,193,40.63,233
CDK9,-2.54,230,40.52,234
PRKD2,-3.0949,254,39.82,235
CDK10,-3.5485,271,39.24,236
BMPR2,-0.5937,97,38.54,237
NDR2,-2.6222,235,38.41,238
ACVR2B,-2.435,223,37.87,239
GSK3B,-0.1567,71,37.81,240
MAK,-3.304,261,37.25,241
ALK1,-1.6761,181,37.21,242
ALPHAK3,-4.3974,290,37.01,243
VRK1,-4.4278,291,36.32,244
GRK3,-1.8829,199,35.05,245
ERK2,-2.5866,233,34.69,246
ERK1,-2.9348,248,34.23,247
CK1E,-1.4861,165,34.21,248
GRK2,-1.1381,138,33.6,249
GAK,-3.3441,262,33.37,250
HIPK1,-2.5303,229,32.43,251
CDKL2,-2.7288,240,32.1,252
HIPK2,-3.5075,268,30.99,253
CDKL1,-1.4085,157,30.91,254
FAM20C,-4.8676,301,30.65,255
TSSK3,-4.8316,300,30.43,256
GRK5,-2.1177,215,30.38,257
CDK17,-3.8117,280,30.38,257
CDK19,-3.6359,275,30.37,259
DYRK1B,-3.2177,258,30.11,260
MLK2,-2.4538,225,30.0,261
P90RSK,-2.8029,244,29.71,262
DYRK2,-2.726,239,28.85,263
VRK2,-2.9124,246,27.85,264
P38G,-3.186,257,27.76,265
PASK,-3.6973,278,27.73,266
CDKL5,-2.5266,228,26.36,267
CDC7,-2.0838,213,26.19,268
CAMK2D,-3.0881,253,25.52,269
GRK4,-2.5547,231,24.37,270
BUB1,-5.4027,304,24.28,271
KIS,-3.5631,272,23.83,272
DYRK4,-3.6046,273,23.44,273
CDK18,-4.2727,289,22.9,274
P38D,-3.8686,281,22.83,275
PRKD1,-3.7609,279,22.09,276
HIPK4,-3.0351,251,22.05,277
LATS2,-4.1452,288,21.93,278
MAPKAPK3,-4.0984,287,21.84,279
CDK8,-3.4967,267,21.75,280
CDK16,-4.8112,299,21.72,281
MOK,-4.9396,303,21.42,282
P38A,-3.0238,249,20.67,283
CDK7,-3.6842,277,20.46,284
MPSK1,-4.0365,285,20.09,285
CK2A1,-5.8596,306,19.85,286
ERK7,-4.5121,293,19.59,287
CK2A2,-5.8773,307,18.73,288
PRP4,-3.2678,260,18.17,289
P38B,-3.6464,276,17.04,290
CAMK2B,-4.567,294,13.84,291
SBK,-5.5907,305,13.78,292
ALK7,-2.6888,238,13.16,293
JNK3,-3.1138,255,12.53,294
CAMK2A,-4.0011,284,12.19,295
BMPR1A,-4.6789,297,12.0,296
GSK3A,-1.4477,160,11.81,297
LATS1,-3.9175,282,11.56,298
JNK2,-3.4626,266,11.52,299
TGFBR1,-3.0329,250,10.29,300
ALK2,-3.9596,283,9.54,301
BMPR1B,-3.3859,264,9.4,302
MOS,-1.693,184,8.1,303
MAPKAPK2,-6.2933,308,7.91,304
ERK5,-3.1495,256,7.7,305
CHK1,-4.5828,295,7.47,306
BIKE,-6.673,309,6.11,307
ALK4,-2.5863,232,5.45,308
AAK1,-8.9541,310,4.51,309
JNK1,-4.7132,298,3.68,310
