index,Score,Score Rank,Percentile,Percentile Rank
CAMKK1,0.862,8,98.4,1
NEK4,0.704,13,97.76,2
DSTYK,2.0321,1,97.22,3
ULK1,0.6844,14,97.21,4
NEK7,1.382,5,97.19,5
NEK2,1.5376,3,96.93,6
CAMKK2,-0.264,34,95.87,7
PDHK1,0.7931,11,95.68,8
IKKA,1.1426,6,95.17,9
IKKB,1.4373,4,95.1,10
NEK9,0.9159,7,94.84,11
ULK2,0.5324,16,93.56,12
IKKE,0.8505,9,92.85,13
STK33,-0.009,27,92.28,14
NEK3,-0.3604,38,92.24,15
RAF1,0.8202,10,91.96,16
MINK,-0.7324,55,91.69,17
CHAK1,0.4868,17,91.63,18
LKB1,-0.2086,33,91.34,19
MARK2,0.6813,15,91.28,20
PDHK4,0.3769,18,90.98,21
TBK1,0.738,12,90.9,22
TTBK1,-0.1357,31,90.9,22
ULK3,-0.0903,28,90.56,24
MARK3,0.3747,19,90.4,25
NEK1,-0.81,59,90.2,26
HGK,-0.7501,56,89.68,27
MARK1,0.0976,24,88.59,28
MARK4,0.3404,20,87.37,29
CDK2,1.9963,2,86.67,30
NEK6,0.1431,23,86.52,31
CK1G1,0.0696,26,86.37,32
NEK5,-0.5134,47,86.12,33
NEK8,-0.9767,68,85.9,34
NEK11,-1.0718,71,85.62,35
MLK1,-0.1076,29,85.57,36
RIPK2,-1.6723,102,85.37,37
TNIK,-1.1076,72,84.83,38
HPK1,-1.2563,81,84.03,39
NIM1,-0.3019,37,83.48,40
MEK2,-2.2265,155,82.96,41
MYO3A,-2.4863,170,82.9,42
CHAK2,-0.1208,30,82.54,43
QSK,-0.3687,40,82.22,44
SMG1,-0.7251,54,82.11,45
CK1G3,-0.1938,32,81.89,46
EEF2K,-1.6002,97,81.69,47
TAK1,-2.0515,140,81.39,48
IRAK1,-1.1985,77,80.97,49
PRPK,0.1808,22,80.51,50
PINK1,0.0709,25,80.18,51
MYO3B,-2.5025,174,79.81,52
KHS2,-1.6983,105,79.04,53
YANK2,-0.6515,51,78.64,54
GCK,-1.4998,90,78.56,55
TAO1,-2.5111,176,78.28,56
BCKDK,-1.0648,70,78.2,57
MST2,-2.0077,136,78.0,58
QIK,-0.8166,60,77.79,59
TTBK2,-0.4956,46,77.72,60
CK1G2,-0.5472,49,77.52,61
KHS1,-1.774,115,77.22,62
HUNK,-0.7902,58,77.21,63
PKCI,-1.2499,80,76.94,64
MEKK3,-1.1343,75,76.64,65
YSK4,-1.1299,74,76.61,66
IRAK4,-0.9323,65,76.32,67
IRE1,-0.9685,67,76.1,68
SLK,-1.907,128,75.88,69
BRSK2,-1.5663,94,75.07,70
MEKK1,-1.3016,84,75.01,71
MEKK6,-2.883,194,74.62,72
YSK1,-2.4919,171,74.29,73
LOK,-1.8854,123,73.85,74
MST1,-1.8516,121,73.31,75
SIK,-1.4691,89,72.71,76
SNRK,-2.2431,156,72.07,77
PHKG2,-2.4529,168,71.74,78
GRK1,-0.2949,36,70.52,79
STLK3,-4.4628,259,69.93,80
MEKK2,-1.5827,96,69.71,81
MEK1,-1.2252,78,69.62,82
CDK3,-0.4093,42,69.62,82
MST3,-1.5476,93,69.4,84
WNK1,-0.7131,53,69.24,85
ZAK,-1.9133,129,68.93,86
PKCH,-1.7369,111,68.73,87
BRSK1,-2.0585,141,68.26,88
ATR,-0.2741,35,68.25,89
PLK2,-1.5438,92,68.22,90
DNAPK,-0.9462,66,67.93,91
MST4,-1.1296,73,67.71,92
TAO2,-2.0983,146,66.75,93
GRK6,-0.4111,43,66.41,94
MEK5,-1.7365,110,66.17,95
MLK4,-2.0894,145,66.11,96
LRRK2,-2.3915,163,65.89,97
PKCT,-2.2192,154,65.8,98
ASK1,-3.9356,241,65.29,99
CDK5,-0.364,39,65.18,100
CDK6,-0.5347,48,64.7,101
PLK4,-2.9011,195,64.35,102
MAP3K15,-2.5227,177,64.33,103
PERK,-1.8113,119,64.04,104
PLK3,-1.3172,85,63.86,105
CDK1,-0.4158,44,63.66,106
PDK1,-1.9642,132,63.52,107
NUAK1,-2.0329,138,63.2,108
WNK4,-1.6849,103,63.04,109
PLK1,-1.2802,83,62.34,110
IRE2,-1.9417,131,62.27,111
PKR,-1.452,88,61.89,112
SSTK,-2.5488,179,61.49,113
BRAF,-1.8337,120,61.25,114
PKCZ,-1.7057,107,60.96,115
P38D,-0.7767,57,60.76,116
PKG1,-4.5548,264,60.69,117
PAK6,-2.7346,185,60.65,118
NLK,0.2784,21,60.61,119
PKCB,-2.1485,149,60.54,120
AKT1,-2.6424,184,59.6,121
HRI,-1.9018,127,59.32,122
MLK3,-1.7761,116,58.98,123
PKCD,-1.6085,99,57.8,124
TLK1,-2.2112,153,57.4,125
JNK3,-0.8923,62,57.3,126
CK1A,-1.187,76,57.19,127
PKCE,-3.0261,200,56.94,128
CDK19,-1.6571,101,56.52,129
ERK1,-1.2578,82,56.07,130
GCN2,-2.0015,135,55.81,131
AMPKA1,-1.7538,113,55.24,132
AKT3,-3.7527,234,55.19,133
TSSK1,-1.9984,134,55.08,134
TAO3,-1.9824,133,54.98,135
CAMK2G,-0.916,64,54.97,136
MTOR,-0.4811,45,54.68,137
CDK4,-1.8998,126,54.14,138
TLK2,-1.7466,112,53.92,139
PKCA,-2.3945,164,53.81,140
PKN1,-3.7245,229,53.54,141
ANKRD3,-1.6003,98,53.19,142
BMPR2,-0.4092,41,52.79,143
AKT2,-2.5657,180,52.73,144
RIPK3,-2.3018,158,52.65,145
OSR1,-4.0148,244,52.63,146
WNK3,-1.8872,124,52.6,147
CK1A2,-0.6342,50,52.36,148
PKCG,-2.7675,188,51.89,149
PKN2,-2.3389,159,51.26,150
ERK5,-0.8846,61,50.59,151
PAK5,-4.3166,258,50.54,152
P70S6K,-3.3703,208,50.49,153
JNK2,-1.3757,87,50.47,154
COT,-0.6871,52,50.1,155
ERK2,-1.6989,106,49.4,156
P38B,-1.8635,122,49.27,157
AMPKA2,-2.3521,160,49.26,158
P38G,-2.0655,142,48.52,159
PKG2,-3.4526,213,47.77,160
YANK3,-1.2413,79,47.55,161
PRKD3,-2.6148,182,46.84,162
PAK3,-2.7895,189,46.8,163
CDK8,-2.1185,147,46.19,164
TSSK2,-2.4227,165,46.11,165
RSK3,-2.5899,181,45.56,166
DLK,-1.3625,86,45.53,167
MELK,-2.9058,196,45.34,168
JNK1,-1.8952,125,45.26,169
TGFBR2,-2.3884,162,45.0,170
CAMK1G,-3.5124,218,44.7,171
MAPKAPK5,-3.4307,211,44.55,172
PHKG1,-3.3787,210,44.24,173
ACVR2B,-2.1823,152,44.19,174
P38A,-1.7704,114,42.91,175
ACVR2A,-2.1329,148,42.82,176
AURA,-3.6439,225,42.75,177
AURB,-3.7841,238,42.42,178
MLK2,-1.9162,130,42.36,179
RIPK1,-2.4939,172,42.3,180
ALPHAK3,-4.1308,249,42.16,181
WNK2,-2.0344,139,42.04,182
NUAK2,-2.0809,144,41.52,183
GRK5,-1.688,104,41.38,184
MNK1,-3.5016,216,41.25,185
CDK9,-2.5028,175,41.07,186
CHK2,-4.2365,255,40.64,187
NIK,-0.9983,69,40.51,188
PAK4,-5.3346,287,40.1,189
CLK1,-2.532,178,39.92,190
MRCKB,-4.2132,254,39.85,191
CDK12,-2.7469,186,39.52,192
CK1D,-3.0622,201,38.64,193
CDC7,-1.6328,100,38.52,194
AURC,-4.034,245,37.88,195
MYLK4,-3.5345,219,37.7,196
CDK13,-1.792,118,37.63,197
PKACA,-4.9765,276,36.52,198
ROCK1,-5.3395,289,35.64,199
MNK2,-3.1233,203,35.58,200
SGK3,-3.5112,217,35.32,201
ERK7,-3.6055,220,34.26,202
PKACG,-3.756,235,33.92,203
CDK14,-3.2708,206,33.77,204
PBK,-5.3379,288,33.02,205
GRK7,-4.1884,253,33.0,206
PAK2,-3.6743,227,32.43,207
ATM,-2.45,167,32.02,208
RSK4,-3.7394,232,31.77,209
MRCKA,-4.718,268,31.18,210
FAM20C,-4.8639,273,30.69,211
HIPK3,-2.8423,192,30.02,212
PKN3,-1.707,108,29.7,213
MPSK1,-3.443,212,28.6,214
SRPK3,-2.8762,193,28.4,215
PRP4,-2.8282,191,28.27,216
PAK1,-3.7358,231,28.1,217
HASPIN,-5.3191,286,28.05,218
CAMK1D,-4.6183,266,27.8,219
CDK10,-4.7388,270,27.61,220
PRKD2,-4.0575,246,26.81,221
VRK1,-4.8797,274,26.8,222
MASTL,-2.1739,150,26.76,223
CLK3,-2.3579,161,26.72,224
CK1E,-1.7884,117,26.68,225
DCAMKL2,-3.6305,223,26.26,226
ICK,-5.1974,281,26.24,227
GRK4,-2.466,169,26.23,228
CAMK1A,-5.8158,297,25.96,229
CAMK4,-4.3121,257,25.85,230
P70S6KB,-2.9393,198,25.79,231
MAK,-4.5129,262,25.73,232
BUB1,-5.2857,284,25.55,233
CDK17,-4.1485,250,25.48,234
CDKL5,-2.622,183,24.73,235
MSK2,-3.9907,243,24.71,236
