index,Score,Score Rank,Percentile,Percentile Rank
CK1A2,2.5683,2,99.42,1
CK1G3,2.5326,3,98.1,2
CK1G1,1.8273,13,97.66,3
RAF1,1.6189,22,97.59,4
AURA,3.4866,1,97.0,5
TBK1,1.5901,23,96.77,6
SSTK,2.0915,9,96.3,7
DNAPK,2.1329,8,96.19,8
MARK3,1.9047,12,96.08,9
IKKE,1.3454,32,95.87,10
MARK4,1.7427,19,95.7,11
MARK2,1.7814,16,95.49,12
PDHK4,0.6918,50,95.42,13
MARK1,1.3894,28,94.64,14
PLK3,1.7601,17,94.34,15
TSSK2,1.7462,18,94.31,16
BRSK1,1.4109,26,94.05,17
AURC,2.2392,7,93.98,18
PKACA,2.2592,6,93.96,19
MSK1,2.5078,4,93.9,20
AURB,1.9739,11,93.64,21
PKACB,2.3122,5,93.43,22
PLK2,1.8078,15,93.22,23
WNK1,1.3629,30,92.87,24
QSK,1.2558,34,92.81,25
MYLK4,1.7359,20,92.65,26
PRKX,2.0257,10,92.61,27
PKACG,1.8079,14,92.46,28
PAK4,0.6633,52,92.32,29
TSSK4,1.6922,21,91.87,30
PAK5,0.7699,48,91.87,30
PAK1,1.4076,27,91.73,32
TSSK1,1.3584,31,91.66,33
WNK2,1.1356,37,91.57,34
PDHK1,0.3798,63,91.45,35
MNK2,1.2938,33,91.05,36
PAK2,0.9047,39,90.65,37
ATR,0.5438,55,90.6,38
CAMK2G,1.1598,36,90.58,39
CAMLCK,1.4658,24,90.43,40
MSK2,1.4138,25,90.23,41
SIK,0.8631,42,90.12,42
DMPK1,0.0554,83,90.04,43
BRSK2,0.2311,71,89.77,44
SKMLCK,0.8373,44,89.47,45
HPK1,-0.6917,127,89.25,46
NDR1,0.8797,41,88.79,47
PKG1,-0.2545,101,88.71,48
RSK3,1.1111,38,88.41,49
RSK4,1.1725,35,88.35,50
PAK3,0.6161,53,88.35,50
CAMK1B,1.3878,29,88.23,52
ATM,0.5058,56,87.94,53
AMPKA1,0.8097,46,87.61,54
CK1A,0.3036,68,87.58,55
AMPKA2,0.8403,43,87.5,56
PAK6,0.1424,78,87.29,57
MRCKA,0.181,73,87.28,58
ROCK1,-0.6232,121,86.78,59
MST4,0.34,67,86.66,60
MRCKB,0.0092,86,86.4,61
PKG2,0.16,75,85.82,62
CK1G2,0.1447,77,85.8,63
MNK1,0.0641,82,85.64,64
