index,Score,Score Rank,Percentile,Percentile Rank
CK1A2,2.9893,1,99.8,1
RAF1,1.7243,9,98.03,2
AURA,2.9688,2,96.11,3
MARK3,1.8365,8,95.91,4
AURB,2.6745,3,95.4,5
CK1A,1.1656,21,94.86,6
AURC,2.5157,4,94.67,7
AMPKA1,1.9994,7,94.56,8
CK1G3,1.3657,15,94.4,9
ATR,0.9747,29,94.37,10
PAK5,1.5492,12,94.24,11
MYLK4,2.1015,5,94.06,12
CK1G1,0.9695,32,94.04,13
HPK1,0.0486,72,93.98,14
AMPKA2,2.0415,6,93.88,15
TBK1,1.1227,24,93.83,16
PDHK1,0.572,46,93.67,17
MARK2,1.2394,20,93.64,18
QSK,1.4233,13,93.53,19
PAK4,1.0321,26,93.42,20
MARK1,0.9487,33,93.02,21
SMMLCK,0.9746,30,92.62,22
PAK2,1.2925,18,92.48,23
MARK4,1.0248,27,92.33,24
PKACA,1.663,10,92.04,25
SIK,1.2791,19,92.01,26
IKKE,0.7162,42,91.97,27
CAMLCK,1.6284,11,91.92,28
TSSK1,1.3027,17,91.33,29
BRSK1,0.7623,38,91.22,30
SSTK,0.7525,39,91.2,31
BRSK2,0.4822,52,91.2,31
PDHK4,0.3753,59,90.97,33
PKACG,1.3594,16,90.48,34
PAK1,1.1441,22,90.43,35
PKG1,0.1984,65,90.3,36
MRCKA,0.7766,37,90.25,37
MRCKB,0.7491,40,90.09,38
LOK,-0.4662,107,90.05,39
PAK3,0.8404,35,89.6,40
ROCK1,-0.0955,83,89.58,41
SKMLCK,0.7965,36,89.28,42
DNAPK,0.7338,41,89.26,43
PKACB,1.1277,23,88.99,44
QIK,0.3866,58,88.96,45
KHS2,-0.7199,123,88.66,46
PRKX,0.9702,31,88.63,47
DMPK1,-0.2542,96,88.41,48
CK1G2,0.4142,56,88.3,49
CAMK1B,1.3926,14,88.27,50
MST4,0.5169,51,88.21,51
RSK3,1.0405,25,88.01,52
PKG2,0.5704,47,88.0,53
KHS1,-0.8644,133,87.2,54
SMG1,-0.1002,85,87.19,55
PHKG2,-0.5544,113,87.18,56
ROCK2,-0.182,89,87.01,57
PAK6,0.0737,70,86.87,58
TLK1,-0.3022,100,86.84,59
CAMK1A,0.2161,63,86.75,60
NEK4,-0.8892,136,86.58,61
DAPK2,0.9419,34,86.54,62
CAMK4,0.3071,62,86.52,63
BUB1,-0.2291,94,86.32,64
TSSK2,0.5476,49,86.32,64
CDC7,0.4404,54,85.87,66
WNK2,0.4787,53,85.82,67
AKT2,0.6997,43,85.67,68
DAPK1,-0.0176,78,85.41,69
CK1E,0.3693,60,84.73,70
DAPK3,-0.391,104,84.67,71
WNK1,0.42,55,84.64,72
CRIK,-0.6452,119,84.45,73
TSSK4,0.6614,45,84.44,74
NIK,0.5383,50,84.18,75
GCK,-1.0907,148,84.11,76
MSK1,0.3302,61,83.94,77
AKT3,-0.4472,106,83.86,78
AKT1,-0.0474,80,83.65,79
MNK1,-0.199,91,83.56,80
CAMK1D,0.1759,66,83.51,81
NIM1,-0.3362,102,83.06,82
TSSK3,0.0355,74,83.01,83
CHK2,-0.5436,112,82.65,84
PLK2,-0.1078,86,82.62,85
TGFBR2,-0.401,105,82.59,86
PRKD3,0.2036,64,82.26,87
SLK,-1.4254,171,82.21,88
P70S6KB,0.4006,57,82.01,89
ULK3,-1.0761,147,81.97,90
PHKG1,-0.6367,117,81.79,91
CAMK1G,-0.569,114,81.72,92
MINK,-1.792,197,81.61,93
NEK2,-0.2109,92,81.24,94
WNK4,-0.4985,108,80.88,95
MNK2,-0.0098,77,80.85,96
SGK1,-0.2433,95,80.68,97
SGK3,-0.08,82,80.5,98
PKCI,-0.9436,141,80.14,99
HGK,-1.6121,181,80.09,100
ATM,-0.1768,88,80.03,101
MYO3A,-2.7781,255,79.8,102
CLK4,0.9788,28,79.69,103
P70S6K,-0.7924,127,79.6,104
NEK11,-1.471,172,79.6,104
CHAK1,-0.6906,122,79.26,106
MST3,-0.9433,140,79.21,107
MSK2,-0.6292,116,79.12,108
TNIK,-1.5872,177,78.97,109
RSK4,-0.2754,97,78.85,110
MEK5,-1.2915,162,78.75,111
NDR1,-0.2983,99,78.63,112
NUAK2,-0.0324,79,78.14,113
SNRK,-1.7229,189,78.08,114
CLK1,0.6939,44,78.03,115
HUNK,-0.7482,125,77.98,116
MEK2,-2.5129,239,77.93,117
GRK2,0.1625,68,77.92,118
TAO1,-2.5886,246,77.29,119
PKCE,-1.3666,165,76.53,120
PRKD2,-0.3211,101,76.05,121
CLK3,0.5485,48,75.77,122
MYO3B,-2.8381,260,75.73,123
RSK2,-0.2281,93,75.52,124
P90RSK,-0.2927,98,75.48,125
PLK3,-0.5401,110,75.12,126
PIM2,-0.6744,120,75.1,127
RIPK3,-0.9882,144,75.07,128
DCAMKL2,-0.93,138,74.92,129
NUAK1,-1.1973,153,74.5,130
PKN1,-1.947,205,74.4,131
PKCD,-0.5854,115,74.37,132
GRK3,-0.0956,84,74.03,133
TTK,-3.1307,268,73.88,134
PKN2,-0.867,134,73.8,135
YSK1,-2.5557,243,73.37,136
IRE2,-1.2753,159,73.04,137
TTBK1,-1.8162,199,72.74,138
BCKDK,-1.4145,169,72.35,139
TLK2,-0.8034,128,72.32,140
MST2,-2.3735,233,72.04,141
MELK,-1.0378,146,71.57,142
PRPK,0.0407,73,71.49,143
PKCT,-1.7534,193,71.32,144
CHK1,-0.645,118,70.98,145
WNK3,-0.8923,137,70.92,146
MAPKAPK5,-1.7371,191,70.84,147
PKCH,-1.5996,179,70.55,148
MAPKAPK3,-0.7669,126,70.34,149
PKCA,-1.2798,161,70.34,149
MEK1,-1.2206,157,69.81,151
MST1,-2.082,216,69.36,152
MEKK6,-3.2312,274,69.3,153
DCAMKL1,-0.8464,131,69.13,154
SBK,-1.3263,163,69.02,155
PKCG,-1.6716,185,68.0,156
BMPR2,-0.187,90,67.86,157
YSK4,-1.6119,180,67.68,158
CLK2,0.0644,71,66.98,159
RIPK2,-3.1662,269,66.6,160
TTBK2,-1.1996,155,66.05,161
PKCZ,-1.3849,167,65.99,162
PASK,-1.6978,187,65.98,163
IRAK1,-2.2661,227,65.52,164
ACVR2B,-1.198,154,65.24,165
MOS,0.0115,75,64.8,166
PIM1,-0.8201,129,64.72,167
NEK1,-2.5677,244,64.65,168
TAO2,-2.2023,221,64.37,169
CK1D,-1.477,173,64.0,170
ALK4,-0.8215,130,63.85,171
ACVR2A,-1.2301,158,63.8,172
KIS,-0.6887,121,63.3,173
MTOR,-0.1161,87,63.17,174
HIPK4,0.166,67,62.75,175
IKKB,-0.8708,135,62.71,176
PRKD1,-0.9775,143,62.42,177
CHAK2,-1.2761,160,61.91,178
NEK8,-2.3843,234,61.69,179
HRI,-1.8031,198,61.54,180
NDR2,-1.1682,150,61.44,181
ALK7,-0.5359,109,61.23,182
DYRK3,-0.5433,111,60.13,183
HIPK3,-0.0757,81,59.99,184
PIM3,-0.8472,132,59.94,185
IRE1,-1.9596,207,59.78,186
MAP3K15,-2.7497,254,59.59,187
IKKA,-1.521,175,59.57,188
HIPK1,-0.008,76,58.94,189
STLK3,-5.1971,304,58.78,190
SRPK3,-1.1686,151,58.69,191
TAO3,-1.8249,200,58.61,192
PLK4,-3.3093,277,58.06,193
MAPKAPK2,-1.8261,201,57.56,194
MEKK1,-2.0653,214,57.22,195
IRAK4,-2.2812,229,57.19,196
BMPR1A,-2.286,230,57.06,197
MEKK2,-2.1151,218,56.73,198
PDK1,-2.2574,226,56.3,199
NEK3,-3.1088,266,55.8,200
MEKK3,-2.0404,211,55.51,201
TAK1,-3.4463,281,55.43,202
HIPK2,-0.9594,142,55.41,203
BMPR1B,-1.3656,164,55.22,204
GAK,-2.7812,256,55.21,205
CDKL2,-1.3741,166,55.09,206
YANK3,-0.9973,145,54.29,207
PERK,-2.2435,224,54.18,208
DYRK1A,-0.9404,139,53.89,209
DYRK1B,-1.139,149,52.79,210
RIPK1,-1.9544,206,52.59,211
ALK1,-1.1746,152,52.39,212
SRPK2,-1.6892,186,52.21,213
LKB1,-2.5349,242,51.89,214
GSK3B,0.1261,69,51.13,215
HASPIN,-3.8944,287,50.79,216
STK33,-3.2192,272,50.62,217
CDK10,-2.4292,235,50.59,218
PKCB,-2.8184,258,50.26,219
GRK6,-1.2032,156,50.02,220
ASK1,-4.7718,301,49.58,221
NLK,-0.3484,103,48.88,222
ANKRD3,-1.759,194,48.83,223
CDK7,-1.711,188,48.52,224
CDK5,-2.3055,231,48.2,225
ZAK,-2.8522,261,47.45,226
OSR1,-4.3059,295,47.27,227
ICK,-3.0245,264,47.04,228
CDK12,-2.2461,225,46.98,229
ALPHAK3,-3.8971,288,46.8,230
