index,Score,Score Rank,Percentile,Percentile Rank
TLK1,1.5878,6,97.68,1
IKKE,1.6712,2,97.49,2
PDHK1,1.0392,13,97.27,3
TBK1,1.6153,3,96.91,4
ULK1,0.461,31,96.2,5
YSK4,0.6938,23,95.83,6
CK1G2,1.4836,8,94.71,7
BCKDK,0.5154,29,94.6,8
ULK2,0.6092,26,94.26,9
TLK2,1.1328,12,94.07,10
STLK3,-1.8945,156,93.82,11
NEK9,0.7794,19,93.82,11
RAF1,1.0244,14,93.77,13
CAMK2D,1.793,1,93.61,14
NEK7,0.6341,25,93.48,15
MST2,-0.5151,72,93.2,16
AURA,1.5961,5,92.97,17
MEKK3,-0.0678,50,92.45,18
PDHK4,0.4541,32,92.39,19
CK1G1,0.705,22,92.21,20
NEK6,0.7461,20,91.94,21
BMPR2,0.5735,27,91.91,22
TGFBR2,0.4343,35,91.16,23
CK1A,0.6517,24,91.15,24
ULK3,-0.0108,48,91.13,25
MAPKAPK3,1.5999,4,90.93,26
IKKB,0.9003,17,90.58,27
HRI,-0.1512,56,90.23,28
PLK1,0.7129,21,90.04,29
CK1D,1.0083,15,89.68,30
MAPKAPK2,1.5842,7,89.56,31
NEK2,0.4373,34,89.23,32
OSR1,-1.3493,114,89.06,33
MEKK1,-0.4603,69,88.84,34
MAPKAPK5,0.2772,39,88.56,35
GCN2,-0.0832,52,88.46,36
MASTL,-0.1336,54,87.98,37
ZAK,-0.6558,76,87.91,38
TTBK2,0.2014,42,87.82,39
DSTYK,0.5707,28,87.79,40
TTBK1,-0.5002,71,87.69,41
CAMK2B,1.4702,9,87.5,42
RIPK2,-1.4546,121,87.39,43
LKB1,-0.6043,75,87.29,44
GCK,-0.8235,85,87.01,45
NEK4,-0.8685,89,86.84,46
LATS2,0.4791,30,86.77,47
PHKG1,-0.0902,53,86.59,48
CAMK2A,1.3873,10,86.49,49
ALK4,0.2254,40,86.44,50
TGFBR1,0.9079,16,86.04,51
DNAPK,0.3373,38,85.81,52
DLK,0.0136,46,85.79,53
NEK3,-1.2012,106,84.33,54
PKN3,0.8616,18,84.13,55
CAMKK2,-1.8454,150,84.13,55
PRP4,1.1707,11,83.59,57
ACVR2A,0.2015,41,83.15,58
PLK4,-1.5055,125,82.51,59
MLK2,-0.142,55,82.28,60
MEKK2,-0.9711,96,82.2,61
ANKRD3,-0.4144,67,82.05,62
PRPK,0.197,43,81.44,63
CK1G3,-0.2643,61,81.06,64
MINK,-1.8631,152,80.73,65
IKKA,-0.3091,62,80.26,66
PKCG,-0.6601,78,80.08,67
PERK,-0.9948,99,79.99,68
MEK5,-1.2561,108,79.63,69
PLK3,-0.1677,57,79.54,70
NEK11,-1.4914,124,79.27,71
NEK8,-1.4622,122,78.94,72
PHKG2,-1.7971,145,77.84,73
NEK5,-1.0417,100,77.75,74
CK1E,0.0186,45,77.56,75
CAMKK1,-1.7219,139,77.13,76
VRK1,-2.4457,196,77.06,77
ALK2,-0.5229,73,76.9,78
SNRK,-1.8466,151,76.75,79
NEK1,-1.9128,158,76.21,80
HUNK,-0.8647,88,75.96,81
PKCA,-0.8487,87,75.91,82
KHS1,-1.878,153,75.88,83
MYO3B,-2.8359,221,75.77,84
HPK1,-1.9175,159,75.59,85
ATM,-0.4705,70,75.41,86
EEF2K,-2.1133,174,75.15,87
MTOR,0.4392,33,75.08,88
ACVR2B,-0.5286,74,75.08,88
CHK1,-0.3651,65,74.95,90
PLK2,-0.9814,98,74.69,91
PKCH,-1.2786,109,74.61,92
PRKD1,-0.0605,49,74.48,93
TAO1,-2.8069,218,74.31,94
CAMK4,-1.1151,104,74.29,95
COT,0.4205,36,74.19,96
KHS2,-2.086,169,74.17,97
AURB,-1.6224,133,73.98,98
MLK1,-0.8036,84,73.32,99
GRK4,-0.3152,63,73.07,100
PKG1,-3.1709,245,73.07,100
GRK1,-0.1771,58,73.04,102
MST1,-1.8849,155,72.8,103
YSK1,-2.599,206,72.76,104
MNK2,-0.7125,80,72.68,105
CK2A1,-2.1598,177,72.07,106
TAO3,-1.1813,105,72.06,107
MEK2,-2.8001,217,71.92,108
STK33,-1.925,160,71.89,109
WNK3,-0.8344,86,71.88,110
CK2A2,-2.0957,171,71.61,111
ALK7,0.004,47,71.42,112
MST4,-0.9496,94,70.44,113
MEKK6,-3.1631,243,70.41,114
GRK7,-1.7098,138,69.72,115
LATS1,-0.2105,60,69.49,116
TAK1,-2.7772,215,69.42,117
IRE2,-1.5185,126,69.38,118
PKCB,-1.5253,127,69.31,119
PKACA,-2.4772,199,68.85,120
PKR,-1.2114,107,68.57,121
PAK5,-2.8152,219,68.57,121
NDR2,-0.7281,81,67.94,123
DCAMKL1,-0.9312,93,67.92,124
CAMK2G,-0.4035,66,67.71,125
MST3,-1.6471,134,67.53,126
PRKD2,-1.1003,101,67.48,127
RIPK3,-1.4638,123,67.31,128
MLK3,-1.401,118,66.78,129
PKN2,-1.4106,119,66.25,130
BMPR1A,-1.6846,137,66.0,131
MYO3A,-3.8399,277,65.69,132
PKCT,-2.231,182,65.66,133
PKCZ,-1.4117,120,65.56,134
AURC,-2.1338,175,65.47,135
SMG1,-1.3739,115,65.39,136
MRCKA,-2.4519,197,65.13,137
PAK4,-3.3787,256,65.01,138
DRAK1,-1.3757,116,64.9,139
MAP3K15,-2.497,202,64.86,140
PKG2,-2.269,185,64.56,141
TNIK,-2.4933,201,64.12,142
CHK2,-2.6017,207,63.95,143
WNK2,-0.9796,97,63.92,144
MSK1,-1.8972,157,63.78,145
BRAF,-1.7356,142,63.67,146
GRK3,-0.6597,77,63.36,147
CAMK1D,-2.1553,176,63.29,148
MNK1,-2.0083,166,63.23,149
CK1A2,-0.317,64,63.09,150
HGK,-2.6155,210,62.75,151
PKCD,-1.3283,112,62.71,152
PKN1,-3.0114,232,62.69,153
CAMK1A,-3.0228,233,62.46,154
TTK,-3.8994,280,62.28,155
ASK1,-4.1409,288,62.01,156
NDR1,-1.5322,129,61.95,157
DCAMKL2,-1.8135,147,61.92,158
GRK5,-0.8769,90,60.91,159
CHAK2,-1.3231,111,60.86,160
PKACG,-2.0554,168,60.69,161
BMPR1B,-1.1088,102,60.65,162
MSK2,-2.0868,170,60.65,162
