index,Score,Score Rank,Percentile,Percentile Rank
MAPKAPK2,6.3936,1,99.85,1
CAMK2A,5.7328,2,99.63,2
MAPKAPK3,4.913,3,99.61,3
CAMK2D,3.9545,7,99.34,4
MAPKAPK5,4.1318,6,99.25,5
CAMK2B,4.8961,4,99.07,6
PDHK1,1.386,37,98.67,7
BCKDK,1.605,32,98.48,8
LATS2,2.9141,9,98.01,9
DLK,1.1542,48,97.93,10
CK1G3,2.3361,13,97.72,11
IKKB,1.8866,25,97.45,12
TLK1,1.433,35,97.27,13
HUNK,1.1997,45,96.99,14
CHK1,2.2311,17,96.23,15
SBK,4.2548,5,96.17,16
RAF1,1.3296,40,96.06,17
IKKA,1.2819,41,95.98,18
SNRK,0.8796,61,95.97,19
CAMK1D,3.2742,8,95.7,20
CK1G2,1.7223,28,95.63,21
PKN3,2.2205,18,95.37,22
AURA,2.5567,11,95.29,23
MARK1,1.5784,33,95.28,24
CAMK1A,2.6309,10,94.98,25
BRSK1,1.6766,29,94.9,26
CAMK4,1.9385,21,94.84,27
CAMK1B,2.3085,14,94.55,28
SIK,1.837,26,94.18,29
GRK6,2.0768,20,94.1,30
MSK1,2.545,12,94.02,31
IKKE,1.0262,54,93.97,32
MSK2,2.2722,15,93.81,33
ATM,1.3875,36,93.78,34
GRK2,1.2404,42,93.7,35
PIM3,2.1654,19,93.68,36
RIPK2,-0.6547,159,93.14,37
LATS1,1.9259,22,92.82,38
CHK2,1.8984,23,92.71,39
PLK1,1.0858,52,92.59,40
PIM1,2.2596,16,92.52,41
MARK2,0.8981,60,92.33,42
DNAPK,1.1902,46,92.32,43
PKACA,1.6089,31,91.83,44
CAMK1G,1.1451,49,91.74,45
TBK1,0.832,63,91.61,46
DCAMKL2,1.0009,56,91.06,47
MARK3,0.4944,85,91.06,47
P90RSK,1.896,24,90.99,49
PRKD1,1.7742,27,90.84,50
CK1D,1.2119,44,90.8,51
PHKG1,0.5203,83,90.72,52
PDHK4,0.3607,92,90.69,53
DCAMKL1,1.4795,34,90.26,54
GRK1,0.9705,58,90.23,55
QSK,0.7462,69,90.2,56
GRK3,1.1785,47,90.03,57
MRCKA,0.6701,73,89.78,58
NUAK1,0.6063,79,89.76,59
P70S6K,0.9028,59,89.47,60
YSK4,-0.1633,124,89.45,61
SMMLCK,0.4217,87,89.35,62
MEKK3,-0.3535,136,89.31,63
PRKD3,1.3548,38,89.14,64
RSK2,1.6292,30,89.12,65
TSSK3,1.0977,51,88.95,66
