index,Score,Score Rank,Percentile,Percentile Rank
LOK,2.1262,4,99.27,1
HPK1,1.9028,5,98.93,2
KHS1,1.5997,10,98.35,3
KHS2,1.5539,11,98.03,4
SLK,1.0589,17,97.66,5
TAO1,0.3215,39,97.45,6
TAO2,0.4939,30,97.07,7
MEKK6,-0.3434,68,96.84,8
MYO3A,-0.1167,56,96.72,9
MST3,1.1583,15,96.71,10
TNIK,0.6533,23,96.49,11
HGK,0.3625,35,96.2,12
MINK,0.1154,48,96.09,13
DMPK1,1.8293,6,96.05,14
NEK4,0.2485,41,95.97,15
PKG1,2.1758,1,95.8,16
YSK1,-0.1635,58,95.49,17
ROCK1,1.6586,7,95.49,17
VRK1,-0.6066,76,95.15,19
MRCKA,2.1444,3,95.04,20
MRCKB,2.1565,2,95.01,21
GCK,0.1855,44,94.66,22
ROCK2,1.4636,12,94.52,23
MEK2,-1.1664,107,94.42,24
STLK3,-1.742,150,94.42,24
TAK1,-0.7135,81,94.03,26
SMMLCK,1.0711,16,93.08,27
ASK1,-1.3117,125,92.61,28
MEK1,-0.3675,69,92.56,29
PKG2,1.6062,9,92.47,30
SKMLCK,1.4562,13,92.19,31
CHK2,1.6191,8,91.8,32
ULK3,0.0586,51,91.55,33
MAP3K15,-0.6269,78,91.55,33
AURB,1.1634,14,91.17,35
NEK11,-0.5815,73,91.12,36
NEK1,-0.7129,80,91.01,37
SMG1,0.6132,26,90.96,38
RIPK2,-1.0193,99,90.79,39
PDK1,-0.2705,63,90.62,40
MYO3B,-1.2639,114,90.5,41
BIKE,-1.2999,122,89.42,42
DAPK1,0.6777,22,89.4,43
DAPK3,0.3301,38,89.32,44
PHKG2,-0.2107,59,89.16,45
PKACA,0.9645,20,89.11,46
MYLK4,0.9872,18,89.09,47
CRIK,0.1755,45,88.8,48
DCAMKL2,0.5845,28,88.47,49
CAMK1A,0.5964,27,88.37,50
MST4,0.4692,32,87.79,51
SGK3,0.9797,19,87.61,52
MEK5,-0.8785,92,87.54,53
AKT1,0.6412,24,87.46,54
