index,Score,Score Rank,Percentile,Percentile Rank
MEK2,0.4131,7,99.42,1
NEK4,1.0559,3,98.6,2
ULK3,1.7158,1,98.03,3
HPK1,1.0356,4,97.59,4
TAK1,-0.0231,16,97.11,5
LOK,0.7266,6,96.62,6
SMG1,1.4571,2,96.28,7
NEK3,0.263,9,96.01,8
STLK3,-1.3134,84,95.9,9
MINK,0.0586,15,95.87,10
MEKK6,-0.6709,43,95.7,11
NEK1,0.0595,14,95.67,12
MYO3A,-0.4826,32,95.6,13
HGK,0.1026,12,95.17,14
NEK11,-0.0626,18,95.08,15
RIPK2,-0.2899,25,95.02,16
KHS1,0.2209,10,94.46,17
YSK1,-0.4653,30,94.15,18
CAMKK1,-0.2381,24,93.93,19
VRK1,-0.8439,55,93.88,20
KHS2,-0.0256,17,93.12,21
MYO3B,-0.8195,53,93.07,22
NEK2,0.845,5,92.93,23
CAMKK2,-0.8246,54,92.83,24
TNIK,-0.1518,22,92.8,25
MEK1,-0.3744,27,92.48,26
ASK1,-1.392,89,92.08,27
BIKE,-0.8873,58,92.03,28
TAO1,-1.2202,79,90.82,29
SLK,-0.5978,40,90.12,30
MST2,-1.1294,74,88.68,31
IRAK1,-0.5364,35,88.45,32
PKG1,-0.343,26,88.37,33
AAK1,-1.4898,93,88.31,34
MST3,-0.1955,23,88.28,35
MEKK2,-0.581,38,88.06,36
TAO2,-0.88,57,87.8,37
NEK5,-0.4049,28,87.57,38
GCK,-0.7964,51,87.31,39
PDK1,-0.5779,37,87.24,40
NEK9,0.1383,11,86.96,41
NEK8,-0.9436,61,86.28,42
HRI,-0.4954,33,86.19,43
MEK5,-0.9565,62,86.12,44
SMMLCK,-0.0775,19,85.93,45
MAP3K15,-1.1925,78,85.68,46
GAK,-1.0727,67,83.75,47
VRK2,-1.2391,80,83.59,48
DNAPK,0.0861,13,83.28,49
AURB,-0.5726,36,82.69,50
MEKK3,-0.8166,52,82.51,51
MRCKB,-0.6202,41,82.4,52
ROCK1,-1.3371,85,82.26,53
TLK1,-0.7837,50,81.29,54
YSK4,-0.8737,56,80.67,55
EEF2K,-1.7469,107,80.03,56
MRCKA,-0.9727,64,79.47,57
DMPK1,-1.6748,104,78.73,58
PKG2,-0.8929,59,78.61,59
TTBK1,-1.3728,88,78.18,60
MYLK4,-0.7564,47,78.01,61
LRRK2,-1.7618,109,77.68,62
CHK2,-1.3573,87,76.93,63
LKB1,-1.3545,86,76.59,64
BRAF,-1.1812,77,76.4,65
IKKE,-1.114,71,76.26,66
SKMLCK,-1.1147,72,76.13,67
ROCK2,-1.5575,99,76.03,68
PKR,-0.9394,60,75.14,69
CAMLCK,-0.131,20,75.1,70
RIPK1,-0.6903,44,74.98,71
PKN1,-1.9151,117,74.69,72
IRAK4,-1.11,69,74.08,73
DAPK1,-1.5026,94,73.68,74
ATR,-0.1493,21,73.44,75
CHAK1,-1.1136,70,73.43,76
DRAK1,-0.9936,65,72.87,77
WNK3,-0.7761,49,72.83,78
WNK4,-1.0903,68,72.58,79
PDHK1,-0.5878,39,71.84,80
MST1,-1.9783,120,71.19,81
PHKG2,-2.6103,170,70.04,82
CRIK,-2.5493,163,69.71,83
CAMK4,-1.5147,97,69.55,84
TTK,-3.4736,217,68.94,85
AURA,-2.053,132,68.91,86
DAPK2,-0.4716,31,67.98,87
MST4,-1.1249,73,67.78,88
PKACA,-2.6038,169,67.66,89
ZAK,-1.9797,121,67.57,90
PKCI,-2.0291,127,67.39,91
PLK1,-1.0157,66,67.37,92
BUB1,-2.1033,137,67.32,93
MEKK1,-1.6582,102,67.14,94
P70S6K,-2.1607,141,67.05,95
SSTK,-2.0941,134,66.85,96
SGK3,-1.4512,92,66.42,97
RIPK3,-1.5268,98,66.24,98
DAPK3,-2.2615,145,66.2,99
CAMK1A,-2.7206,176,65.76,100
ALK4,-0.7697,48,65.62,101
TBK1,-1.2943,82,65.59,102
PKN2,-1.5071,96,64.86,103
PAK6,-2.4066,151,64.78,104
ULK1,-2.1342,139,64.5,105
AKT1,-2.3376,149,63.58,106
BCKDK,-1.8719,113,63.43,107
PDHK4,-0.5038,34,63.07,108
RAF1,-0.6987,45,63.05,109
