index,Score,Score Rank,Percentile,Percentile Rank
VRK1,1.4731,3,99.68,1
VRK2,0.4474,10,98.99,2
ATR,2.1117,2,97.07,3
ROCK2,2.2838,1,96.68,4
MASTL,0.4254,12,94.97,5
LKB1,0.2476,16,94.71,6
NEK1,-0.3364,41,93.66,7
LRRK2,-0.3993,46,93.32,8
SMG1,0.7616,6,91.94,9
EEF2K,-0.4419,52,91.86,10
STLK3,-2.3181,217,91.77,11
MRCKA,1.0974,5,91.68,12
GAK,-0.3621,44,91.55,13
DMPK1,0.2471,17,90.96,14
ROCK1,0.1921,18,90.89,15
NEK5,-0.1113,30,90.83,16
ASK1,-1.6179,151,90.49,17
PDK1,-0.2894,39,90.46,18
MEKK1,-0.3539,42,90.14,19
TTK,-1.5149,140,90.09,20
MST1,-0.5095,58,89.92,21
PKR,-0.1069,29,89.83,22
MEK2,-1.7296,169,89.62,23
IRAK4,0.2565,15,89.07,24
OSR1,-1.3503,122,89.04,25
DNAPK,0.6922,7,88.96,26
MYO3B,-1.5327,146,88.61,27
TLK2,0.4117,13,88.55,28
MLK2,0.2756,14,88.39,29
TAK1,-1.5651,147,87.38,30
YSK1,-1.3963,128,87.29,31
PKN3,1.1166,4,87.07,32
MELK,0.4928,9,86.66,33
DAPK3,-0.1512,33,86.35,34
MNK1,0.0571,22,85.58,35
DAPK1,-0.0435,27,85.23,36
PASK,0.1033,20,85.2,37
PERK,-0.6447,64,85.12,38
DCAMKL1,0.6844,8,85.06,39
MRCKB,-0.2338,37,84.97,40
MAP3K15,-1.2576,102,84.93,41
CRIK,-0.6034,63,84.7,42
MEKK6,-2.1481,204,84.49,43
PBK,-1.2765,108,84.4,44
IRE2,-0.4305,49,84.05,45
SSTK,-0.37,45,83.96,46
MPSK1,-0.0247,25,83.6,47
KHS1,-1.2822,109,83.12,48
PKCA,-0.2113,36,82.67,49
DRAK1,-0.4153,48,82.5,50
MYO3A,-2.5565,235,82.16,51
AAK1,-2.4096,225,82.01,52
LOK,-1.2716,107,81.92,53
DAPK2,0.4264,11,81.28,54
TAO2,-1.3675,125,81.08,55
CAMKK2,-2.1065,198,80.78,56
HUNK,-0.6002,62,80.37,57
DCAMKL2,-0.4387,51,80.28,58
WNK4,-0.5638,60,80.11,59
STK33,-1.3352,118,79.94,60
TSSK1,-0.1323,32,79.78,61
MST2,-1.9094,180,79.41,62
MST3,-0.9356,79,79.34,63
BIKE,-2.5893,239,79.15,64
RIPK3,-0.7101,67,79.13,65
YANK3,0.0791,21,78.86,66
P90RSK,-0.008,24,78.56,67
PKCZ,-0.4753,57,78.44,68
GCK,-1.5279,144,78.2,69
TAO3,-0.8398,75,78.18,70
NEK8,-1.5069,138,78.11,71
SGK1,-0.7291,68,77.52,72
LATS2,-0.4423,53,77.45,73
TAO1,-2.5982,240,77.13,74
AMPKA1,-0.2984,40,77.0,75
YANK2,-0.7657,69,76.75,76
NIK,0.1533,19,76.73,77
PIM2,-0.5175,59,76.7,78
PKCB,-0.983,82,76.23,79
SNRK,-1.8974,179,76.17,80
MEK5,-1.3925,127,76.16,81
ZAK,-1.5199,141,76.14,82
PKCH,-1.1669,91,75.95,83
MNK2,-0.4551,55,75.93,84
ALPHAK3,-2.1359,201,75.87,85
SLK,-1.9137,181,75.76,86
NEK4,-1.6859,161,75.69,87
KHS2,-1.9817,185,75.52,88
MINK,-2.2402,213,75.51,89
TSSK2,-0.4621,56,75.35,90
PKCT,-1.4061,130,75.11,91
SKMLCK,-1.2582,103,74.79,92
AMPKA2,-0.5935,61,74.59,93
IRAK1,-1.6958,164,74.24,94
RSK4,-0.7991,72,74.2,95
PKCE,-1.652,156,73.7,96
PAK1,-0.9355,78,73.54,97
WNK2,-0.4485,54,73.3,98
PKG2,-1.4905,135,73.27,99
PKCD,-0.6643,65,73.26,100
PIM1,-0.2465,38,73.2,101
NEK3,-2.0741,196,72.57,102
IRE1,-1.2101,96,72.41,103
TNIK,-2.0288,189,72.35,104
LATS1,-0.031,26,72.21,105
PAK2,-1.3405,120,72.13,106
CHAK1,-1.2101,96,71.97,107
CHAK2,-0.7797,70,71.77,108
PIM3,-0.1852,34,71.76,109
CAMK1G,-1.6675,159,71.31,110
