index,Score,Score Rank,Percentile,Percentile Rank
TTK,0.5682,1,98.22,1
MST2,-0.0954,6,95.35,2
MINK,-0.2579,11,94.54,3
MST1,0.1711,2,94.49,4
STLK3,-1.7397,73,94.43,5
MEK2,-1.3466,54,93.16,6
MEKK1,-0.1498,9,92.2,7
MYO3A,-1.459,58,91.01,8
TAK1,-1.1812,44,90.98,9
MEK1,-0.6097,19,88.51,10
VRK2,-0.9583,32,88.23,11
HGK,-0.9411,30,87.93,12
MEKK2,-0.6784,20,86.7,13
MAP3K15,-1.1538,42,86.14,14
MYO3B,-1.8939,85,85.79,15
TNIK,-1.0681,37,85.23,16
LKB1,-0.8113,25,84.8,17
YSK1,-1.6673,70,84.58,18
ANKRD3,-0.3035,12,84.07,19
ALK4,-0.1185,7,81.72,20
ACVR2B,0.0731,3,81.44,21
OSR1,-2.1493,97,81.42,22
MEK5,-1.1937,46,81.09,23
GCK,-1.3244,51,81.05,24
NEK8,-1.3564,55,80.62,25
CK1G3,-0.334,13,80.16,26
CAMKK2,-2.1497,98,80.14,27
PERK,-0.9898,33,80.06,28
ALPHAK3,-1.8157,79,79.74,29
NEK4,-1.4745,59,78.95,30
BMPR2,0.0309,4,78.48,31
PKR,-0.8084,24,78.07,32
PINK1,-0.0811,5,77.75,33
BMPR1A,-0.6056,18,77.73,34
NEK1,-1.8222,80,77.67,35
GAK,-1.6325,69,77.31,36
ASK1,-2.9895,146,77.29,37
MEKK6,-2.7276,140,76.83,38
TLK1,-1.1074,39,76.8,39
VRK1,-2.4695,127,76.69,40
SMG1,-1.0161,34,76.64,41
KHS1,-1.8242,82,76.54,42
ALK1,-0.2115,10,76.38,43
SLK,-1.8771,83,76.27,44
ACVR2A,-0.4516,14,76.14,45
CK1G2,-0.6952,21,75.35,46
LOK,-1.8134,78,74.92,47
NEK5,-1.214,47,74.51,48
BRAF,-1.2996,50,73.91,49
LRRK2,-2.0055,92,73.53,50
TLK2,-0.7424,22,73.32,51
HRI,-1.2658,49,73.16,52
MARK2,-1.5164,63,72.91,53
MST3,-1.4191,57,71.66,54
BMPR1B,-0.5055,15,70.46,55
NEK3,-2.2441,103,69.88,56
YSK4,-1.5033,62,69.86,57
ALK2,-1.079,38,69.36,58
MLK2,-0.8174,26,68.82,59
MARK4,-1.1149,40,68.45,60
ATM,-0.86,28,68.22,61
TAO1,-3.227,168,68.06,62
HPK1,-2.4118,123,67.96,63
TGFBR1,-0.5187,16,67.82,64
KHS2,-2.5412,133,67.64,65
RIPK3,-1.4844,61,67.0,66
CAMKK1,-2.2647,105,66.86,67
QSK,-1.7337,72,66.81,68
TAO2,-2.0984,95,66.75,69
CHAK1,-1.5647,67,66.49,70
SIK,-2.032,94,66.26,71
PBK,-3.0002,149,66.13,72
YANK2,-1.37,56,65.43,73
DAPK3,-2.3258,114,65.36,74
MARK1,-2.3305,115,64.51,75
DAPK2,-0.6045,17,64.32,76
TAO3,-1.5605,65,64.27,77
IRAK4,-1.8225,81,64.04,78
CK1A,-0.9494,31,63.55,79
MARK3,-2.4199,125,63.41,80
MLK3,-1.5619,66,63.36,81
PLK2,-1.9399,88,63.14,82
PDK1,-2.0062,93,62.52,83
MASTL,-1.1377,41,61.97,84
ZAK,-2.2871,108,61.05,85
SMMLCK,-2.1868,101,60.95,86
CHAK2,-1.3267,53,60.79,87
MOS,-0.1283,8,60.07,88
MEKK3,-1.884,84,59.58,89
ROCK2,-3.0368,153,57.88,90
IRE2,-2.2127,102,57.58,91
NEK2,-1.7694,76,57.44,92
EEF2K,-3.1079,162,56.9,93
NEK11,-2.5773,134,55.76,94
BIKE,-4.1525,215,55.23,95
IRAK1,-2.9237,144,54.94,96
AMPKA1,-1.7839,77,54.77,97
SKMLCK,-2.8878,142,54.56,98
ROCK1,-4.1056,211,52.84,99
RIPK2,-4.018,204,52.65,100
ALK7,-0.9123,29,52.63,101
DSTYK,-1.7487,74,52.0,102
QIK,-2.6113,135,51.97,103
MLK4,-2.9541,145,50.22,104
DMPK1,-4.094,210,49.69,105
SSTK,-3.5012,183,49.14,106
TSSK2,-2.2469,104,48.86,107
DAPK1,-3.2613,171,48.51,108
CK1D,-2.4728,130,48.33,109
NEK7,-2.2943,109,47.92,110
NEK9,-1.908,86,47.73,111
STK33,-3.4268,181,47.12,112
DLK,-1.325,52,46.9,113
MST4,-2.3376,117,46.8,114
AMPKA2,-2.5199,132,46.51,115
TGFBR2,-2.3354,116,46.17,116
GRK2,-0.8274,27,46.07,117
TSSK1,-2.646,138,44.97,118
MRCKA,-3.9066,201,44.42,119
RIPK1,-2.3838,121,44.35,120
CRIK,-4.5613,233,44.19,121
NUAK1,-3.1686,164,43.94,122
GRK3,-1.5328,64,43.47,123
PLK3,-2.47,128,43.46,124
CAMLCK,-1.1846,45,42.85,125
CK1G1,-2.4195,124,42.51,126
MLK1,-2.1544,99,42.08,127
CHK1,-2.2847,107,41.34,128
RAF1,-1.4832,60,41.21,129
PRP4,-2.2688,106,41.19,130
PLK4,-4.3344,224,41.01,131
HASPIN,-4.4802,228,40.89,132
PAK2,-3.2391,169,40.2,133
BRSK2,-4.1448,214,40.1,134
DCAMKL1,-2.6198,137,39.88,135
WNK4,-3.0184,151,39.74,136
PLK1,-2.4088,122,39.69,137
GRK5,-1.7622,75,39.34,138
CDC7,-1.6278,68,38.69,139
ERK2,-2.3671,120,38.38,140
CDK17,-3.2969,174,38.27,141
JNK1,-2.3162,112,38.0,142
NIM1,-2.9041,143,37.88,143
NIK,-1.0643,36,37.86,144
CDK5,-3.0169,150,37.85,145
TTBK1,-4.2761,222,37.6,146
GRK4,-1.9994,91,36.47,147
MPSK1,-2.9935,147,36.26,148
AURB,-4.1841,217,35.82,149
HIPK4,-1.9369,87,35.71,150
SNRK,-4.8234,246,35.32,151
DNAPK,-2.3471,118,35.3,152
JNK2,-2.182,100,35.29,153
AAK1,-5.927,289,35.09,154
CDK16,-3.7752,195,34.94,155
TBK1,-2.4886,131,34.06,156
PAK3,-3.5806,184,33.78,157
PHKG1,-4.1399,213,33.61,158
MELK,-3.7014,191,33.51,159
PAK4,-5.8552,287,33.45,160
TTBK2,-3.0459,155,33.11,161
P38D,-3.2212,166,32.49,162
GCN2,-3.3164,175,32.26,163
DCAMKL2,-3.3263,176,32.16,164
MYLK4,-3.8242,197,32.02,165
MRCKB,-4.7066,239,31.92,166
ULK2,-2.9955,148,31.85,167
NEK6,-3.0513,156,30.97,168
PAK5,-5.8327,286,30.93,169
PAK1,-3.5888,185,30.53,170
ERK7,-3.8432,198,30.35,171
DYRK1A,-3.0396,154,29.84,172
CAMK1D,-4.5108,230,29.33,173
BUB1,-4.961,252,29.29,174
