index,Score,Score Rank,Percentile,Percentile Rank
LKB1,1.2055,1,98.43,1
TTK,-0.3207,17,95.97,2
MINK,0.0562,5,95.86,3
CAMKK2,-0.3429,18,95.51,4
PBK,0.5429,3,94.81,5
MYO3B,-0.7824,32,93.24,6
STLK3,-2.1173,122,92.77,7
MEK2,-1.4385,74,92.47,8
NEK1,-0.5665,24,92.11,9
MST1,-0.2727,15,91.79,10
TNIK,-0.431,22,90.89,11
NEK3,-0.5427,23,90.81,12
MST2,-0.881,42,90.78,13
HGK,-0.6921,30,90.16,14
MYO3A,-1.6055,87,90.09,15
NEK5,-0.237,12,89.53,16
NEK4,-0.6632,28,89.15,17
KHS1,-0.8398,37,87.39,18
YSK1,-1.4419,75,86.84,19
MAP3K15,-1.0985,52,86.83,20
MEKK1,-0.6193,25,86.8,21
CAMKK1,-1.0992,53,86.36,22
MASTL,-0.2424,13,85.99,23
ANKRD3,-0.2241,11,85.4,24
MARK4,0.0487,6,84.49,25
TAK1,-1.8228,102,84.44,26
MARK2,-0.3711,20,84.43,27
VRK2,-1.2011,59,84.22,28
IRAK1,-1.0253,46,83.2,29
QSK,-0.2496,14,83.17,30
LRRK2,-1.398,70,83.11,31
GAK,-1.1555,57,82.78,32
MEK1,-0.8567,40,82.5,33
AMPKA1,0.2137,4,82.49,34
HPK1,-1.399,71,82.47,35
ASK1,-2.5109,159,82.43,36
MARK1,-0.7891,33,81.8,37
MEKK6,-2.4269,148,81.05,38
ROCK2,-1.0755,50,80.5,39
MARK3,-1.027,47,80.07,40
VRK1,-2.2547,137,79.93,41
SMG1,-0.8705,41,79.79,42
CHK1,-0.0531,8,79.15,43
AMPKA2,-0.1781,9,78.91,44
LOK,-1.5393,82,78.6,45
MLK2,-0.3895,21,77.87,46
RIPK3,-0.8108,34,77.69,47
DAPK3,-1.3135,67,77.05,48
IRAK4,-0.9007,43,76.79,49
MST3,-1.1096,55,76.74,50
GCK,-1.6291,89,76.7,51
HUNK,-0.8293,36,76.58,52
DAPK2,-0.034,7,76.13,53
ROCK1,-2.0934,121,76.12,54
SMMLCK,-1.1799,58,75.94,55
NEK8,-1.6561,93,75.55,56
SIK,-1.2053,60,75.47,57
NEK2,-0.6236,26,75.26,58
KHS2,-2.0091,117,75.15,59
TAO1,-2.7615,175,74.95,60
QIK,-1.0697,49,74.74,61
SKMLCK,-1.2698,64,74.67,62
OSR1,-2.682,167,74.45,63
PINK1,-0.2845,16,74.44,64
MEK5,-1.4603,78,74.35,65
PDK1,-1.5355,81,72.65,66
MEKK2,-1.4556,76,72.6,67
SSTK,-1.5833,85,72.59,68
BIKE,-3.1951,201,72.21,69
ERK5,0.7795,2,72.07,70
TAO2,-1.9341,113,70.42,71
PKR,-1.1542,56,70.03,72
CHAK2,-0.9198,44,69.19,73
MELK,-1.2292,62,69.17,74
PKG1,-3.7265,232,68.62,75
CRIK,-2.7451,172,67.76,76
MRCKB,-2.3311,143,67.23,77
DMPK1,-2.8879,187,66.51,78
BRSK2,-2.3397,144,65.85,79
DAPK1,-2.2224,132,65.53,80
BMPR1B,-0.8513,39,65.2,81
IRE2,-1.7756,99,65.12,82
SLK,-2.6253,162,64.97,83
TSSK2,-1.2463,63,64.52,84
CHAK1,-1.715,94,64.01,85
EEF2K,-2.7765,177,63.65,86
TSSK1,-1.431,73,63.52,87
