index,Score,Score Rank,Percentile,Percentile Rank
STLK3,2.7562,1,99.96,1
MEK2,1.8527,6,99.95,2
MEK1,1.8689,5,99.9,3
MEKK2,2.0302,4,99.75,4
MEK5,0.8739,23,99.49,5
MST2,1.6666,10,99.36,6
OSR1,1.5764,13,99.3,7
TLK1,2.619,2,99.27,8
MEKK3,1.3149,16,99.25,9
TTK,1.3494,14,99.18,10
MINK,1.6052,12,99.02,11
YSK4,1.7286,9,98.83,12
PLK4,1.6132,11,98.61,13
MST1,1.3434,15,98.34,14
TAK1,0.3151,46,98.07,15
TLK2,2.168,3,98.01,16
HGK,1.0338,20,97.95,17
MYO3A,0.3917,43,97.84,18
PERK,1.094,18,97.66,19
ZAK,0.9673,21,97.63,20
TNIK,1.066,19,97.6,21
HRI,0.9655,22,97.23,22
NEK4,0.5147,38,97.09,23
KHS1,0.6611,30,96.22,24
EEF2K,0.4669,40,96.15,25
PLK1,1.7603,8,95.91,26
KHS2,0.5759,36,95.63,27
SSTK,1.8092,7,95.44,28
GCK,0.3398,44,95.42,29
MEKK1,0.2268,50,95.13,30
CAMKK1,-0.0447,62,95.11,31
BRAF,0.1854,53,95.06,32
MAP3K15,-0.102,63,95.04,33
NEK3,0.0625,58,94.98,34
ANKRD3,0.5845,34,94.97,35
MEKK6,-0.8741,97,94.81,36
ASK1,-0.8997,102,94.7,37
HUNK,0.7369,27,94.66,38
YSK1,-0.402,77,94.46,39
BMPR2,0.7494,26,94.44,40
NEK11,-0.1795,67,94.38,41
HPK1,0.0866,57,94.18,42
NEK5,0.214,51,93.77,43
NEK1,-0.4103,79,93.2,44
CAMKK2,-0.7719,90,93.15,45
LOK,-0.0333,61,93.07,46
MYO3B,-0.8389,93,92.96,47
TAO1,-0.8805,99,92.93,48
NEK9,0.6407,31,92.63,49
NEK8,-0.3397,75,92.39,50
ULK1,-0.1746,66,92.02,51
TAO3,0.2767,48,91.84,52
NEK2,0.6648,29,91.45,53
IKKE,0.5711,37,91.09,54
NEK7,0.31,47,90.93,55
TTBK2,0.4716,39,90.91,56
ACVR2A,1.2546,17,90.69,57
TBK1,0.6331,32,90.14,58
DLK,0.2495,49,89.85,59
BRSK2,0.1931,52,89.56,60
TGFBR2,0.1183,56,88.56,61
VRK2,-0.9518,105,88.35,62
SLK,-0.8388,92,88.22,63
PKR,-0.237,69,88.14,64
VRK1,-1.5854,138,88.08,65
DSTYK,0.5843,35,87.95,66
