index,Score,Score Rank,Percentile,Percentile Rank
RAF1,2.5551,76,99.66,1
QSK,4.4045,15,99.36,2
PKCD,3.7306,28,99.34,3
PKCT,3.6678,32,99.22,4
PKCH,3.4494,38,99.21,5
AURA,5.4412,5,99.2,6
PKCI,3.5264,35,99.2,6
MARK3,3.8911,25,99.11,8
PKG1,5.1723,8,99.09,9
AKT2,5.5085,4,99.08,10
SIK,4.289,19,99.07,11
AKT3,5.5925,2,99.04,12
AKT1,5.2548,6,99.03,13
MNK2,4.0956,22,98.98,14
CLK1,5.5751,3,98.92,15
MARK2,3.5654,33,98.82,16
PKACA,5.8461,1,98.75,17
PKCE,3.4566,37,98.74,18
PKN2,3.1842,46,98.66,19
PHKG2,2.8823,63,98.65,20
NIK,2.2191,98,98.64,21
MARK1,3.2796,43,98.61,22
MYLK4,4.3704,16,98.6,23
PKG2,4.6303,13,98.59,24
PKCZ,2.8885,62,98.52,25
PAK3,3.728,29,98.5,26
PKCB,2.9318,61,98.5,26
WNK1,2.8146,66,98.49,28
SNRK,1.9102,107,98.46,29
MARK4,2.8557,64,98.44,30
BRSK1,3.3394,40,98.43,31
MRCKB,4.0651,23,98.36,32
CLK4,5.0979,9,98.35,33
CAMLCK,3.2919,42,98.35,33
PKACB,5.0232,10,98.28,35
AURB,4.3526,18,98.2,36
ROCK1,3.1818,48,98.2,36
AURC,4.5556,14,98.18,38
SGK3,4.3632,17,98.17,39
CK1A2,1.9935,102,98.14,40
PAK5,3.7237,30,98.13,41
PKACG,4.1027,21,98.05,42
PAK1,3.6764,31,98.03,43
QIK,2.5671,74,98.01,44
MNK1,3.0964,52,97.99,45
PRKX,4.7536,12,97.85,46
HPK1,1.152,125,97.83,47
MSK2,3.7897,27,97.8,48
PAK6,3.4109,39,97.77,49
RSK3,3.9051,24,97.68,50
WNK3,1.9619,105,97.64,51
AMPKA1,2.9849,59,97.64,51
SGK1,4.7735,11,97.62,53
PKN1,2.8321,65,97.62,53
DAPK2,2.5155,77,97.62,53
MSK1,4.1282,20,97.62,53
TSSK1,2.9436,60,97.6,57
BRSK2,2.3363,90,97.6,57
PAK4,3.1246,49,97.56,59
NIM1,1.7666,110,97.52,60
NUAK1,2.5929,72,97.49,61
WNK2,2.3754,86,97.49,61
PAK2,2.9938,58,97.47,63
MST4,2.3108,93,97.47,63
CAMK1B,3.0017,56,97.47,63
TSSK4,3.1107,51,97.44,66
YANK3,2.2551,94,97.43,67
PKCG,2.3948,84,97.39,68
