index,Score,Score Rank,Percentile,Percentile Rank
MTOR,2.0931,35,96.29,1
CLK2,4.4421,3,95.14,2
CDK16,4.6355,1,93.94,3
DYRK4,4.4809,2,93.1,4
CLK1,2.7782,19,92.43,5
CDK8,3.705,6,91.91,6
SRPK3,2.3014,31,91.72,7
CDK10,3.2425,15,91.6,8
CLK4,2.6338,21,91.53,9
JNK2,4.3543,4,91.18,10
SRPK1,2.6052,22,90.55,11
SRPK2,2.1094,34,90.35,12
JNK3,3.8915,5,90.17,13
CLK3,1.9483,38,89.92,14
DYRK1B,3.5186,8,89.58,15
MOK,2.5402,26,89.11,16
DYRK3,2.5325,27,89.04,17
CDK19,3.3292,13,88.99,18
DYRK2,3.4295,11,88.73,19
CDK3,1.9813,37,87.7,20
CDK9,2.8499,18,87.2,21
CDK18,3.5138,9,87.13,22
PRPK,0.3089,54,86.99,23
P38A,3.1633,16,86.65,24
HIPK2,3.3407,12,86.47,25
CDK17,3.4442,10,86.05,26
DNAPK,0.3454,53,85.88,27
PDHK4,0.1049,57,85.03,28
NLK,2.1729,33,84.8,29
CDK4,2.577,23,84.7,30
JNK1,3.299,14,84.69,31
CDK6,2.5125,28,84.33,32
CDK14,2.5685,24,84.26,33
CDK1,2.8514,17,83.72,34
HIPK3,2.4691,29,83.32,35
HIPK1,2.7075,20,83.18,36
CDK7,2.5463,25,83.0,37
ERK7,0.1899,55,82.29,38
FAM20C,-0.6014,68,82.02,39
CDK5,2.2998,32,81.87,40
P38G,3.5229,7,81.37,41
GSK3A,1.928,39,81.09,42
PINK1,0.0591,58,80.02,43
SBK,-0.1266,59,79.6,44
CDK12,1.8998,40,78.45,45
AAK1,-2.9161,161,77.68,46
KIS,1.2391,44,77.58,47
CDK2,1.1269,47,77.44,48
CDK13,2.0616,36,77.29,49
P38B,2.4511,30,77.22,50
PRP4,0.5502,51,76.23,51
MAK,0.899,48,76.1,52
HIPK4,1.2867,43,75.73,53
CDKL5,0.4697,52,75.7,54
BIKE,-2.9255,163,75.49,55
DYRK1A,1.1622,46,74.77,56
ICK,-0.1776,61,74.56,57
MAPKAPK5,-1.4444,89,74.47,58
ERK1,1.7779,41,74.24,59
HASPIN,-2.4441,129,74.03,60
ERK2,1.1912,45,73.49,61
P38D,1.606,42,73.25,62
AKT2,-1.0869,84,73.0,63
TSSK3,-1.2855,87,72.64,64
CAMK2G,-0.2107,62,71.64,65
CAMK2A,-0.13,60,71.44,66
CDKL1,0.1389,56,71.15,67
MPSK1,-1.0105,80,71.08,68
CDKL2,-0.3131,65,70.86,69
GSK3B,0.5666,50,70.85,70
ERK5,0.6703,49,70.63,71
CK1E,-0.272,63,70.25,72
MST4,-0.9745,79,70.04,73
MAPKAPK3,-0.8107,72,69.76,74
TAO2,-2.0156,105,68.59,75
PBK,-2.8323,158,68.36,76
MNK2,-1.0769,83,67.9,77
WNK1,-0.8333,73,67.24,78
BRSK1,-2.2166,114,66.31,79
GAK,-2.3872,123,65.96,80
CAMK1B,-0.2905,64,65.79,81
CAMK2D,-0.8618,75,65.3,82
SGK1,-2.1359,109,64.94,83
CAMK2B,-0.8502,74,64.28,84
HPK1,-2.6802,152,63.31,85
NUAK2,-1.0129,81,63.01,86
TAO3,-1.6622,92,62.12,87
IRAK1,-2.5015,137,61.8,88
PKCE,-2.6745,151,61.67,89
AKT1,-2.5478,142,60.91,90
DAPK1,-2.5691,144,60.52,91
CAMLCK,-0.7583,71,60.51,92
PKR,-1.5064,90,60.33,93
AKT3,-3.3528,207,60.1,94
MAPKAPK2,-1.6653,93,59.71,95
BRSK2,-2.8665,159,58.65,96
TAO1,-3.8023,238,58.62,97
SMMLCK,-2.3103,119,58.6,98
PIM1,-1.1983,86,58.33,99
WNK3,-1.604,91,58.15,100
LATS1,-0.8899,76,58.01,101
SKMLCK,-2.6694,150,57.83,102
CK2A1,-3.6127,226,57.53,103
DRAK1,-1.709,97,57.14,104
BMPR2,-0.3554,66,56.68,105
MNK1,-2.4986,136,56.13,106
PIM2,-2.0703,106,56.12,107
PRKX,-3.3434,205,55.97,108
KHS2,-3.2679,198,55.96,109
MYLK4,-2.5968,145,55.68,110
CK2A2,-3.6881,234,55.17,111
DAPK2,-0.911,77,54.1,112
NEK3,-3.2102,195,54.02,113
MARK3,-3.0883,182,53.18,114
CAMK1G,-3.0211,176,52.7,115
PASK,-2.4881,134,52.21,116
TSSK4,-1.75,98,51.89,117
ALK7,-0.9527,78,51.66,118
PKCI,-3.1695,191,51.65,119
CAMK1D,-3.0176,175,51.65,119
DAPK3,-3.1657,189,51.57,121
NIK,-0.7098,70,51.37,122
ULK3,-3.2826,199,50.72,123
MOS,-0.3908,67,50.16,124
CK1A2,-0.6997,69,50.06,125
ATM,-1.6825,95,49.94,126
GCK,-3.0425,179,49.88,127
MRCKB,-3.6165,227,49.64,128
DMPK1,-4.1213,254,49.25,129
WNK4,-2.4851,133,49.15,130
CHK2,-3.6594,229,49.11,131
PRKD2,-2.467,132,48.96,132
BCKDK,-2.503,138,48.96,132
PRKD3,-2.4976,135,48.8,134
KHS1,-3.5305,222,48.56,135
CK1D,-2.4617,130,48.5,136
PKCB,-2.9363,166,48.41,137
MST3,-2.6267,148,48.37,138
TNIK,-3.2981,203,48.23,139
MSK2,-2.7729,155,48.02,140
LRRK2,-3.1556,187,47.18,141
ASK1,-4.8879,281,46.96,142
YANK2,-2.2758,116,45.94,143
PKN1,-4.3523,261,45.3,144
HRI,-2.5199,139,45.25,145
CAMK1A,-4.3923,263,45.08,146
PAK6,-3.8431,240,44.83,147
PKN2,-2.7411,153,44.47,148
PRKD1,-2.1776,112,44.3,149
P70S6KB,-2.1972,113,44.1,150
HGK,-3.515,221,43.96,151
QIK,-3.1042,183,43.93,152
MSK1,-3.1675,190,43.88,153
PKACA,-4.5173,264,43.51,154
WNK2,-1.972,104,43.43,155
PHKG2,-4.887,280,43.3,156
P90RSK,-2.1583,110,43.25,157
PKCA,-3.0641,181,43.15,158
PKACG,-3.1937,194,43.13,159
NEK6,-2.4142,126,43.11,160
PDK1,-2.7469,154,43.06,161
PKACB,-3.8466,243,43.03,162
MARK4,-2.4352,127,42.79,163
SSTK,-3.9891,250,42.72,164
PHKG1,-3.4948,219,42.56,165
PKCH,-3.4787,216,42.4,166
AURA,-3.67,230,42.31,167
PKCG,-3.3974,209,42.1,168
RSK2,-2.3245,121,41.93,169
DCAMKL1,-2.5255,141,41.61,170
COT,-1.0878,85,41.3,171
NDR2,-2.4425,128,41.24,172
DSTYK,-2.3523,122,41.04,173
MEKK6,-4.7572,276,40.71,174
PDHK1,-1.4267,88,40.47,175
ROCK1,-5.0007,283,40.27,176
AURC,-3.8929,245,40.14,177
CRIK,-4.8246,278,40.08,178
TGFBR1,-1.6702,94,39.96,179
CK1G2,-2.4101,125,39.92,180
CK1A,-1.8408,102,39.75,181
MST1,-3.5499,224,39.17,182
LATS2,-2.9626,170,39.14,183
ROCK2,-4.3026,258,38.85,184
MASTL,-1.8094,99,38.65,185
GCN2,-2.934,164,38.54,186
RSK4,-3.3448,206,38.31,187
MEK5,-2.5544,143,38.15,188
LKB1,-3.1623,188,38.06,189
BMPR1A,-3.2856,201,37.94,190
CHK1,-2.4634,131,37.92,191
MINK,-4.3046,259,37.65,192
BMPR1B,-2.1082,108,37.56,193
MARK1,-4.1153,253,37.04,194
MYO3B,-5.3236,294,36.92,195
NDR1,-2.9772,172,36.89,196
MAP3K15,-3.8241,239,36.6,197
MARK2,-3.8504,244,36.31,198
MYO3A,-5.5978,301,36.21,199
AMPKA2,-3.1471,186,36.2,200
PKCD,-2.8314,157,35.36,201
SIK,-4.1125,252,35.22,202
SGK3,-3.5364,223,34.93,203
CK1G1,-2.8101,156,34.88,204
RIPK1,-2.9195,162,34.45,205
DCAMKL2,-3.2189,197,34.31,206
PKCT,-4.6519,270,33.56,207
VRK1,-4.5628,266,33.31,208
RSK3,-3.2827,200,32.92,209
BUB1,-4.6808,273,32.87,210
ZAK,-3.4334,213,32.8,211
IRE1,-3.5125,220,32.72,212
MRCKA,-4.6448,269,32.39,213
MLK4,-3.9144,247,31.92,214
PKCZ,-3.5563,225,31.84,215
PKG2,-4.5641,267,31.56,216
PLK3,-3.1425,185,31.52,217
MELK,-3.8462,241,31.46,218
MEKK3,-2.9695,171,31.3,219
BRAF,-3.0146,174,31.27,220
CAMK4,-3.9636,248,31.12,221
TSSK2,-3.4332,212,31.09,222
MLK1,-2.6624,149,31.02,223
ATR,-1.015,82,30.78,224
NIM1,-3.2942,202,30.75,225
SMG1,-2.1053,107,30.72,226
MEKK1,-3.1132,184,30.59,227
IKKB,-2.5229,140,30.53,228
ALPHAK3,-4.737,275,30.51,229
NEK11,-3.627,228,30.47,230
IKKA,-3.0371,178,30.43,231
PKN3,-1.6853,96,30.22,232
PAK4,-6.132,305,29.94,233
AMPKA1,-3.2128,196,29.92,234
PAK5,-5.9189,304,29.87,235
CDC7,-1.9445,103,29.7,236
RIPK3,-3.6723,231,29.65,237
MLK3,-3.1719,192,29.38,238
TSSK1,-3.6875,233,29.18,239
ALK2,-2.9466,167,28.88,240
SNRK,-5.3292,296,28.49,241
YSK1,-5.3282,295,28.47,242
LOK,-4.6667,272,28.43,243
NEK9,-2.9112,160,27.87,244
QSK,-4.1821,257,27.6,245
PERK,-3.4708,214,27.29,246
SLK,-4.8036,277,27.06,247
CK1G3,-2.9821,173,26.81,248
MLK2,-2.6107,147,26.8,249
PAK1,-3.8464,242,26.4,250
PKG1,-7.6606,309,26.14,251
NEK7,-3.4716,215,26.1,252
STK33,-4.7185,274,26.07,253
ULK2,-3.4031,210,24.71,254
ALK4,-1.8252,101,24.55,255
P70S6K,-5.0296,284,24.38,256
AURB,-4.9295,282,24.19,257
OSR1,-5.6433,302,24.18,258
PIM3,-2.604,146,23.82,259
NEK2,-3.9018,246,23.74,260
MEKK2,-3.4271,211,23.73,261
ALK1,-2.1591,111,23.66,262
TBK1,-2.9346,165,23.36,263
RIPK2,-5.8365,303,22.37,264
HUNK,-3.4902,217,22.01,265
TLK1,-4.1045,251,21.89,266
MEK1,-2.2367,115,21.73,267
ULK1,-4.3733,262,21.44,268
RAF1,-2.2767,117,21.38,269
TAK1,-5.1917,290,20.87,270
NEK4,-5.0629,285,20.22,271
PAK3,-4.5327,265,19.99,272
ACVR2B,-3.1912,193,19.91,273
NEK1,-5.425,298,19.78,274
IRAK4,-5.106,287,19.77,275
IRE2,-4.5963,268,19.63,276
GRK7,-5.1036,286,19.01,277
GRK1,-2.3043,118,18.82,278
IKKE,-3.4947,218,18.68,279
YANK3,-2.315,120,18.64,280
ANKRD3,-2.9583,169,18.38,281
NUAK1,-4.8246,278,18.35,282
TGFBR2,-3.7213,235,18.04,283
NEK5,-4.1545,255,17.45,284
PAK2,-4.6567,271,17.03,285
PLK2,-5.1129,288,16.94,286
EEF2K,-5.2077,291,16.42,287
YSK4,-3.6835,232,15.55,288
CAMKK2,-5.5808,300,15.47,289
TTBK2,-4.3319,260,15.16,290
ACVR2A,-3.3611,208,14.73,291
GRK6,-2.9555,168,14.52,292
CAMKK1,-5.2755,292,14.42,293
DLK,-2.3894,124,14.03,294
MST2,-5.2967,293,13.6,295
CHAK1,-5.5493,299,13.06,296
CHAK2,-3.8019,237,12.52,297
TLK2,-3.9684,249,12.47,298
GRK3,-3.0284,177,11.9,299
GRK4,-3.3278,204,11.41,300
TTBK1,-6.54,306,11.31,301
MEK2,-5.3701,297,11.05,302
NEK8,-5.1724,289,10.92,303
GRK5,-3.0563,180,10.88,304
PLK1,-4.1762,256,10.71,305
GRK2,-1.8196,100,10.56,306
PLK4,-6.8699,307,8.63,307
TTK,-7.5012,308,8.45,308
STLK3,-8.6164,310,4.78,309
VRK2,-3.7493,236,4.46,310
