index,Score,Score Rank,Percentile,Percentile Rank
LOK,2.3193,3,99.43,1
HPK1,2.4946,1,99.4,2
KHS1,1.9387,7,98.77,3
SLK,1.6854,12,98.72,4
KHS2,1.7723,10,98.37,5
TAO1,0.6748,32,98.12,6
MEKK6,-0.0491,63,97.64,7
TAO2,0.6281,34,97.5,8
HGK,0.6989,30,97.23,9
MYO3A,0.0775,60,97.19,10
MINK,0.4328,44,97.08,11
TNIK,0.8317,25,97.04,12
MST3,1.1745,18,96.77,13
NEK4,0.3961,45,96.68,14
YSK1,0.0939,59,96.42,15
PKG1,2.3232,2,96.08,16
VRK1,-0.4264,79,96.02,17
ROCK1,1.8719,9,96.0,18
GCK,0.4648,41,95.95,19
TAK1,-0.3327,75,95.93,20
MEK2,-0.9054,111,95.91,21
DMPK1,1.7632,11,95.91,21
STLK3,-1.4392,146,95.5,23
MEK1,-0.1354,65,95.11,24
MRCKB,2.1734,4,95.05,25
ASK1,-0.8747,109,94.83,26
PDK1,0.2702,52,94.7,27
MRCKA,1.8816,8,94.34,28
ROCK2,1.3786,15,94.25,29
MAP3K15,-0.2885,73,94.0,30
PKG2,2.0312,6,93.84,31
NEK11,-0.2809,71,93.62,32
SMMLCK,1.1499,19,93.39,33
SMG1,0.9416,21,93.18,34
CHK2,2.0345,5,93.12,35
RIPK2,-0.7155,100,92.73,36
ULK3,0.2507,53,92.71,37
SKMLCK,1.4323,13,92.1,38
MYO3B,-1.0759,124,91.63,39
MEKK2,-0.2871,72,91.29,40
DAPK3,0.6933,31,91.21,41
NEK1,-0.6975,99,91.14,42
AURB,1.1188,20,91.01,43
MEK5,-0.6649,98,90.78,44
DCAMKL2,0.9114,22,90.54,45
MYLK4,1.2544,16,90.43,46
GAK,-0.4824,88,90.42,47
MST2,-0.93,113,90.4,48
PKACA,1.2159,17,90.22,49
PKN1,0.3042,49,89.93,50
SGK3,1.4174,14,89.9,51
DAPK1,0.6358,33,89.17,52
MST4,0.6229,35,89.13,53
CAMK4,0.7125,29,88.98,54
PHKG2,-0.2793,70,88.83,55
AKT1,0.9099,23,88.74,56
CRIK,0.1435,56,88.67,57
PKN2,0.5718,38,88.31,58
TAO3,-0.1183,64,88.1,59
CAMK1A,0.5015,40,87.97,60
VRK2,-0.9992,120,87.61,61
BIKE,-1.5664,149,87.56,62
SSTK,0.1034,58,87.37,63
WNK3,0.3026,50,87.33,64
LRRK2,-1.0535,123,87.3,65
PAK6,0.134,57,87.23,66
MST1,-0.8924,110,86.29,67
PRKD3,0.7658,26,86.03,68
MEKK3,-0.6321,97,85.63,69
CAMK1D,0.5424,39,85.51,70
PKCE,-0.3594,77,85.31,71
PKACG,0.3785,46,85.22,72
SGK1,0.5904,37,85.15,73
P70S6K,0.0273,62,85.01,74
SBK,0.7632,27,84.86,75
CAMLCK,0.8863,24,84.44,76
AAK1,-2.0929,188,84.42,77
IRAK4,-0.2719,69,83.94,78
AURA,-0.5229,91,83.78,79
AKT2,0.3663,47,83.77,80
CHK1,0.3431,48,83.68,81
HASPIN,-1.5976,152,83.62,82
TSSK2,0.2437,54,83.49,83
TSSK1,0.2124,55,83.11,84
PASK,-0.1818,67,83.07,85
DAPK2,0.6048,36,83.02,86
WNK1,0.2776,51,82.89,87
NIK,0.4471,43,82.66,88
P70S6KB,0.4603,42,82.56,89
PAK5,-1.1683,129,82.33,90
PKR,-0.6078,95,82.11,91
PKCI,-0.7474,103,82.08,92
YSK4,-0.7778,104,82.08,92
CAMK1B,0.7257,28,81.85,94
QIK,-0.4462,84,81.75,95
RIPK1,-0.2286,68,81.72,96
MNK1,-0.4033,78,81.7,97
WNK4,-0.4384,82,81.63,98
TTK,-2.4999,211,81.62,99
DRAK1,-0.4953,89,81.35,100
BRAF,-0.9322,114,81.32,101
IRAK1,-1.186,130,81.17,102
BUB1,-0.9514,116,80.25,103
PKCT,-0.9428,115,79.78,104
PAK3,-0.4671,86,79.76,105
AKT3,-1.1587,128,79.73,106
TLK1,-0.9055,112,79.72,107
AURC,-0.7316,102,79.7,108
PKACB,-0.5661,94,79.39,109
DCAMKL1,0.0302,61,79.35,110
EEF2K,-1.8402,172,78.83,111
PAK2,-0.7863,105,78.58,112
NEK3,-1.6635,157,78.41,113
PIM2,-0.332,74,78.41,113
PBK,-1.9609,178,78.31,115
