index,Score,Score Rank,Percentile,Percentile Rank
BIKE,-0.6456,34,93.29,1
AAK1,-0.7137,36,92.23,2
BMPR2,0.3215,17,87.07,3
JNK1,3.4955,1,86.14,4
SMG1,-0.3845,28,85.57,5
ALPHAK3,-1.2462,53,85.5,6
JNK3,3.155,2,83.61,7
TTK,-2.4016,87,82.61,8
ACVR2B,0.0912,19,81.6,9
ACVR2A,-0.0039,21,81.19,10
VRK2,-1.3709,57,81.04,11
ALK2,-0.1862,24,80.44,12
GAK,-1.3681,56,80.31,13
ATM,-0.2414,25,79.05,14
JNK2,2.778,3,78.11,15
CDK2,1.0628,8,76.75,16
SRPK3,0.2305,18,76.56,17
MEK1,-1.0548,46,76.22,18
MST2,-2.1673,79,75.5,19
TGFBR1,-0.0872,23,75.16,20
ALK1,-0.3228,27,74.34,21
P38B,2.1164,4,74.34,21
FAM20C,-1.6102,65,74.05,23
P38D,1.6924,5,73.75,24
PLK3,-0.6748,35,73.29,25
STLK3,-4.2362,164,73.02,26
P38G,1.5573,6,70.96,27
ALK7,-0.0496,22,70.48,28
ALK4,-0.6164,33,70.27,29
PRP4,0.021,20,70.22,30
ERK2,0.5171,12,70.0,31
BMPR1B,-0.5515,30,69.76,32
CDK5,0.347,14,69.44,33
P38A,1.1228,7,69.29,34
CDK1,0.7731,9,69.29,34
CDK8,0.3625,13,69.26,36
PLK2,-1.5888,62,67.7,37
NLK,0.7373,10,67.39,38
ERK7,-1.0633,47,67.03,39
BMPR1A,-1.6065,64,67.03,39
CDK13,0.3347,15,66.66,41
CDK17,-0.602,31,66.09,42
VRK1,-3.0739,114,65.84,43
MARK2,-2.088,76,65.49,44
CDK3,-1.2037,52,65.31,45
DYRK4,0.3221,16,64.63,46
ASK1,-3.9821,152,64.57,47
CDK19,-0.7586,38,63.89,48
GCK,-2.4061,88,63.08,49
SRPK2,-0.9652,42,63.03,50
CDK6,-0.794,40,63.03,50
CDK16,-1.1361,49,62.38,52
ERK1,-0.4679,29,62.33,53
CDK7,-0.613,32,61.74,54
CDK9,-1.0318,44,60.53,55
PLK1,-1.4074,58,59.9,56
MEK2,-3.3973,127,57.34,57
CDK12,-1.418,59,57.31,58
CDK4,-1.6603,68,56.53,59
DYRK1B,-0.7297,37,56.48,60
GSK3A,0.5304,11,55.31,61
CK2A2,-3.7122,138,54.85,62
DNAPK,-1.6053,63,53.44,63
HRI,-2.1625,77,53.37,64
CLK2,-1.1785,50,52.9,65
TLK1,-2.4836,90,52.3,66
ERK5,-0.7655,39,52.29,67
CDK10,-2.2728,84,52.18,68
CAMK2G,-1.0349,45,51.09,69
DYRK2,-0.8946,41,50.99,70
MST1,-3.0183,110,50.63,71
OSR1,-4.1453,157,50.24,72
CDK14,-1.8584,72,49.8,73
SRPK1,-1.3063,55,49.73,74
CK2A1,-4.1923,160,49.25,75
MYO3A,-4.8523,188,48.97,76
DYRK1A,-1.5047,60,48.48,77
LRRK2,-3.1144,117,48.19,78
PINK1,-1.6347,67,48.15,79
CDK18,-2.291,85,47.24,80
MARK1,-3.4921,128,47.15,81
TAK1,-3.8836,147,45.76,82
CLK4,-1.722,69,45.72,83
TAO2,-2.9649,108,45.35,84
HIPK2,-2.1646,78,44.64,85
MARK3,-3.624,134,44.51,86
KHS2,-3.9415,149,44.07,87
HGK,-3.5267,131,43.74,88
MOK,-2.625,96,43.51,89
CLK1,-2.2677,83,43.09,90
PBK,-4.6088,176,43.07,91
HPK1,-3.7637,141,42.37,92
ICK,-3.5273,132,42.21,93
MINK,-4.1289,156,40.9,94
BRSK1,-3.9454,150,40.74,95
MAK,-2.9555,107,40.57,96
DYRK3,-2.7217,100,40.29,97
HIPK1,-1.8736,73,39.79,98
TNIK,-3.8034,144,38.06,99
KIS,-2.5846,93,37.79,100
TGFBR2,-2.7314,101,37.55,101
CDKL1,-1.1797,51,37.51,102
TAO3,-2.7478,103,37.46,103
DSTYK,-2.6154,95,36.62,104
CAMKK2,-4.3606,169,35.4,105
SBK,-3.7676,142,35.22,106
PERK,-3.084,115,35.05,107
MARK4,-2.8291,104,34.65,108
KHS1,-4.332,167,34.48,109
NEK8,-3.7287,140,33.45,110
MEKK2,-3.0074,109,33.35,111
BRSK2,-4.6149,177,33.31,112
NEK11,-3.503,129,33.24,113
MEK5,-2.7118,99,32.88,114
TAO1,-5.2915,200,32.84,115
GSK3B,-0.2655,26,32.72,116
CAMK2B,-3.0629,113,32.56,117
GRK7,-4.2239,163,32.43,118
HIPK4,-2.2557,82,31.54,119
SLK,-4.5456,173,31.19,120
LKB1,-3.5077,130,30.94,121
MEKK6,-5.2718,198,30.36,122
YANK2,-3.0215,111,30.15,123
NEK3,-4.7665,185,30.04,124
MEKK3,-3.0346,112,29.64,125
HIPK3,-2.9082,106,29.32,126
GRK2,-1.2572,54,28.89,127
SMMLCK,-3.6172,133,28.86,128
