Score,Score Rank,Percentile,Percentile Rank
3.1379,1,96.56,1
2.8138,3,95.93,2
2.2975,9,95.56,3
1.9563,20,95.49,4
2.5069,4,93.61,5
2.2313,13,93.59,6
2.4081,5,93.56,7
2.3163,7,93.17,8
1.8129,22,93.0,9
2.3223,6,92.49,10
2.2915,11,92.47,11
2.8561,2,92.41,12
1.5924,28,92.41,12
2.1125,15,91.42,14
2.3126,8,91.31,15
2.294,10,91.2,16
2.0981,16,91.16,17
1.741,24,91.11,18
1.2022,36,90.87,19
2.1923,14,90.28,20
1.5233,29,90.26,21
1.8713,21,89.93,22
2.0126,18,89.82,23
2.0197,17,88.71,24
1.9573,19,88.6,25
1.7804,23,88.49,26
2.2788,12,87.85,27
1.2817,34,87.59,28
1.6458,27,87.48,29
1.7352,25,86.85,30
1.2385,35,86.45,31
1.4685,31,85.53,32
0.5446,48,85.42,33
1.5203,30,85.38,34
0.9859,40,84.83,35
1.0893,39,84.04,36
1.2978,33,83.63,37
0.3512,52,82.54,38
1.1731,38,81.18,39
1.7339,26,80.7,40
0.8697,41,80.61,41
0.7817,42,79.34,42
0.7252,43,79.19,43
1.3659,32,78.71,44
0.4058,51,77.48,45
1.1829,37,76.82,46
0.5672,47,76.58,47
0.0115,56,76.21,48
0.4882,50,75.51,49
0.6887,46,74.28,50
0.7045,44,73.63,51
-0.2578,64,73.54,52
0.6895,45,73.08,53
0.1415,55,72.55,54
-0.1433,58,70.41,55
0.1866,53,67.23,56
0.5273,49,67.19,57
-0.2282,62,66.67,58
-0.4977,68,65.38,59
-0.2374,63,64.61,60
0.1544,54,64.57,61
-0.3192,67,64.54,62
-0.155,61,63.84,63
-0.1103,57,62.88,64
-0.1441,59,62.38,65
-0.262,65,62.33,66
-0.2914,66,61.35,67
-0.1504,60,53.4,68
-0.7016,70,52.02,69
-0.8989,72,51.04,70
-0.5552,69,50.75,71
-0.9837,73,49.94,72
-0.8584,71,46.86,73
-1.2688,75,45.85,74
-1.5436,76,42.79,75
-1.1193,74,41.5,76
-1.9177,77,26.46,77
-3.0273,78,21.78,78
