Score,Score Rank,Percentile,Percentile Rank
4.3367,2,99.81,1
4.392,1,99.56,2
3.2101,4,99.39,3
3.919,3,99.3,4
2.4065,5,93.48,5
0.5214,9,92.15,6
0.7724,6,90.78,7
0.2863,18,88.51,8
0.2442,20,88.39,9
0.2393,21,87.3,10
0.55,8,86.34,11
0.3694,12,85.1,12
0.2607,19,84.83,13
-0.6195,53,83.35,14
-0.3978,44,82.71,15
-0.5697,49,82.3,16
0.2148,22,82.17,17
-0.1616,33,81.98,18
-0.3937,43,81.26,19
-0.1155,32,79.95,20
-0.5238,48,79.36,21
-1.8897,109,78.86,22
0.1471,25,78.35,23
-0.4985,46,78.17,24
0.3054,16,77.67,25
-2.4563,147,76.88,26
-0.623,55,76.24,27
-0.813,66,76.22,28
-0.1835,35,75.59,29
-0.6157,52,75.4,30
0.381,11,74.62,31
-0.0728,31,74.35,32
0.3417,14,74.3,33
-0.3277,40,73.43,34
0.2953,17,73.17,35
-1.3576,87,72.78,36
-1.3265,84,72.53,37
-1.7691,105,71.57,38
-1.5921,97,71.43,39
-0.3832,41,70.6,40
-1.2244,75,70.6,40
-0.8161,68,70.08,42
0.205,23,70.04,43
-0.2655,37,69.73,44
-0.3096,38,69.67,45
-0.7423,61,69.45,46
-0.6021,50,69.36,47
-2.0653,121,69.26,48
-1.0927,73,69.13,49
-0.1642,34,69.11,50
-1.499,93,68.75,51
-1.3206,83,68.38,52
-0.747,62,68.22,53
-2.0557,120,68.1,54
-0.8615,69,68.1,54
0.18,24,68.04,56
0.0352,27,67.4,57
-0.4457,45,67.26,58
-2.2394,129,67.15,59
-0.6067,51,67.04,60
0.6024,7,66.81,61
-0.5198,47,66.61,62
0.3494,13,66.52,63
-0.6655,57,66.45,64
-2.0223,117,66.44,65
-0.3914,42,66.25,66
-0.7662,63,65.88,67
-1.757,103,65.68,68
-0.3257,39,65.58,69
-1.1197,74,65.56,70
0.0021,28,65.55,71
-2.3198,136,65.45,72
0.4398,10,65.24,73
-1.2749,79,65.03,74
-1.055,71,64.72,75
-2.3509,140,64.58,76
-2.0765,122,64.53,77
0.3068,15,64.52,78
-2.3335,137,64.37,79
-3.1108,192,63.48,80
-2.4089,143,62.98,81
-2.4316,145,62.92,82
-2.5059,152,62.24,83
-1.5224,95,62.11,84
-0.7161,58,61.86,85
-0.0553,30,61.73,86
-0.8153,67,61.61,87
-2.3725,141,61.21,88
-2.083,123,61.19,89
-0.8022,65,60.8,90
-2.6508,166,59.52,91
-1.4485,89,59.3,92
-1.5997,98,59.14,93
-1.7649,104,58.68,94
-2.3477,139,58.28,95
-0.2018,36,57.79,96
-2.2813,132,57.51,97
-2.8498,175,57.51,97
-1.479,91,57.45,99
-1.8834,108,57.04,100
-0.6224,54,56.72,101
-2.3059,135,56.72,101
-1.3039,81,56.63,103
-2.7018,167,56.22,104
