index,Score,Score Rank,Percentile,Percentile Rank
ULK3,0.9751,37,95.95,1
CDK8,4.3342,2,94.94,2
HIPK3,4.3314,3,94.8,3
P38D,5.2073,1,94.19,4
P38A,4.1096,4,93.24,5
CDK19,4.0547,5,92.93,6
PDHK1,0.4917,40,92.76,7
CDK9,3.491,10,91.88,8
ERK2,3.5617,7,91.84,9
CDK7,3.5196,9,89.82,10
KIS,3.1112,12,89.81,11
ERK5,2.1013,23,89.06,12
CDK12,3.2561,11,88.61,13
SMG1,0.1586,41,88.37,14
P38B,3.6314,6,88.31,15
ERK1,3.5577,8,87.92,16
NLK,2.4079,17,87.55,17
NUAK2,0.6938,39,85.88,18
CDK13,2.7002,15,83.9,19
DYRK1A,2.173,20,83.87,20
HIPK4,2.0106,25,82.37,21
DYRK1B,2.4362,16,82.13,22
PDHK4,-0.0095,44,81.96,23
CDK17,2.8137,13,81.53,24
NUAK1,-0.6143,52,80.66,25
NEK3,-1.5023,76,80.61,26
PINK1,0.0376,42,79.65,27
CDK14,1.8721,26,79.6,28
HIPK1,2.2402,19,79.34,29
CDK6,1.8122,27,79.07,30
DYRK4,2.1139,22,78.8,31
CDK10,1.1003,36,78.71,32
CDK18,2.0945,24,78.36,33
CDK2,1.1956,35,78.15,34
JNK2,2.7485,14,77.86,35
CDK4,1.4758,30,77.18,36
SBK,-0.5769,51,76.27,37
JNK1,2.1204,21,76.22,38
DYRK3,0.943,38,75.76,39
ERK7,-0.3599,48,75.57,40
CDK16,1.2934,32,75.11,41
DYRK2,1.663,29,74.67,42
MAPKAPK5,-1.4441,72,74.47,43
CDK5,1.242,33,74.43,44
AAK1,-3.3057,147,73.7,45
IRAK1,-1.7412,85,73.59,46
HIPK2,1.3617,31,73.48,47
P38G,2.2895,18,73.28,48
JNK3,1.7954,28,73.08,49
BIKE,-3.1545,138,72.76,50
CDK1,1.2315,34,71.84,51
DNAPK,-0.7635,56,71.15,52
MARK2,-1.7228,84,70.49,53
PRP4,-0.0039,43,69.97,54
QIK,-1.506,77,68.94,55
ACVR2A,-0.9982,63,68.01,56
MOK,-0.1858,46,67.08,57
PRKD3,-1.3886,70,65.81,58
BMPR1A,-1.7085,83,65.68,59
BUB1,-2.2357,99,65.65,60
TGFBR2,-1.4854,75,64.3,61
BRSK2,-2.486,110,63.94,62
CLK4,-0.3884,49,63.55,63
CDK3,-1.7708,87,62.63,64
CDKL2,-0.9158,61,62.31,65
CLK1,-0.7901,57,61.33,66
CDC7,-0.8853,60,60.95,67
RIPK2,-3.5451,162,60.62,68
QSK,-2.1902,95,60.33,69
MARK1,-2.7174,118,59.0,70
MTOR,-0.3336,47,58.19,71
TTBK1,-2.9039,130,57.7,72
ALK1,-1.0083,64,57.28,73
LRRK2,-2.7818,123,56.87,74
ACVR2B,-1.6319,81,56.86,75
TSSK1,-1.8928,89,56.68,76
PERK,-2.1421,92,56.5,77
CDKL5,-0.8335,58,56.36,78
MAK,-1.2982,67,55.75,79
SIK,-2.8727,128,54.61,80
MEK2,-3.5205,160,54.08,81
ICK,-2.319,104,53.82,82
CHK2,-3.3482,150,53.7,83
MARK3,-3.0634,135,53.6,84
ATM,-1.5506,79,53.13,85
MEKK6,-4.1535,193,53.0,86
SRPK3,-1.5449,78,52.56,87
PKN1,-3.846,178,51.98,88
ALK4,-1.1417,66,51.92,89
HRI,-2.2495,100,51.39,90
CK1A2,-0.6745,54,50.97,91
MASTL,-1.4639,74,50.88,92
PKCI,-3.2374,144,50.68,93
SMMLCK,-2.7249,120,49.8,94
TGFBR1,-1.3148,68,49.31,95
BCKDK,-2.5013,111,48.99,96
MPSK1,-2.3081,103,48.72,97
P70S6K,-3.4966,158,48.49,98
DAPK2,-1.0634,65,48.01,99
CAMK1B,-0.8724,59,47.95,100
WNK3,-2.1603,93,47.26,101
NEK7,-2.368,107,46.46,102
PKG1,-5.8727,273,46.03,103
CHK1,-2.0609,90,45.82,104
RIPK1,-2.3252,105,45.4,105
CRIK,-4.5046,207,45.06,106
WNK1,-2.0854,91,45.03,107
BRSK1,-3.7016,171,44.75,108
MYLK4,-3.189,140,44.69,109
MST4,-2.4531,109,44.69,109
PRKD1,-2.1611,94,44.51,111
WNK4,-2.7578,122,44.44,112
CDKL1,-0.9499,62,44.27,113
CAMK1D,-3.5583,164,43.74,114
MARK4,-2.4185,108,43.1,115
CLK3,-1.3982,71,42.99,116
GSK3B,-0.0718,45,41.87,117
PHKG1,-3.5766,166,41.32,118
PAK6,-4.1168,190,40.75,119
CAMK1G,-3.7507,172,40.7,120
CAMK2D,-2.2234,98,40.64,121
CAMK1A,-4.7272,214,40.42,122
NEK2,-2.8201,126,40.04,123
AKT2,-3.2456,145,39.95,124
ALK2,-2.5154,112,39.23,125
MELK,-3.3271,148,38.93,126
PAK5,-5.2324,238,38.52,127
AMPKA1,-2.7221,119,38.12,128
HUNK,-2.6767,116,37.53,129
AMPKA2,-3.0777,137,37.41,130
PRKD2,-3.3686,153,35.82,131
IKKA,-2.7532,121,35.79,132
PBK,-5.1716,235,35.24,133
PAK4,-5.7206,261,35.13,134
PDK1,-3.0406,133,34.96,135
