index,Score,Score Rank,Percentile,Percentile Rank
NIM1,2.4277,3,98.87,1
MARK3,2.8718,1,97.97,2
PLK4,0.9498,37,97.24,3
PRPK,0.6755,47,96.83,4
MARK1,2.1777,7,96.8,5
QIK,2.0279,9,96.71,6
QSK,2.4117,4,96.66,7
MARK4,2.0261,10,96.64,8
MARK2,2.0874,8,96.32,9
PKCB,1.744,11,95.79,10
TSSK1,2.245,5,95.54,11
RIPK1,1.2824,23,95.5,12
PKCZ,1.6453,13,95.05,13
IRE1,0.9759,34,95.0,14
WNK4,1.1541,28,95.0,14
IRE2,0.9754,35,94.95,16
ULK2,0.6606,48,94.63,17
SSTK,1.5425,15,94.57,18
SNRK,0.4902,54,94.44,19
NEK11,-0.287,88,93.59,20
PKCG,1.1101,30,93.06,21
BRSK2,0.8624,42,92.99,22
PKCA,1.2068,25,92.87,23
SIK,1.4339,18,92.64,24
PKCT,0.9252,39,92.5,25
TSSK2,1.3374,20,92.25,26
MPSK1,1.016,33,92.11,27
PKCH,0.7755,44,91.99,28
MTOR,1.5299,16,91.85,29
ULK1,-0.1942,82,91.83,30
VRK1,-1.1812,143,91.6,31
MELK,1.2836,22,91.48,32
HASPIN,-0.5518,106,91.11,33
MNK2,1.3036,21,91.11,33
PKCD,0.9552,36,90.2,35
BRSK1,0.532,52,90.11,36
STK33,-0.3442,91,89.93,37
WNK2,0.8718,40,89.57,38
PKN2,0.752,45,89.53,39
AMPKA1,1.0509,31,89.29,40
CK1G1,0.3475,57,89.2,41
AMPKA2,1.0434,32,88.81,42
IRAK4,0.2222,61,88.77,43
TSSK4,1.2041,26,88.74,44
MAP3K15,-0.9254,126,88.73,45
DCAMKL1,1.2234,24,88.7,46
RIPK3,0.0844,73,88.58,47
CAMK1G,0.3708,56,88.0,48
CK1E,0.5707,51,87.96,49
COT,1.1853,27,87.11,50
DAPK1,0.2141,62,86.77,51
MYO3A,-2.0676,216,86.76,52
TLK2,0.2371,60,86.75,53
NUAK2,0.7837,43,86.7,54
MLK2,0.1473,65,86.69,55
MYO3B,-1.798,200,86.6,56
NEK9,0.1099,71,86.58,57
MNK1,0.1912,63,86.57,58
NUAK1,0.1161,70,86.53,59
PDK1,-0.6548,110,86.32,60
WNK1,0.5783,49,86.32,60
CK1A2,0.6766,46,86.29,62
TLK1,-0.4004,95,85.79,63
HIPK4,2.4521,2,85.78,64
PDHK4,0.1317,66,85.72,65
NEK5,-0.5579,107,85.51,66
PAK1,0.3254,59,85.41,67
PKCE,-0.3919,94,85.06,68
DCAMKL2,0.106,72,85.01,69
SGK3,0.496,53,84.66,70
CHAK2,-0.0407,77,83.67,71
PKCI,-0.5848,109,83.58,72
MASTL,-0.3612,93,83.41,73
VRK2,-1.2482,151,83.38,74
CAMK1A,-0.5324,104,82.89,75
PAK3,-0.1431,81,82.86,76
CK1D,0.058,75,82.52,77
NEK2,-0.1229,80,82.42,78
SKMLCK,-0.341,90,82.38,79
TSSK3,-0.0782,79,82.24,80
DRAK1,-0.5011,101,81.28,81
PAK2,-0.5183,102,81.18,82
DAPK3,-0.8487,119,81.13,83
MST1,-1.3331,158,80.97,84
SGK1,-0.208,83,80.88,85
ROCK1,-1.54,177,80.8,86
DYRK3,1.4568,17,80.72,87
MEKK2,-1.0654,129,80.6,88
YANK3,0.1627,64,80.27,89
PKN3,0.578,50,80.1,90
CK1A,-0.2082,84,80.06,91
LRRK2,-1.618,180,79.92,92
YSK1,-2.0731,217,79.86,93
DYRK2,2.2428,6,79.83,94
PKN1,-1.3623,161,79.59,95
MLK4,-1.2197,145,79.1,96
CAMK4,-0.6598,111,78.96,97
HUNK,-0.7111,112,78.58,98
ROCK2,-1.3244,157,78.26,99
NEK1,-1.785,198,78.23,100
PHKG2,-1.7578,194,78.2,101
DAPK2,0.1175,69,78.03,102
GCN2,-0.8938,124,76.86,103
CHAK1,-0.8777,121,76.79,104
FAM20C,-1.3165,155,76.71,105
MEKK3,-1.1403,138,76.53,106
PDHK1,-0.4255,98,76.48,107
NIK,0.1304,67,76.23,108
PKACG,-0.8015,116,75.9,109
CAMK1D,-0.9864,127,75.58,110
MAPKAPK3,-0.3528,92,75.45,111
SMMLCK,-1.2411,149,75.2,112
HIPK2,1.5864,14,75.13,113
NEK4,-1.7309,193,75.01,114
HIPK1,1.7126,12,74.81,115
AKT3,-1.8577,203,74.72,116
ZAK,-1.6325,183,74.24,117
BCKDK,-1.3184,156,74.01,118
AKT1,-1.4252,167,73.41,119
CAMLCK,-0.2476,85,73.23,120
DYRK4,1.4024,19,73.18,121
MINK,-2.3976,241,73.14,122
AKT2,-1.0731,130,73.11,123
PAK5,-2.346,235,73.06,124
ALPHAK3,-2.3531,236,73.05,125
CAMK1B,0.0613,74,72.85,126
MST4,-0.8009,115,72.7,127
PKACB,-1.4832,173,72.19,128
TTBK2,-0.8473,118,71.92,129
TAO3,-1.1961,144,71.75,130
MYLK4,-1.4633,172,71.71,131
KHS1,-2.1845,224,71.37,132
MST3,-1.4529,170,71.1,133
PAK4,-2.7935,269,71.08,134
PKR,-1.1167,136,70.98,135
MLK3,-1.2209,146,70.27,136
MOK,0.1235,68,70.12,137
TNIK,-2.1646,221,70.07,138
DYRK1B,0.9434,38,70.03,139
PHKG1,-1.6488,184,69.92,140
MEKK6,-3.197,281,69.9,141
