index,Score,Score Rank,Percentile,Percentile Rank
NIM1,4.0864,1,99.89,1
RIPK1,2.2915,4,98.91,2
PLK4,1.7847,9,98.81,3
IRE2,1.9774,7,98.11,4
SNRK,1.7027,11,98.1,5
WNK4,2.0043,6,98.1,5
IRE1,1.6048,15,97.37,7
MASTL,0.7131,51,97.06,8
TSSK1,2.7086,2,96.99,9
MARK3,1.8887,8,96.03,10
QIK,1.7009,13,95.71,11
PRPK,0.6034,53,95.62,12
PKCZ,1.7012,12,95.28,13
PKCB,1.5951,16,95.22,14
RIPK3,1.0255,37,95.16,15
MARK4,1.5534,19,94.95,16
MARK2,1.5749,17,94.8,17
ULK2,0.67,52,94.7,18
CK1G1,1.0447,35,94.49,19
CK1E,1.1264,32,94.47,20
WNK2,1.5557,18,94.29,21
VRK1,-0.8107,126,94.07,22
MARK1,1.1515,30,93.78,23
NEK11,-0.2672,91,93.72,24
HASPIN,0.0287,77,93.7,25
MELK,1.7823,10,93.69,26
SSTK,1.2468,26,93.51,27
TSSK2,1.5311,20,93.33,28
TLK2,0.9953,41,93.24,29
QSK,1.3204,25,93.1,30
PKCT,1.0462,34,93.03,31
ULK1,-0.0549,80,92.98,32
PKCA,1.1657,28,92.66,33
VRK2,-0.6309,107,92.32,34
STK33,-0.0173,78,92.22,35
PKCG,0.8758,44,91.94,36
TLK1,0.2768,70,91.83,37
IRAK4,0.5725,57,91.78,38
MTOR,1.5157,21,91.73,39
MEKK2,-0.2552,90,91.61,40
NEK5,-0.0775,82,91.16,41
MAP3K15,-0.6741,111,91.12,42
MPSK1,0.8559,46,91.06,43
PKCH,0.5865,56,90.94,44
SIK,1.01,39,90.8,45
WNK1,1.0285,36,90.54,46
BRSK2,0.3562,67,90.48,47
NUAK1,0.718,50,90.42,48
NEK9,0.4141,62,90.41,49
DCAMKL1,1.4941,23,90.35,50
MNK2,1.1628,29,90.32,51
MLK2,0.4061,63,90.01,52
PKCD,0.8752,45,89.64,53
AMPKA1,1.068,33,89.41,54
PKN2,0.7209,49,89.29,55
HUNK,0.0791,74,89.29,55
NEK4,-0.6733,110,89.02,57
MYO3B,-1.4896,178,88.94,58
AMPKA2,1.0187,38,88.64,59
TSSK4,1.149,31,88.34,60
CK1A2,0.8034,48,88.32,61
MNK1,0.4235,61,88.12,62
CK1A,0.3148,69,87.72,63
DCAMKL2,0.4537,60,87.65,64
MYO3A,-1.9636,219,87.59,65
PDK1,-0.5737,104,87.29,66
CAMK1G,0.2386,71,87.22,67
MEKK3,-0.5308,102,87.11,68
SKMLCK,0.3828,65,87.07,69
BCKDK,-0.4003,98,87.04,70
MST1,-0.8639,131,86.57,71
IRAK1,-0.7478,120,86.47,72
HIPK4,2.4387,3,85.7,73
NEK1,-1.2668,167,85.5,74
PKCI,-0.3979,97,85.14,75
CAMLCK,0.9312,42,84.86,76
PAK3,0.0726,75,84.63,77
MLK4,-0.7412,119,84.6,78
BRSK1,-0.3572,95,84.57,79
NUAK2,0.5097,59,84.18,80
PAK1,0.0937,73,83.74,81
MEK5,-1.0948,159,83.28,82
YANK3,0.366,66,83.26,83
MYLK4,-0.0223,79,83.15,84
COT,0.8904,43,82.71,85
PKN1,-0.9578,141,82.64,86
LRRK2,-1.433,176,82.64,86
SGK3,0.1936,72,82.54,88
KHS1,-1.3418,171,82.46,89
CHAK2,-0.1351,84,82.35,90
PAK2,-0.4496,101,81.82,91
PKCE,-0.8269,127,81.57,92
CK1D,-0.0626,81,81.38,93
NEK2,-0.2185,88,81.12,94
CAMK1A,-0.8411,130,81.05,95
TSSK3,-0.3345,93,80.45,96
PKN3,0.5904,54,80.31,97
ROCK1,-1.6201,196,80.17,98
MOS,0.5894,55,79.95,99
MEKK1,-1.0494,151,79.86,100
YSK1,-2.0753,230,79.84,101
MLK3,-0.7122,115,79.49,102
ZAK,-1.3053,169,79.48,103
MINK,-1.9727,221,79.31,104
DYRK2,2.1706,5,79.25,105
YANK2,-0.6563,109,78.58,106
PDHK1,-0.3523,94,78.34,107
CAMK4,-0.7322,118,78.3,108
DYRK3,1.1795,27,78.16,109
GCN2,-0.836,129,77.84,110
MEKK6,-2.6914,259,77.39,111
PDHK4,-0.1573,85,77.22,112
SGK1,-0.7871,124,77.15,113
NEK3,-1.7945,206,76.64,114
GSK3A,1.6136,14,76.04,115
PHKG2,-2.0177,225,75.9,116
KHS2,-1.9663,220,75.74,117
ROCK2,-1.5957,191,75.65,118
CAMK1D,-1.0083,143,75.4,119
WNK3,-0.6384,108,75.09,120
MSK2,-1.0801,158,74.76,121
NIK,0.0639,76,74.74,122
CHAK1,-1.0366,147,74.54,123
HIPK2,1.5065,22,74.54,123
PHKG1,-1.2931,168,74.53,125
NDR1,-0.6762,113,74.23,126
DNAPK,-0.584,105,74.2,127
TNIK,-1.9191,216,74.02,128
ATM,-0.5667,103,73.68,129
FAM20C,-1.6636,202,73.54,130
HPK1,-2.0597,228,73.46,131
PKACG,-1.0491,150,73.45,132
ANKRD3,-0.8285,128,73.2,133
HGK,-2.0526,227,73.2,133
AKT3,-2.0662,229,73.05,135
MST3,-1.344,172,72.93,136
TAO3,-1.1352,164,72.92,137
PKR,-1.0413,148,72.84,138
TTBK2,-0.7999,125,72.75,139
DAPK1,-1.6247,197,72.54,140
HIPK1,1.4554,24,72.46,141
SMMLCK,-1.4947,179,71.98,142
MLK1,-0.8709,132,71.96,143
DAPK3,-1.809,208,71.94,144
RIPK2,-2.8166,267,71.93,145
PAK5,-2.4793,247,71.84,146
GCK,-1.9376,218,71.66,147
AKT1,-1.633,198,71.5,148
MST4,-0.9059,139,71.16,149
PAK4,-2.8337,268,70.71,150
LATS1,-0.162,86,70.26,151
TAO1,-3.0926,282,70.11,152
DYRK4,1.0035,40,70.02,153
DAPK2,-0.3962,96,69.68,154
ALPHAK3,-2.608,253,69.4,155
PKACB,-1.8009,207,69.22,156
CK1G3,-1.0461,149,69.21,157
HIPK3,0.8189,47,68.57,158
MSK1,-1.5269,180,68.57,158
CAMK1B,-0.1781,87,68.27,160
MOK,-0.0976,83,67.93,161
CHK2,-2.3125,239,67.48,162
AKT2,-1.6182,195,67.15,163
ASK1,-3.8176,299,67.02,164
MAPKAPK3,-1.0195,144,66.96,165
TTK,-3.6219,295,66.67,166
PINK1,-0.7147,116,66.66,167
BUB1,-2.1671,233,66.52,168
DYRK1A,0.3851,64,66.52,168
MEK2,-3.035,277,66.49,170
DYRK1B,0.5133,58,66.44,171
NEK7,-1.3934,174,66.02,172
OSR1,-3.2527,287,65.82,173
HRI,-1.6118,194,65.79,174
PRKD1,-0.7545,122,65.56,175
MRCKA,-2.4321,245,65.36,176
PKACA,-2.8517,270,65.26,177
RAF1,-0.6285,106,64.94,178
CDK17,-0.8811,135,64.65,179
CDK19,-0.6741,111,64.46,180
P90RSK,-1.0717,155,64.42,181
MST2,-2.781,265,64.41,182
EEF2K,-2.7414,261,64.31,183
MRCKB,-2.5878,249,64.29,184
NDR2,-0.9847,142,64.19,185
CDC7,-0.775,123,63.93,186
TBK1,-1.3728,173,63.8,187
CDKL1,-0.2548,89,63.27,188
CDK9,-0.7484,121,63.23,189
CLK3,-0.2761,92,63.21,190
PRKD3,-1.5966,192,63.01,191
GRK7,-2.2868,237,62.6,192
IKKE,-1.7759,204,62.55,193
YSK4,-1.866,212,62.08,194
NEK8,-2.3692,243,61.98,195
CDK18,-0.7114,114,61.96,196
LOK,-2.6313,254,61.91,197
RSK3,-1.6564,201,61.9,198
LATS2,-1.587,189,61.78,199
GRK4,-0.9043,137,61.69,200
CDK16,-1.2613,166,61.55,201
PRKD2,-1.5752,185,61.39,202
KIS,-0.8807,134,61.32,203
GSK3B,0.3399,68,61.18,204
ATR,-0.4322,100,61.03,205
DRAK1,-1.5491,182,60.87,206
AURB,-2.6525,257,60.81,207
NEK6,-1.5302,181,60.55,208
P38G,-1.1133,163,60.47,209
STLK3,-5.1134,306,60.16,210
PLK1,-1.4111,175,59.82,211
BRAF,-1.894,215,59.75,212
CDK8,-1.0623,153,59.56,213
TAO2,-2.4043,244,59.52,214
P38A,-0.4112,99,59.49,215
PERK,-2.0155,224,59.47,216
JNK3,-0.7315,117,59.42,217
ERK1,-0.8881,136,59.28,218
ULK3,-2.7623,263,59.08,219
CRIK,-3.5009,291,59.01,220
DMPK1,-3.5053,292,58.61,221
JNK1,-0.9351,140,58.55,222
PKG1,-4.7739,304,58.44,223
PAK6,-2.9175,274,58.14,224
ERK2,-1.0951,160,57.84,225
CDK14,-1.102,162,57.48,226
SMG1,-1.5566,184,57.48,226
CDK4,-1.589,190,57.25,228
AURC,-2.764,264,57.08,229
CDK3,-2.8972,272,56.97,230
LKB1,-2.3257,240,56.66,231
CDK2,-1.8922,214,56.29,232
PKG2,-2.9052,273,55.98,233
PLK3,-1.8111,209,55.43,234
CDK13,-0.9057,138,55.16,235
JNK2,-1.0753,156,55.02,236
CHK1,-1.6117,193,54.54,237
CDK12,-1.6745,203,54.47,238
SRPK1,-1.021,145,53.72,239
CDK7,-1.3261,170,53.7,240
CDKL5,-1.0267,146,53.15,241
CLK1,-1.4849,177,52.69,242
PRKX,-3.6354,297,52.37,243
RSK2,-1.8166,210,52.18,244
CLK4,-1.2408,165,52.01,245
ICK,-2.6456,255,50.67,246
PRP4,-1.7847,205,50.41,247
CAMK2G,-1.0575,152,50.31,248
P70S6KB,-1.9258,217,50.13,249
PLK2,-2.8438,269,49.96,250
PIM1,-1.6426,199,49.61,251
ERK7,-2.5986,250,49.58,252
P70S6K,-3.4334,290,49.49,253
CDK5,-2.2414,236,49.05,254
CAMKK1,-3.1231,283,48.96,255
TTBK1,-3.5432,293,48.46,256
P38D,-2.0818,231,48.08,257
CLK2,-1.5825,187,47.9,258
P38B,-1.9732,222,47.78,259
ERK5,-1.1005,161,47.4,260
CAMK2D,-1.8713,213,47.35,261
MAK,-2.2108,235,47.27,262
SLK,-3.6235,296,47.16,263
RSK4,-2.815,266,47.06,264
SRPK2,-2.0186,226,47.01,265
MAPKAPK2,-2.6079,252,46.79,266
CDK6,-2.6075,251,46.28,267
CDK1,-2.3122,238,46.24,268
MAPKAPK5,-3.3617,288,45.71,269
PIM3,-1.5531,183,45.31,270
