index,Score,Score Rank,Percentile,Percentile Rank
NIM1,1.93,3,97.95,1
CHAK2,1.6844,4,97.23,2
PLK4,0.8779,24,97.05,3
IRE1,1.2532,13,96.22,4
PRPK,0.6095,32,95.73,5
CK1G1,1.1626,14,95.12,6
ULK2,0.6841,31,94.82,7
MARK4,1.4843,6,94.66,8
VRK1,-0.7569,101,94.37,9
MARK3,1.2554,12,94.18,10
CK1E,1.0584,18,93.88,11
PKCB,1.1619,15,93.43,12
MPSK1,1.152,16,92.9,13
TLK2,0.8925,23,92.56,14
WNK4,0.712,30,92.42,15
QIK,0.875,25,92.06,16
PKCZ,1.0043,19,91.69,17
TLK1,0.2308,46,91.52,18
MYO3B,-1.126,127,91.34,19
TSSK1,1.3014,9,91.33,20
MNK2,1.297,10,91.07,21
ULK1,-0.2853,78,91.01,22
SNRK,-0.1968,73,90.9,23
HASPIN,-0.6167,95,90.81,24
IRE2,0.2345,45,90.3,25
MAP3K15,-0.789,102,90.07,26
COT,1.4205,7,90.05,27
RIPK1,0.4937,38,89.81,28
PKCT,0.2996,42,89.25,29
QSK,0.551,36,89.1,30
MTOR,1.2828,11,89.05,31
MARK1,0.1453,53,88.88,32
SSTK,0.3403,40,88.78,33
IRAK4,0.2211,49,88.77,34
MARK2,0.2256,48,88.67,35
NEK9,0.2674,44,88.64,36
CHAK1,0.1419,54,88.58,37
MELK,0.7633,28,88.46,38
TSSK4,1.1161,17,88.14,39
MYO3A,-1.954,192,87.65,40
PKCG,0.1598,50,87.29,41
CK1A2,0.7309,29,87.13,42
PKCH,-0.0291,61,86.81,43
DCAMKL1,0.9236,22,86.77,44
TSSK2,0.5889,33,86.68,45
PKN2,0.3136,41,86.36,46
AMPKA1,0.577,35,85.82,47
BRSK2,-0.4101,85,85.54,48
HIPK4,2.3949,1,85.42,49
AMPKA2,0.5304,37,85.3,50
SGK3,0.5835,34,85.25,51
WNK1,0.4239,39,84.66,52
PKCA,-0.0562,64,84.11,53
NEK11,-1.2028,136,83.8,54
SIK,-0.2157,74,83.72,55
WNK2,0.2858,43,83.67,56
STK33,-1.0213,118,83.52,57
PAK3,-0.0747,65,83.44,58
