index,Score,Score Rank,Percentile,Percentile Rank
MYO3B,4.1364,2,99.94,1
LRRK2,2.6198,16,99.93,2
MST1,3.8767,4,99.91,3
EEF2K,4.0302,3,99.91,3
MYO3A,3.5038,7,99.89,5
MINK,3.5984,6,99.89,5
TNIK,3.8248,5,99.89,5
HGK,3.4945,8,99.88,8
MEKK2,2.4091,17,99.86,9
TAO2,2.7,14,99.85,10
YSK1,2.8797,11,99.84,11
MST2,2.7605,12,99.84,11
TAO3,3.2959,9,99.8,13
MEK5,1.3009,36,99.78,14
TAO1,2.2739,19,99.61,15
KHS2,3.2917,10,99.58,16
CAMKK1,1.7416,24,99.55,17
MEK2,0.5368,63,99.55,17
NEK1,1.6327,26,99.49,19
KHS1,2.7393,13,99.47,20
MST3,2.6405,15,99.41,21
HPK1,2.3111,18,99.27,22
NEK5,1.5371,28,99.24,23
CAMKK2,1.0616,44,99.08,24
OSR1,1.3721,34,99.08,24
GCK,1.8243,22,99.05,26
LOK,1.8631,21,99.03,27
NEK4,1.2088,39,98.9,28
PKR,1.4077,31,98.83,29
MEKK1,1.1016,42,98.62,30
TAK1,0.5667,61,98.58,31
ERK7,5.1291,1,98.58,31
NEK3,1.0027,45,98.52,33
ZAK,1.2668,38,98.48,34
MEKK6,0.3197,71,98.45,35
NEK8,0.9121,49,98.35,36
MEKK3,0.906,50,98.35,36
YSK4,1.407,32,98.23,38
SLK,1.2997,37,98.15,39
MAP3K15,0.6072,59,97.82,40
MEK1,0.268,73,97.66,41
MLK2,1.4336,30,97.35,42
MLK1,1.632,27,97.33,43
MLK3,1.5034,29,96.93,44
ASK1,-0.3801,97,96.74,45
NEK11,0.1633,77,96.27,46
NEK2,1.3832,33,96.23,47
PDK1,0.5416,62,96.11,48
IRE1,1.1913,40,95.99,49
MLK4,1.0671,43,95.94,50
PBK,0.6678,58,95.26,51
IRE2,0.9447,47,94.8,52
PERK,0.3532,69,94.46,53
NEK9,0.85,52,94.38,54
STLK3,-1.8867,155,93.85,55
PKCZ,1.3599,35,93.71,56
PKCI,0.972,46,93.35,57
VRK1,-0.9413,116,93.24,58
BRAF,-0.0716,88,93.03,59
TTK,-1.2555,133,91.71,60
STK33,-0.1019,89,91.69,61
PKCB,0.8197,54,91.65,62
MST4,0.939,48,91.42,63
VRK2,-0.7186,110,91.36,64
GAK,-0.4194,98,91.05,65
MPSK1,0.7458,56,90.29,66
PKCH,0.4807,64,90.26,67
PKCT,0.3662,68,89.67,68
AAK1,-1.3101,134,89.29,69
ANKRD3,0.0336,82,89.23,70
PINK1,0.721,57,88.65,71
PKCE,0.038,81,87.98,72
PKCA,0.3693,66,87.6,73
BIKE,-1.5777,146,87.47,74
YANK2,-0.0493,86,87.37,75
PKCG,0.1292,78,87.06,76
IRAK4,-0.1394,92,85.29,77
NIK,0.607,60,85.24,78
DSTYK,0.2607,74,84.41,79
ULK2,-0.2627,95,84.22,80
HASPIN,-1.5667,145,83.94,81
LKB1,-0.8818,115,83.89,82
ERK5,1.6328,25,83.81,83
PKCD,0.1665,76,83.36,84
CDKL5,1.1685,41,83.22,85
NIM1,-0.377,96,82.57,86
NEK6,-0.2149,93,82.22,87
CDK6,2.1959,20,81.83,88
COT,0.7886,55,81.0,89
CDKL1,0.9057,51,80.58,90
NEK7,-0.6112,106,79.75,91
WNK2,-0.0637,87,79.2,92
HRI,-0.9504,117,79.16,93
WNK4,-0.6366,107,79.15,94
CDK5,1.7767,23,77.71,95
PIM2,-0.4755,101,77.11,96
PKN2,-0.6685,108,76.21,97
ALPHAK3,-2.1372,163,75.84,98
QIK,-1.0212,120,75.31,99
SRPK3,-0.0219,84,73.92,100
CDK4,0.8311,53,73.51,101
PKN1,-2.0512,160,73.32,102
CDKL2,-0.2149,93,72.04,103
CDK3,-0.1029,90,71.77,104
DRAK1,-1.0991,127,70.77,105
PRP4,0.0589,79,70.62,106
CHAK1,-1.3772,136,69.42,107
SGK3,-1.3391,135,67.78,108
YANK3,-0.4869,102,67.36,109
CDK13,0.447,65,67.27,110
ERK1,0.3515,70,67.04,111
ROCK1,-2.9675,194,66.98,112
CDK1,0.2426,75,66.89,113
GCN2,-1.4653,142,66.46,114
ICK,-1.0735,124,66.12,115
P38B,0.3689,67,65.79,116
CDK9,-0.4425,100,65.74,117
CDK2,-0.6003,105,65.3,118
CDK12,-0.4381,99,65.21,119
PHKG2,-3.0889,199,64.92,120
BUB1,-2.3129,171,64.62,121
ULK1,-2.1358,162,64.49,122
P38A,0.3084,72,64.46,123
ROCK2,-2.5746,181,64.1,124
WNK1,-1.0273,121,63.95,125
DLK,-0.8376,113,63.57,126
MTOR,-0.1167,91,63.17,127
P38G,-0.8665,114,62.47,128
CDK16,-1.1842,131,62.05,129
