index,Score,Score Rank,Percentile,Percentile Rank
MEK1,3.3351,1,100.0,1
MEK5,2.3073,8,99.99,2
MEK2,2.3739,7,99.99,2
MEKK2,2.6599,4,99.93,4
MYO3B,2.6114,5,99.72,5
EEF2K,3.0423,2,99.67,6
MEKK3,1.6233,17,99.63,7
TNIK,2.7449,3,99.6,8
MST2,1.919,12,99.54,9
HGK,2.4168,6,99.54,9
LRRK2,1.5039,18,99.5,11
MINK,2.2236,10,99.49,12
MYO3A,2.0218,11,99.45,13
OSR1,1.8042,13,99.44,14
MST1,2.2237,9,99.4,15
STLK3,0.4975,42,99.3,16
CAMKK1,1.3289,19,99.13,17
YSK1,1.3122,20,98.95,18
NEK1,1.0378,24,98.7,19
KHS1,1.6259,16,98.39,20
ZAK,1.1965,22,98.32,21
TAO2,0.968,25,98.31,22
TAO3,1.6546,14,98.3,23
MEKK6,0.2114,55,98.22,24
CAMKK2,0.4388,46,98.19,25
KHS2,1.6444,15,98.18,26
HPK1,1.279,21,98.05,27
TAO1,0.6378,34,98.05,27
ASK1,-0.1626,71,97.28,29
NEK4,0.5254,41,97.14,30
GCK,0.7991,29,97.13,31
NEK3,0.4589,45,96.87,32
PDK1,0.6632,33,96.61,33
TAK1,-0.3297,81,95.94,34
MLK2,1.1305,23,95.9,35
MAP3K15,0.0204,63,95.62,36
MST3,0.8307,28,95.38,37
LOK,0.3313,50,95.08,38
NEK11,-0.0764,68,95.0,39
NEK5,0.3579,49,94.81,40
PERK,0.3142,52,94.19,41
BRAF,0.0377,61,93.96,42
YSK4,0.3,53,93.53,43
PBK,0.1751,56,93.38,44
STK33,0.1694,58,93.34,45
YANK2,0.487,44,92.82,46
IRE1,0.5378,39,92.44,47
VRK2,-0.6581,91,91.99,48
MLK1,0.4338,47,91.37,49
PKR,0.0205,62,91.31,50
MEKK1,-0.2541,78,91.23,51
AAK1,-1.0041,114,90.87,52
NEK2,0.5662,37,90.58,53
SLK,-0.5494,88,90.47,54
VRK1,-1.3282,133,90.44,55
MLK4,-0.0687,65,90.31,56
MLK3,0.1495,59,90.13,57
LKB1,-0.4054,83,89.55,58
MPSK1,0.6248,35,89.42,59
ERK7,0.9386,27,89.33,60
BIKE,-1.4197,137,88.59,61
NEK8,-0.7763,98,88.21,62
PINK1,0.67,32,88.09,63
PKCI,0.0047,64,88.07,64
GAK,-0.7318,97,87.66,65
PLK4,-1.1064,119,86.29,66
TTK,-2.1444,173,85.12,67
NIM1,-0.2412,76,84.18,68
DLK,-0.0755,67,84.02,69
NEK9,-0.08,69,83.75,70
HRI,-0.7887,100,81.84,71
ALPHAK3,-1.6506,149,81.55,72
PKCZ,-0.2428,77,81.02,73
HASPIN,-1.8611,159,80.9,74
PKCH,-0.7274,95,80.76,75
PKCT,-0.8425,104,80.66,76
SRPK3,0.5269,40,79.32,77
RIPK2,-2.2908,178,78.79,78
YANK3,0.07,60,78.69,79
DCAMKL2,-0.643,90,78.25,80
CDKL5,0.6823,31,78.2,81
PKCE,-1.2268,125,77.96,82
CDKL1,0.5819,36,77.32,83
QIK,-0.9764,112,75.88,84
PKCB,-1.0323,115,75.57,85
PKCG,-1.1372,122,74.81,86
