index,Score,Score Rank,Percentile,Percentile Rank
MEK2,0.5775,14,99.58,1
NEK4,0.8328,8,98.11,2
NEK1,0.3873,19,96.96,3
NEK3,0.3517,21,96.43,4
SMG1,1.4545,4,96.26,5
SMMLCK,1.5016,2,94.85,6
CRIK,1.7955,1,94.5,7
ULK3,0.6081,13,94.45,8
BUB1,0.8216,9,92.66,9
DAPK2,1.4974,3,92.2,10
LOK,-0.1766,27,92.17,11
DMPK1,0.5044,16,92.09,12
MRCKA,1.1523,5,91.92,13
ROCK1,0.3598,20,91.56,14
DAPK3,0.7598,11,91.55,15
DAPK1,1.0774,6,91.41,16
NEK2,0.5584,15,90.49,17
ROCK2,0.4352,17,90.35,18
MRCKB,0.8043,10,90.31,19
TTK,-1.5148,90,90.09,20
NEK5,-0.1867,28,90.04,21
TAK1,-1.3087,72,89.93,22
P70S6K,0.9928,7,89.87,23
LKB1,-0.3783,33,89.78,24
RIPK2,-1.1569,65,89.78,24
YSK1,-1.1608,67,89.44,26
MEK1,-0.5667,41,89.36,27
BIKE,-1.3301,76,89.21,28
MEKK6,-1.7351,100,88.83,29
TAO2,-0.8467,47,88.18,30
TAO1,-1.6244,96,87.73,31
NEK11,-0.9082,51,87.71,32
CAMKK2,-1.5522,93,87.19,33
PKG1,-0.809,45,86.59,34
MEK5,-0.9416,53,86.42,35
PBK,-1.0278,57,86.36,36
MYO3B,-1.8257,109,86.35,37
SKMLCK,0.1243,23,85.5,38
MST3,-0.5625,40,84.32,39
AURB,-0.376,32,84.02,40
VRK2,-1.2247,69,83.83,41
MYO3A,-2.3966,134,83.79,42
RIPK1,-0.077,25,83.69,43
AAK1,-2.2122,128,83.55,44
IRAK4,-0.338,30,83.29,45
HPK1,-1.3406,78,83.14,46
PKG2,-0.3154,29,82.96,47
IRAK1,-1.0613,60,82.73,48
MYLK4,-0.1046,26,82.67,49
VRK1,-2.0683,119,82.6,50
HRI,-0.7641,44,82.24,51
CHK2,-0.624,43,82.15,52
MINK,-1.7475,101,82.12,53
CAMLCK,0.6288,12,82.07,54
CAMKK1,-1.4487,84,81.65,55
PIM2,0.0447,24,81.6,56
LRRK2,-1.5389,91,81.12,57
GAK,-1.31,73,81.02,58
PDK1,-1.0618,61,80.73,59
ASK1,-2.6796,158,80.65,60
P70S6KB,0.212,22,80.24,61
SGK1,-0.5046,37,79.1,62
NEK8,-1.474,86,78.74,63
STLK3,-3.8004,228,78.64,64
STK33,-1.4926,88,77.95,65
MAP3K15,-1.8007,107,77.18,66
ALK4,-0.3504,31,77.17,67
PRKD3,-0.4103,34,77.09,68
PAK2,-0.9747,55,76.67,69
CHAK1,-0.9094,52,76.32,70
DRAK1,-0.814,46,76.2,71
SLK,-1.9666,114,75.06,72
HGK,-2.0584,118,73.07,73
AKT3,-2.1356,125,72.45,74
RIPK3,-1.1561,64,72.44,75
PKR,-1.077,62,71.98,76
KHS2,-2.2759,132,71.53,77
PASK,-1.3289,75,71.27,78
AKT1,-1.6666,98,71.16,79
SGK3,-1.0514,59,71.09,80
PKACG,-1.2642,71,71.01,81
PINK1,-0.5098,38,70.51,82
ANKRD3,-0.946,54,70.32,83
CAMK4,-1.4881,87,69.92,84
AKT2,-1.4046,82,69.72,85
ALK1,-0.5836,42,68.87,86
WNK4,-1.3503,79,68.6,87
PAK3,-1.4958,89,67.3,88
AURA,-2.182,127,67.17,89
PAK5,-2.9756,177,66.9,90
PKN1,-2.692,159,66.54,91
PAK4,-3.2538,200,66.36,92
MST4,-1.2475,70,65.73,93
RSK3,-1.3981,81,65.73,93
PKACA,-2.8172,164,65.59,95
KHS1,-2.5987,149,64.9,96
NEK9,-1.0968,63,64.86,97
TTBK1,-2.4107,137,64.73,98
MEKK1,-1.7627,103,64.69,99
DCAMKL2,-1.6615,97,64.55,100
NLK,0.428,18,63.03,101
NEK7,-1.5598,94,62.67,102
ALPHAK3,-3.0412,184,62.46,103
PERK,-1.8911,112,62.33,104
PKCI,-2.4205,138,62.21,105
GCK,-2.4589,140,62.06,106
TLK1,-2.0051,116,61.38,107
WNK3,-1.4314,83,61.33,108
CAMK1A,-3.1667,194,60.8,109
ACVR2B,-1.4623,85,60.24,110
ATR,-0.4496,35,60.14,111
CAMK1B,-0.5181,39,59.71,112
MPSK1,-1.7134,99,59.56,113
PAK6,-2.821,165,59.46,114
PKN2,-1.9171,113,58.36,115
QIK,-2.2502,130,57.86,116
WNK1,-1.3784,80,57.79,117
SNRK,-3.2999,202,57.69,118
BRAF,-1.9933,115,57.22,119
TNIK,-2.947,175,55.37,120
MSK1,-2.4744,141,55.34,121
HASPIN,-3.6484,220,55.01,122
BMPR1A,-2.4281,139,54.61,123
PKCE,-3.2509,199,53.96,124
OSR1,-3.9818,242,53.2,125
MAPKAPK5,-2.9096,172,53.19,126
AURC,-3.0314,182,53.16,127
PKCT,-3.2457,197,52.49,128
CAMK1G,-3.0446,185,52.35,129
CLK3,-0.9065,50,52.14,130
CAMK1D,-3.0021,181,51.86,131
P90RSK,-1.7527,102,51.63,132
MELK,-2.5035,143,51.28,133
SSTK,-3.3649,206,50.93,134
PHKG2,-4.3025,257,50.45,135
RAF1,-1.1607,66,50.12,136
PRKD2,-2.3998,135,49.88,137
DNAPK,-1.7641,104,49.64,138
IRE2,-2.661,155,49.62,139
MST1,-3.0759,189,49.43,140
ALK7,-1.0494,58,49.26,141
ALK2,-2.1009,121,49.23,142
SBK,-2.8656,168,48.58,143
PKACB,-3.4654,212,48.58,143
ATM,-1.7717,105,47.87,145
CDK10,-2.7269,161,47.65,146
P38A,-1.5426,92,46.55,147
HIPK3,-1.3368,77,46.55,147
NIK,-0.8496,48,46.29,149
RSK2,-2.1238,123,46.13,150
RSK4,-2.8805,170,45.96,151
BMPR2,-0.5028,36,45.6,152
AMPKA1,-2.3372,133,45.15,153
ACVR2A,-2.0775,120,44.28,154
ERK5,-1.3238,74,43.74,155
NDR1,-2.6104,150,43.43,156
SIK,-3.5967,217,43.25,157
TAO3,-2.4954,142,43.19,158
PAK1,-2.8789,169,42.71,159
TGFBR2,-2.5133,145,42.31,160
EEF2K,-3.8047,229,42.27,161
MEKK2,-2.6669,156,42.09,162
PKCH,-3.5038,214,42.02,163
MOK,-2.8275,166,41.54,164
TGFBR1,-1.623,95,41.25,165
YANK2,-2.5059,144,40.87,166
MST2,-3.8807,236,40.67,167
WNK2,-2.1247,124,40.17,168
PLK1,-2.4056,136,39.77,169
ICK,-3.8458,235,39.12,170
PHKG1,-3.7647,226,38.65,171
CDK5,-2.993,179,38.17,172
TSSK2,-2.9423,174,38.17,172
CDK14,-2.9298,173,37.73,174
PRKD1,-2.6256,153,37.63,175
CDK4,-3.2197,196,37.28,176
AMPKA2,-3.1074,191,36.88,177
ZAK,-3.3284,204,35.36,178
MARK1,-4.2252,252,35.35,179
CLK4,-2.5652,146,34.6,180
CDKL2,-2.5915,148,34.34,181
CDK7,-2.6726,157,34.24,182
MNK1,-4.0129,245,33.99,183
IRE1,-3.4375,209,33.86,184
TSSK1,-3.3755,207,33.69,185
ERK2,-2.6567,154,33.55,186
CDC7,-1.8044,108,33.54,187
PKCG,-3.997,243,33.24,188
PKCA,-3.7072,222,33.17,189
DYRK1A,-2.8489,167,32.62,190
TTBK2,-3.0745,188,32.6,191
CHAK2,-2.6128,152,32.32,192
NEK6,-2.9788,178,32.26,193
CDK6,-3.7197,223,32.25,194
DYRK3,-3.4377,210,32.16,195
HIPK1,-2.5872,147,31.79,196
PKCD,-3.049,186,31.49,197
CK1A2,-1.2209,68,31.2,198
DCAMKL1,-3.1603,193,30.94,199
ERK7,-3.8103,230,30.88,200
YANK3,-1.8496,111,30.32,201
MASTL,-2.0562,117,30.31,202
CLK1,-3.4452,211,29.14,203
MAK,-4.2271,253,28.38,204
P38B,-3.1114,192,27.67,205
QSK,-4.1941,251,27.42,206
PRKX,-5.5472,288,27.28,207
ULK2,-3.2617,201,27.08,208
PKCZ,-4.004,244,25.87,209
HIPK4,-2.7446,162,25.48,210
DYRK1B,-3.6082,219,25.39,211
MAPKAPK3,-3.8154,231,25.29,212
PLK4,-5.373,282,25.11,213
MLK2,-2.7205,160,24.59,214
MARK2,-4.5858,263,23.84,215
PIM1,-2.9477,176,23.41,216
NUAK2,-3.0386,183,23.28,217
MARK3,-4.9621,275,23.13,218
PRP4,-3.051,187,23.0,219
PLK3,-3.6997,221,22.66,220
MEKK3,-3.3541,205,22.43,221
CDKL5,-2.7714,163,22.24,222
NUAK1,-4.5414,262,22.02,223
CK1G2,-3.2114,195,21.93,224
CDK9,-3.9185,240,21.32,225
BRSK2,-5.5189,287,21.25,226
CDKL1,-1.7961,106,20.57,227
MLK3,-3.7489,225,18.99,228
DSTYK,-3.825,233,18.68,229
CHK1,-3.5832,216,18.56,230
MSK2,-4.3952,259,18.3,231
CDK12,-4.2998,256,16.88,232
DLK,-2.2721,131,16.81,233
GCN2,-4.4006,260,16.55,234
LATS2,-4.6147,265,16.42,235
CDK17,-4.8712,272,16.38,236
BMPR1B,-2.9995,180,16.32,237
BCKDK,-4.1182,249,15.91,238
PDHK1,-2.1545,126,15.63,239
GRK6,-2.8895,171,15.62,240
CK1G3,-3.6004,218,15.19,241
TSSK4,-4.1641,250,14.54,242
NDR2,-4.6255,266,14.33,243
PKCB,-5.6036,289,13.79,244
ULK1,-4.9713,276,13.71,245
MARK4,-4.0637,247,13.41,246
IKKA,-4.2469,254,12.98,247
PLK2,-5.5107,285,12.77,248
SRPK3,-3.8963,238,12.7,249
TLK2,-3.9543,241,12.65,250
HIPK2,-5.4332,284,12.21,251
CAMK2D,-4.079,248,12.2,252
MLK1,-3.7735,227,12.08,253
PIM3,-3.4313,208,11.9,254
YSK4,-3.8857,237,11.83,255
P38D,-4.7141,269,11.67,256
NIM1,-4.6518,268,11.43,257
CDK13,-3.0789,190,11.34,258
CDK16,-5.9849,294,10.52,259
JNK2,-3.5527,215,10.31,260
ERK1,-4.9571,274,10.04,261
HUNK,-4.4161,261,9.91,262
MNK2,-5.2815,280,9.9,263
CDK18,-5.9818,293,8.54,264
SRPK2,-4.8707,271,8.43,265
IKKE,-4.359,258,8.01,266
CAMK2B,-5.3053,281,7.71,267
PDHK4,-2.1097,122,7.2,268
GSK3B,-0.873,49,7.01,269
CAMK2A,-4.5967,264,6.97,270
TSSK3,-7.6591,306,6.8,271
FAM20C,-7.6395,305,6.56,272
BRSK1,-6.9306,301,6.34,273
MOS,-1.8301,110,5.98,274
SRPK1,-4.9832,277,5.82,275
DYRK2,-4.8647,270,5.57,276
PRPK,-0.9989,56,5.55,277
MTOR,-3.2471,198,5.53,278
CAMK2G,-2.6115,151,5.4,279
MAPKAPK2,-6.8512,300,5.34,280
TBK1,-4.2989,255,5.29,281
GRK7,-6.6436,298,4.94,282
GRK4,-4.0504,246,4.27,283
DYRK4,-5.8766,292,3.87,284
CLK2,-6.5946,297,3.61,285
GRK5,-3.7198,224,3.58,286
CDK3,-7.9343,308,3.53,287
CK1A,-5.0131,278,3.51,288
CK1G1,-6.2808,295,3.46,289
GRK3,-3.8968,239,3.35,290
GRK2,-2.2455,129,3.31,291
KIS,-7.0658,303,3.3,292
IKKB,-5.4011,283,3.19,293
PKN3,-3.4887,213,3.15,294
CK1E,-3.8246,232,2.52,295
JNK1,-4.9535,273,2.33,296
CDK2,-5.511,286,2.31,297
MLK4,-6.9625,302,2.05,298
LATS1,-5.7945,291,1.98,299
GRK1,-3.8265,234,1.52,300
CK1D,-7.0751,304,1.51,301
P38G,-5.6466,290,1.47,302
CK2A2,-7.9714,309,0.95,303
COT,-5.2459,279,0.92,304
CDK19,-7.6645,307,0.86,305
JNK3,-4.6483,267,0.67,306
CK2A1,-8.1521,310,0.66,307
CDK8,-6.7417,299,0.29,308
CDK1,-6.3587,296,0.17,309
GSK3A,-3.3048,203,0.14,310
