index,Score,Score Rank,Percentile,Percentile Rank
CK1A,2.7402,2,99.36,1
CK1G1,2.8975,1,99.34,2
CK1E,1.9864,4,98.74,3
EEF2K,1.6369,8,98.59,4
CK1G3,2.5326,3,98.1,5
MEKK3,0.7897,16,97.96,6
CK1A2,1.8583,6,97.61,7
CK1G2,1.9824,5,96.42,8
TTBK1,0.6794,17,96.02,9
MLK4,1.0252,14,95.79,10
MEKK2,0.171,29,95.13,11
ULK1,0.167,30,94.56,12
CHAK1,0.8643,15,94.29,13
GRK2,1.3051,12,94.19,14
PINK1,1.3242,11,94.0,15
ZAK,0.0601,33,93.63,16
DLK,0.5349,21,93.51,17
CK1D,1.7315,7,93.46,18
GRK3,1.6108,9,93.04,19
MAP3K15,-0.4569,58,92.82,20
MEKK6,-1.2591,96,92.58,21
MLK1,0.5574,19,92.32,22
PLK2,1.4297,10,91.77,23
BRAF,-0.2161,45,91.64,24
STK33,-0.3954,56,89.54,25
IRE1,0.1211,31,89.24,26
RIPK2,-1.2681,97,88.92,27
IRE2,0.0204,37,88.46,28
DSTYK,0.4873,22,86.95,29
MEK1,-0.7001,66,86.57,30
MEK5,-0.9472,73,86.3,31
GRK1,0.6192,18,86.22,32
MLK3,-0.2327,46,86.2,33
TLK1,-0.3685,53,86.14,34
TTBK2,0.0559,35,85.81,35
PRPK,0.2745,25,85.53,36
YANK3,0.5372,20,85.48,37
CHAK2,0.0634,32,85.06,38
PLK4,-1.2865,99,84.61,39
PERK,-0.7249,68,84.0,40
ACVR2A,0.2813,24,83.86,41
PDHK1,-0.1209,41,83.41,42
NEK8,-1.1847,90,83.1,43
ASK1,-2.4559,160,82.99,44
SNRK,-1.2389,94,82.97,45
ULK2,-0.3498,51,82.86,46
YANK2,-0.391,55,82.82,47
GCN2,-0.5532,62,82.42,48
PRP4,1.0417,13,82.17,49
IKKA,-0.2469,48,81.19,50
VRK2,-1.374,105,80.97,51
STLK3,-3.6092,218,80.89,52
HGK,-1.6178,118,80.0,53
BMPR1B,0.254,26,79.35,54
ALK4,-0.2596,49,79.12,55
YSK4,-0.9891,78,78.8,56
GRK4,0.0448,36,78.75,57
TBK1,-0.6154,64,78.12,58
PLK3,-0.3134,50,77.92,59
BMPR1A,-0.6078,63,77.72,60
OSR1,-2.4483,159,77.71,61
ACVR2B,-0.407,57,76.49,62
SRPK3,0.2106,27,76.37,63
SMG1,-1.0366,82,76.12,64
ALK1,-0.2398,47,75.85,65
NIM1,-0.8678,70,75.85,65
ALPHAK3,-2.1399,140,75.82,67
IKKB,-0.1763,43,75.75,68
GRK6,0.0572,34,74.56,69
PHKG2,-2.2057,142,74.24,70
ULK3,-1.7875,123,73.52,71
IKKE,-1.2929,101,73.2,72
IRAK1,-1.7706,122,73.15,73
YSK1,-2.6511,173,72.0,74
MYO3A,-3.395,207,72.0,74
PKCH,-1.4884,113,71.96,76
HRI,-1.3327,104,71.81,77
BCKDK,-1.4965,115,70.87,78
TTK,-3.374,205,70.47,79
MINK,-2.5652,165,70.46,80
MST2,-2.4629,161,70.42,81
ALK2,-1.0131,79,70.31,82
IRAK4,-1.4509,110,69.42,83
TLK2,-0.9745,77,69.24,84
KIS,-0.0274,38,69.06,85
BMPR2,-0.173,42,68.67,86
MEKK1,-1.5971,117,68.55,87
CDK8,0.1958,28,68.35,88
CDK19,-0.031,39,68.33,89
ANKRD3,-1.0301,81,68.32,90
CAMKK1,-2.1923,141,68.31,91
GRK5,-0.5121,60,67.97,92
NEK7,-1.3203,102,67.37,93
RAF1,-0.5408,61,67.24,94
CDK13,0.3872,23,66.96,95
TSSK2,-1.0883,83,66.81,96
CDK12,-0.2115,44,66.5,97
GRK7,-1.9923,130,66.4,98
CDK2,-0.7341,69,64.73,99
CDK5,-0.4699,59,64.52,100
MYO3B,-3.6404,220,64.15,101
TGFBR2,-1.4959,114,64.13,102
TAO2,-2.2225,144,63.88,103
PLK1,-1.2084,93,63.74,104
ATR,-0.3847,54,63.37,105
NEK2,-1.4158,109,63.17,106
TAK1,-3.0856,193,63.13,107
CDK6,-0.9441,72,62.03,108
CDK1,-0.698,65,61.94,109
NEK6,-1.463,111,61.78,110
ERK1,-0.7058,67,60.7,111
PAK2,-2.0942,137,60.69,112
P38G,-1.1015,84,60.58,113
TNIK,-2.7182,176,59.83,114
TAO1,-3.7576,227,59.43,115
ERK2,-0.9731,76,59.3,116
FAM20C,-2.8772,184,59.25,117
NEK4,-2.6607,174,58.98,118
CK2A1,-3.5394,212,58.43,119
MEK2,-3.3683,203,58.1,120
PKCT,-2.8702,183,57.52,121
KHS2,-3.2032,198,57.06,122
SRPK2,-1.3902,107,56.87,123
NEK9,-1.4865,112,56.65,124
P38D,-1.2882,100,56.54,125
GCK,-2.7728,180,55.57,126
PAK3,-2.2703,149,55.29,127
PKCE,-3.1757,196,54.93,128
CDK3,-3.2761,200,54.48,129
RIPK3,-2.2285,145,53.97,130
PKCG,-2.6392,171,53.76,131
HASPIN,-3.7383,225,53.47,132
JNK3,-1.1346,87,53.4,133
PKCD,-1.8661,126,53.24,134
WNK4,-2.28,150,52.8,135
DCAMKL2,-2.309,153,52.73,136
HUNK,-2.0198,132,52.05,137
PAK5,-4.2198,248,51.9,138
JNK2,-1.3209,103,51.38,139
CLK3,-0.9524,74,51.31,140
RIPK1,-2.0236,133,51.28,141
VRK1,-3.7756,228,50.88,142
CLK1,-1.6443,119,50.67,143
CDK9,-1.8494,125,50.59,144
SRPK1,-1.2524,95,50.49,145
PAK6,-3.4633,209,50.39,146
CDK4,-2.2468,148,50.2,147
LRRK2,-3.0414,189,50.11,148
ERK7,-2.5585,164,50.09,149
PHKG1,-3.015,187,49.73,150
MST3,-2.5932,167,49.03,151
KHS1,-3.5098,211,48.96,152
PKCI,-3.3702,204,48.74,153
AURA,-3.3033,202,48.69,154
PKCA,-2.7461,178,48.18,155
HIPK3,-1.1915,91,48.14,156
WNK3,-2.1197,139,48.11,157
TAO3,-2.3083,152,47.35,158
NEK1,-3.5755,216,47.3,159
PAK1,-2.6225,170,47.22,160
TGFBR1,-1.4066,108,46.93,161
DYRK3,-2.045,135,46.77,162
CK2A2,-4.2851,251,46.51,163
ERK5,-1.1603,89,46.46,164
BUB1,-3.6727,221,46.39,165
JNK1,-1.8419,124,46.16,166
RSK3,-2.5669,166,46.01,167
PKCZ,-2.6418,172,45.78,168
MPSK1,-2.4897,162,45.36,169
HIPK2,-2.089,136,45.32,170
COT,-0.9188,71,44.94,171
PKCB,-3.1618,195,44.84,172
NEK11,-3.0211,188,44.66,173
P38B,-2.2207,143,44.23,174
NEK3,-3.8017,230,44.21,175
NEK5,-2.6741,175,44.12,176
CDKL1,-0.9585,75,44.01,177
CAMKK2,-3.9324,237,44.01,177
BRSK2,-3.8939,235,43.75,179
ALK7,-1.2793,98,43.55,180
GSK3B,-0.038,40,43.39,181
TSSK1,-2.7602,179,43.18,182
PKN1,-4.5574,266,42.57,183
MLK2,-1.9143,129,42.41,184
PKR,-2.112,138,42.13,185
MTOR,-1.0154,80,41.92,186
BRSK1,-3.882,233,41.85,187
CLK4,-2.0257,134,41.81,188
LKB1,-2.9876,186,41.81,188
HIPK1,-1.721,120,41.51,190
WNK1,-2.2868,151,41.39,191
P38A,-1.8676,128,41.19,192
CHK2,-4.2082,247,41.07,193
AKT1,-3.8825,234,40.92,194
CAMK4,-3.3852,206,40.29,195
MST1,-3.5008,210,40.27,196
AMPKA1,-2.6124,168,40.2,197
DYRK2,-1.8662,127,40.02,198
SMMLCK,-3.2063,199,38.41,199
PAK4,-5.4836,290,38.18,200
MST4,-2.8057,182,38.18,200
LOK,-4.0243,240,38.03,202
CAMK2G,-1.3793,106,38.0,203
AMPKA2,-3.0586,190,37.72,204
CLK2,-2.4346,158,37.52,205
DYRK1B,-2.6153,169,37.51,206
MARK1,-4.0961,244,37.33,207
HPK1,-4.0363,241,37.13,208
ATM,-2.2293,146,37.0,209
PKG1,-6.6802,303,36.62,210
CHK1,-2.5386,163,36.51,211
MARK3,-4.1069,245,36.49,212
MNK2,-3.0661,191,36.48,213
NIK,-1.1031,85,36.41,214
WNK2,-2.3199,154,36.22,215
SSTK,-4.5274,263,35.91,216
CDC7,-1.7372,121,35.47,217
PKG2,-4.3512,257,34.61,218
GSK3A,-0.3679,52,34.57,219
MYLK4,-3.7172,224,34.12,220
DYRK4,-2.7789,181,33.54,221
PDHK4,-1.1434,88,32.63,222
CDK10,-4.2936,252,31.79,223
RSK4,-3.7395,226,31.77,224
CDK17,-3.779,229,30.86,225
PKACA,-5.3424,288,30.83,226
MAPKAPK5,-4.2748,249,30.81,227
SLK,-4.572,267,30.76,228
NLK,-1.2047,92,30.35,229
CAMK1A,-5.4776,289,30.21,230
QIK,-3.9772,238,30.19,231
