index,Score,Score Rank,Percentile,Percentile Rank
FAM20C,1.9941,4,92.4,1
BCKDK,-0.1209,21,89.91,2
HIPK4,3.0543,1,89.62,3
PKR,-0.1896,24,88.77,4
RIPK1,0.1517,13,86.31,5
PINK1,0.4991,10,86.14,6
DYRK2,3.0017,2,85.79,7
ATM,0.1107,15,83.84,8
BUB1,-0.5585,34,83.7,9
DYRK4,2.5552,3,81.96,10
ALPHAK3,-1.7271,88,80.71,11
PDHK4,-0.074,19,80.0,12
SRPK2,0.3324,12,77.9,13
SRPK1,0.9551,8,77.62,14
DNAPK,-0.3802,30,77.31,15
TLK2,-0.4977,32,77.26,16
DYRK3,1.0742,7,77.14,17
CAMKK1,-1.774,92,76.16,18
HIPK2,1.6923,5,75.87,19
TLK1,-1.1957,58,75.5,20
RAF1,-0.2089,25,75.18,21
BRAF,-1.2492,64,75.02,22
CAMK1B,0.1486,14,74.33,23
ATR,-0.1504,22,73.4,24
PRKX,-1.647,83,73.06,25
CAMK2G,-0.1607,23,72.68,26
MOK,0.3791,11,72.64,27
PRKD2,-0.6742,39,72.45,28
PAK1,-1.0782,55,71.82,29
GCN2,-1.2222,60,71.21,30
CAMK1G,-1.703,86,70.92,31
MAPKAPK5,-1.7535,91,70.63,32
PASK,-1.3912,74,70.37,33
SRPK3,-0.3453,29,70.15,34
WNK2,-0.6538,38,69.85,35
CK1G2,-1.074,54,69.05,36
HIPK1,1.0751,6,68.9,37
CAMLCK,-0.4597,31,68.89,38
SLK,-2.3891,141,68.72,39
DSTYK,-0.8241,44,68.67,40
PDHK1,-0.6929,40,68.56,41
PKACB,-1.8784,100,68.41,42
PRKD1,-0.5472,33,68.34,43
CLK3,0.0289,16,68.3,44
MAPKAPK2,-0.9917,51,68.07,45
CAMK1D,-1.7919,93,67.57,46
DYRK1B,0.6326,9,67.43,47
GRK4,-0.6276,37,67.2,48
STK33,-2.2498,128,66.98,49
PRKD3,-1.3076,67,66.88,50
PAK2,-1.7519,90,66.17,51
CAMKK2,-2.9213,173,66.17,51
SKMLCK,-2.0828,114,65.77,53
PLK3,-1.2311,61,65.28,54
TSSK4,-0.9446,48,64.99,55
ROCK1,-3.1779,193,64.67,56
LKB1,-1.9714,104,64.55,57
CAMK2B,-0.8514,46,64.27,58
DLK,-0.8246,45,64.0,59
MAPKAPK3,-1.239,63,63.88,60
