index,Score,Score Rank,Percentile,Percentile Rank
MST1R,0.6138,4,78.81,1
EPHA3,0.6385,3,78.51,2
ARG,1.2418,1,74.92,3
RET,0.3767,6,71.09,4
ABL,0.7885,2,69.21,5
EPHA4,0.4755,5,68.81,6
EPHA5,0.1341,7,66.45,7
FLT3,-0.1515,9,65.73,8
PDGFRA,-0.7634,19,58.52,9
DDR2,-1.4709,45,58.02,10
TNK1,-0.9423,29,53.58,11
FGFR4,-0.7606,18,53.14,12
EPHA2,-0.9459,30,52.84,13
EPHA6,-0.1692,11,52.83,14
FGFR2,-0.5826,14,52.55,15
VEGFR1,-0.8482,24,52.24,16
MET,-0.1597,10,51.19,17
AXL,-0.7031,17,50.29,18
EPHA8,-0.6295,15,49.97,19
VEGFR3,-1.2408,39,49.77,20
CSK,-0.6994,16,49.75,21
EPHB4,0.0389,8,49.59,22
EPHA7,-0.7642,20,48.72,23
PDGFRB,-0.8545,25,48.41,24
EPHB3,-0.5769,12,47.08,25
KIT,-0.5798,13,47.01,26
MUSK,-1.6188,46,46.73,27
ACK,-0.9377,28,45.65,28
EPHA1,-1.2844,40,44.96,29
DDR1,-1.2268,36,44.17,30
FAK,-0.7786,21,42.07,31
JAK3,-0.9337,27,41.52,32
PYK2,-1.1173,33,40.91,33
FGFR3,-1.4641,43,40.51,34
CTK,-0.8119,23,40.25,35
ZAP70,-0.9125,26,39.27,36
FGFR1,-1.1776,35,38.59,37
EPHB2,-0.9626,31,38.23,38
VEGFR2,-1.0623,32,38.19,39
LTK,-1.2376,38,38.15,40
TIE2,-1.6734,47,36.03,41
CSFR,-0.7848,22,35.76,42
SYK,-1.1574,34,34.73,43
HER4,-1.8713,53,29.07,44
EPHB1,-1.4698,44,28.89,45
MER,-1.6992,49,25.52,46
TRKA,-1.794,52,25.32,47
EGFR,-1.7399,50,25.26,48
TYK2,-1.2361,37,24.88,49
TRKB,-2.2397,55,24.29,50
TYRO3,-1.4005,41,21.78,51
HER2,-1.7891,51,21.73,52
IRR,-2.295,57,21.38,53
SRMS,-1.6953,48,19.9,54
INSR,-2.576,60,19.22,55
JAK2,-1.4537,42,19.2,56
ALK,-2.6957,62,18.27,57
ITK,-2.0421,54,16.5,58
TRKC,-2.6262,61,15.71,59
FRK,-2.8738,63,15.32,60
JAK1,-3.041,64,13.81,61
ROS,-2.2582,56,10.81,62
FGR,-2.3076,58,10.66,63
BTK,-3.4277,67,9.87,64
IGF1R,-4.2314,73,9.78,65
BRK,-3.114,65,8.49,66
ETK,-3.1263,66,7.27,67
FER,-2.5626,59,7.24,68
TEC,-3.855,71,6.3,69
LYN,-4.2882,74,5.54,70
LCK,-3.73,69,5.14,71
FES,-5.9499,78,3.41,72
HCK,-3.8086,70,3.0,73
TXK,-4.1794,72,2.45,74
BLK,-4.7869,76,2.43,75
FYN,-4.563,75,1.95,76
YES,-3.63,68,1.93,77
SRC,-5.5809,77,0.83,78
