index,Score,Score Rank,Percentile,Percentile Rank
CAMKK2,1.2537,3,99.25,1
CAMKK1,1.251,4,99.02,2
TAK1,0.4982,10,98.46,3
MEK2,-0.5783,33,97.34,4
GRK1,1.7361,1,95.72,5
STLK3,-1.3897,75,95.64,6
MEK1,-0.1258,17,95.2,7
VRK2,-0.3217,23,95.15,8
CAMK2G,1.5892,2,94.08,9
LRRK2,-0.3322,24,93.75,10
ASK1,-1.1078,61,93.67,11
TAO2,-0.2935,20,93.15,12
GCK,-0.1029,16,92.96,13
MINK,-0.5597,32,92.85,14
YANK2,0.4912,11,92.85,14
DNAPK,1.2481,5,92.61,16
TNIK,-0.2018,18,92.48,17
SLK,-0.2885,19,92.24,18
HGK,-0.4557,29,91.93,19
MEK5,-0.6233,36,91.34,20
TAO1,-1.1968,65,91.01,21
BRAF,-0.4018,26,89.5,22
HPK1,-0.7981,43,88.41,23
CK2A1,0.5857,9,87.66,24
LKB1,-0.5908,34,87.46,25
YSK1,-1.3833,74,87.42,26
MST1,-0.7922,41,87.32,27
PLK3,0.5904,8,87.04,28
GRK5,0.9248,6,86.89,29
MYO3B,-1.7681,85,86.83,30
MYO3A,-2.0874,104,86.58,31
CK2A2,0.3994,12,86.55,32
LOK,-0.9024,48,86.0,33
GAK,-0.9283,50,85.38,34
MEKK1,-0.7281,39,85.25,35
MST2,-1.4705,77,85.21,36
VRK1,-1.887,91,84.87,37
MASTL,-0.3104,22,84.54,38
MEKK6,-2.2124,110,83.76,39
GRK6,0.6722,7,82.82,40
ALK2,0.0054,14,82.21,41
YSK4,-0.8349,46,81.26,42
OSR1,-2.2334,111,80.43,43
PKR,-0.7075,38,80.19,44
PERK,-1.004,55,79.86,45
MEKK3,-0.9941,54,79.3,46
KHS1,-1.6155,82,79.26,47
BMPR2,0.0431,13,79.0,48
ALK1,-0.0539,15,78.95,49
IKKA,-0.4308,28,78.51,50
DLK,-0.3414,25,78.16,51
NEK1,-1.8016,87,77.96,52
EEF2K,-1.9428,95,77.59,53
PDK1,-1.2969,70,76.99,54
KHS2,-1.9218,93,76.31,55
BIKE,-2.9468,141,75.27,56
SMG1,-1.0911,60,74.73,57
ALPHAK3,-2.3276,115,73.42,58
TAO3,-1.1177,62,73.24,59
DRAK1,-0.9829,52,73.07,60
PLK2,-1.1768,64,72.53,61
MST3,-1.3737,73,72.41,62
MEKK2,-1.4918,78,71.79,63
PBK,-2.6217,126,70.9,64
ALK4,-0.6095,35,70.5,65
STK33,-2.0382,101,70.24,66
ACVR2A,-0.8651,47,70.24,66
NEK11,-1.9679,99,70.14,68
CAMK2D,-0.5564,31,70.05,69
CAMK2A,-0.2989,21,69.29,70
ZAK,-1.9027,92,69.17,71
NEK2,-1.043,57,68.91,72
ACVR2B,-1.0133,56,68.29,73
PDHK4,-0.4244,27,66.66,74
HRI,-1.6245,83,65.52,75
NEK4,-2.2929,113,65.35,76
IRAK1,-2.2869,112,65.18,77
CAMK2B,-0.795,42,65.0,78
PDHK1,-0.8029,45,64.9,79
GRK7,-2.161,108,64.25,80
NEK3,-2.6813,128,62.88,81
