index,Score,Score Rank,Percentile,Percentile Rank
CAMKK1,1.5893,6,99.44,1
DNAPK,3.9276,1,99.31,2
CAMKK2,1.2752,7,99.26,3
SMG1,2.5082,2,99.19,4
VRK2,0.5361,12,99.19,4
MEK2,-0.0072,26,98.85,6
TAK1,0.3106,17,98.06,7
LRRK2,0.5266,13,97.79,8
STLK3,-0.7419,64,97.43,9
PERK,1.0,9,97.37,10
MEK5,0.0565,22,97.29,11
VRK1,-0.1387,31,97.1,12
ATR,2.0778,3,97.0,13
GRK1,1.8151,4,96.1,14
MYO3B,-0.0981,29,96.06,15
TNIK,0.3664,16,95.47,16
MASTL,0.4505,14,95.21,17
EEF2K,0.1631,21,95.04,18
MEK1,-0.1531,33,94.93,19
TAO2,-0.007,25,94.84,20
ATM,1.5981,5,94.7,21
YSK1,-0.3693,45,94.6,22
LKB1,0.1984,19,94.37,23
MEKK1,0.0331,23,93.76,24
NEK2,0.9379,10,93.65,25
MINK,-0.4604,50,93.45,26
TTBK1,0.1824,20,93.19,27
MYO3A,-1.0869,86,93.1,28
TTBK2,0.6789,11,93.01,29
TAO1,-0.9103,74,92.77,30
LOK,-0.1484,32,92.34,31
MST1,-0.205,36,92.26,32
HGK,-0.4376,48,92.06,33
ASK1,-1.3995,104,92.02,34
NEK1,-0.6358,60,91.6,35
SLK,-0.4399,49,91.25,36
MEKK2,-0.3193,42,91.02,37
DRAK1,0.3075,18,90.54,38
STK33,-0.3039,41,90.23,39
OSR1,-1.2406,99,89.88,40
PKR,-0.1327,30,89.51,41
GRK5,1.2372,8,89.47,42
GAK,-0.6059,57,89.09,43
HUNK,0.0204,24,88.66,44
PDK1,-0.4618,51,88.58,45
MST2,-1.1982,97,88.07,46
HPK1,-0.9397,76,87.13,47
MEKK6,-1.9583,126,86.67,48
NEK5,-0.4739,52,86.66,49
GCK,-0.8617,70,86.64,50
NEK4,-0.933,75,86.07,51
MST3,-0.406,47,86.06,52
PBK,-1.1333,93,85.55,53
YANK2,-0.2328,37,85.05,54
HRI,-0.5935,56,84.81,55
IRAK1,-0.9609,79,84.02,56
CK2A1,-0.303,40,83.69,57
NEK8,-1.1553,94,83.49,58
KHS1,-1.255,101,83.43,59
TTK,-2.3568,145,83.08,60
CK2A2,-0.5088,54,82.15,61
MLK2,-0.1594,34,81.98,62
NEK11,-1.3331,102,81.83,63
ZAK,-1.1878,96,81.22,64
NEK3,-1.514,110,80.45,65
TLK2,-0.2904,38,80.35,66
NEK9,-0.2942,39,80.2,67
