index,Score,Score Rank,Percentile,Percentile Rank
TAK1,2.3971,2,99.89,1
MST2,2.5413,1,99.8,2
VRK1,0.9075,18,99.26,3
NEK5,1.5387,7,99.25,4
ANKRD3,1.5799,5,99.09,5
MEKK1,1.3298,10,99.07,6
OSR1,1.1641,12,98.84,7
NEK8,1.0991,13,98.73,8
MYO3A,0.9925,16,98.7,9
MEKK2,0.7803,19,98.0,10
TLK1,1.7247,4,97.99,11
MST1,1.0172,15,97.61,12
ALPHAK3,0.913,17,97.19,13
ATM,2.3716,3,96.98,14
MLK3,1.4338,9,96.71,15
VRK2,-0.0929,51,96.68,16
TAO3,1.0817,14,96.56,17
MYO3B,0.0496,45,96.48,18
MLK1,1.2871,11,96.18,19
STLK3,-1.2305,105,96.16,20
TLK2,1.5231,8,96.03,21
ATR,1.5666,6,96.02,22
EEF2K,0.3604,34,95.8,23
BRAF,0.287,36,95.77,24
TTK,-0.5126,69,95.31,25
YSK4,0.5432,26,95.09,26
NEK1,-0.117,53,94.85,27
YSK1,-0.3471,59,94.71,28
GCK,0.1694,42,94.58,29
MLK4,0.6539,21,94.32,30
PKR,0.3625,33,94.31,31
ASK1,-1.0189,95,94.11,32
TNIK,0.0444,46,93.95,33
HRI,0.2618,38,93.59,34
TAO1,-0.853,86,93.08,35
MLK2,0.6964,20,92.89,36
TAO2,-0.3588,60,92.71,37
MINK,-0.5954,73,92.62,38
NEK9,0.6348,22,92.58,39
NEK7,0.49,29,92.42,40
CAMKK1,-0.5288,70,91.94,41
NEK4,-0.4021,63,91.58,42
MEK5,-0.6064,74,91.56,43
NEK6,0.6297,23,91.09,44
ZAK,-0.3756,62,90.51,45
GAK,-0.4984,68,90.23,46
HGK,-0.7204,81,89.91,47
SMG1,0.3977,30,89.61,48
MARK2,0.3634,32,89.53,49
CAMKK2,-1.3431,111,89.06,50
LRRK2,-0.887,88,89.0,51
MAP3K15,-0.9112,91,88.86,52
MEKK3,-0.4059,64,88.69,53
KHS1,-0.6909,79,88.68,54
NEK2,0.3765,31,88.63,55
MARK3,0.0361,47,88.38,56
MST3,-0.2155,55,88.09,57
DRAK1,0.0019,48,87.64,58
DNAPK,0.5165,27,87.54,59
PERK,-0.5644,72,86.13,60
KHS2,-1.0592,97,85.82,61
MARK4,0.1716,41,85.77,62
MEK1,-0.733,82,85.76,63
DSTYK,0.3316,35,85.24,64
NEK3,-1.1407,100,85.03,65
CK1G2,-0.0191,49,84.07,66
NEK11,-1.1901,104,83.98,67
HPK1,-1.3478,112,83.06,68
SLK,-1.3649,113,82.88,69
LKB1,-0.9537,94,82.87,70
ACVR2B,0.2202,39,82.83,71
SIK,-0.3678,61,82.61,72
GRK4,0.2848,37,81.99,73
MEK2,-2.2906,155,81.97,74
MEKK6,-2.3662,159,81.81,75
BMPR2,0.1095,43,81.3,76
DAPK3,-0.9188,92,80.56,77
MARK1,-0.9241,93,80.56,77
PKN3,0.5743,24,80.04,79
PKCB,-0.6441,76,79.88,80
PDK1,-1.1288,99,79.64,81
MOS,0.5588,25,79.33,82
BMPR1B,0.1722,40,78.52,83
ULK2,-0.6825,78,77.18,84
CK1D,-0.4802,67,76.92,85
LOK,-1.6891,132,76.61,86
PKCD,-0.4243,66,76.51,87
BMPR1A,-0.7924,84,75.89,88
QSK,-1.0243,96,75.5,89
DAPK2,-0.1459,54,74.48,90
DAPK1,-1.4284,117,74.38,91
PKCH,-1.3665,114,73.52,92
ACVR2A,-0.6817,77,72.96,93
TGFBR1,-0.232,57,72.92,94
NIK,-0.0222,50,72.66,95
DLK,-0.5468,71,72.54,96
RIPK2,-2.8044,189,72.1,97
HUNK,-1.1011,98,71.71,98
GRK5,-0.3182,58,71.37,99
MST4,-0.9092,90,71.09,100
PKCA,-1.2394,106,70.9,101
RAF1,-0.4157,65,70.44,102
ERK7,-0.7902,83,70.2,103
ROCK1,-2.7906,188,69.04,104
SMMLCK,-1.7516,134,68.34,105
ULK1,-1.9346,138,68.33,106
QIK,-1.5882,123,67.79,107
IRE2,-1.6301,129,67.5,108
PLK2,-1.6151,128,67.35,109
ROCK2,-2.3291,157,67.26,110
COT,0.0628,44,66.87,111
CAMK1G,-2.0468,144,66.84,112
GCN2,-1.5257,120,65.2,113
P38D,-0.1081,52,64.96,114
PINK1,-0.8432,85,64.21,115
PKCT,-2.4597,163,62.86,116
HASPIN,-3.2326,209,61.97,117
CHAK2,-1.3077,109,61.21,118
JNK3,-0.6217,75,60.82,119
PKCG,-2.1861,151,60.82,119
BIKE,-3.8914,246,60.78,121
