index,Score,Score Rank,Percentile,Percentile Rank
MLK2,2.3486,4,99.41,1
ANKRD3,1.3319,17,98.56,2
PKCZ,2.8528,1,98.48,3
BUB1,2.6787,2,98.01,4
MASTL,0.8943,36,97.94,5
NEK8,0.6774,51,97.75,6
PKCI,2.3635,3,97.68,7
NEK3,0.6525,53,97.58,8
MEK5,0.0986,81,97.49,9
BIKE,0.51,66,97.47,10
LOK,0.967,32,97.36,11
SLK,0.9099,34,97.28,12
NEK5,0.7645,44,97.1,13
PBK,1.2963,18,96.87,14
PERK,0.8539,40,96.84,15
AAK1,0.6583,52,96.73,16
NEK4,0.3641,74,96.54,17
PHKG1,1.8183,7,96.44,18
YSK4,0.8085,41,96.39,19
HRI,0.6965,46,96.07,20
PKCA,1.9969,6,95.95,21
PINK1,1.6626,11,95.9,22
IRAK4,1.2344,19,95.79,23
PKCG,1.7666,8,95.6,24
STK33,0.6154,55,95.57,25
IRE1,1.0487,28,95.37,26
MLK1,1.0289,30,95.13,27
IRE2,0.9893,31,95.01,28
MST2,-0.1768,102,94.99,29
CAMKK1,-0.0899,95,94.86,30
NEK2,1.1198,25,94.83,31
CAMKK2,-0.5088,129,94.6,32
MST1,0.1714,79,94.49,33
NEK9,0.8663,38,94.49,33
DSTYK,1.4105,15,94.44,35
DRAK1,0.8659,39,94.42,36
NIK,1.3906,16,94.4,37
RAF1,1.0612,27,94.09,38
GAK,-0.0828,93,94.05,39
MLK3,0.7444,45,93.93,40
NEK11,-0.2544,104,93.85,41
MLK4,0.5287,64,93.76,42
PKCT,1.2024,22,93.67,43
PKCB,1.2057,21,93.64,44
NEK1,-0.3646,118,93.51,45
LRRK2,-0.3804,119,93.46,46
CHK1,1.4456,14,92.71,47
BRAF,-0.1242,98,92.55,48
HASPIN,-0.2642,105,92.51,49
PKCE,0.8767,37,92.34,50
MELK,1.4575,13,92.32,51
MYO3B,-0.9979,161,92.07,52
HGK,-0.4915,128,91.7,53
PKCD,1.1687,23,91.6,54
ULK2,0.3191,75,91.51,55
HPK1,-0.3962,121,91.44,56
CAMK1G,1.0397,29,91.28,57
PKN1,0.6093,58,91.25,58
MST4,0.9036,35,91.18,59
PKCH,0.6195,54,91.14,60
IKKA,0.586,60,90.92,61
IRAK1,-0.2815,108,90.73,62
LKB1,-0.2885,109,90.64,63
QIK,0.5807,62,90.3,64
PKR,-0.0751,92,90.23,65
MST3,-0.045,87,89.66,66
NUAK1,0.586,60,89.65,67
YSK1,-1.1404,172,89.6,68
PIM1,1.63,12,89.41,69
PIM2,0.9244,33,87.9,70
PHKG2,-0.4437,125,87.85,71
PKN2,0.4612,69,87.53,72
RIPK3,-0.0251,86,87.5,73
MPSK1,0.3661,73,87.28,74
MEKK2,-0.6418,141,87.18,75
MYO3A,-2.0258,230,87.11,76
PRKD2,1.0789,26,87.02,77
NEK6,0.1826,78,86.97,78
GCK,-0.8415,155,86.83,79
CDK10,2.3484,5,86.82,80
MINK,-1.3273,189,86.71,81
ULK1,-0.7218,144,86.51,82
COT,1.1409,24,86.48,83
TAO2,-1.0255,164,86.03,84
MEKK3,-0.6193,137,85.84,85
RIPK2,-1.6436,212,85.64,86
WNK1,0.4901,67,85.4,87
MEK1,-0.7508,147,85.34,88
CHK2,-0.0657,90,85.28,89
TAO1,-1.9144,224,85.1,90
PRKD3,0.6133,57,85.05,91
ULK3,-0.7767,149,84.96,92
NUAK2,0.5918,59,84.92,93
KHS2,-1.1819,177,84.69,94
TNIK,-1.1255,171,84.63,95
IKKB,0.3865,71,84.44,96
KHS1,-1.1771,176,84.18,97
NEK7,-0.3249,113,83.77,98
MEKK1,-0.8243,153,83.77,98
CAMK1A,-0.417,124,83.6,100
CAMK4,-0.118,97,83.53,101
MOS,0.7869,42,83.47,102
MEK2,-2.2036,241,83.33,103
CHAK2,-0.0676,91,83.28,104
WNK4,-0.3064,111,83.2,105
CAMK2D,0.4391,70,82.89,106
MAPKAPK5,-0.7094,143,81.78,107
PIM3,0.542,63,81.37,108
RIPK1,-0.2699,107,81.19,109
MNK1,-0.5831,134,80.02,110
WNK3,-0.3257,114,79.85,111
SIK,-0.7421,145,79.68,112
CDKL2,0.524,65,79.52,113
MEKK6,-2.5714,261,79.11,114
CDK14,1.7353,9,78.7,115
WNK2,-0.1427,101,78.12,116
PDHK4,-0.1418,100,77.74,117
AURC,-0.98,160,77.72,118
CDKL5,0.6147,56,77.45,119
GCN2,-0.8589,156,77.45,119
AURB,-1.2645,183,77.36,121
TGFBR2,-0.7675,148,77.29,122
TAK1,-2.3511,249,76.95,123
MRCKB,-1.3577,191,76.82,124
TTBK1,-1.4892,202,76.74,125
AKT1,-1.0336,165,76.73,126
PAK6,-1.3117,187,76.66,127
TAO3,-0.9304,159,76.6,128
SBK,-0.5386,131,76.58,129
MAPKAPK3,-0.2698,106,76.38,130
PDK1,-1.3394,190,76.26,131
CDK18,1.7249,10,76.25,132
CHAK1,-0.9173,158,76.21,133
DCAMKL2,-0.8684,157,75.68,134
NDR1,-0.5589,133,75.61,135
PAK4,-2.3336,247,75.34,136
CDK6,1.2269,20,75.21,137
DMPK1,-2.0633,234,75.15,138
ALK1,-0.3216,112,74.37,139
PAK5,-2.2877,246,73.61,140
NIM1,-1.0174,163,73.55,141
SMMLCK,-1.3816,195,73.43,142
SMG1,-1.1551,173,72.87,143
P70S6K,-1.6393,211,72.76,144
MYLK4,-1.3764,193,72.57,145
SNRK,-2.2208,244,72.35,146
CDK16,0.6933,48,72.05,147
AKT3,-2.1918,240,71.96,148
