index,Score,Score Rank,Percentile,Percentile Rank
BIKE,3.3136,1,99.71,1
AAK1,2.9507,2,99.46,2
GAK,1.5419,4,99.03,3
MEK2,-0.6885,26,96.92,4
MPSK1,1.8724,3,96.1,5
PBK,0.9513,5,96.03,6
NEK3,0.0828,11,95.09,7
LKB1,0.221,9,94.53,8
IRAK1,0.0956,10,93.42,9
NEK4,-0.3674,17,91.87,10
VRK1,-1.2758,42,90.84,11
HRI,-0.1346,13,90.38,12
IRAK4,0.3876,7,90.26,13
NEK1,-0.8577,30,89.81,14
CAMKK2,-1.3117,46,89.3,15
CAMKK1,-0.8719,31,88.86,16
PINK1,0.7272,6,88.71,17
VRK2,-0.9593,35,88.21,18
PKR,-0.4081,18,85.54,19
TAK1,-1.7745,65,84.99,20
PERK,-0.6724,25,84.72,21
RIPK2,-1.8061,67,84.0,22
ALPHAK3,-1.4667,52,83.39,23
RIPK1,-0.1645,14,82.59,24
SMG1,-0.6974,27,82.52,25
ULK3,-1.0351,38,82.42,26
PIM2,0.0335,12,81.52,27
LRRK2,-1.5415,55,81.07,28
WNK4,-0.6317,23,79.19,29
MEK5,-1.278,43,79.11,30
MEKK6,-2.5737,117,79.08,31
TTK,-2.805,131,78.04,32
CRIK,-1.6875,62,77.3,33
ASK1,-2.9922,142,77.24,34
BUB1,-1.2538,41,77.17,35
P70S6K,-1.3026,44,75.68,36
NEK5,-1.1617,40,75.54,37
MYO3B,-2.9513,138,74.23,38
ANKRD3,-0.882,32,71.9,39
DMPK1,-2.4545,109,71.34,40
MEKK3,-1.4234,50,70.64,41
DAPK1,-1.8002,66,70.62,42
PDK1,-1.7571,64,68.17,43
DAPK2,-0.4758,19,67.89,44
TTBK1,-2.1958,93,67.8,45
DAPK3,-2.1864,92,67.21,46
MINK,-2.7697,130,67.1,47
YSK1,-2.9692,140,67.08,48
STLK3,-4.7768,239,65.41,49
NEK2,-1.304,45,64.93,50
MRCKB,-2.6413,120,63.63,51
HIPK3,0.2786,8,63.41,52
TAO2,-2.2492,97,63.25,53
ERK2,-0.6423,24,62.61,54
P38D,-0.5093,20,62.55,55
PAK2,-1.9921,79,62.37,56
SMMLCK,-2.1222,87,62.17,57
CDK4,-1.1136,39,61.47,58
MEK1,-1.4174,49,61.22,59
CAMLCK,-0.7763,28,59.87,60
MEKK1,-1.961,75,59.8,61
ERK5,-0.1811,15,59.69,62
IRE1,-1.9853,78,59.31,63
MEKK2,-2.02,80,59.21,64
ROCK1,-3.6264,179,59.15,65
ALK4,-0.9595,36,58.87,66
P38A,-0.5723,21,58.14,67
P38B,-1.0183,37,57.68,68
TAO1,-3.866,191,57.51,69
CDK6,-1.5558,56,57.35,70
JNK3,-0.9116,33,57.03,71
NEK9,-1.4839,54,56.71,72
PRP4,-1.3383,47,56.6,73
MYO3A,-4.4088,223,56.52,74
CHK2,-3.1956,153,55.93,75
CDK5,-1.6651,60,55.51,76
STK33,-3.0026,144,54.34,77
NEK11,-2.6414,121,54.15,78
BRAF,-2.1159,85,54.1,79
ROCK2,-3.2986,158,54.07,80
ERK1,-1.4681,53,53.97,81
MASTL,-1.3746,48,53.89,82
MYLK4,-2.7013,125,53.8,83
IRE2,-2.4604,110,53.16,84
NEK8,-2.8119,132,52.67,85
PKG1,-5.3481,259,52.08,86
PRPK,-0.2049,16,51.92,87
ERK7,-2.4664,111,51.35,88
RIPK3,-2.3764,106,51.24,89
MOK,-1.8296,68,51.17,90
HGK,-3.1812,152,50.89,91
PAK3,-2.5456,115,50.78,92
MRCKA,-3.5128,173,50.62,93
JNK2,-1.4279,51,49.58,94
P70S6KB,-1.9578,73,49.47,95
WNK3,-2.054,83,49.43,96
HPK1,-3.4373,167,49.08,97
HASPIN,-4.0174,200,48.67,98
LOK,-3.4187,163,48.35,99
WNK1,-1.9759,77,47.01,100
P38G,-2.1602,90,46.91,101
MAP3K15,-3.3506,160,46.54,102
EEF2K,-3.6134,176,46.17,103
SSTK,-3.7278,187,46.09,104
ALK2,-2.2374,95,45.98,105
SKMLCK,-3.4347,166,45.82,106
MELK,-2.8787,134,45.73,107
JNK1,-1.8854,70,45.41,108
IKKA,-2.3202,101,43.78,109
MLK3,-2.4816,113,43.68,110
CDK9,-2.3422,102,43.43,111
PLK1,-2.239,96,43.1,112
DYRK3,-2.4801,112,42.7,113
CK1G2,-2.3061,99,42.45,114
YANK2,-2.4346,107,42.43,115
CAMK1D,-3.6466,181,42.41,116
CDK7,-2.129,88,42.33,117
KHS1,-3.8822,193,42.26,118
CK1G3,-2.3173,100,42.09,119
DYRK1B,-2.2303,94,41.82,120
PKCI,-3.8698,192,41.67,121
ICK,-3.6052,175,41.45,122
DSTYK,-2.3594,103,40.94,123
KHS2,-4.1278,205,40.8,124
TNIK,-3.6836,184,40.51,125
AURB,-3.9322,196,40.04,126
SNRK,-4.5413,229,39.41,127
CDK10,-3.5743,174,38.95,128
HIPK1,-1.9636,76,38.82,129
MST3,-3.1709,151,38.05,130
MLK2,-2.1206,86,37.57,131
HUNK,-2.6808,123,37.43,132
CDKL5,-1.9136,72,37.28,133
CK2A1,-4.9041,245,37.15,134
BMPR2,-0.6149,22,36.89,135
CDKL2,-2.4377,108,36.89,135
TLK1,-3.2712,157,36.85,137
PKG2,-4.2074,210,36.75,138
PAK6,-4.4042,222,36.67,139
NLK,-0.9313,34,36.26,140
CAMK4,-3.6508,182,35.99,141
CHAK1,-3.4945,172,35.82,142
TTBK2,-2.9121,136,35.41,143
BMPR1A,-3.4244,165,35.0,144
TSSK2,-3.165,150,34.89,145
PKN1,-5.193,253,34.43,146
CDK14,-3.2195,154,34.36,147
RAF1,-1.7412,63,34.36,147
DRAK1,-2.6659,122,34.29,149
NEK7,-2.9967,143,34.25,150
MAK,-3.6612,183,33.92,151
BCKDK,-3.1303,148,33.7,152
MLK1,-2.541,114,33.59,153
QIK,-3.7627,190,33.46,154
CAMK1G,-4.2029,209,33.3,155
PHKG2,-5.7215,269,33.1,156
PLK2,-3.9657,198,32.35,157
PAK1,-3.4927,171,32.11,158
DYRK4,-2.8999,135,32.11,158
CDK3,-5.2841,257,31.59,160
CDK13,-2.0697,84,31.16,161
MARK2,-4.175,208,30.68,162
DYRK1A,-2.9831,141,30.61,163
PRKD3,-3.626,178,30.48,164
CDK12,-3.3222,159,30.47,165
IKKB,-2.5829,118,29.5,166
PASK,-3.634,180,28.93,167
MAPKAPK5,-4.4172,224,28.66,168
CAMK1A,-5.6375,265,28.21,169
SGK1,-4.4348,226,28.17,170
MARK1,-4.7135,237,27.79,171
CK2A2,-5.3719,260,27.56,172
PLK3,-3.3945,161,27.43,173
PAK5,-6.1315,285,27.36,174
TGFBR1,-2.1694,91,27.28,175
CLK3,-2.3718,104,26.5,176
DYRK2,-2.92,137,26.24,177
SGK3,-4.1373,206,26.01,178
MST1,-4.2169,211,25.72,179
CDKL1,-1.6189,58,25.07,180
OSR1,-5.599,264,24.85,181
GCK,-4.2477,215,24.81,182
ACVR2A,-2.8687,133,24.75,183
PKCE,-5.4776,261,24.71,184
TSSK1,-4.0499,201,24.17,185
NEK6,-3.4472,168,24.17,185
BRSK2,-5.315,258,23.72,187
ULK2,-3.4635,170,23.7,188
SBK,-4.6599,234,23.41,189
CDK2,-3.7587,188,23.4,190
PDHK1,-1.8864,71,23.03,191
MST2,-4.7348,238,22.9,192
RSK3,-3.9034,195,22.77,193
AMPKA1,-3.7056,186,22.44,194
CDK17,-4.3713,219,22.4,195
GRK1,-2.1461,89,22.39,196
NUAK2,-3.1075,147,22.14,197
WNK2,-3.0723,146,22.08,198
BMPR1B,-2.7337,128,22.02,199
YSK4,-3.3951,162,21.89,200
PIM3,-2.7573,129,21.25,201
