index,Score,Score Rank,Percentile,Percentile Rank
CAMK2G,2.7342,2,98.63,1
MSK1,2.7868,1,94.8,2
AURC,2.4146,5,94.45,3
AURA,2.1342,7,94.33,4
CAMK2A,2.6232,3,93.91,5
PRKX,2.2274,6,93.24,6
AURB,1.7657,12,93.1,7
CK2A1,2.4883,4,93.07,8
HUNK,0.4415,29,92.68,9
PKACB,1.9631,9,92.36,10
CK2A2,2.0209,8,91.77,11
MSK2,1.7138,13,91.55,12
CAMK1D,1.7725,11,90.92,13
PKACA,1.3551,15,90.79,14
LKB1,-0.2751,49,90.75,15
DAPK1,0.8481,22,90.28,16
CAMK2B,1.9089,10,90.18,17
GSK3B,1.1835,17,89.55,18
CDC7,0.7804,25,89.1,19
CAMK1B,1.4352,14,88.66,20
MYLK4,0.842,23,88.27,21
CAMK2D,0.9557,20,87.95,22
DAPK3,0.0773,37,87.81,23
DAPK2,1.0078,18,87.31,24
PLK3,0.5568,28,86.73,25
GRK1,0.5954,27,85.93,26
GRK6,0.9367,21,85.7,27
CAMLCK,0.9906,19,85.48,28
CAMKK1,-1.2277,94,84.75,29
LATS2,0.2523,31,84.66,30
MOS,0.8256,24,84.13,31
CAMK4,-0.0755,41,83.84,32
ALK2,0.1623,35,83.62,33
CAMK1G,-0.3641,51,83.25,34
LATS1,0.7625,26,82.8,35
PKACG,0.0175,39,82.8,35
CAMK1A,-0.6319,68,82.29,37
PAK1,-0.1277,46,81.87,38
CAMKK2,-2.0254,135,81.85,39
PAK4,-1.5083,109,81.65,40
SMMLCK,-0.6429,69,81.32,41
PAK2,-0.5577,60,80.8,42
SKMLCK,-0.5764,63,80.67,43
PLK2,-0.3841,53,80.36,44
YANK3,0.163,34,80.28,45
TSSK4,0.2088,32,80.01,46
HASPIN,-1.9475,129,80.01,46
PDHK4,-0.0809,42,79.77,48
PAK6,-1.0023,78,79.34,49
MEK2,-2.4456,153,79.25,50
BRSK1,-1.0221,79,79.19,51
NDR2,0.1218,36,78.93,52
PRKD2,-0.0291,40,78.69,53
PKG1,-2.387,147,78.51,54
PAK5,-1.7062,119,78.47,55
PIM1,0.207,33,78.46,56
TSSK2,-0.2201,47,78.4,57
RSK2,0.045,38,78.24,58
MEK1,-1.0407,81,76.72,59
DMPK1,-1.9163,126,76.6,60
RSK4,-0.5698,61,76.3,61
MAPKAPK2,-0.3848,54,74.82,62
GRK5,-0.0962,45,74.78,63
QSK,-1.1585,89,73.99,64
MNK2,-0.6193,67,73.9,65
PKG2,-1.4386,105,73.76,66
MAPKAPK5,-1.5407,111,73.26,67
MNK1,-1.2294,95,73.14,68
WNK2,-0.464,58,73.04,69
NDR1,-0.7919,73,72.74,70
PAK3,-1.1241,87,72.28,71
MARK4,-0.8976,76,72.07,72
SSTK,-1.6477,115,71.9,73
P70S6KB,-0.5964,65,71.63,74
MRCKA,-1.8572,123,71.58,75
MRCKB,-1.9415,128,71.51,76
GSK3A,1.3193,16,71.0,77
NIK,-0.0897,44,71.0,77
MARK1,-1.8364,122,70.84,79
