index,Score,Score Rank,Percentile,Percentile Rank
NIM1,2.3366,2,98.75,1
PKCB,2.1761,3,97.06,2
HUNK,0.9441,19,95.86,3
MPSK1,1.7528,7,95.68,4
COT,1.9592,6,95.1,5
MARK4,1.5533,9,94.95,6
PRPK,0.5515,26,94.58,7
QIK,1.3851,10,94.5,8
QSK,1.5844,8,94.19,9
PKCG,1.3236,12,94.01,10
LATS1,2.0918,4,93.77,11
PKCA,1.342,11,93.49,12
PKCZ,1.2917,14,93.38,13
TSSK4,1.9735,5,93.35,14
MARK3,0.8417,22,92.63,15
TNIK,-0.2525,66,92.2,16
MST3,0.1638,42,91.26,17
AMPKA1,1.2687,15,90.76,18
HASPIN,-0.6308,90,90.73,19
AMPKA2,1.3101,13,90.39,20
ULK2,0.212,41,90.29,21
PLK4,-0.6077,88,90.14,22
TSSK1,1.0166,17,89.62,23
MST1,-0.5651,86,89.49,24
NDR2,1.2442,16,89.4,25
PKCD,0.8078,23,89.14,26
TSSK2,0.8732,21,89.0,27
PKCE,0.1614,43,88.72,28
MNK2,0.9133,20,88.72,28
MARK1,0.111,48,88.68,30
NEK2,0.3591,36,88.43,31
MLK2,0.272,37,88.35,32
PKCH,0.1571,44,88.13,33
SIK,0.4544,30,87.93,34
IRE1,-0.0246,52,87.75,35
SSTK,0.1301,46,87.53,36
BCKDK,-0.3557,69,87.51,37
CHAK2,0.2583,38,87.39,38
PAK6,0.1494,45,87.34,39
DCAMKL1,0.998,18,87.25,40
GSK3A,2.3704,1,86.98,41
NEK6,0.1134,47,86.17,42
PKCT,-0.1714,60,86.08,43
NUAK2,0.6971,25,85.92,44
CDC7,0.4439,33,85.9,45
WNK2,0.449,32,85.56,46
PRKX,0.2415,39,85.21,47
STK33,-0.8886,108,85.02,48
MYO3B,-2.0359,181,84.56,49
BUB1,-0.4541,78,84.55,50
BRSK1,-0.4027,73,84.22,51
RSK3,0.3827,35,84.05,52
RSK2,0.7558,24,83.95,53
MARK2,-0.5269,83,83.13,54
YSK1,-1.8045,159,83.07,55
MST4,-0.033,53,82.78,56
TAO3,-0.5533,85,82.6,57
TSSK3,-0.0591,54,82.35,58
LRRK2,-1.4628,138,82.17,59
MEKK2,-0.9828,112,82.02,60
PAK1,-0.1712,59,81.45,61
NDR1,-0.023,51,81.39,62
LATS2,-0.0876,56,81.27,63
MLK3,-0.613,89,81.05,64
PRKD1,0.5367,27,81.03,65
HGK,-1.5434,141,81.01,66
PKN2,-0.2493,65,80.97,67
EEF2K,-1.6834,151,80.75,68
PIM3,0.4529,31,80.34,69
WNK1,0.0618,50,80.27,70
MLK1,-0.4621,79,80.11,71
PAK4,-1.7777,158,79.82,72
CHAK1,-0.6613,92,79.63,73
PKR,-0.7496,102,79.35,74
GRK4,0.0837,49,79.34,75
MNK1,-0.6744,94,79.16,76
IRAK4,-0.727,100,79.01,77
MYO3A,-2.8473,237,78.98,78
NEK9,-0.3747,71,78.76,79
NEK1,-1.7539,157,78.76,79
PKACG,-0.4901,81,78.71,81
PKCI,-1.1006,118,78.5,82
PKACB,-0.7181,99,78.3,83
MELK,-0.4405,77,78.29,84
RSK4,-0.3573,70,78.14,85
SGK3,-0.4036,74,77.77,86
PAK3,-0.709,97,77.13,87
MTOR,0.5313,29,76.92,88
PRKD2,-0.2445,63,76.72,89
MAPKAPK2,-0.2161,62,76.53,90
FAM20C,-1.3636,133,76.25,91
PAK5,-1.9995,176,76.14,92
MINK,-2.2081,200,76.01,93
P90RSK,-0.2838,67,75.57,94
BRSK2,-1.5233,139,75.56,95
NUAK1,-1.1131,121,75.47,96
CAMKK1,-1.8641,165,74.63,97
PKN3,0.232,40,74.5,98
AKT3,-1.9036,169,74.4,99
PKG2,-1.4099,134,74.08,100
NEK5,-1.241,129,74.02,101
ULK1,-1.6099,144,73.95,102
DCAMKL2,-1.0117,113,73.94,103
SRPK1,0.5326,28,73.16,104
ZAK,-1.7084,153,72.92,105
CK2A1,-2.0897,186,72.64,106
CK1E,-0.1851,61,72.52,107
TTBK2,-0.8395,105,72.07,108
AURC,-1.5725,143,71.96,109
CK2A2,-2.0681,184,71.82,110
PKACA,-2.1241,191,71.8,111
GRK5,-0.2928,68,71.77,112
MLK4,-1.7353,155,71.75,113
NEK7,-1.0959,117,71.59,114
CAMK2A,-0.1203,58,71.55,115
