index,Score,Score Rank,Percentile,Percentile Rank
JNK1,4.973,2,95.45,1
DYRK1B,4.5854,4,94.71,2
JNK2,4.9053,3,94.66,3
ERK5,2.7667,15,94.43,4
P38D,4.9807,1,93.23,5
GSK3B,1.4047,34,93.21,6
CDK7,3.9977,9,92.66,7
ERK2,3.6828,10,92.64,8
JNK3,4.098,5,91.88,9
P38B,4.0642,8,91.29,10
ERK1,4.0754,7,91.27,11
CDK9,3.3873,12,91.17,12
SBK,2.435,21,90.98,13
P38A,3.5983,11,90.2,14
CDK8,3.3599,13,89.7,15
MTOR,1.2931,35,89.19,16
SMG1,0.1445,48,88.31,17
CDK19,3.1645,14,88.01,18
NUAK2,0.9334,41,87.97,19
P38G,4.0869,6,86.41,20
ERK7,0.4638,46,85.14,21
CLK4,1.5861,30,85.12,22
GSK3A,2.1822,23,84.6,23
NLK,2.1579,25,84.57,24
CDK12,2.6894,19,84.46,25
MOK,1.6668,29,83.69,26
HIPK4,2.1617,24,83.56,27
HIPK1,2.754,17,83.56,27
DYRK2,2.7061,18,83.53,29
PAK6,-0.4709,65,83.45,30
HIPK2,2.7651,16,83.05,31
CK2A1,-0.432,63,83.02,32
DYRK4,2.6705,20,82.7,33
PRP4,0.9526,40,81.1,34
CDK4,2.0599,26,81.05,35
DYRK3,1.4901,32,81.0,36
CK2A2,-0.7976,76,80.45,37
CDK10,1.2712,36,79.9,38
CDKL2,0.5024,45,79.34,39
CLK1,0.8244,42,79.27,40
CDK13,2.2437,22,79.15,41
ALK1,-0.0638,51,78.81,42
CDK2,1.2514,37,78.81,42
NUAK1,-0.9263,79,77.54,44
DYRK1A,1.4266,33,77.4,45
MAK,1.0433,39,77.35,46
CDC7,-0.1993,55,76.92,47
AMPKA2,-0.3973,61,76.73,48
BRSK1,-1.3049,99,76.6,49
CDK17,2.0019,27,76.39,50
CDK1,1.8467,28,75.86,51
PDHK1,-0.4649,64,75.43,52
CDK14,1.2301,38,75.17,53
ICK,-0.1323,53,74.98,54
HIPK3,1.5064,31,74.92,55
DNAPK,-0.6215,70,73.55,56
MARK2,-1.4678,109,73.49,57
AMPKA1,-0.6077,69,73.16,58
WNK3,-0.7597,75,73.12,59
SGK1,-1.4196,106,72.12,60
PAK5,-2.4542,156,72.06,61
CDK6,0.6838,44,71.92,62
PAK4,-2.7105,175,71.89,63
PBK,-2.5893,170,71.26,64
PDHK4,-0.3161,59,71.1,65
LATS2,-0.965,84,70.75,66
CDK18,0.723,43,70.73,67
MST4,-0.9401,80,70.59,68
CDKL1,0.1033,49,70.52,69
PINK1,-0.5198,67,70.3,70
IKKA,-0.943,81,70.15,71
QSK,-1.4966,111,69.9,72
CDK3,-0.4186,62,69.57,73
CRIK,-2.5673,167,69.53,74
CDK16,0.164,47,69.5,75
P70S6K,-1.9496,124,69.49,76
TSSK1,-1.0244,89,69.15,77
AKT2,-1.4547,108,69.1,78
ALK2,-1.0964,90,69.08,79
KIS,-0.1567,54,68.0,80
CAMK1B,-0.2229,56,67.36,81
CLK2,0.0265,50,66.57,82
P70S6KB,-1.004,86,66.37,83
CLK3,-0.1039,52,66.16,84
MARK1,-2.2298,142,65.86,85
BRSK2,-2.3617,151,65.55,86
GAK,-2.4109,155,65.48,87
CDKL5,-0.2728,57,65.39,88
CHK1,-1.0067,87,65.22,89
ULK3,-2.3789,153,64.86,90
PKG1,-4.1399,231,64.85,91
GRK7,-2.1175,135,64.8,92
NDR2,-0.9464,82,64.71,93
RSK2,-1.0973,91,64.59,94
MRCKB,-2.5705,168,64.49,95
CDK5,-0.4787,66,64.45,96
SRPK1,-0.3,58,63.43,97
BMPR1A,-1.8771,122,63.39,98
IKKB,-0.8368,77,63.38,99
PKACA,-3.0431,188,63.27,100
PKACB,-2.369,152,63.23,101
PRKX,-2.7379,179,62.97,102
TSSK3,-2.2241,141,62.96,103
RSK4,-1.8194,119,62.44,104
MAPKAPK2,-1.4822,110,62.05,105
PIM2,-1.7053,116,61.95,106
BUB1,-2.5344,162,61.81,107
CHK2,-2.7864,181,61.55,108
SIK,-2.3997,154,61.39,109
CK1G3,-1.4544,107,61.34,110
MARK3,-2.5975,172,60.92,111
GRK6,-0.6969,72,60.86,112
ALK7,-0.5838,68,60.18,113
LKB1,-2.1782,139,60.01,114
MYLK4,-2.3487,150,59.85,115
PRKD3,-1.8272,120,59.55,116
P90RSK,-1.3521,102,59.42,117
RSK3,-1.8638,121,58.63,118
CAMK1D,-2.5359,163,58.59,119
AKT1,-2.7204,176,58.55,120
PRKD1,-1.2976,98,57.72,121
AKT3,-3.5573,210,57.64,122
SRPK2,-1.3749,104,57.13,123
AURC,-2.7827,180,56.78,124
BCKDK,-2.184,140,56.71,125
PKG2,-2.8723,184,56.43,126
CAMK1A,-3.5427,209,56.23,127
DMPK1,-3.7124,214,55.68,128
CAMLCK,-0.8926,78,55.54,129
BMPR1B,-1.352,101,55.54,129
SRPK3,-1.3808,105,55.37,131
CAMK2A,-1.2615,97,54.87,132
QIK,-2.457,157,54.58,133
SSTK,-3.1042,189,54.41,134
PAK2,-2.4789,158,54.01,135
ATM,-1.5236,112,53.8,136
MRCKA,-3.315,197,53.62,137
GRK5,-1.2119,95,53.36,138
WNK1,-1.639,115,53.17,139
HUNK,-1.9693,125,53.14,140
PRKD2,-2.1763,138,53.07,141
TGFBR1,-1.1711,92,52.94,142
WNK4,-2.3008,148,52.42,143
CAMK2G,-1.0122,88,51.86,144
AURA,-3.1822,192,50.8,145
SGK3,-2.5822,169,50.18,146
SLK,-3.4624,206,50.07,147
CAMK2D,-1.7248,117,50.06,148
MPSK1,-2.2393,144,50.0,149
CK1A2,-0.714,73,49.56,150
MARK4,-2.1268,137,49.08,151
ACVR2B,-2.0077,130,48.4,152
PAK1,-2.5638,166,48.3,153
GRK1,-1.1813,94,48.26,154
AURB,-3.4607,205,47.85,155
PAK3,-2.7237,177,47.85,155
PHKG2,-4.5688,247,47.33,157
CK1D,-2.5462,165,47.15,158
MAPKAPK5,-3.2968,196,46.78,159
CAMK2B,-2.1149,134,46.59,160
CK1A,-1.5919,114,46.23,161
DCAMKL1,-2.2556,145,46.13,162
CK1G1,-2.2684,146,45.5,163
MNK2,-2.5105,160,45.47,164
RIPK1,-2.3284,149,45.35,165
ALK4,-1.3083,100,45.03,166
MAPKAPK3,-2.4974,159,44.71,167
CAMK1G,-3.5154,208,44.66,168
RAF1,-1.3689,103,44.4,169
PKACG,-3.1205,190,44.38,170
DCAMKL2,-2.73,178,44.34,171
MELK,-2.9942,187,43.96,172
DAPK1,-3.5029,207,43.93,173
NDR1,-2.5916,171,43.75,174
HPK1,-3.6946,213,43.74,175
ACVR2A,-2.1071,132,43.4,176
BRAF,-2.5233,161,43.35,177
WNK2,-1.9826,127,43.18,178
PIM1,-1.9911,128,42.64,179
TSSK4,-2.2968,147,42.46,180
GRK3,-1.5848,113,42.22,181
TAO1,-4.7399,253,42.17,182
MNK1,-3.4432,204,42.16,183
NIK,-0.9564,83,42.12,184
CAMK4,-3.3224,198,41.39,185
PKN1,-4.6593,249,41.22,186
KHS2,-4.1359,230,40.66,187
AAK1,-5.6548,290,39.46,188
BIKE,-4.8079,254,39.44,189
DAPK2,-1.2569,96,39.4,190
GRK4,-1.8823,123,39.21,191
NIM1,-2.8538,183,38.94,192
PRPK,-0.3616,60,38.93,193
TAO2,-3.2327,193,38.18,194
TSSK2,-2.9451,185,38.13,195
LATS1,-1.9931,129,38.03,196
ROCK1,-5.1967,274,37.69,197
LOK,-4.0545,227,37.53,198
RIPK2,-4.8937,258,37.3,199
MOS,-0.7183,74,37.12,200
TLK2,-2.543,164,37.11,201
SMMLCK,-3.2778,195,36.72,202
MST3,-3.2673,194,36.16,203
HASPIN,-4.8084,255,35.59,204
LRRK2,-3.5949,211,35.36,205
MSK2,-3.4296,201,35.05,206
SKMLCK,-4.1132,229,34.53,207
PKN2,-3.3489,199,34.13,208
PKCI,-4.4383,240,33.97,209
PHKG1,-4.1573,232,33.38,210
PIM3,-2.1186,136,33.25,211
IRAK1,-4.3249,237,32.68,212
DLK,-1.7359,118,32.58,213
TAO3,-2.9802,186,32.35,214
ATR,-0.989,85,32.12,215
PDK1,-3.1454,191,32.03,216
GRK2,-1.1807,93,31.89,217
MASTL,-2.0104,131,31.85,218
PKCE,-4.8827,257,31.66,219
BMPR2,-0.6901,71,31.28,220
MSK1,-3.9447,223,30.75,221
SNRK,-5.2053,277,30.14,222
FAM20C,-4.913,259,30.05,223
GCK,-4.0075,225,29.3,224
ROCK2,-5.0268,266,28.52,225
CAMKK2,-4.7346,252,28.47,226
DAPK3,-4.3711,238,27.85,227
PKR,-2.6204,173,27.26,228
NEK3,-5.0149,264,26.84,229
TAK1,-4.8616,256,26.38,230
NEK11,-3.8266,218,26.27,231
YSK1,-5.4885,285,26.2,232
TBK1,-2.8362,182,25.52,233
KHS1,-4.9234,260,25.11,234
NEK2,-3.8355,220,24.61,235
PKN3,-1.9799,126,23.38,236
PKCD,-3.6444,212,21.84,237
MEK1,-2.2375,143,21.68,238
TTBK2,-3.8016,217,21.64,239
STK33,-5.1318,271,20.54,240
PKCH,-5.036,267,20.14,241
TTBK1,-5.6182,288,19.98,242
CK1E,-2.1087,133,19.91,243
PKCG,-5.0201,265,19.84,244
PLK4,-5.7793,292,19.68,245
IKKE,-3.4427,203,19.66,246
MEKK6,-5.9266,295,19.57,247
RIPK3,-4.4569,241,18.49,248
PASK,-4.2372,234,18.07,249
PKCT,-6.0697,298,18.06,250
PKCA,-4.9236,261,17.82,251
HGK,-5.0416,268,17.31,252
STLK3,-7.5047,308,17.28,253
MINK,-5.5452,286,17.22,254
MYO3A,-6.9627,307,16.69,255
PKCB,-5.2889,283,16.63,256
PLK2,-5.2025,276,15.92,257
TGFBR2,-3.871,221,15.76,258
ASK1,-6.2552,301,15.69,259
TNIK,-5.2016,275,15.37,260
PERK,-4.1607,233,15.36,261
PLK3,-4.2759,236,14.87,262
CAMKK1,-5.2559,279,14.66,263
ALPHAK3,-5.8356,293,14.52,264
MAP3K15,-5.2583,280,14.36,265
NEK9,-3.7611,215,14.2,266
MEK5,-3.4346,202,13.89,267
ULK1,-4.9619,262,13.81,268
IRE1,-5.1429,272,13.71,269
PLK1,-3.9571,224,13.25,270
IRAK4,-5.8985,294,13.13,271
PKCZ,-5.415,284,12.26,272
MLK1,-3.7753,216,12.04,273
DSTYK,-4.51,244,11.58,274
DRAK1,-3.8842,222,11.55,275
NEK7,-4.5853,248,11.52,276
YANK3,-2.6776,174,11.42,277
MEKK3,-4.0091,226,11.34,278
VRK2,-3.4216,200,10.64,279
EEF2K,-5.6535,289,10.39,280
ULK2,-4.4639,242,10.36,281
CHAK1,-6.0123,297,10.19,282
GCN2,-5.047,269,10.19,282
MYO3B,-7.7609,309,9.69,284
HRI,-4.4733,243,9.67,285
OSR1,-6.9138,306,9.43,286
NEK4,-6.1824,299,9.16,287
YSK4,-4.065,228,9.03,288
MEKK2,-4.3807,239,8.92,289
TLK1,-5.1258,270,8.04,290
NEK1,-6.6034,303,7.94,291
NEK8,-5.5573,287,7.32,292
MEKK1,-4.529,245,7.08,293
MLK3,-4.7214,251,6.99,294
NEK6,-4.9795,263,6.95,295
MEK2,-5.7091,291,6.73,296
NEK5,-5.2788,282,6.38,297
MLK2,-4.2638,235,5.43,298
COT,-3.8349,219,4.95,299
CHAK2,-4.6667,250,4.8,300
MST1,-6.0062,296,4.71,301
VRK1,-6.5762,302,4.35,302
ZAK,-5.2351,278,4.18,303
YANK2,-5.1938,273,4.02,304
MST2,-6.244,300,3.96,305
IRE2,-6.7081,304,3.84,306
MLK4,-6.8994,305,2.24,307
ANKRD3,-4.5424,246,1.45,308
CK1G2,-5.2614,281,1.09,309
TTK,-9.7426,310,0.58,310
