Score,Score Rank,Percentile,Percentile Rank
5.0232,1,99.86,1
3.5106,4,99.7,2
4.4704,3,99.61,3
4.6098,2,97.69,4
1.4653,8,96.82,5
1.4885,7,96.4,6
0.5978,24,95.49,7
0.8189,17,95.22,8
0.5036,30,93.07,9
1.0868,10,92.65,10
-0.6878,66,90.14,11
0.7091,19,90.04,12
0.5559,26,89.86,13
1.1904,9,88.65,14
0.6816,21,88.25,15
0.811,18,87.56,16
0.6082,22,86.85,17
1.001,12,86.75,18
0.8956,16,86.66,19
0.5725,25,86.4,20
0.5337,27,85.42,21
-0.2052,46,84.57,22
0.9666,14,84.49,23
-0.3703,54,84.44,24
1.0641,11,84.44,24
0.2985,35,83.84,26
0.0319,44,82.28,27
1.6642,6,81.87,28
-0.863,75,81.15,29
0.9705,13,81.14,30
-0.9425,82,80.87,31
-0.8938,78,80.81,32
0.1587,38,80.39,33
1.8481,5,79.84,34
-0.455,58,79.76,35
0.6044,23,77.85,36
0.1566,39,77.45,37
-1.1214,89,77.38,38
0.3236,34,76.09,39
-0.2897,50,75.98,40
-0.7609,70,75.89,41
0.0621,42,75.87,42
-0.3089,51,75.18,43
0.1646,37,75.11,44
-0.5504,61,74.8,45
-1.9563,130,74.6,46
-0.5172,60,73.89,47
0.061,43,73.81,48
-0.7868,72,73.49,49
-1.2147,93,73.38,50
-0.6157,64,73.26,51
-0.8279,74,72.83,52
-1.364,106,72.81,53
0.9028,15,72.15,54
0.5276,28,71.52,55
-0.2346,47,71.19,56
-1.3632,104,70.77,57
0.088,41,70.69,58
-0.0409,45,70.61,59
-1.2657,98,70.0,60
-1.312,101,69.93,61
-1.7544,118,69.57,62
-1.2116,92,69.57,62
-0.8934,77,69.25,64
-0.4227,57,69.11,65
-0.3605,53,68.96,66
-1.4348,108,67.31,67
0.7071,20,67.24,68
-2.7409,175,67.16,69
-2.1544,141,67.12,70
-0.5669,63,67.0,71
-2.2273,145,66.72,72
-1.2954,99,66.61,73
-0.7832,71,66.51,74
0.0984,40,66.06,75
0.5061,29,66.01,76
-1.7304,116,65.72,77
0.3991,31,65.65,78
-0.2866,48,65.54,79
-1.0283,85,65.49,80
-0.894,79,65.09,81
-1.9916,131,65.09,81
0.3927,33,64.99,83
-0.4199,56,64.8,84
-2.5721,161,64.59,85
-0.8974,80,64.58,86
-1.3638,105,64.55,87
-1.9448,126,64.5,88
-0.3502,52,64.42,89
-2.4182,151,64.0,90
-2.9673,188,63.71,91
-1.7384,117,63.52,92
-2.2507,147,63.36,93
0.3988,32,63.06,94
-0.5605,62,62.82,95
-0.8888,76,62.76,96
-1.3035,100,62.64,97
-0.7135,67,62.23,98
-0.738,69,62.04,99
-2.6437,162,61.83,100
-1.0516,86,61.72,101
-0.2896,49,61.33,102
-1.3139,102,61.19,103
-1.7221,115,60.82,104
-0.717,68,60.73,105
-1.5361,109,60.42,106
-0.5032,59,60.37,107
-3.1709,196,60.24,108
-1.7848,119,58.65,109
-1.6215,110,58.03,110
-3.3313,202,57.13,111
-1.6643,112,56.96,112
-2.3027,149,56.87,113
-1.0169,84,56.83,114
-1.0898,88,56.75,115
-0.4175,55,56.73,116
-2.9725,189,56.53,117
-1.2241,95,56.35,118
-2.6957,170,56.29,119
-0.6685,65,56.28,120
-0.9056,81,55.8,121
-3.5654,211,55.43,122
-1.9535,129,55.01,123
-1.6429,111,54.7,124
-1.066,87,54.54,125
-4.5516,256,54.28,126
-1.8737,120,54.24,127
-2.0005,132,54.03,128
-2.2179,144,53.98,129
-2.115,139,53.97,130
-2.4456,152,53.45,131
0.1734,36,53.36,132
-1.1453,90,53.29,133
-1.8989,123,53.18,134
-2.7023,171,53.1,135
-1.951,128,52.96,136
-1.2488,96,52.95,137
-3.1753,198,52.83,138
-2.907,184,52.73,139
-2.5493,159,52.44,140
-2.6741,167,52.23,141
-3.0597,191,52.2,142
-2.7533,176,52.09,143
-2.5049,157,52.05,144
-1.8906,122,51.82,145
-1.2494,97,51.77,146
-0.995,83,51.39,147
-3.0952,194,50.88,148
-2.7686,178,50.04,149
-1.415,107,49.94,150
-1.2085,91,49.64,151
-3.2137,199,49.4,152
-2.1427,140,48.14,153
-4.2205,243,48.01,154
-3.5606,210,47.9,155
-1.9074,124,47.81,156
-1.9457,127,47.61,157
-2.6439,163,47.46,158
-2.0924,137,46.35,159
-2.4919,156,46.33,160
-2.685,169,46.1,161
-1.3277,103,45.84,162
-2.0547,134,45.8,163
-3.8432,224,45.78,164
-0.8266,73,45.54,165
-3.8608,225,45.52,166
-2.1069,138,45.5,167
-2.4502,153,45.46,168
-2.6776,168,44.96,169
-2.0033,133,44.42,170
-1.722,114,44.39,171
-5.3582,275,44.34,172
-1.9229,125,44.01,173
-3.8758,227,43.54,174
-2.1746,142,43.24,175
-2.6633,166,43.04,176
-3.0979,195,42.83,177
-4.6594,261,42.68,178
-3.8822,228,42.26,179
-2.6444,164,42.16,180
-2.2172,143,42.0,181
-2.805,181,41.42,182
-4.5216,254,40.25,183
-3.8097,220,39.75,184
-2.7625,177,39.66,185
-2.7344,172,39.45,186
-2.6601,165,39.09,187
-3.074,193,38.86,188
-3.5467,208,38.82,189
-2.4881,155,38.62,190
-2.915,185,38.43,191
-3.8177,222,37.77,192
-4.0015,233,36.72,193
-2.4806,154,36.72,193
-2.8726,182,36.59,195
-2.7851,180,36.15,196
-3.6207,214,36.02,197
-4.1209,236,36.0,198
-2.2626,148,35.32,199
-5.4434,278,35.32,199
-4.3365,249,35.25,201
-2.9244,186,35.21,202
-4.0506,234,35.12,203
-1.8901,121,34.97,204
