index,Score,Score Rank,Percentile,Percentile Rank
HIPK3,5.1595,2,97.27,1
P38A,4.9245,3,96.07,2
P38D,5.4897,1,95.32,3
CDK8,4.3896,5,95.14,4
ERK5,2.7209,26,94.07,5
NLK,3.0373,23,93.9,6
CDK7,4.1642,6,93.51,7
ERK2,3.8147,9,93.48,8
P38B,4.4641,4,93.22,9
CDK9,3.6985,10,93.2,10
CDK19,3.9306,8,92.35,11
KIS,3.5886,13,92.32,12
ULK3,0.1411,48,92.1,13
ERK1,4.158,7,91.7,14
CDK12,3.6745,12,91.38,15
NUAK2,1.3445,37,90.87,16
DYRK1A,3.2241,18,90.59,17
HIPK1,3.6828,11,89.9,18
DYRK1B,3.432,14,89.04,19
HIPK4,2.9191,25,88.87,20
CDK13,3.089,21,88.02,21
SMG1,0.0686,50,87.99,22
PDHK1,0.089,49,87.24,23
BUB1,-0.1426,52,86.92,24
DYRK4,3.29,17,86.73,25
CDK17,3.3672,15,85.46,26
CDK18,3.1857,19,85.16,27
PRP4,1.3127,38,85.14,28
HIPK2,3.0801,22,85.0,29
SBK,0.7584,43,84.83,30
AAK1,-2.1058,106,84.33,31
GSK3B,0.9353,41,83.72,32
CDK16,2.6731,27,83.44,33
JNK2,3.361,16,83.33,34
DYRK2,2.6418,28,82.99,35
NUAK1,-0.3868,55,82.65,36
ERK7,0.2047,47,82.46,37
CDK14,2.2366,29,82.02,38
JNK1,2.9388,24,81.95,39
CDK10,1.5002,35,81.5,40
DYRK3,1.5311,34,81.39,41
CDK6,2.1181,30,81.26,42
BIKE,-2.4083,121,80.82,43
CDK4,1.9642,32,80.41,44
CDK2,1.3857,36,80.27,45
PRKD3,-0.0862,51,79.98,46
MOK,1.0223,40,78.56,47
P38G,3.157,20,78.41,48
CDK5,1.6587,33,76.93,49
MAK,0.7593,42,74.91,50
MAPKAPK5,-1.4105,82,74.87,51
CLK1,0.3674,46,74.79,52
JNK3,2.0766,31,74.69,53
CLK4,0.5089,45,74.6,54
IRAK1,-1.705,90,74.09,55
CDKL2,-0.1541,53,72.72,56
CHK2,-1.832,94,72.62,57
CDK1,1.26,39,71.99,58
DNAPK,-0.789,65,70.71,59
ICK,-0.7289,63,69.44,60
TSSK1,-1.0076,74,69.39,61
BMPR1A,-1.4242,83,69.29,62
ACVR2A,-0.9408,72,69.04,63
MARK2,-1.8645,97,68.6,64
NEK3,-2.3563,118,68.08,65
PRKD1,-0.6132,59,67.48,66
PINK1,-0.6837,62,67.28,67
CDKL5,-0.1971,54,66.51,68
BRSK2,-2.2986,113,66.34,69
CDK3,-1.1994,78,65.34,70
QIK,-1.8035,92,64.63,71
TGFBR2,-1.5262,86,63.49,72
QSK,-2.0183,102,62.81,73
SRPK3,-0.9312,71,62.3,74
CAMK1A,-3.0636,151,61.99,75
CAMK1B,-0.4536,57,61.56,76
CK1A2,-0.4045,56,60.26,77
CRIK,-3.4113,172,60.15,78
SIK,-2.5454,127,59.34,79
PKN1,-3.2918,168,59.18,80
CDC7,-0.9501,73,59.18,80
TGFBR1,-0.9217,70,59.11,82
MPSK1,-1.7486,91,58.94,83
BMPR1B,-1.2319,79,58.18,84
ACVR2B,-1.5948,87,57.61,85
CDKL1,-0.5034,58,56.99,86
CHK1,-1.4911,85,56.74,87
DAPK2,-0.8501,67,56.29,88
ALK1,-1.0565,75,55.88,89
GSK3A,0.5578,44,55.87,90
AKT2,-2.3837,120,55.84,91
PERK,-2.175,109,55.72,92
MEKK6,-4.0195,202,55.68,93
SMMLCK,-2.4667,125,55.43,94
MYLK4,-2.6107,133,55.42,95
SRPK1,-0.9106,69,55.27,96
MARK3,-2.975,144,55.02,97
MARK1,-3.0095,148,54.59,98
PRKD2,-2.0703,104,54.56,99
HRI,-2.1191,107,54.37,100
CLK3,-0.7861,64,54.3,101
RIPK2,-3.935,193,54.03,102
SSTK,-3.1338,158,54.03,102
BRSK1,-3.1206,156,53.79,104
P70S6K,-3.2044,163,53.08,105
PKG1,-5.4226,265,51.22,106
AMPKA1,-2.0109,101,50.85,107
LRRK2,-3.0171,149,50.75,108
AMPKA2,-2.273,111,50.59,109
WNK3,-2.0061,99,50.32,110
WNK4,-2.4448,124,49.88,111
WNK1,-1.8322,95,49.67,112
MELK,-2.6619,134,48.95,113
TTBK1,-3.5111,176,48.93,114
PHKG1,-3.1029,153,48.4,115
PDHK4,-0.8199,66,47.72,116
AKT3,-4.3279,218,47.49,117
ALK4,-1.2524,80,47.37,118
MST4,-2.3517,115,46.5,119
RIPK1,-2.2872,112,46.14,120
PKCI,-3.5792,179,45.78,121
ATM,-1.8579,96,45.77,122
MTOR,-0.8693,68,45.39,123
PHKG2,-4.7304,234,45.35,124
MAP3K15,-3.408,171,45.33,125
P90RSK,-2.0878,105,44.77,126
PAK6,-3.8533,190,44.67,127
HUNK,-2.3561,117,44.46,128
PDK1,-2.7017,136,44.37,129
ASK1,-5.0124,244,43.95,130
MARK4,-2.3828,119,43.83,131
TSSK2,-2.5886,132,43.54,132
MAPKAPK3,-2.5872,130,43.24,133
CAMLCK,-1.1791,77,43.11,134
DCAMKL2,-2.8232,138,42.42,135
CAMK2D,-2.1604,108,41.81,136
SGK1,-3.6919,184,41.48,137
PAK4,-5.2741,259,40.92,138
CAMK1G,-3.7403,185,40.87,139
GRK3,-1.6485,89,40.76,140
PAK5,-5.0808,247,40.47,141
SKMLCK,-3.7612,187,40.39,142
MEK2,-4.0277,204,40.34,143
AKT1,-3.9377,194,40.16,144
CK1G1,-2.5423,126,40.07,145
RSK3,-2.9069,141,39.63,146
CAMK1D,-3.8391,189,39.41,147
DMPK1,-4.7413,236,39.29,148
GAK,-3.2024,162,39.11,149
IRE1,-3.1231,157,38.93,150
MASTL,-1.8105,93,38.62,151
DAPK1,-3.7985,188,37.91,152
ALK2,-2.588,131,37.47,153
BCKDK,-2.9984,147,36.91,154
CK2A2,-4.8581,238,36.88,155
HASPIN,-4.7368,235,36.74,156
TLK2,-2.5618,128,36.69,157
GRK4,-2.0067,100,36.31,158
TAO1,-5.0991,248,35.96,159
CK1A,-2.0636,103,34.56,160
SRPK2,-2.8557,139,33.4,161
IKKA,-2.8906,140,33.23,162
BMPR2,-0.6661,60,33.03,163
PKG2,-4.4707,223,32.9,164
MNK2,-3.3755,170,31.73,165
HPK1,-4.3626,219,31.33,166
CK2A1,-5.2209,255,31.31,167
PBK,-5.516,270,30.76,168
TLK1,-3.6455,182,29.95,169
RSK2,-2.9297,142,29.87,170
CLK2,-3.1048,155,29.72,171
MST3,-3.6655,183,29.32,172
MAPKAPK2,-3.9246,192,29.07,173
SGK3,-3.9693,197,28.45,174
NEK7,-3.3573,169,27.99,175
TSSK4,-3.1776,160,27.89,176
MYO3A,-6.1399,293,27.6,177
CAMK4,-4.2065,210,27.36,178
ANKRD3,-2.5802,129,26.86,179
PLK4,-5.2575,256,26.73,180
NIM1,-3.5279,178,26.61,181
DAPK3,-4.4919,225,25.48,182
GRK2,-1.3471,81,25.41,183
PKN2,-3.9209,191,25.21,184
IRAK4,-4.595,231,25.01,185
YSK1,-5.5916,272,24.65,186
MEK5,-2.9804,145,24.55,187
TSSK3,-5.3874,264,24.14,188
PIM2,-3.7604,186,24.05,189
IKKE,-3.2304,165,23.72,190
