index,Score,Score Rank,Percentile,Percentile Rank
CDK16,4.7705,1,94.55,1
MTOR,1.7478,33,93.96,2
CDK3,2.5826,19,91.04,3
CLK1,2.3266,27,90.21,4
CLK4,2.326,28,90.04,5
PRPK,0.379,52,89.77,6
DNAPK,0.7905,49,89.73,7
CDK9,3.0727,7,88.96,8
CLK2,2.7476,13,88.57,9
GSK3A,2.4842,23,88.28,10
CDK10,2.5738,20,88.1,11
DYRK4,3.3295,4,86.98,12
DYRK1B,3.0821,6,86.88,13
CDK7,3.0527,8,86.63,14
CDK5,2.8228,12,86.47,15
FAM20C,0.1684,53,86.34,16
CLK3,1.4569,42,85.9,17
JNK2,3.6528,2,85.83,18
SRPK3,1.2563,45,85.38,19
JNK3,3.3464,3,85.37,20
SRPK2,1.2653,44,85.29,21
CDK4,2.6123,18,84.96,22
IRAK1,-0.9242,82,84.43,23
SRPK1,1.6697,38,84.22,24
P38A,2.8795,11,83.95,25
CDK14,2.4887,22,83.77,26
CDK17,3.1138,5,83.63,27
DYRK2,2.7102,14,83.57,28
CDK2,1.6972,35,83.56,29
MOK,1.6326,40,83.43,30
CDK8,2.5531,21,83.39,31
ERK2,2.433,25,82.66,32
CDK19,2.3536,26,82.62,33
HIPK2,2.68,16,82.51,34
CDK18,2.6997,15,82.18,35
CDK1,2.6397,17,82.02,36
JNK1,2.8918,10,81.57,37
DYRK3,1.5219,41,81.29,38
CAMLCK,0.5225,51,81.21,39
HIPK3,2.1937,32,81.07,40
MAPKAPK5,-0.8106,80,80.91,41
GSK3B,0.824,48,80.45,42
SBK,-0.0169,56,80.35,43
YANK2,-0.58,73,79.84,44
NIM1,-0.5901,74,79.81,45
HIPK1,2.2695,29,79.59,46
HASPIN,-2.0029,123,79.37,47
ERK1,2.4777,24,79.23,48
CDK13,2.2379,30,79.1,49
MYLK4,-0.6738,77,78.67,50
TSSK3,-0.5925,75,78.54,51
CDK6,1.7057,34,78.3,52
NLK,1.6444,39,78.21,53
WNK1,-0.1329,59,77.58,54
CDK12,1.6859,37,76.99,55
P38G,2.9504,9,76.95,56
DYRK1A,1.3621,43,76.76,57
PDHK4,-0.1724,61,76.71,58
KIS,1.0909,46,76.63,59
NUAK2,-0.1677,60,76.4,60
PINK1,-0.173,62,76.26,61
CK1E,-0.0549,57,75.79,62
ERK7,-0.397,70,75.08,63
P38B,2.2111,31,75.06,64
MASTL,-0.7138,78,74.92,65
P38D,1.6943,36,73.76,66
NEK11,-1.836,112,72.86,67
SKMLCK,-1.4947,96,72.41,68
HIPK4,0.9549,47,72.17,69
ERK5,0.7502,50,71.69,70
CDKL2,-0.2817,65,71.26,71
PRP4,0.0739,54,70.8,72
MARK3,-1.8783,116,70.58,73
BRSK1,-1.9,118,70.19,74
AKT2,-1.3774,94,70.01,75
ICK,-0.7455,79,69.27,76
WNK3,-0.9908,85,69.21,77
CAMK2G,-0.3363,68,69.12,78
CDKL1,0.0263,55,69.09,79
CDKL5,-0.0815,58,68.31,80
ALPHAK3,-2.7084,182,67.88,81
CAMK1B,-0.1994,63,67.86,82
QIK,-1.5959,100,67.68,83
CAMK2A,-0.4321,71,67.59,84
MEK5,-1.7033,104,67.21,85
BRSK2,-2.2352,139,67.14,86
ATM,-0.9683,84,66.04,87
BIKE,-3.6112,241,65.96,88
WNK4,-1.5145,97,65.83,89
MSK2,-1.779,107,65.77,90
HPK1,-2.5656,166,65.36,91
MAK,-0.3109,67,65.22,92
AAK1,-4.0171,257,65.05,93
SMMLCK,-2.0051,125,64.32,94
MARK1,-2.3475,147,64.29,95
PASK,-1.8251,111,64.08,96
TSSK4,-1.026,86,63.73,97
MARK2,-2.2144,138,63.6,98
TAO2,-2.2357,140,63.58,99
CK1A2,-0.3022,66,63.55,100
PKCE,-2.5555,164,63.22,101
NIK,-0.3684,69,63.02,102
DRAK1,-1.4679,95,62.73,103
CAMK1G,-2.3908,151,62.06,104
AKT3,-3.2029,220,61.86,105
SSTK,-2.5778,168,61.15,106
WNK2,-1.124,88,61.14,107
KHS2,-2.9822,201,60.7,108
MEKK3,-1.8454,114,60.59,109
CAMK1D,-2.4012,152,60.3,110
CAMK2D,-1.1612,90,60.19,111
ULK3,-2.7336,186,59.56,112
PKN1,-3.2786,222,59.37,113
MARK4,-1.6156,102,59.25,114
ASK1,-4.2986,267,59.23,115
PKCB,-2.2634,141,58.82,116
KHS1,-2.9768,200,58.59,117
PBK,-3.5535,239,58.57,118
PKN3,-0.5503,72,58.51,119
PIM1,-1.2027,91,58.27,120
PKCI,-2.7333,185,58.02,121
MST4,-1.7152,105,57.86,122
SGK1,-2.6948,180,57.75,123
LATS1,-0.9079,81,57.67,124
AKT1,-2.7958,187,57.48,125
MEKK6,-3.9336,252,57.27,126
CAMK1A,-3.5224,237,56.47,127
CHK2,-3.1628,214,56.39,128
P90RSK,-1.5356,98,56.0,129
PRKD3,-2.0816,128,55.63,130
MOS,-0.2482,64,55.51,131
MNK1,-2.5525,163,55.31,132
RIPK1,-1.8162,110,55.28,133
PHKG1,-2.6653,176,55.09,134
RIPK2,-3.8713,248,55.02,135
GCK,-2.8094,189,54.83,136
MAPKAPK3,-1.8558,115,54.72,137
RIPK3,-2.1883,136,54.66,138
SNRK,-3.5579,240,53.91,139
TAO3,-2.0397,126,53.6,140
NUAK1,-2.6258,170,53.39,141
MAP3K15,-3.0634,209,52.94,142
MNK2,-2.0519,127,52.93,143
MSK1,-2.6412,172,52.74,144
CAMK2B,-1.6952,103,52.67,145
SIK,-3.0114,204,52.5,146
MPSK1,-2.1516,134,51.61,147
LRRK2,-2.9872,202,51.54,148
ALK7,-0.9599,83,51.5,149
DAPK1,-3.1043,210,51.4,150
TAO1,-4.2209,263,51.39,151
DCAMKL2,-2.4109,154,50.72,152
P70S6KB,-1.9534,121,49.56,153
BMPR1A,-2.7074,181,49.5,154
IRE2,-2.6678,177,49.5,154
HUNK,-2.1392,133,49.34,156
PIM2,-2.4648,157,49.3,157
PKN2,-2.4897,158,48.68,158
DSTYK,-1.9539,122,48.16,159
MLK4,-3.0621,208,48.1,160
TSSK2,-2.2939,143,48.08,161
MEKK2,-2.4422,156,47.99,162
MST3,-2.6503,173,47.93,163
ZAK,-2.8379,192,47.84,164
PKCG,-3.0614,207,47.35,165
BMPR1B,-1.7181,106,47.14,166
TSSK1,-2.5078,160,47.13,167
BRAF,-2.3838,150,46.96,168
DCAMKL1,-2.2124,137,46.9,169
HGK,-3.3729,228,46.87,170
AMPKA2,-2.4999,159,46.86,171
PKCH,-3.2018,218,46.82,172
DMPK1,-4.2816,266,46.7,173
CK2A1,-4.3749,270,46.32,174
BCKDK,-2.6108,169,46.13,175
MELK,-2.8696,194,45.88,176
PKCT,-3.7378,244,45.67,177
DAPK2,-1.1216,87,45.48,178
NDR2,-2.1853,135,45.35,179
PKCZ,-2.6767,178,45.22,180
NEK3,-3.7394,245,45.18,181
SMG1,-1.8106,109,45.16,182
CHK1,-2.1081,131,44.85,183
QSK,-3.1433,212,44.72,184
NEK6,-2.3543,149,44.35,185
NDR1,-2.5584,165,44.34,186
DAPK3,-3.5484,238,44.27,187
PRKX,-4.2576,265,44.25,188
PKCD,-2.3511,148,44.16,189
PHKG2,-4.8212,283,44.14,190
TNIK,-3.5075,235,43.95,191
MST1,-3.3359,226,43.82,192
CRIK,-4.5991,276,43.6,193
PRKD2,-2.9333,197,42.19,194
MAPKAPK2,-2.9408,198,42.14,195
CK1G2,-2.3201,145,42.13,196
HRI,-2.659,175,42.02,197
IRE1,-2.9746,199,41.5,198
PKACA,-4.6861,279,41.02,199
CK2A2,-4.6323,277,40.79,200
PKACG,-3.3382,227,40.76,201
RSK3,-2.8645,193,40.39,202
GAK,-3.1773,216,40.18,203
STK33,-3.8514,247,39.85,204
MRCKB,-4.2235,264,39.68,205
MINK,-4.1955,262,39.67,206
PKCA,-3.2927,224,39.52,207
MLK1,-2.2908,142,39.08,208
CK1A,-1.8811,117,38.77,209
AMPKA1,-2.6873,179,38.77,209
CAMK4,-3.4814,232,38.7,211
MLK3,-2.7192,184,38.64,212
PDK1,-2.9052,195,38.63,213
YANK3,-1.5545,99,38.58,214
ALK2,-2.5515,162,38.33,215
PRKD1,-2.5774,167,38.3,216
BMPR2,-0.5989,76,38.14,217
RAF1,-1.6006,101,38.05,218
MLK2,-2.1016,130,38.01,219
COT,-1.2603,93,37.69,220
MYO3A,-5.5255,298,37.44,221
PLK3,-2.83,190,37.03,222
MEK1,-1.9186,119,36.53,223
NEK4,-3.9715,254,36.44,224
AURA,-4.0237,258,36.37,225
ROCK1,-5.3092,294,36.02,226
RSK4,-3.495,234,35.82,227
PKACB,-4.3317,269,35.67,228
PAK6,-4.4837,273,35.61,229
TBK1,-2.4323,155,35.52,230
CK1G1,-2.8331,191,34.5,231
CK1D,-3.3261,225,34.43,232
RSK2,-2.7112,183,34.19,233
NEK7,-3.0072,203,34.06,234
PAK4,-5.8509,304,33.52,235
P70S6K,-4.4231,272,33.36,236
ANKRD3,-2.3315,146,33.13,237
TLK1,-3.4731,231,33.11,238
LKB1,-3.4307,230,32.49,239
MRCKA,-4.6736,278,31.91,240
ROCK2,-4.8298,284,31.29,241
BUB1,-4.8056,282,31.18,242
AURC,-4.5088,274,30.85,243
GRK2,-1.2127,92,30.64,244
MYO3B,-5.7579,303,30.51,245
LATS2,-3.5143,236,30.49,246
ALK1,-1.9271,120,29.89,247
GRK6,-2.1389,132,29.68,248
ULK1,-3.8813,249,29.48,249
PAK2,-3.8483,246,29.44,250
SGK3,-3.9168,251,29.22,251
DLK,-1.8429,113,29.17,252
PKG1,-7.4109,309,28.67,253
MEKK1,-3.2025,219,28.51,254
PLK4,-5.1434,291,28.37,255
CDC7,-2.003,124,28.17,256
NEK5,-3.4915,233,28.05,257
IRAK4,-4.3848,271,27.45,258
LOK,-4.7496,281,27.34,259
PAK3,-4.0077,256,27.24,260
PKR,-2.6287,171,27.01,261
PAK5,-6.1961,306,26.56,262
PDHK1,-1.7882,108,26.32,263
IKKA,-3.2878,223,26.11,264
IKKE,-3.1311,211,25.93,265
CK1G3,-3.0345,205,25.74,266
NEK9,-3.0416,206,25.48,267
PAK1,-3.9075,250,25.46,268
PKG2,-5.026,288,25.45,269
PIM3,-2.5192,161,25.4,270
AURB,-4.8526,286,25.29,271
ATR,-1.1254,89,25.29,271
SLK,-4.9217,287,25.24,273
NEK1,-5.0459,290,24.72,274
IKKB,-2.9147,196,24.35,275
TGFBR1,-2.3195,144,23.72,276
TTK,-6.1802,305,23.35,277
YSK1,-5.7132,302,23.04,278
GRK4,-2.6514,174,22.49,279
PLK2,-4.6888,280,22.12,280
YSK4,-3.4038,229,21.7,281
NEK2,-4.1556,260,20.35,282
GCN2,-4.1187,259,20.18,283
ULK2,-3.6921,243,20.0,284
TGFBR2,-3.6457,242,19.25,285
ACVR2B,-3.2537,221,18.63,286
ACVR2A,-3.1576,213,18.59,287
NEK8,-4.595,275,18.4,288
MST2,-5.0326,289,17.68,289
VRK2,-3.1876,217,17.55,290
CAMKK2,-5.4406,297,17.4,291
GRK7,-5.242,293,17.2,292
GRK1,-2.406,153,16.7,293
ALK4,-2.0923,129,15.87,294
GRK5,-2.7959,188,15.39,295
TAK1,-5.5818,300,15.23,296
CHAK1,-5.353,295,14.47,297
EEF2K,-5.3905,296,13.84,298
OSR1,-6.4478,307,13.65,299
MEK2,-5.2243,292,13.26,300
VRK1,-5.6722,301,13.17,301
PERK,-4.3293,268,13.01,302
PLK1,-3.9785,255,12.97,303
TLK2,-3.9639,253,12.53,304
CAMKK1,-5.5604,299,11.62,305
TTBK1,-6.6466,308,10.53,306
GRK3,-3.1648,215,10.13,307
TTBK2,-4.8491,285,10.05,308
CHAK2,-4.1606,261,8.63,309
STLK3,-8.5272,310,5.42,310
