index,Score,Score Rank,Percentile,Percentile Rank
JNK1,4.6061,1,93.56,1
CDK8,3.906,7,93.0,2
ERK2,3.734,10,92.97,3
CDK19,3.8467,8,91.91,4
ERK5,2.3584,18,91.36,5
ERK1,4.0712,4,91.25,6
JNK3,4.0109,5,91.21,7
DYRK1B,3.8041,9,91.18,8
JNK2,4.3466,3,91.11,9
P38D,4.4912,2,90.79,10
GSK3B,1.2279,28,90.33,11
GSK3A,2.662,16,90.13,12
CDK9,3.1524,13,89.5,13
MTOR,1.3161,27,89.48,14
ALK1,0.8347,34,88.61,15
SMG1,0.141,50,88.3,16
P38B,3.5926,11,87.96,17
P38A,3.1588,12,86.6,18
PDHK4,0.1614,48,86.48,19
P38G,4.0069,6,85.68,20
NLK,2.2136,19,85.3,21
CDK2,1.8108,24,84.74,22
BMPR2,0.2154,45,84.51,23
CDK12,2.6713,15,84.32,24
LATS2,0.1991,46,84.18,25
CDK7,2.7033,14,84.14,26
CK2A2,-0.1597,59,84.08,27
CK2A1,-0.2374,63,84.03,28
ERK7,0.3546,40,84.02,29
PDHK1,-0.1571,58,82.68,30
TGFBR1,0.4578,37,82.02,31
ALK2,-0.0408,54,81.85,32
CDK13,2.4234,17,80.95,33
DNAPK,-0.1916,62,80.01,34
ATM,-0.181,61,79.97,35
PINK1,0.005,52,79.16,36
MAPKAPK5,-1.0855,91,78.4,37
DYRK4,2.06,21,78.39,38
SBK,-0.3262,65,78.19,39
CDK1,2.063,20,77.51,40
HIPK4,1.3906,26,76.77,41
CAMK2A,0.3155,43,76.65,42
DYRK2,1.8664,23,76.53,43
CDK17,1.9687,22,76.21,44
HIPK2,1.6893,25,75.85,45
CDK10,0.6924,36,75.79,46
CDK4,1.197,29,75.53,47
BMPR1A,-0.8489,85,75.37,48
PRP4,0.349,41,73.93,49
ALK7,0.151,49,73.88,50
CDK14,1.0068,31,73.7,51
MAPKAPK2,-0.4967,68,73.61,52
PRKD1,-0.1715,60,73.18,53
GRK7,-1.4218,104,72.88,54
BIKE,-3.1602,168,72.67,55
CDK18,1.0567,30,72.53,56
CLK4,0.3167,42,72.4,57
CDK3,-0.0498,55,72.15,58
CDK6,0.6953,35,72.0,59
TLK2,-0.8241,83,71.9,60
DYRK1A,0.8626,33,71.6,61
NDR2,-0.4702,66,71.47,62
ACVR2A,-0.8058,80,71.15,63
CAMK2B,-0.3074,64,71.0,64
CDK16,0.4092,38,70.68,65
CAMK2D,-0.5136,70,70.67,66
NUAK2,-0.5786,73,70.4,67
CDC7,-0.5247,72,70.2,68
AAK1,-3.6212,193,70.16,69
HUNK,-1.1838,95,70.11,70
DYRK3,0.3908,39,69.8,71
KIS,0.0774,51,69.78,72
ACVR2B,-0.9174,86,69.74,73
CLK1,-0.1059,57,69.58,74
CLK2,0.2452,44,68.91,75
MOK,-0.0203,53,68.69,76
BMPR1B,-0.6312,76,68.63,77
HIPK1,0.9296,32,67.5,78
STLK3,-4.6647,256,67.1,79
CDK5,-0.0783,56,66.91,80
GRK5,-0.5829,74,66.73,81
NUAK1,-1.8678,115,65.59,82
GRK6,-0.5017,69,64.68,83
CK1A,-0.9373,88,63.85,84
ALK4,-0.8378,84,63.31,85
CK1G3,-1.3669,100,63.16,86
MAK,-0.523,71,63.16,86
HIPK3,0.1811,47,62.46,88
CAMK2G,-0.642,77,62.43,89
AURA,-2.5184,136,62.12,90
GAK,-2.558,140,61.86,91
