index,Score,Score Rank,Percentile,Percentile Rank
FAM20C,2.3246,4,93.3,1
MARK2,0.947,19,92.53,2
PDHK4,0.4121,32,91.66,3
MARK3,0.4243,31,90.67,4
MARK1,0.3408,34,89.99,5
MARK4,0.6068,27,89.53,6
CAMK2G,1.0296,17,89.36,7
DNAPK,0.5056,29,87.45,8
SRPK1,1.5725,10,83.42,9
CLK2,1.7452,8,82.24,10
BRSK1,-0.6658,68,82.2,11
CK2A2,-0.5082,62,82.15,12
TSSK3,-0.1292,49,81.91,13
CAMK2A,0.8162,23,81.69,14
CK2A1,-0.6757,69,81.66,15
SSTK,-0.6978,70,81.22,16
DYRK4,2.4018,3,80.86,17
PIM1,0.398,33,80.39,18
SBK,-0.228,51,78.89,19
CAMK2B,0.4284,30,78.85,20
BCKDK,-1.0395,82,78.61,21
QSK,-0.7548,73,78.5,22
JNK1,2.4349,2,78.33,23
CDK8,1.8525,7,77.91,24
PIM3,0.2351,39,77.7,25
SRPK2,0.2572,37,77.21,26
ATM,-0.3714,55,77.07,27
JNK2,2.4967,1,75.96,28
CDK9,1.1622,15,75.44,29
JNK3,2.1254,5,75.02,30
MEK1,-1.0953,87,74.74,31
CDK2,0.826,22,74.47,32
KIS,0.6086,26,73.53,33
QIK,-1.1784,92,73.37,34
CDK16,0.9424,20,73.31,35
P38B,1.9633,6,73.2,36
P38D,1.5854,9,73.15,37
CDK19,0.7928,24,72.95,38
CDK7,0.9481,18,72.78,39
TSSK4,-0.4144,57,72.68,40
CDK3,-0.0591,45,72.08,41
CDK1,1.2512,14,71.94,42
CDK13,1.3434,13,71.86,43
LATS1,-0.055,43,71.86,43
PDHK1,-0.5948,64,71.63,45
GSK3A,1.3488,12,71.56,46
SIK,-1.6012,103,71.31,47
P38G,1.3942,11,70.63,48
MTOR,0.2229,40,70.58,49
CDK17,0.5519,28,70.45,50
SMG1,-1.2338,96,70.39,51
PIM2,-1.0888,86,70.38,52
NIM1,-1.2236,95,70.24,53
DYRK1B,0.9101,21,69.77,54
DYRK2,1.133,16,69.67,55
CDK10,-0.2905,53,68.65,56
CDK4,-0.0567,44,68.63,57
CDK12,0.0928,41,68.16,58
CDK18,0.2493,38,68.01,59
MYLK4,-1.7877,113,67.9,60
CLK4,-0.0735,46,67.65,61
CDK5,0.0394,42,67.64,62
ERK2,-0.1349,50,66.5,63
NLK,0.6597,25,66.31,64
PRKX,-2.4125,135,66.24,65
CHK1,-0.9546,79,66.11,66
MSK1,-1.7725,112,65.35,67
CDK6,-0.4921,59,64.93,68
SRPK3,-0.7484,72,64.91,69
P38A,0.3284,35,64.58,70
CAMK1B,-0.355,54,64.24,71
ALK7,-0.395,56,64.14,72
CAMK2D,-0.9408,78,64.0,73
CLK3,-0.2593,52,63.51,74
BRSK2,-2.5284,141,63.4,75
MASTL,-1.1258,89,62.39,76
CDK14,-0.5602,63,62.38,77
PKACG,-1.9483,122,62.19,78
HIPK2,-0.1202,48,62.11,79
CAMLCK,-0.7338,71,61.38,80
ERK1,-0.6561,67,61.06,81
DYRK3,-0.4743,58,60.8,82
PBK,-3.3933,179,60.78,83
SKMLCK,-2.4693,137,60.72,84
ERK5,-0.1104,47,60.58,85
PKACB,-2.6071,148,60.45,86
PRP4,-1.0716,84,59.6,87
GSK3B,0.2949,36,59.1,88
RSK2,-1.447,99,58.94,89
TSSK2,-1.6205,104,58.84,90
GRK7,-2.58,144,58.6,91
GRK1,-0.8038,75,58.42,92
PLK3,-1.6452,108,58.36,93
GRK6,-0.8401,76,57.96,94
IKKB,-1.1356,90,57.41,95
CDC7,-1.0267,80,56.99,96
HUNK,-1.811,115,56.83,97
TSSK1,-1.8942,120,56.65,98
DYRK1A,-0.6287,66,56.63,99
NDR2,-1.5214,100,55.85,100
GRK5,-1.1167,88,55.61,101
ALK2,-1.8298,116,55.15,102
P90RSK,-1.5833,102,55.05,103
SGK1,-2.8936,160,54.71,104
MAPKAPK2,-2.0398,127,54.64,105
HIPK4,-0.5017,61,54.45,106
AMPKA2,-2.0578,128,54.15,107
ERK7,-2.2822,132,53.63,108
BMPR1A,-2.497,139,53.41,109
TGFBR1,-1.1546,91,53.37,110
MOK,-1.6276,105,53.16,111
AMPKA1,-1.8771,118,53.14,112
MSK2,-2.5707,143,51.89,113
CAMK1D,-3.0191,164,51.62,114
HIPK1,-0.7767,74,51.55,115
DAPK1,-3.1289,168,50.94,116
CLK1,-1.6363,106,50.78,117
MAPKAPK5,-3.058,166,50.73,118
CDKL5,-1.1845,93,50.47,119
PKACA,-4.0566,195,50.41,120
RSK4,-2.6285,150,50.23,121
WNK1,-1.8595,117,49.18,122
MAK,-2.0023,125,49.12,123
DAPK3,-3.2964,174,49.11,124
NUAK2,-1.7313,110,48.71,125
IKKA,-2.1696,130,46.75,126
BMPR1B,-1.7671,111,45.95,127
RSK3,-2.5924,146,45.51,128
WNK2,-1.8921,119,45.22,129
PAK1,-2.7404,157,45.17,130
PLK2,-3.1471,169,45.12,131
ICK,-3.3458,176,44.0,132
PASK,-2.9365,161,43.18,133
HIPK3,-1.645,107,43.12,134
MST4,-2.5461,142,42.97,135
MOS,-0.598,65,42.04,136
AKT3,-4.718,224,41.97,137
PAK4,-5.2069,242,41.85,138
LATS2,-2.8031,158,41.79,139
WNK3,-2.4496,136,41.74,140
PRKD2,-2.9666,162,41.7,141
CDKL2,-2.1584,129,41.55,142
MAPKAPK3,-2.7111,155,41.28,143
PINK1,-1.9812,124,40.86,144
PAK2,-3.2041,171,40.86,144
PAK6,-4.1179,201,40.74,146
CDKL1,-1.0804,85,40.47,147
PRKD1,-2.4811,138,39.7,148
CK1D,-2.9979,163,39.67,149
P70S6KB,-2.3899,134,39.5,150
COT,-1.1866,94,39.19,151
YANK2,-2.5909,145,39.04,152
SMMLCK,-3.1965,170,38.64,153
NDR1,-2.883,159,38.57,154
PKG2,-4.0965,200,38.36,155
MRCKA,-4.2978,209,38.01,156
AAK1,-5.7483,273,37.95,157
ALK1,-1.6555,109,37.88,158
GAK,-3.2349,172,37.85,159
GRK4,-1.9554,123,37.51,160
GRK2,-1.0436,83,37.41,161
CK1G2,-2.5177,140,37.39,162
GRK3,-1.7911,114,37.32,163
IKKE,-2.6889,154,37.21,164
ROCK2,-4.4356,213,36.92,165
PAK3,-3.3884,178,36.89,166
DAPK2,-1.3279,98,36.17,167
PAK5,-5.4288,257,35.98,168
PLK1,-2.6032,147,35.83,169
CK1G3,-2.6157,149,35.03,170
MELK,-3.5985,188,34.97,171
DSTYK,-2.7294,156,34.65,172
BIKE,-5.0145,235,34.4,173
WNK4,-3.3816,177,33.6,174
AKT2,-3.5849,186,33.53,175
PKG1,-6.9979,291,33.09,176
PKN3,-1.5781,101,32.8,177
CAMK1G,-4.2343,206,32.78,178
MRCKB,-4.7032,223,31.95,179
HPK1,-4.3344,210,31.78,180
SNRK,-5.1457,238,30.87,181
SGK3,-3.8272,192,30.48,182
AURC,-4.5454,219,30.32,183
IRAK1,-4.4959,216,30.21,184
PRKD3,-3.655,191,29.99,185
TBK1,-2.6544,153,29.88,186
ATR,-1.0333,81,29.85,187
NIK,-1.2963,97,29.24,188
AURA,-4.5008,217,28.85,189
MNK2,-3.5896,187,28.64,190
PRPK,-0.5009,60,28.31,191
