index,Score,Score Rank,Percentile,Percentile Rank
NLK,4.5186,12,99.6,1
ERK2,5.3318,2,99.08,2
ERK5,3.6357,27,98.5,3
CDK14,5.3828,1,97.77,4
CDK7,5.0165,4,97.09,5
HASPIN,1.145,44,96.89,6
MOK,4.6992,10,96.84,7
CDK10,4.7387,8,96.84,7
HIPK1,5.2574,3,96.43,9
HIPK3,4.7298,9,96.18,10
DYRK1B,4.9031,5,95.79,11
P38A,4.7647,7,95.61,12
NEK3,0.1418,57,95.38,13
DYRK3,3.9462,19,95.1,14
ERK1,4.8708,6,94.84,15
CDK4,4.0796,18,94.01,16
CDK9,3.7588,22,93.57,17
CLK3,2.4759,36,93.28,18
CDK17,4.5757,11,93.25,19
CDK19,4.1256,16,93.24,20
DYRK1A,3.7141,24,92.94,21
CDK12,3.8942,21,92.71,22
ULK3,0.0934,60,91.78,23
DYRK4,4.139,15,91.53,24
CDK18,4.2962,14,91.27,25
CDK8,3.54,28,90.91,26
P38D,4.5166,13,90.89,27
DYRK2,3.7457,23,90.68,28
AAK1,-1.0465,92,90.66,29
PINK1,0.8884,47,90.35,30
ICK,2.1494,38,89.7,31
HIPK4,3.0278,33,89.47,32
CDK5,3.1792,31,89.38,33
CDKL2,1.8165,42,88.86,34
BIKE,-1.4469,108,88.41,35
HIPK2,3.6961,26,88.34,36
WNK4,0.1743,56,88.2,37
JNK2,3.9444,20,88.16,38
MAK,2.8302,35,88.09,39
CLK4,1.9612,39,87.9,40
CLK1,1.8952,41,87.72,41
JNK1,3.7032,25,87.65,42
P38B,3.5274,29,87.46,43
CDK16,3.2607,30,87.04,44
P38G,4.0928,17,86.45,45
NUAK2,0.748,48,86.39,46
MST4,0.2746,55,86.01,47
PKR,-0.3935,71,85.8,48
PDHK4,0.1214,58,85.46,49
CDK13,2.834,34,85.33,50
CRIK,-0.6101,74,84.67,51
CDC7,0.3259,53,84.56,52
IRAK1,-0.9593,87,84.03,53
CDK6,2.4567,37,83.89,54
JNK3,3.1666,32,83.72,55
RIPK1,-0.0786,63,83.66,56
ERK7,0.3158,54,83.61,57
SBK,0.4825,49,83.42,58
CDKL5,1.1781,43,83.3,59
NEK11,-1.2854,104,82.59,60
CAMKK2,-1.99,133,82.36,61
MAPKAPK5,-0.6547,78,82.26,62
PDHK1,-0.2234,67,81.33,63
RIPK3,-0.6134,75,80.48,64
P70S6K,-0.7486,80,79.93,65
LRRK2,-1.6366,117,79.66,66
WNK3,-0.3504,68,79.49,67
NUAK1,-0.7715,82,79.2,68
PAK6,-1.0744,96,78.77,69
CHK2,-1.1343,98,78.65,70
SRPK3,0.3804,52,78.01,71
PRKD3,-0.3589,69,77.6,72
PKCI,-1.2313,101,77.12,73
CDK1,1.9246,40,76.5,74
SMG1,-1.0487,93,75.81,75
KIS,0.9323,45,75.62,76
CDK2,0.9133,46,75.28,77
CDKL1,0.4007,51,75.14,78
BUB1,-1.4642,109,74.9,79
GAK,-1.8691,125,74.48,80
LKB1,-1.5024,112,73.92,81
AURB,-1.6284,116,73.92,81
CDK3,0.0984,59,73.2,83
P90RSK,-0.484,73,73.14,84
RSK3,-0.8496,83,72.9,85
MPSK1,-0.9235,85,72.33,86
MNK2,-0.7692,81,72.02,87
BCKDK,-1.4746,110,71.25,88
SMMLCK,-1.5528,114,71.15,89
AKT2,-1.3393,105,70.4,90
CK1A2,-0.063,62,70.39,91
CAMK1G,-1.7576,123,70.31,92
DAPK2,-0.3653,70,70.31,92
IRE1,-1.3439,106,70.3,94
PRP4,0.0239,61,70.26,95
WNK1,-0.6464,76,70.24,96
PBK,-2.6839,164,70.18,97
MEK5,-1.612,115,69.95,98
CAMLCK,-0.4479,72,69.21,99
MEK2,-2.9249,177,69.09,100
PRKD2,-1.0417,91,68.19,101
NEK4,-2.1678,139,67.45,102
AURC,-2.0113,134,67.0,103
PAK4,-3.2163,199,66.74,104
MRCKB,-2.3945,149,66.54,105
P70S6KB,-1.012,88,66.26,106
PHKG2,-2.9712,183,66.17,107
MEKK1,-1.7105,119,65.9,108
WNK2,-0.8737,84,65.88,109
PKN1,-2.7782,172,65.51,110
SRPK1,-0.2069,66,64.57,111
GSK3B,0.4147,50,64.53,112
AKT3,-2.9711,182,64.44,113
RIPK2,-3.3209,204,64.31,114
MNK1,-1.9274,129,64.3,115
DMPK1,-3.0754,189,64.25,116
CHK1,-1.0722,95,64.09,117
PAK5,-3.2557,201,63.83,118
DNAPK,-1.1761,99,63.33,119
AKT1,-2.3703,148,63.17,120
NEK9,-1.2028,100,62.58,121
ULK1,-2.2457,143,62.32,122
MYLK4,-2.2172,142,61.91,123
MTOR,-0.2007,65,61.28,124
IRAK4,-2.0412,135,60.86,125
CAMKK1,-2.5686,156,60.54,126
NEK7,-1.6876,118,60.15,127
MEKK6,-3.7873,231,59.95,128
STK33,-2.6779,163,59.91,129
SGK1,-2.5582,155,59.67,130
HUNK,-1.7473,120,58.28,131
PIM2,-1.9771,132,57.66,132
PKG1,-4.8572,274,57.52,133
SRPK2,-1.4158,107,56.47,134
TTBK1,-3.0252,185,56.0,135
CHAK1,-2.2171,141,55.99,136
PERK,-2.1778,140,55.65,137
QIK,-2.3955,150,55.57,138
CAMK1B,-0.655,79,55.52,139
SKMLCK,-2.8375,175,55.29,140
HRI,-2.1041,137,54.69,141
CLK2,-1.033,89,54.62,142
DAPK1,-2.9324,178,54.47,143
NEK6,-1.8552,124,54.19,144
YANK3,-1.0581,94,52.63,145
PKCE,-3.3598,208,52.44,146
CAMK1A,-3.8695,238,51.96,147
NEK2,-2.1405,138,51.41,148
MRCKA,-3.5104,219,50.66,149
RSK2,-1.945,130,49.64,150
PKG2,-3.3384,206,49.47,151
RSK4,-2.7617,168,47.97,152
NEK8,-3.0357,186,47.75,153
RAF1,-1.2518,103,47.54,154
PKACG,-2.9434,180,47.22,155
TSSK1,-2.5425,154,46.54,156
PDK1,-2.638,159,46.16,157
NEK1,-3.6498,225,46.09,158
PKN2,-2.6608,161,45.91,159
CK1E,-1.0823,97,45.89,160
PHKG1,-3.2876,203,45.57,161
MST3,-2.767,169,45.56,162
ANKRD3,-1.8834,126,45.31,163
DAPK3,-3.5001,216,45.13,164
MAP3K15,-3.4243,211,44.96,165
TAO1,-4.5936,267,44.67,166
YSK1,-4.3338,257,44.14,167
ATM,-1.9466,131,43.59,168
ROCK1,-4.7872,272,43.23,169
PRKD1,-2.2681,145,42.92,170
NDR1,-2.6584,160,42.55,171
NIK,-0.9505,86,42.32,172
DCAMKL2,-2.8299,174,42.27,173
NEK5,-2.7754,170,42.03,174
SGK3,-3.1226,191,41.55,175
IKKA,-2.4482,153,41.46,176
MSK1,-3.3447,207,40.85,177
GSK3A,-0.1131,64,40.7,178
TTBK2,-2.6246,158,40.51,179
MELK,-3.2267,200,40.48,180
NIM1,-2.7755,171,40.38,181
MYO3B,-5.1034,281,40.37,182
LOK,-3.8979,240,40.17,183
ULK2,-2.5786,157,39.82,184
CAMK4,-3.4411,212,39.38,185
PKCT,-4.2423,252,38.83,186
HPK1,-3.9578,242,38.6,187
ROCK2,-4.3406,258,38.31,188
GRK6,-1.7503,121,37.94,189
YANK2,-2.6664,162,37.33,190
CAMK1D,-3.9778,243,37.26,191
MARK1,-4.16,249,36.37,192
PAK2,-3.4749,215,36.05,193
MASTL,-1.9022,127,35.5,194
MAPKAPK3,-3.1169,190,35.1,195
ALK1,-1.7535,122,34.83,196
AMPKA1,-2.942,179,34.51,197
SNRK,-4.8862,276,34.43,198
KHS2,-4.551,265,33.59,199
PAK3,-3.6162,224,33.19,200
SSTK,-4.7369,271,33.18,201
PKACA,-5.2144,283,32.82,202
PKCZ,-3.5027,217,32.6,203
PKCA,-3.752,229,32.57,204
MEKK3,-2.9184,176,32.55,205
TAO2,-3.4664,214,32.31,206
DCAMKL1,-3.0747,188,32.26,207
