index,Score,Score Rank,Percentile,Percentile Rank
CAMK2G,2.8913,2,98.96,1
BRAF,0.4627,29,96.77,2
CAMK2A,2.9406,1,95.17,3
AURC,2.4467,5,94.51,4
AURA,2.1514,7,94.37,5
PRKX,2.6244,3,94.3,6
MSK1,2.579,4,94.13,7
AURB,1.7841,9,93.16,8
GSK3B,1.3991,14,93.13,9
LKB1,-0.0624,46,92.54,10
CAMKK1,-0.4559,62,92.46,11
CK2A1,2.1921,6,92.44,12
CDC7,1.2055,17,92.22,13
CK2A2,2.1374,8,92.03,14
MSK2,1.5717,11,90.94,15
LATS1,1.6156,10,90.76,16
CAMKK2,-1.1577,93,90.51,17
DAPK1,0.8495,24,90.28,18
PKACB,1.3894,15,90.12,19
PKACA,1.0253,18,89.39,20
DAPK3,0.2619,33,88.92,21
CAMK2D,1.024,19,88.5,22
MYLK4,0.7968,25,88.02,23
HUNK,-0.0485,43,87.86,24
CAMK2B,1.5108,12,87.8,25
RAF1,0.4891,28,87.77,26
DAPK2,1.0156,20,87.42,27
YANK3,0.6596,26,87.0,28
CAMK1B,1.2062,16,86.61,29
ALK2,0.4298,30,85.82,30
DRAK1,-0.1634,48,85.76,31
LATS2,0.3529,32,85.61,32
MOS,0.9198,22,85.56,33
GRK6,0.9175,23,85.5,34
CAMLCK,0.9659,21,85.21,35
GRK1,0.5144,27,84.76,36
MEK1,-0.7897,75,84.37,37
PAK1,0.16,38,84.26,38
PAK4,-1.1109,88,84.08,39
SMMLCK,-0.3435,54,83.89,40
PAK6,-0.4474,61,83.61,41
SKMLCK,-0.3571,55,82.23,42
CAMK1G,-0.513,65,82.16,43
PKACG,-0.0982,47,81.9,44
MEK2,-2.3201,144,81.47,45
PAK2,-0.5353,66,81.01,46
PDHK4,-0.0532,44,80.63,47
CAMK4,-0.4787,64,80.59,48
ATR,0.0511,41,80.17,49
TSSK4,0.2098,35,80.02,50
CK1D,-0.2112,50,79.87,51
NDR2,0.1682,36,79.46,52
WNK2,-0.0619,45,79.22,53
PAK5,-1.6619,112,78.8,54
RSK2,0.07,39,78.52,55
PIM1,0.162,37,77.97,56
DMPK1,-1.7769,120,77.83,57
SSTK,-1.1312,92,77.28,58
CAMK1D,-0.8178,76,76.94,59
PLK3,-0.4123,58,76.69,60
RSK4,-0.5895,69,76.11,61
GRK5,-0.0374,42,75.63,62
TSSK2,-0.4632,63,75.33,63
CAMK1A,-1.7365,117,74.85,64
QSK,-1.1008,87,74.63,65
P70S6KB,-0.3659,56,74.33,66
MRCKB,-1.6578,111,74.18,67
NDR1,-0.6912,70,74.03,68
PAK3,-0.9927,85,73.92,69
GSK3A,1.4799,13,73.89,70
PKG1,-3.0627,187,73.86,71
CLK4,0.4293,31,73.7,72
BRSK1,-1.7038,114,72.45,73
MARK4,-0.8775,81,72.38,74
SBK,-1.0274,86,72.15,75
MARK1,-1.7539,119,71.83,76
PRKD2,-0.7407,74,71.75,77
CLK3,0.2491,34,71.61,78
WNK3,-0.8583,79,71.48,79
MNK2,-0.8563,77,70.86,80
MNK1,-1.4305,103,70.67,81
ACVR2B,-0.8574,78,70.65,82
CK1G3,-0.9755,83,70.46,83
MRCKA,-2.0319,133,69.76,84
DNAPK,-0.8583,79,69.5,85
AKT1,-1.8262,123,69.48,86
ALK1,-0.558,67,69.47,87
MARK3,-1.996,130,69.1,88
FAM20C,-2.1139,136,68.88,89
HASPIN,-2.8034,171,68.8,90
PASK,-1.556,108,68.06,91
PKG2,-1.9882,128,67.94,92
ROCK1,-2.9185,179,67.56,93
TSSK3,-1.8192,122,67.28,94
CK1A2,-0.1814,49,67.05,95
CLK2,0.0512,40,66.85,96
GRK2,-0.2527,51,66.6,97
AKT2,-1.6696,113,66.54,98
NIK,-0.2557,52,66.35,99
ALK7,-0.3298,53,65.49,100
PIM2,-1.4619,105,65.45,101
ACVR2A,-1.1595,94,65.2,102
WNK1,-0.9786,84,64.83,103
MARK2,-2.1362,138,64.79,104
ROCK2,-2.541,157,64.54,105
TGFBR1,-0.7253,72,63.64,106
PLK2,-1.9075,127,63.63,107
P90RSK,-1.1295,91,63.42,108
BIKE,-3.7645,220,63.16,109
AKT3,-3.1191,191,62.83,110
SGK1,-2.3603,148,62.22,111
MAPKAPK5,-2.4067,152,61.29,112
TSSK1,-1.606,109,60.94,113
ATM,-1.2035,97,60.94,113
RIPK1,-1.5253,106,60.61,115
PBK,-3.4587,212,59.9,116
BMPR1A,-2.1124,135,59.79,117
BMPR1B,-1.1639,95,59.65,118
DSTYK,-1.3685,100,59.12,119
TAK1,-3.278,202,59.11,120
DYRK4,-0.4176,59,58.7,121
P70S6K,-2.8575,175,58.21,122
SIK,-2.6364,160,58.05,123
CDK13,-0.7262,73,57.74,124
STK33,-2.8025,170,57.73,125
SNRK,-3.3087,206,57.57,126
PIM3,-0.9685,82,57.52,127
CK1E,-0.718,71,57.21,128
MAPKAPK2,-1.8498,125,57.21,128
SGK3,-2.1358,137,56.97,130
RSK3,-1.9922,129,56.44,131
CDK12,-1.5271,107,56.12,132
MTOR,-0.4271,60,55.95,133
QIK,-2.3843,150,55.74,134
GRK4,-1.1783,96,55.74,134
CRIK,-3.8128,222,54.86,136
RIPK2,-3.9047,227,54.53,137
DLK,-1.1122,89,54.45,138
GAK,-2.823,174,53.83,139
PRKD3,-2.2066,140,53.65,140
GRK3,-1.1227,90,53.31,141
PKR,-1.7511,118,53.13,142
BUB1,-3.174,197,53.12,143
DYRK3,-1.3409,98,52.93,144
PRKD1,-1.7062,115,51.64,145
VRK2,-2.382,149,50.4,146
PKCD,-2.0246,131,50.38,147
NEK8,-2.9224,180,50.22,148
CK1A,-1.4481,104,50.06,149
BCKDK,-2.4609,153,50.01,150
CLK1,-1.7872,121,48.9,151
PINK1,-1.6089,110,48.71,152
MPSK1,-2.347,147,48.01,153
BRSK2,-3.6251,216,47.59,154
MAPKAPK3,-2.3898,151,46.37,155
PKCG,-3.1607,195,45.74,156
IKKB,-1.7358,116,45.45,157
AMPKA1,-2.3217,145,45.39,158
LRRK2,-3.228,198,45.25,159
WNK4,-2.7291,165,44.87,160
MAK,-2.5125,156,44.62,161
PLK1,-2.1754,139,44.45,162
SMG1,-1.8459,124,43.3,163
AMPKA2,-2.7433,167,42.82,164
PDHK1,-1.3721,101,42.81,165
NIM1,-2.676,162,42.34,166
ALK4,-1.3883,102,41.71,167
MELK,-3.155,194,41.59,168
SRPK1,-1.8848,126,41.36,169
DYRK1B,-2.3072,143,40.99,170
BMPR2,-0.5644,68,40.67,171
MST4,-2.6969,164,40.11,172
AAK1,-5.6151,282,40.1,173
ICK,-3.7468,218,40.09,174
ASK1,-5.1786,270,39.79,175
CDK10,-3.5133,215,39.62,176
GCN2,-2.8965,177,39.17,177
SRPK2,-2.5015,155,39.12,178
CDK9,-2.6865,163,38.3,179
PKCA,-3.381,209,38.15,180
PRPK,-0.373,57,38.06,181
CHK2,-4.4176,241,38.01,182
NEK6,-2.6731,161,38.0,183
PKN2,-3.1188,190,37.98,184
DYRK2,-2.0306,132,37.94,185
DYRK1A,-2.4657,154,37.66,186
HIPK2,-2.9171,178,37.22,187
SLK,-4.226,233,36.55,188
NEK2,-3.0636,188,36.11,189
TGFBR2,-2.8147,173,35.7,190
HIPK1,-2.255,141,35.54,191
GRK7,-4.0624,231,34.99,192
CDKL2,-2.5783,158,34.56,193
CDK4,-3.4458,211,34.29,194
NUAK1,-3.7569,219,33.91,195
DCAMKL2,-3.2848,203,32.99,196
PKCZ,-3.4796,213,32.95,197
HPK1,-4.2716,234,32.92,198
CDKL1,-1.3533,99,32.5,199
RIPK3,-3.4981,214,32.31,200
CHK1,-2.7933,169,31.75,201
IKKA,-2.9704,182,31.72,202
IRAK1,-4.4157,239,31.42,203
CDK7,-2.8805,176,31.2,204
HIPK3,-2.7406,166,31.09,205
MEKK3,-3.0078,185,30.35,206
JNK1,-2.7586,168,29.98,207
GCK,-3.9762,229,29.87,208
PKCI,-4.7855,254,29.55,209
DCAMKL1,-3.2569,200,29.37,210
ULK3,-4.7035,251,29.17,211
CHAK2,-2.8058,172,28.45,212
JNK3,-2.3306,146,28.2,213
PKCT,-5.0997,265,28.13,214
YANK2,-3.1201,192,28.09,215
PKCE,-5.188,271,27.98,216
PDK1,-3.3168,207,27.68,217
VRK1,-4.8418,256,27.53,218
MOK,-4.2942,235,27.11,219
HIPK4,-2.6141,159,27.05,220
MEKK1,-3.2726,201,26.98,221
ALPHAK3,-4.9573,262,26.71,222
PKCH,-4.5574,246,26.24,223
KHS1,-4.8797,258,25.74,224
PHKG2,-6.4265,295,25.21,225
KHS2,-5.1344,267,24.63,226
MASTL,-2.265,142,24.09,227
SRPK3,-3.1502,193,23.77,228
NUAK2,-3.0119,186,23.76,229
NEK1,-5.1616,268,23.17,230
PKN1,-6.2502,291,22.87,231
COT,-2.0763,134,22.72,232
IKKE,-3.3047,205,22.25,233
CDK1,-3.6254,217,22.24,234
TNIK,-4.7334,253,21.82,235
CDK2,-3.8459,225,21.69,236
ULK1,-4.3586,237,21.62,237
CDK3,-5.9884,286,21.43,238
CDK14,-4.5387,245,21.05,239
TTBK1,-5.5385,278,20.82,240
PKCB,-4.9024,259,20.59,241
CK1G1,-3.7973,221,20.59,241
PRP4,-3.1695,196,20.35,243
LOK,-5.3105,272,20.3,244
MYO3B,-6.544,297,19.93,245
ANKRD3,-2.9278,181,19.03,246
JNK2,-3.002,183,18.79,247
HRI,-3.8218,224,18.47,248
TLK1,-4.4157,239,17.0,249
CDK18,-4.962,263,15.93,250
ULK2,-3.9766,230,15.91,251
CDK8,-3.8723,226,15.84,252
CDKL5,-3.2298,199,15.46,253
MEK5,-3.3747,208,15.04,254
PERK,-4.186,232,15.01,255
TBK1,-3.4031,210,14.67,256
NEK7,-4.299,236,14.53,257
YSK1,-6.4589,296,14.45,258
CDK6,-5.5207,277,14.17,259
TTBK2,-4.4313,242,14.05,260
