index,Score,Score Rank,Percentile,Percentile Rank
MEKK1,0.9584,1,98.27,1
MEK2,-0.3661,34,98.08,2
MASTL,0.7206,3,97.1,3
STLK3,-1.0729,78,96.6,4
LKB1,0.534,4,96.18,5
TTK,-0.3797,36,95.78,6
HUNK,0.9061,2,95.67,7
MINK,-0.0555,19,95.43,8
NEK1,-0.0505,18,95.19,9
YSK1,-0.3176,31,94.84,10
MEK1,-0.2098,25,94.37,11
VRK1,-0.8608,63,93.74,12
IRAK1,0.131,14,93.63,13
VRK2,-0.507,44,93.58,14
NEK5,0.1753,11,93.45,15
TNIK,-0.0559,20,93.42,16
MYO3A,-1.0598,76,93.22,17
CAMKK2,-0.7802,59,93.1,18
TAK1,-0.8816,66,93.08,19
NEK4,-0.2812,28,92.58,20
NEK3,-0.4111,38,91.89,21
MYO3B,-1.0499,73,91.77,22
HGK,-0.4816,42,91.77,22
ANKRD3,0.1782,10,91.07,24
MAP3K15,-0.7384,54,90.55,25
MEKK2,-0.4156,39,90.01,26
MEK5,-0.7404,55,89.71,27
MST1,-0.5518,45,89.61,28
CAMKK1,-0.8009,61,89.57,29
ASK1,-1.7345,128,89.55,30
NEK2,0.4436,5,89.29,31
MST2,-1.0768,79,89.18,32
MEKK6,-1.7085,125,89.09,33
GAK,-0.6265,47,88.86,34
MARK2,0.237,9,88.73,35
NEK8,-0.7584,57,88.37,36
WNK4,0.1753,11,88.22,37
IRAK4,0.1436,13,88.09,38
MARK4,0.4178,6,88.01,39
PBK,-0.875,64,87.41,40
LRRK2,-1.0616,77,87.23,41
MLK3,-0.1895,23,86.72,42
MARK1,-0.1858,22,86.64,43
MST3,-0.3745,35,86.4,44
KHS1,-0.9639,69,86.28,45
QIK,-0.0088,17,85.88,46
QSK,0.0494,16,85.63,47
MLK2,0.0713,15,85.59,48
ROCK2,-0.5,43,84.96,49
PDK1,-0.7688,58,84.86,50
LOK,-1.0511,74,84.42,51
OSR1,-1.8947,139,84.17,52
AMPKA1,0.3207,8,83.52,53
CHK1,0.3251,7,83.49,54
ROCK1,-1.2068,90,83.14,55
SIK,-0.357,33,82.69,56
RIPK3,-0.4479,40,82.68,57
MARK3,-0.7567,56,82.59,58
STK33,-1.1148,82,82.52,59
ZAK,-1.1012,80,82.47,60
SSTK,-0.6624,51,81.51,61
PAK4,-1.5377,109,81.47,62
HRI,-0.8355,62,81.07,63
NEK9,-0.2604,27,80.79,64
TAO1,-2.3712,176,80.03,65
PKG1,-2.156,162,79.98,66
HPK1,-1.6075,114,79.91,67
AMPKA2,-0.0801,21,79.8,68
SKMLCK,-0.7208,53,79.58,69
SMMLCK,-0.876,65,79.11,70
PAK5,-1.6483,119,78.89,71
TAO2,-1.5176,108,78.52,72
PKR,-0.7871,60,78.51,73
PERK,-1.1028,81,78.25,74
MEKK3,-1.0584,75,78.09,75
ALK4,-0.314,30,77.98,76
TSSK2,-0.2855,29,77.65,77
BRAF,-1.1691,85,76.65,78
DCAMKL1,-0.2291,26,76.64,79
MELK,-0.6269,48,76.35,80
TSSK1,-0.4565,41,76.2,81
GCK,-1.6704,121,76.05,82
DAPK3,-1.4203,105,76.01,83
TTBK2,-0.6753,52,74.81,84
KHS2,-2.0609,152,74.51,85
BRSK2,-1.621,115,74.48,86
NIM1,-0.9695,70,74.27,87
RIPK2,-2.662,198,74.15,88
MRCKB,-1.8016,130,72.84,89
YANK2,-0.9855,71,72.8,90
DMPK1,-2.339,174,72.49,91
HASPIN,-2.5567,189,72.47,92
EEF2K,-2.2854,170,72.43,93
CHAK1,-1.1922,87,72.23,94
SMG1,-1.179,86,72.17,95
TTBK1,-1.9029,141,71.62,96
BIKE,-3.2583,245,71.36,97
PAK3,-1.2083,91,71.26,98
DAPK2,-0.3277,32,71.09,99
SLK,-2.2809,169,70.47,100
PKN1,-2.4759,181,68.87,101
DAPK1,-1.9654,145,68.74,102
PAK2,-1.594,113,68.61,103
MRCKA,-2.1468,161,68.54,104
CAMK1D,-1.7228,126,68.34,105
NUAK1,-1.6877,122,68.22,106
PINK1,-0.6555,50,67.77,107
BMPR2,-0.1912,24,67.57,108
MPSK1,-1.2377,92,67.57,108
PLK4,-2.6939,201,67.49,110
SGK3,-1.379,102,67.29,111
CRIK,-2.8074,210,67.07,112
PAK6,-2.2253,167,66.91,113
WNK1,-0.8856,67,66.36,114
MAPKAPK5,-2.1037,158,65.8,115
NEK11,-2.1704,163,65.7,116
SNRK,-2.7469,206,65.65,117
MLK4,-2.144,160,65.21,118
PAK1,-1.5609,111,64.88,119
NEK7,-1.4745,107,64.36,120
CAMLCK,-0.6432,49,64.11,121
PLK1,-1.2056,89,63.79,122
IRE2,-1.866,135,63.59,123
TLK1,-1.9057,142,63.27,124
ACVR2A,-1.2581,95,63.26,125
DCAMKL2,-1.7398,129,63.22,126
RIPK1,-1.3921,103,63.1,127
PKCT,-2.4755,180,62.66,128
NIK,-0.3846,37,62.52,129
ACVR2B,-1.3724,100,62.03,130
PKCI,-2.4936,182,61.3,131
YSK4,-1.901,140,61.21,132
DSTYK,-1.2565,94,61.16,133
MLK1,-1.3604,99,60.61,134
PKACG,-2.0868,156,60.25,135
DLK,-0.9543,68,59.77,136
TAO3,-1.8091,132,58.94,137
BRSK1,-2.8265,211,58.22,138
WNK2,-1.2866,97,58.04,139
ALK2,-1.6937,124,58.02,140
PKN2,-1.9594,144,57.7,141
ALK1,-1.0003,72,57.55,142
PKG2,-2.7934,208,57.55,142
PHKG1,-2.5046,184,57.51,144
TSSK4,-1.4219,106,57.37,145
PKCH,-2.5445,187,57.19,146
