index,Score,Score Rank,Percentile,Percentile Rank
CK1E,1.8296,35,98.31,1
MTOR,2.274,25,97.18,2
CLK2,4.3125,4,94.79,3
PRPK,0.5508,52,94.56,4
GSK3A,3.0279,14,93.29,5
CDK16,4.3241,3,92.62,6
JNK2,4.4917,1,92.07,7
JNK1,4.3264,2,91.98,8
CK1A2,1.0641,46,91.7,9
CDK3,2.5527,19,90.9,10
CDK1,3.8943,8,90.74,11
CK1A,0.5797,51,90.49,12
JNK3,3.9278,6,90.49,12
CLK4,2.4085,24,90.46,14
DYRK4,3.9139,7,90.27,15
CLK1,2.2086,27,89.62,16
SRPK1,2.4275,23,89.52,17
CDK8,3.269,10,89.01,18
SRPK2,1.7966,36,88.72,19
KIS,2.9115,15,88.67,20
SRPK3,1.7387,37,88.67,20
P38A,3.3989,9,88.65,22
DYRK2,3.2641,11,87.61,23
P38G,4.1798,5,87.21,24
FAM20C,0.3391,56,87.06,25
HIPK2,3.2496,12,85.93,26
CDK2,1.8733,34,85.39,27
DYRK1B,2.8336,17,85.17,28
CDK19,2.7117,18,85.09,29
CDK17,3.2381,13,84.5,30
DYRK3,1.8874,32,84.46,31
CLK3,1.2862,42,84.32,32
CDK18,2.8445,16,83.08,33
HIPK1,2.5194,20,81.69,34
ERK7,0.1043,59,81.32,35
NLK,1.8815,33,81.17,36
CK1G2,-0.2766,66,81.09,37
CDK7,2.2164,26,80.7,38
CDK5,2.1644,28,80.69,39
CDK10,1.3284,39,80.31,40
TSSK3,-0.4623,71,79.5,41
MOK,1.1257,44,79.38,42
ERK1,2.4508,22,78.99,43
ERK2,1.9558,31,78.8,44
CK1G3,-0.5314,72,77.39,45
P38B,2.4663,21,77.34,46
GSK3B,0.7244,50,76.99,47
CDK13,2.0247,30,76.94,48
CK1D,-0.5529,73,76.11,49
P38D,2.0956,29,76.09,50
SBK,-0.6106,75,76.0,51
ALK7,0.2898,57,75.9,52
CDK6,1.3148,40,75.76,53
CK1G1,-0.7517,77,75.42,54
CDK9,1.1525,43,75.37,55
CDK12,1.4283,38,75.25,56
CDK4,1.1075,45,75.02,57
PRP4,0.4193,54,74.71,58
MOS,0.3502,55,74.57,59
CDK14,1.0133,48,73.75,60
BMPR1B,-0.281,67,73.53,61
HIPK3,1.3069,41,73.1,62
HIPK4,1.0365,47,73.02,63
DYRK1A,0.9109,49,72.09,64
HASPIN,-2.6082,144,71.72,65
CAMK2A,-0.1437,62,71.27,66
AKT2,-1.2635,92,71.21,67
CAMK2G,-0.2411,65,71.05,68
DNAPK,-0.7723,78,71.0,69
AAK1,-3.5859,202,70.58,70
PDHK4,-0.343,69,69.98,71
BMPR1A,-1.3878,97,69.77,72
PINK1,-0.5667,74,69.44,73
PLK2,-1.4633,99,69.19,74
MAK,0.1045,58,69.15,75
ERK5,0.5431,53,69.03,76
BIKE,-3.4939,193,67.85,77
CDKL1,-0.0613,61,67.37,78
BMPR2,-0.2,64,67.09,79
MNK2,-1.1705,91,66.53,80
CDKL5,-0.1989,63,66.5,81
CK2A1,-2.9009,158,65.6,82
CAMK1B,-0.3158,68,65.22,83
NUAK2,-0.8876,83,65.21,84
TGFBR1,-0.6651,76,64.9,85
TAO3,-1.5356,101,64.78,86
MST4,-1.3094,93,64.71,87
COT,-0.0509,60,64.44,88
PIM1,-0.8563,82,64.16,89
CK2A2,-2.9314,160,64.1,90
GRK2,-0.3441,70,63.62,91
CDKL2,-0.8428,81,63.52,92
PLK3,-1.3532,94,63.24,93
ICK,-1.3788,96,63.21,94
CAMK2B,-0.9615,84,62.83,95
ATM,-1.1668,90,61.76,96
GAK,-2.5668,142,61.64,97
GRK3,-0.8225,80,59.93,98
ALPHAK3,-3.2192,175,59.48,99
PASK,-2.1067,121,59.35,100
SGK1,-2.6295,146,58.63,101
TSSK4,-1.3548,95,58.5,102
PKR,-1.5737,102,58.4,103
YANK2,-1.7205,104,58.1,104
BRSK1,-2.8353,155,58.09,105
ALK4,-0.9955,85,57.48,106
MAPKAPK2,-1.8382,108,57.38,107
MPSK1,-1.9581,112,55.14,108
LATS1,-1.0631,88,54.92,109
AKT3,-3.8081,217,54.45,110
MEKK3,-2.1033,120,53.9,111
PRKX,-3.5139,195,53.83,112
PBK,-3.9263,224,53.17,113
MLK4,-2.8068,154,53.09,114
TAO2,-2.6737,152,52.78,115
CHK1,-1.8177,107,50.54,116
GCN2,-2.28,134,50.41,117
MAPKAPK3,-2.1426,122,50.24,118
CAMLCK,-1.0268,87,50.04,119
KHS2,-3.6263,204,49.53,120
MARK3,-3.3368,184,49.24,121
ALK2,-2.1021,119,49.19,122
PRKD2,-2.5007,139,48.47,123
MNK1,-3.0303,165,48.38,124
PRKD3,-2.5251,140,48.36,125
WNK1,-1.914,109,48.15,126
MST1,-3.1513,169,47.83,127
AURA,-3.3733,187,47.47,128
