index,Score,Score Rank,Percentile,Percentile Rank
STLK3,0.0912,22,98.85,1
MINK,1.3207,2,98.74,2
MEK2,-0.2422,40,98.38,3
NEK4,0.9005,6,98.28,4
TAK1,0.3644,12,98.17,5
KHS1,1.2768,3,97.79,6
HGK,0.9037,5,97.72,7
CAMKK2,0.1996,18,97.59,8
HPK1,0.9275,4,97.33,9
ASK1,-0.1773,33,97.25,10
MAP3K15,0.3557,13,97.0,11
MYO3A,-0.0181,27,96.97,12
MEKK6,-0.337,44,96.86,13
YSK1,0.0372,25,96.22,14
TNIK,0.5645,9,96.22,14
KHS2,0.7468,8,96.2,16
MST2,0.0581,24,95.99,17
MST1,0.3461,14,95.35,18
CAMKK1,-0.0293,28,95.2,19
NEK3,0.095,21,95.15,20
SSTK,1.683,1,95.03,21
MEK1,-0.203,34,94.46,22
MYO3B,-0.5678,59,94.3,23
NEK1,-0.2474,41,94.19,24
GCK,0.0859,23,94.11,25
MEKK2,-0.1031,30,93.04,26
YSK4,0.2262,17,92.97,27
TAO1,-0.8813,78,92.93,28
NEK2,0.8202,7,92.75,29
MEK5,-0.5064,57,92.73,30
LKB1,-0.0694,29,92.5,31
BRAF,-0.2357,38,91.45,32
NEK11,-0.6017,62,90.91,33
LOK,-0.4363,53,90.26,34
LRRK2,-0.7854,73,90.08,35
EEF2K,-0.7241,69,89.9,36
MARK2,0.4178,11,89.85,37
PDK1,-0.3805,46,89.49,38
VRK1,-1.4927,110,88.99,39
MST3,-0.1352,31,88.86,40
MEKK1,-0.4937,56,88.42,41
TAO2,-0.8793,77,87.8,42
VRK2,-0.9925,83,87.71,43
NEK5,-0.4096,49,87.5,44
TBK1,0.2794,15,87.37,45
IKKE,-0.0038,26,87.17,46
OSR1,-1.5945,118,86.99,47
RIPK2,-1.511,113,86.87,48
MARK1,-0.2416,39,86.24,49
ZAK,-0.8175,75,86.11,50
MARK4,0.1375,19,85.41,51
ULK3,-0.7487,70,85.23,52
MARK3,-0.4172,50,85.18,53
SMG1,-0.4618,55,84.99,54
HUNK,-0.2902,42,84.89,55
IRAK1,-0.9481,80,84.14,56
TAO3,-0.4562,54,83.95,57
TSSK2,0.2498,16,83.55,58
BRSK2,-0.6818,66,83.41,59
TTK,-2.3735,173,82.9,60
PDHK1,-0.1487,32,82.85,61
YANK2,-0.3907,48,82.82,62
NEK8,-1.2762,96,81.78,63
ANKRD3,-0.4353,52,81.67,64
RAF1,0.1029,20,81.54,65
TLK2,-0.2214,37,81.34,66
TLK1,-0.8002,74,81.08,67
QSK,-0.5621,58,80.39,68
IRAK4,-0.6157,63,80.28,69
STK33,-1.3225,97,80.08,70
WNK4,-0.5827,60,79.83,71
BRSK1,-0.9656,81,79.7,72
DNAPK,-0.216,35,79.68,73
MEKK3,-0.9872,82,79.44,74
BIKE,-2.5948,194,79.09,75
GAK,-1.4917,109,78.91,76
SLK,-1.6916,127,78.91,76
TSSK1,-0.2176,36,78.9,78
NEK9,-0.3819,47,78.64,79
QIK,-0.818,76,77.77,80
PLK4,-1.983,145,77.03,81
ROCK2,-1.4949,111,76.62,82
ULK1,-1.4656,103,76.19,83
PKR,-0.8965,79,76.12,84
ROCK1,-2.173,168,75.37,85
DCAMKL1,-0.5854,61,72.44,86
SIK,-1.5143,114,72.22,87
AMPKA1,-0.7637,71,70.93,88
AAK1,-3.5718,253,70.72,89
MLK2,-0.7672,72,69.97,90
AMPKA2,-1.0608,87,68.67,91
MRCKB,-2.2151,169,68.54,92
GSK3B,0.5088,10,68.49,93
PKG1,-3.7517,260,68.41,94
ULK2,-1.1684,90,68.23,95
SNRK,-2.5944,193,67.64,96
PKCT,-2.11,161,67.13,97
PHKG2,-2.9381,217,66.54,98
SGK3,-1.4447,102,66.52,99
PKCI,-2.1055,160,66.36,100
PERK,-1.7078,128,66.35,101
HRI,-1.5973,119,66.12,102
MRCKA,-2.3986,175,65.73,103
PLK2,-1.7725,132,65.4,104
CHAK1,-1.6355,122,65.29,105
PKN1,-2.8574,213,64.56,106
PLK1,-1.1721,91,64.39,107
TTBK1,-2.4603,179,64.07,108
NIK,-0.3417,45,63.87,109
PBK,-3.1939,227,63.6,110
DMPK1,-3.1392,224,63.47,111
PRP4,-0.718,67,63.23,112
PRKD3,-1.601,120,62.96,113
