index,Score,Score Rank,Percentile,Percentile Rank
NEK1,2.1737,8,99.82,1
MYO3B,2.5051,5,99.69,2
TNIK,2.9195,1,99.68,3
HGK,2.3812,7,99.51,4
KHS1,2.7739,2,99.49,5
VRK1,1.0984,21,99.42,6
LRRK2,1.4089,15,99.41,7
EEF2K,2.5679,3,99.4,8
YSK1,1.8104,11,99.39,9
MINK,1.9457,9,99.32,10
NEK4,1.4117,14,99.21,11
KHS2,2.4315,6,99.07,12
NEK5,1.3529,16,98.94,13
ASK1,0.6669,35,98.84,14
MEKK1,1.1949,17,98.82,15
MEK2,-0.1377,58,98.61,16
NEK3,1.0519,23,98.6,17
MST1,1.4769,13,98.57,18
MST3,1.9143,10,98.54,19
VRK2,0.2945,42,98.54,19
MAP3K15,0.9173,25,98.51,21
HPK1,1.5457,12,98.49,22
MYO3A,0.7583,33,98.44,23
LKB1,1.1884,18,98.38,24
TAO2,0.9441,24,98.25,25
TAO1,0.6906,34,98.15,26
MEKK2,0.8183,29,98.09,27
GCK,1.1577,19,98.04,28
MPSK1,2.5115,4,97.89,29
OSR1,0.5183,36,97.7,30
MEKK6,-0.0324,54,97.68,31
PDK1,0.8821,27,97.35,32
MEK5,0.0614,48,97.33,33
TAO3,0.8053,30,95.25,34
MST2,-0.125,57,95.24,35
NEK2,1.1492,20,95.02,36
HASPIN,0.4062,39,94.98,37
NEK11,-0.2571,64,93.82,38
WNK4,0.8462,28,93.28,39
CAMKK1,-0.3479,68,93.23,40
ZAK,-0.0062,51,93.22,41
STLK3,-2.037,170,93.16,42
MEK1,-0.3295,66,93.07,43
STK33,-0.1458,59,91.39,44
AAK1,-0.9031,89,91.35,45
BIKE,-1.1426,106,90.36,46
IRAK4,0.3857,40,90.25,47
TTK,-1.7281,149,88.52,48
HRI,-0.4112,71,87.28,49
DCAMKL1,0.9121,26,86.71,50
NEK9,0.1122,46,86.62,51
NEK8,-0.9388,90,86.33,52
PKR,-0.3981,70,85.71,53
CAMKK2,-1.7194,148,85.52,54
LOK,-0.9906,94,85.1,55
TAK1,-1.7709,152,85.05,56
PBK,-1.2126,111,84.94,57
WNK1,0.4465,38,84.92,58
GAK,-1.0913,102,83.58,59
PKCZ,-0.0403,55,83.21,60
PKCT,-0.5661,74,83.09,61
DCAMKL2,-0.2215,61,82.33,62
PKCE,-0.7467,82,82.26,63
PRPK,0.2031,43,81.79,64
PKCA,-0.3552,69,81.31,65
PKCB,-0.5546,72,80.81,66
WNK2,-0.0133,52,79.89,67
GSK3B,0.7872,31,79.19,68
CHAK1,-0.7022,78,79.09,69
PKCI,-1.0627,98,78.91,70
TLK1,-1.0352,96,77.9,71
NIM1,-0.7334,80,77.86,72
DMPK1,-1.7838,157,77.79,73
PKCH,-1.1223,105,76.49,74
NIK,0.1378,44,76.39,75
PKCG,-1.0247,95,76.15,76
PKN1,-1.7964,159,75.88,77
SRPK3,0.1161,45,75.43,78
ROCK1,-2.1746,179,75.35,79
QIK,-1.036,97,75.13,80
PERK,-1.3052,116,74.62,81
SGK3,-0.7293,79,74.6,82
BMPR2,-0.0593,56,74.51,83
NEK6,-0.7464,81,74.5,84
CHAK2,-0.6375,76,74.3,85
ROCK2,-1.7733,154,73.75,86
MASTL,-0.7808,84,73.01,87
PKN2,-0.9511,92,72.75,88
CLK3,0.3154,41,72.54,89
CHK2,-1.8407,161,72.52,90
IRE1,-1.228,112,72.13,91
CDK12,0.7837,32,71.63,92
AKT3,-2.3212,185,70.83,93
MEKK3,-1.4143,122,70.81,94
CDK13,1.0786,22,70.41,95
QSK,-1.476,125,70.19,96
CDK5,0.4885,37,70.17,97
SMMLCK,-1.6393,139,69.99,98
YSK4,-1.5129,128,69.66,99
AKT1,-1.8444,164,69.3,100
PKCD,-0.942,91,68.99,101
PLK4,-2.6086,198,68.78,102
CDK6,0.0947,47,68.56,103
BUB1,-2.0549,171,67.94,104
MNK2,-1.0761,100,67.9,105
MRCKB,-2.2793,183,67.8,106
PRP4,-0.2258,62,67.71,107
MARK3,-2.1042,175,67.65,108
CAMK1A,-2.5469,195,67.47,109
MST4,-1.149,107,67.42,110
TSSK4,-0.7997,85,67.31,111
MARK4,-1.1839,108,67.19,112
SRPK1,-0.0244,53,66.67,113
SGK1,-2.0063,168,66.41,114
AKT2,-1.6827,143,66.37,115
AMPKA1,-1.0691,99,66.35,116
DSTYK,-0.9827,93,65.96,117
MTOR,-0.0009,50,65.7,118
DAPK3,-2.3029,184,65.67,119
DNAPK,-1.0946,103,65.06,120
CDK9,-0.5645,73,64.78,121
PHKG2,-3.1195,221,64.56,122
TSSK1,-1.3637,120,64.51,123
DAPK2,-0.6004,75,64.44,124
CLK2,-0.1771,60,64.37,125
BRAF,-1.7068,145,64.36,126
ICK,-1.346,118,63.56,127
TTBK2,-1.3769,121,62.78,128
CDK3,-1.7775,155,62.6,129
AMPKA2,-1.5133,129,62.39,130
IRAK1,-2.4808,191,62.15,131
MAK,-0.6521,77,61.87,132
CDK2,-1.273,114,61.82,133
CDK1,-0.763,83,61.48,134
CDKL1,-0.3299,67,61.45,135
SRPK2,-1.1203,104,60.83,136
CDK4,-1.1974,109,60.75,137
MNK1,-2.185,180,60.72,138
TSSK2,-1.4978,127,60.69,139
NEK7,-1.6657,142,60.61,140
SLK,-2.8816,208,60.6,141
MLK3,-1.7004,144,60.54,142
P38A,-0.3225,65,60.18,143
PASK,-2.0666,173,60.06,144
CAMK1G,-2.5327,194,60.0,145
SMG1,-1.5189,130,59.2,146
IRE2,-2.1314,177,58.94,147
WNK3,-1.5712,133,58.77,148
YANK2,-1.708,146,58.4,149
RIPK1,-1.6544,141,58.3,150
HIPK3,-0.2429,63,58.26,151
MLK2,-1.3017,115,57.57,152
HUNK,-1.7814,156,57.53,153
BCKDK,-2.1572,178,57.32,154
YANK3,-0.8906,87,57.29,155
ANKRD3,-1.4697,124,56.82,156
TLK2,-1.6093,137,56.79,157
P38G,-1.4844,126,56.59,158
ERK7,-2.0556,172,56.37,159
CDK10,-1.8244,160,56.19,160
CAMLCK,-0.8808,86,56.08,161
RIPK2,-3.8445,267,55.51,162
ULK3,-3.0401,216,54.59,163
SIK,-2.9194,209,53.89,164
SSTK,-3.1738,228,53.48,165
MOK,-1.609,136,53.31,166
CLK1,-1.4374,123,53.28,167
CRIK,-3.938,272,53.23,168
CAMK1D,-2.9327,210,52.9,169
CAMK2D,-1.5697,132,52.88,170
PAK6,-3.3595,244,51.91,171
PKG2,-3.1872,231,51.73,172
MARK1,-3.1989,233,51.68,173
PAK5,-4.2427,281,51.59,174
MRCKA,-3.4755,250,51.21,175
ULK2,-2.0344,169,50.92,176
PAK4,-4.5492,292,50.74,177
NUAK2,-1.6334,138,50.7,178
DAPK1,-3.1736,227,50.16,179
PKACA,-4.0807,276,50.05,180
PKG1,-5.5373,304,49.91,181
PHKG1,-3.0105,212,49.79,182
ALK4,-1.2054,110,49.29,183
NDR1,-2.3314,186,48.29,184
MELK,-2.7051,203,48.27,185
MARK2,-3.175,229,48.12,186
PINK1,-1.6407,140,48.04,187
JNK2,-1.5379,131,47.7,188
PKACB,-3.5776,252,46.96,189
BRSK2,-3.68,259,46.79,190
MLK1,-1.9591,167,46.63,191
MLK4,-3.1507,224,46.35,192
RSK3,-2.5616,196,46.08,193
CLK4,-1.7139,147,45.83,194
P90RSK,-2.0946,174,44.63,195
GSK3A,0.0409,49,44.33,196
BMPR1B,-1.8407,161,44.18,197
P38B,-2.2506,182,43.79,198
PIM2,-2.799,204,42.96,199
TTBK1,-3.9111,270,42.93,200
MAPKAPK3,-2.6105,199,42.86,201
ERK1,-2.4071,188,42.19,202
PKACG,-3.2864,241,41.65,203
SBK,-3.3314,242,41.53,204
JNK3,-1.7729,153,41.15,205
SKMLCK,-3.728,261,40.92,206
HIPK1,-1.7876,158,40.76,207
CDKL5,-1.7437,150,40.58,208
CAMK1B,-1.0761,100,40.19,209
