index,Score,Score Rank,Percentile,Percentile Rank
ERK7,4.8867,1,98.41,1
HASPIN,1.5676,32,97.72,2
NUAK2,2.5075,26,96.45,3
KIS,4.1241,4,94.58,4
CK1A2,1.3338,34,94.32,5
NUAK1,1.4665,33,93.96,6
CK1G3,1.1857,35,93.48,7
ERK2,3.6904,8,92.7,8
NLK,2.8922,16,92.63,9
ERK1,4.2875,2,92.35,10
P38A,3.9162,6,92.28,11
CDK2,2.6321,23,92.14,12
CK1G2,0.9154,42,91.87,13
CDK19,3.8296,7,91.83,14
CDK17,4.2533,3,91.37,15
PKR,-0.0039,58,91.05,16
CDK12,3.6048,9,90.97,17
CDK8,3.5274,11,90.84,18
CDK5,3.2931,13,90.17,19
CDK10,2.6767,20,88.64,20
ERK5,1.9745,29,87.82,21
CDK18,3.5796,10,87.5,22
CDK16,3.2041,14,86.71,23
CDK6,2.812,18,86.51,24
HIPK3,2.8792,17,86.4,25
CDK13,2.9203,15,86.29,26
CDK9,2.6681,21,85.87,27
CDK4,2.7191,19,85.74,28
P38G,3.9895,5,85.54,29
AAK1,-2.0147,134,84.98,30
CDK14,2.666,22,84.93,31
P38D,3.4733,12,84.78,32
CDK7,2.6315,24,83.62,33
PINK1,0.3065,51,83.61,34
LRRK2,-1.3912,95,83.19,35
CK1E,0.2831,52,83.12,36
NEK11,-1.2594,89,83.01,37
CLK1,1.1275,36,81.96,38
MLK3,-0.5663,67,81.72,39
HIPK1,2.5193,25,81.69,40
CK1G1,-0.3628,60,81.1,41
CDK3,1.0822,38,80.94,42
PKCI,-0.9464,76,80.11,43
MLK4,-1.1477,81,80.01,44
CDK1,2.3571,27,79.83,45
BIKE,-2.5666,162,79.36,46
PKCH,-0.9099,75,78.95,47
CDKL1,0.7188,44,78.83,48
MST4,-0.4359,64,77.9,49
HIPK2,1.9488,30,77.72,50
ANKRD3,-0.6513,69,77.32,51
CDKL5,0.4893,47,75.94,52
MEKK1,-1.2643,90,75.7,53
P38B,2.239,28,75.32,54
PKN1,-1.8769,124,75.08,55
CLK3,0.4966,46,75.07,56
CK1A,-0.474,65,74.85,57
PKCE,-1.5517,105,74.73,58
SRPK3,0.0433,57,74.64,59
SMMLCK,-1.2882,92,74.59,60
PRP4,0.4029,49,74.53,61
MLK1,-0.7443,70,74.5,62
DYRK3,0.8038,43,74.3,63
GAK,-1.918,127,73.87,64
TTK,-3.1463,192,73.67,65
ULK3,-1.8198,118,73.09,66
IRE1,-1.1672,82,73.02,67
JNK2,1.7935,31,72.18,68
DYRK1B,1.1178,37,71.47,69
PKCA,-1.2065,84,71.32,70
PLK1,-0.7946,71,71.23,71
MTOR,0.2509,53,71.17,72
NEK3,-2.1675,144,71.11,73
JNK1,0.968,41,70.49,74
JNK3,1.0255,39,70.38,75
MEKK2,-1.558,106,70.26,76
PKCG,-1.516,104,70.02,77
MEKK3,-1.4605,101,69.85,78
CDKL2,-0.4249,63,69.47,79
PKN2,-1.1991,83,69.3,80
PHKG1,-1.7114,113,69.1,81
TLK1,-1.6125,109,68.66,82
CLK4,-0.0341,59,68.19,83
SRPK1,0.056,55,67.6,84
MNK2,-1.1019,80,67.53,85
MEKK6,-3.3769,208,66.91,86
DYRK1A,0.3997,50,66.65,87
MST1,-2.2327,149,66.63,88
PHKG2,-2.9888,184,65.98,89
HIPK4,0.4197,48,65.91,90
DYRK2,0.7025,45,65.81,91
GSK3A,0.9993,40,65.03,92
PKCZ,-1.4457,99,65.03,92
PKCB,-1.857,122,64.76,94
MST3,-1.8253,119,64.18,95
PLK2,-1.8747,123,64.05,96
TTBK2,-1.3192,93,63.79,97
DYRK4,0.1383,54,63.24,98
NIK,-0.3694,61,62.99,99
MYO3A,-4.0177,239,62.98,100
PKCT,-2.4622,155,62.83,101
ZAK,-2.2103,148,62.75,102
MOK,-0.631,68,62.69,103
MEK5,-1.8558,121,62.31,104
GCN2,-1.6764,111,62.26,105
MAP3K15,-2.631,166,62.1,106
SRPK2,-1.0351,78,62.05,107
PKCD,-1.386,94,61.69,108
IRAK4,-2.0009,133,61.5,109
GRK2,-0.4112,62,61.38,110
WNK4,-1.8007,117,61.07,111
IRAK1,-2.5845,164,60.47,112
TGFBR2,-1.7185,115,59.52,113
CHK2,-2.945,182,59.47,114
DMPK1,-3.4396,213,59.46,115
WNK2,-1.2159,86,59.38,116
YANK2,-1.6956,112,58.67,117
MST2,-3.1169,191,57.53,118
CHK1,-1.4558,100,57.34,119
YSK4,-2.0696,136,57.18,120
ICK,-1.9996,132,57.11,121
KHS2,-3.2017,197,57.1,122
PLK3,-1.718,114,57.07,123
WNK1,-1.4212,97,57.0,124
CAMK1G,-2.7356,173,56.95,125
NEK7,-1.8474,120,56.81,126
MAK,-1.2148,85,56.59,127
IRE2,-2.2741,150,56.47,128
TTBK1,-3.0067,185,56.25,129
TAO2,-2.5398,160,56.18,130
WNK3,-1.7374,116,55.55,131
DSTYK,-1.5638,107,55.4,132
YSK1,-3.6697,225,55.27,133
PERK,-2.1999,147,55.16,134
ATM,-1.4846,103,54.7,135
PIM2,-2.1553,142,54.69,136
EEF2K,-3.2289,198,54.36,137
RIPK1,-1.8917,126,53.79,138
HPK1,-3.1866,195,53.77,139
HRI,-2.1585,143,53.44,140
MYLK4,-2.734,172,53.2,141
MNK1,-2.7471,174,52.43,142
ASK1,-4.6488,262,52.27,143
NEK6,-1.9622,131,52.09,144
MYO3B,-4.3908,251,52.06,145
TAO1,-4.2069,245,51.63,146
SLK,-3.4417,214,50.49,147
BUB1,-3.3735,207,50.47,148
QIK,-2.7139,169,50.33,149
STK33,-3.2437,200,50.25,150
CAMK1B,-0.8094,72,50.22,151
LOK,-3.3074,202,50.2,152
CHAK1,-2.5943,165,50.0,153
GRK3,-1.2784,91,49.6,154
PLK4,-3.8818,233,48.55,155
RIPK3,-2.5309,158,48.51,156
NEK9,-1.8776,125,48.38,157
NEK2,-2.334,152,48.25,158
BMPR1A,-2.7908,176,47.83,159
CAMK1A,-4.1884,243,47.81,160
FAM20C,-3.6674,224,47.6,161
GSK3B,0.0487,56,47.5,162
RSK3,-2.494,157,47.39,163
BMPR2,-0.4952,66,46.09,164
PKN3,-1.0534,79,45.96,165
DRAK1,-2.1886,146,45.54,166
MINK,-3.8989,235,45.26,167
MRCKB,-3.8963,234,45.14,168
MARK2,-3.3624,206,44.91,169
DCAMKL2,-2.717,170,44.63,170
ACVR2A,-2.0822,137,44.13,171
PDHK4,-0.8973,74,43.88,172
PDK1,-2.719,171,43.85,173
SGK3,-3.0274,186,43.03,174
HUNK,-2.4356,154,42.72,175
YANK3,-1.4215,98,42.4,176
PRKD3,-2.8944,179,42.23,177
DAPK3,-3.6792,226,41.79,178
NEK8,-3.3255,203,41.64,179
NIM1,-2.713,168,41.6,180
MAPKAPK5,-3.6306,221,41.32,181
SBK,-3.3774,209,40.84,182
CLK2,-2.182,145,40.56,183
CK1D,-2.9571,183,40.27,184
PIM1,-2.1328,140,39.64,185
HGK,-3.7326,228,39.63,186
SMG1,-1.9218,129,39.45,187
DAPK2,-1.2578,88,39.36,188
ALK1,-1.6149,110,39.14,189
NEK4,-3.8394,231,38.62,190
DAPK1,-3.7679,229,38.49,191
OSR1,-4.8011,265,38.23,192
TSSK1,-3.0962,189,37.91,193
RIPK2,-4.8876,268,37.42,194
CAMK4,-3.6168,220,36.53,195
TAO3,-2.7936,177,36.38,196
GCK,-3.6601,223,36.34,197
KHS1,-4.2336,247,36.09,198
MEK1,-1.9318,130,35.87,199
MARK3,-4.1802,242,35.32,200
TNIK,-3.9558,238,35.18,201
ACVR2B,-2.5452,161,35.16,202
GRK7,-4.0706,240,34.87,203
CAMK2G,-1.4678,102,34.5,204
NEK5,-3.1663,194,34.22,205
DNAPK,-2.4021,153,34.0,206
ROCK1,-5.4819,284,33.67,207
