index,Score,Score Rank,Percentile,Percentile Rank
CK1G3,5.0296,1,99.95,1
CK1G1,3.9595,4,99.85,2
TTBK1,2.3934,9,99.74,3
CK1G2,4.5282,2,99.64,4
CK1A,2.5835,8,99.19,5
RIPK2,0.9866,28,98.8,6
GRK3,3.1168,5,98.24,7
AURA,4.2005,3,98.03,8
CK1A2,1.9354,10,97.91,9
MEKK3,0.6862,33,97.55,10
DLK,1.0765,25,97.54,11
GRK2,1.9141,11,97.36,12
PAK2,2.9235,6,97.33,13
TTBK2,1.2688,20,97.16,14
CK1D,2.6002,7,96.53,15
GCN2,0.8857,29,96.23,16
RIPK3,1.2598,21,96.16,17
MLK3,1.213,23,95.98,18
MLK4,1.0132,27,95.76,19
YANK3,1.7842,12,95.7,20
GRK1,1.6171,15,95.08,21
SNRK,0.5356,38,94.64,22
PAK4,1.4186,18,94.43,23
PAK6,1.7644,13,94.36,24
ULK1,0.0641,53,93.87,25
YANK2,0.5873,35,93.66,26
MLK1,0.7449,32,93.63,27
VRK2,-0.5353,83,93.27,28
PAK3,1.5695,16,93.18,29
PAK1,1.7101,14,93.0,30
PDHK1,0.5102,40,92.96,31
RIPK1,0.8532,30,92.78,32
PERK,0.0871,50,92.65,33
IRAK1,-0.1639,66,91.65,34
AURB,1.1609,24,91.15,35
GRK6,1.5653,17,91.06,36
PLK4,-0.4788,79,91.04,37
CK1E,0.7636,31,90.68,38
BMPR1A,1.3367,19,90.39,39
ANKRD3,0.0834,51,89.9,40
PAK5,0.2509,44,89.84,41
MEK1,-0.5569,84,89.52,42
GRK4,1.025,26,89.49,43
PKG1,-0.0432,60,89.49,43
MEKK6,-1.684,135,89.3,45
MEK5,-0.77,93,89.3,45
MEK2,-1.7924,142,88.92,47
PLK1,0.544,37,88.69,48
STK33,-0.5073,81,88.63,49
CAMLCK,1.2585,22,88.34,50
IKKE,0.1546,47,88.28,51
STLK3,-2.8442,188,88.28,51
SKMLCK,0.5929,34,88.27,53
MEKK2,-0.5877,85,87.95,54
PDHK4,0.2202,45,87.88,55
TTK,-1.9162,150,87.09,56
ULK2,-0.076,62,86.81,57
ULK3,-0.6097,87,86.51,58
ACVR2A,0.551,36,86.08,59
ZAK,-0.8234,98,86.03,60
MNK2,0.5248,39,85.79,61
IRE2,-0.2805,74,85.61,62
PLK2,0.2761,43,85.42,63
MEKK1,-0.7463,91,85.0,64
CHAK1,-0.2251,71,84.82,65
SMMLCK,-0.2725,73,84.4,66
GRK7,-0.1326,64,84.26,67
ALK2,0.1776,46,83.74,68
ACVR2B,0.3204,42,83.73,69
TBK1,-0.1423,65,83.68,70
PKG2,-0.3054,76,83.03,71
PKCD,0.1044,48,82.7,72
MSK1,0.0978,49,82.58,73
TLK1,-0.6975,90,82.36,74
MSK2,-0.2044,70,82.22,75
PLK3,0.0362,56,81.8,76
PKCH,-0.6261,89,81.72,77
TGFBR2,-0.4709,78,81.69,78
GRK5,0.4044,41,81.59,79
MYLK4,-0.3194,77,81.28,80
NEK8,-1.3139,121,81.26,81
HRI,-0.8323,99,81.12,82
RSK4,-0.0178,59,80.91,83
BMPR2,0.0518,54,79.27,84
PKCT,-1.0192,104,79.07,85
ALK4,-0.2699,72,78.92,86
P90RSK,0.0035,58,78.68,87
ASK1,-2.8677,190,78.66,88
ALK1,-0.0948,63,78.32,89
VRK1,-2.4106,171,77.61,90
MAP3K15,-1.7879,141,77.43,91
BMPR1B,0.047,55,77.24,92
MAPKAPK5,-1.2045,114,77.2,93
HUNK,-0.7957,94,77.13,94
MNK1,-0.9353,102,76.43,95
AURC,-1.1378,113,76.25,96
DAPK2,-0.0455,61,75.98,97
RSK2,-0.1855,69,75.96,98
IRAK4,-1.0343,106,74.95,99
BCKDK,-1.2805,117,74.62,100
DAPK1,-1.4333,125,74.33,101
PKACA,-1.765,140,74.33,101
DRAK1,-0.9618,103,73.51,103
RSK3,-0.8144,96,73.28,104
CAMK1B,0.0797,52,73.2,105
NIM1,-1.0714,110,72.68,106
CAMK4,-1.2829,118,72.37,107
DSTYK,-0.6028,86,72.32,108
TLK2,-0.8133,95,72.12,109
DAPK3,-1.818,144,71.84,110
EEF2K,-2.3771,169,70.93,111
ALPHAK3,-2.517,177,70.76,112
MRCKA,-1.9425,152,70.67,113
AKT1,-1.9039,148,68.64,114
WNK3,-1.0453,107,68.22,115
RAF1,-0.5067,80,68.08,116
P70S6K,-2.1287,156,67.44,117
MRCKB,-2.3713,168,66.79,118
PHKG2,-2.9191,193,66.74,119
PKACG,-1.6395,133,66.33,120
CLK4,-0.1736,67,66.33,120
NEK9,-1.0236,105,66.25,122
YSK4,-1.6848,136,66.01,123
PKCA,-1.6435,134,65.35,124
IKKA,-1.2867,119,64.07,125
DCAMKL2,-1.7019,137,63.88,126
DYRK3,-0.1745,68,63.81,127
NEK7,-1.5159,127,63.57,128
PKCE,-2.5299,178,63.51,129
TAK1,-3.0681,198,63.49,130
NEK2,-1.4047,124,63.34,131
IRE1,-1.7648,139,63.16,132
IKKB,-0.8547,101,63.04,133
TGFBR1,-0.7614,92,62.83,134
P70S6KB,-1.2394,115,62.77,135
NEK11,-2.3051,164,62.49,136
BRSK1,-2.5146,176,62.41,137
ROCK1,-3.4455,216,61.5,138
CHK2,-2.804,185,61.35,139
PINK1,-1.0461,108,60.12,140
PKCG,-2.2629,162,59.59,141
PKACB,-2.7481,181,58.62,142
NDR1,-1.7506,138,58.36,143
SMG1,-1.5456,128,57.98,144
MLK2,-1.2923,120,57.77,145
CLK1,-1.0848,111,57.67,146
PHKG1,-2.5671,179,56.55,147
YSK1,-3.62,221,56.14,148
SGK1,-2.812,186,56.01,149
SGK3,-2.2022,160,55.94,150
NEK3,-3.107,202,55.84,151
KIS,-1.3425,123,55.84,151
AKT2,-2.3931,170,55.66,153
BRSK2,-3.0801,199,55.65,154
PKN1,-3.636,222,54.76,155
OSR1,-3.8933,238,54.71,156
PDK1,-2.3417,166,54.16,157
MOS,-0.2845,75,54.14,158
CAMK1A,-3.7379,227,53.72,159
CK2A1,-3.913,241,53.42,160
WNK4,-2.26,161,53.15,161
DMPK1,-3.8913,237,52.9,162
WNK2,-1.5604,130,52.29,163
AKT3,-4.0003,244,51.89,164
ATR,-0.6155,88,51.76,165
CAMK1G,-3.0849,200,51.73,166
CAMKK1,-2.9991,196,51.47,167
PKCI,-3.1854,206,51.41,168
ROCK2,-3.4795,218,51.29,169
MARK1,-3.2297,208,51.23,170
PKR,-1.8258,145,50.93,171
LOK,-3.2665,211,50.88,172
BRAF,-2.2798,163,49.68,173
PRP4,-1.8451,146,49.42,174
PKCZ,-2.4287,173,49.17,175
ALK7,-1.0572,109,49.07,176
