index,Score,Score Rank,Percentile,Percentile Rank
BUB1,3.7803,1,99.22,1
IRE2,2.5526,4,99.03,2
HASPIN,1.4963,16,97.59,3
MYO3A,0.0611,44,97.16,4
MLK3,1.5486,14,97.05,5
PKCG,2.1491,6,96.79,6
PKCD,2.2592,5,96.69,7
CDK2,3.6934,2,96.65,8
PKCE,2.1213,7,96.51,9
PKCI,1.8356,12,96.47,10
MLK1,1.3705,19,96.46,11
PKR,0.6846,30,96.37,12
PKCB,1.8918,9,96.29,13
PKCH,1.7853,13,96.25,14
PKCA,2.0605,8,96.13,15
PKCZ,1.8538,11,95.89,16
EEF2K,0.3363,38,95.7,17
STK33,0.5867,32,95.45,18
PINK1,1.5277,15,95.24,19
IRE1,1.0011,23,95.16,20
MYO3B,-0.3779,60,95.08,21
MLK2,0.9206,27,94.61,22
CHAK1,0.9153,28,94.58,23
IRAK4,0.9837,24,94.46,24
MLK4,0.6762,31,94.42,25
PKCT,1.3699,20,94.33,26
SLK,0.0084,47,93.92,27
MST4,1.3083,21,93.64,28
CHAK2,0.9307,25,93.36,29
PKN2,1.3754,17,93.16,30
HGK,-0.2757,54,93.14,31
PHKG2,0.3219,39,91.84,32
TNIK,-0.3168,57,91.74,33
MST1,-0.3138,56,91.5,34
MST3,0.1671,42,91.3,35
CDK3,2.5581,3,90.93,36
NEK8,-0.5597,68,90.38,37
MINK,-0.9698,88,89.86,38
CLK3,1.8695,10,89.32,39
TAO2,-0.7914,78,88.82,40
CAMK1G,0.3939,35,88.13,41
WNK1,0.7482,29,88.03,42
LRRK2,-1.0585,95,87.26,43
HRI,-0.4185,62,87.2,44
TAO1,-1.732,145,86.82,45
KHS2,-1.0139,91,86.28,46
YSK1,-1.5194,133,86.12,47
MST2,-1.3921,120,86.04,48
PKN1,-0.4878,66,85.76,49
SMMLCK,-0.1931,51,85.03,50
LOK,-1.0289,93,84.67,51
ULK2,-0.2322,53,84.66,52
ULK1,-0.8929,83,84.46,53
NEK4,-1.1397,102,83.54,54
KHS1,-1.2568,111,83.4,55
GCK,-1.1796,104,83.0,56
CAMKK1,-1.3846,118,82.61,57
NIK,0.4266,34,82.29,58
TAO3,-0.5767,69,82.28,59
NUAK1,-0.4896,67,81.72,60
PHKG1,-0.6791,75,81.33,61
DLK,-0.2067,52,81.29,62
NEK11,-1.3662,117,81.28,63
HPK1,-1.5131,131,81.06,64
CDKL1,0.928,26,80.81,65
NUAK2,0.1145,43,79.91,66
NEK9,-0.3267,58,79.63,67
CAMK1A,-1.1325,99,79.21,68
YSK4,-0.9684,87,79.16,69
OSR1,-2.3423,185,79.15,70
VRK1,-2.3188,183,79.05,71
ZAK,-1.3521,116,78.77,72
MNK1,-0.8139,79,77.76,73
NEK2,-0.4636,65,77.62,74
CHK2,-1.3262,115,77.17,75
SSTK,-1.2532,110,76.04,76
WNK2,-0.2792,55,76.03,77
PIM1,-0.0161,48,75.98,78
COT,0.5042,33,75.94,79
GAK,-1.7562,149,75.88,80
WNK3,-0.5957,70,75.79,81
MYLK4,-1.2317,108,73.97,82
CDK5,1.1509,22,73.93,83
MEKK6,-2.9366,214,73.85,84
AKT2,-1.0961,97,72.89,85
CDK1,1.3712,18,72.67,86
