index,Score,Score Rank,Percentile,Percentile Rank
NIM1,2.8365,1,99.35,1
HUNK,1.1353,13,96.74,2
MARK4,1.7228,4,95.64,3
QSK,1.5791,5,94.16,4
QIK,1.219,10,93.8,5
PLK4,-0.0454,50,93.53,6
PRPK,0.4994,28,93.41,7
ULK2,0.5016,26,93.26,8
LATS1,1.8472,2,92.34,9
MST3,0.3164,36,92.33,10
BCKDK,0.1585,42,92.18,11
MARK3,0.6759,20,91.89,12
NEK6,0.715,18,91.72,13
COT,1.5658,6,91.67,14
NEK2,0.6457,22,91.3,15
TSSK4,1.5361,7,90.97,16
PKCB,0.651,21,90.68,17
AMPKA2,1.3101,9,90.39,18
MPSK1,0.735,17,90.22,19
TNIK,-0.5243,76,90.19,20
NDR2,1.362,8,90.16,21
AMPKA1,1.1529,12,89.97,22
CDC7,0.8219,16,89.47,23
PKCG,0.453,29,89.41,24
SIK,0.6811,19,89.19,25
MARK1,0.128,43,88.78,26
MASTL,-0.1083,55,88.41,27
PAK6,0.2782,38,88.08,28
MEKK2,-0.58,83,88.07,29
PKCA,0.3801,32,87.68,30
YSK1,-1.4036,140,87.23,31
PRKD1,1.213,11,86.97,32
DCAMKL1,0.8719,15,86.43,33
MNK2,0.6009,24,86.42,34
TSSK1,0.543,25,86.15,35
MLK2,0.085,45,85.8,36
GRK4,0.6109,23,85.7,37
BRSK1,-0.2399,59,85.4,38
MARK2,-0.3296,64,84.76,39
NEK7,-0.2577,61,84.72,40
TSSK2,0.3343,35,84.33,41
NDR1,0.2744,39,84.2,42
LATS2,0.1898,41,84.08,43
RSK3,0.3827,31,84.05,44
MST4,0.0843,46,84.03,45
MTOR,0.9335,14,83.95,46
MST1,-1.097,124,83.92,47
TAO3,-0.4701,73,83.73,48
NUAK2,0.4475,30,83.58,49
PAK4,-1.2427,129,83.28,50
NEK9,-0.1151,56,83.19,51
SSTK,-0.5173,75,82.74,52
RSK2,0.4995,27,82.18,53
PKCH,-0.6425,88,81.57,54
ULK1,-1.1362,126,81.25,55
WNK2,0.087,44,81.22,56
PKCT,-0.7875,101,81.2,57
BRSK2,-0.955,112,81.11,58
PKCD,-0.0502,51,81.07,59
HGK,-1.5434,152,81.01,60
PKCZ,-0.2603,62,80.83,61
EEF2K,-1.6834,167,80.75,62
PRKX,-0.5878,84,80.45,63
MLK1,-0.4621,72,80.11,64
