index,Score,Score Rank,Percentile,Percentile Rank
IRAK1,0.8426,13,97.17,1
CAMK2D,2.2549,1,95.7,2
PRPK,0.5326,20,94.2,3
ZAK,0.0868,33,93.78,4
YANK2,0.5854,18,93.64,5
IKKA,0.8845,11,93.4,6
MST4,1.1768,6,92.88,7
WNK1,1.3208,4,92.62,8
PDHK4,0.4316,24,92.02,9
ULK3,0.0729,34,91.65,10
MAPKAPK3,1.7271,2,91.61,11
HPK1,-0.3822,68,91.55,12
TBK1,0.8084,15,91.44,13
IKKB,0.9495,9,91.08,14
NEK11,-0.6127,82,90.8,15
MINK,-0.8486,107,90.79,16
CK1E,0.7689,16,90.74,17
CK1A2,0.9593,8,90.49,18
MAP3K15,-0.755,95,90.41,19
MEKK3,-0.2614,55,90.37,20
CK1D,1.1314,7,90.34,21
MEKK6,-1.6202,180,89.86,22
MAPKAPK5,0.51,23,89.71,23
YSK4,-0.2128,51,88.95,24
IKKE,0.216,28,88.71,25
KHS1,-0.6934,89,88.66,26
TAO3,-0.0702,41,88.65,27
CK1G1,0.2781,26,88.49,28
MNK2,0.8301,14,88.15,29
MLK1,0.0902,32,88.05,30
CAMK2B,1.5155,3,87.83,31
FAM20C,0.5249,22,87.81,32
DSTYK,0.5275,21,87.38,33
GCK,-0.8054,105,87.2,34
ASK1,-2.022,220,87.08,35
HGK,-1.0456,128,86.91,36
KHS2,-0.9495,118,86.86,37
TAO1,-1.7309,192,86.82,38
BRSK2,-0.246,54,86.8,39
BRAF,-0.6095,80,86.7,40
PDHK1,0.0541,35,86.66,41
ULK2,-0.0926,42,86.57,42
RIPK3,-0.1257,45,86.51,43
MST3,-0.3627,66,86.51,43
WNK3,0.1995,29,86.27,45
TAO2,-1.0403,126,85.8,46
RAF1,0.348,25,85.73,47
MAPKAPK2,0.8934,10,85.5,48
CAMK2A,1.2489,5,85.46,49
CAMK2G,0.5795,19,84.68,50
TNIK,-1.1707,139,84.13,51
DRAK1,-0.3166,61,83.86,52
PKR,-0.5355,74,83.36,53
WNK4,-0.3104,60,83.15,54
PKCB,-0.3218,62,83.1,55
DLK,-0.1294,46,82.93,56
NEK3,-1.3449,155,82.62,57
AKT1,-0.2266,53,82.53,58
AURA,-0.7436,94,82.29,59
DNAPK,-0.0041,37,82.28,60
COT,0.8638,12,82.22,61
PKN2,-0.1441,47,82.16,62
PKCE,-0.7836,101,81.95,63
HRI,-0.7834,100,81.94,64
MARK3,-0.8558,109,81.69,65
MEKK1,-0.9586,119,81.57,66
NEK9,-0.2251,52,81.39,67
RIPK2,-2.0688,224,81.29,68
CK1G2,-0.2735,56,81.12,69
PHKG2,-1.4411,163,80.96,70
MLK3,-0.6308,83,80.76,71
MLK4,-1.0892,131,80.75,72
SKMLCK,-0.5786,77,80.65,73
PKCD,-0.0978,43,80.52,74
GCN2,-0.6759,87,80.51,75
YSK1,-2.0338,221,80.37,76
MST2,-1.8464,205,80.3,77
AKT2,-0.2029,49,80.24,78
CK1A,-0.2078,50,80.07,79
MEK5,-1.2379,144,80.07,79
MNK1,-0.5976,79,79.89,81
