index,Score,Score Rank,Percentile,Percentile Rank
TSSK2,2.935,2,98.12,1
FAM20C,4.6906,1,97.79,2
BCKDK,0.6087,26,95.1,3
RIPK1,1.0586,15,94.23,4
MAPKAPK2,2.3882,3,93.13,5
CAMK1G,1.2601,10,92.22,6
CAMK2A,2.2109,4,91.88,7
CAMK1D,1.9705,6,91.62,8
SSTK,0.8157,22,91.52,9
MAPKAPK3,1.6883,7,91.42,10
ATM,0.9454,18,91.3,11
TSSK4,1.529,8,90.92,12
PDHK4,0.3668,33,90.8,13
CAMK2B,2.0022,5,90.71,14
CAMK2G,1.1351,13,90.35,15
BUB1,0.3656,34,90.25,16
CAMK1B,1.4695,9,88.97,17
DNAPK,0.6903,25,88.94,18
CHK1,0.8885,19,88.77,19
CAMK2D,1.0315,16,88.56,20
TSSK3,0.9933,17,88.49,21
TSSK1,0.7861,23,88.02,22
MARK1,-0.0237,43,87.79,23
PLK3,0.6081,27,87.2,24
CK2A1,0.422,32,87.03,25
PRKD1,1.1895,12,86.76,26
SBK,1.1052,14,86.35,27
AMPKA1,0.6031,28,86.02,28
CK2A2,0.1709,39,85.59,29
CAMK1A,-0.0693,44,85.42,30
AMPKA2,0.539,30,85.36,31
PRKD2,0.7339,24,84.77,32
MAPKAPK5,-0.3569,52,84.7,33
GRK6,0.8217,21,84.49,34
MARK3,-0.5363,60,84.34,35
PRKD3,0.4235,31,83.79,36
NUAK2,0.3592,35,82.71,37
WNK1,0.2276,37,82.33,38
GRK7,-0.5363,60,81.22,39
MYLK4,-0.363,54,80.94,40
QIK,-0.5827,65,80.36,41
BRSK1,-0.9118,74,80.12,42
GRK5,0.2572,36,79.84,43
GRK4,0.0556,42,78.9,44
SMMLCK,-0.9186,76,78.67,45
RSK2,0.0632,40,78.44,46
MARK4,-0.5461,62,77.32,47
SKMLCK,-0.9894,81,77.27,48
CAMK4,-0.8414,70,77.18,49
WNK3,-0.5519,63,76.5,50
MARK2,-1.2138,96,76.37,51
BRSK2,-1.4633,109,76.2,52
PDHK1,-0.4422,58,76.02,53
SIK,-1.1746,93,75.76,54
PLK2,-0.9181,75,75.34,55
YANK3,-0.1189,45,75.29,56
WNK4,-0.9785,79,74.3,57
CAMLCK,-0.2237,48,73.64,58
SMG1,-1.1416,89,73.28,59
