index,Score,Score Rank,Percentile,Percentile Rank
NLK,3.6171,14,97.47,1
DYRK4,5.8803,1,97.4,2
ERK2,4.3985,4,96.47,3
DYRK3,4.3437,5,96.22,4
DYRK1B,5.0161,2,96.16,5
CDK14,4.6198,3,95.46,6
HASPIN,0.4657,50,95.17,7
ERK5,2.8428,28,94.92,8
HIPK3,4.0428,10,93.57,9
CDK7,4.1707,8,93.54,10
DYRK2,4.2557,6,93.38,11
HIPK1,4.2469,7,92.82,12
MOK,3.3464,17,92.82,12
P38A,3.8226,12,91.69,14
CDK10,3.2624,21,91.69,14
DNAPK,1.0263,43,91.31,16
CDK17,4.0555,9,90.16,17
CLK3,1.9429,35,89.87,18
DYRK1A,3.0373,22,89.54,19
CDK18,3.8902,11,89.17,20
ICK,1.9849,34,88.98,21
ERK1,3.6619,13,88.67,22
BIKE,-1.4244,96,88.55,23
AAK1,-1.4867,100,88.33,24
CDK4,2.9991,24,87.59,25
CLK4,1.8938,37,87.46,26
CDK16,3.2983,20,87.25,27
CDKL2,1.5404,38,87.04,28
PINK1,0.5751,49,87.01,29
JNK1,3.5035,15,86.19,30
SBK,1.053,42,86.13,31
CAMKK2,-1.6718,105,86.06,32
CDK19,2.8582,27,86.05,33
MAPKAPK5,-0.2015,58,85.78,34
P38B,3.3119,19,85.59,35
CDK8,2.8065,29,85.44,36
MAK,2.2689,33,85.43,37
PDHK4,0.112,56,85.23,38
CAMK2G,0.5984,48,84.94,39
JNK2,3.4798,16,84.33,40
ULK3,-0.851,77,84.3,41
CDK12,2.6663,30,84.29,42
P38D,3.3253,18,83.87,43
HIPK2,2.8716,26,83.69,44
CDK9,2.3084,32,83.16,45
SRPK3,0.9013,45,82.64,46
CLK1,1.2051,41,82.61,47
JNK3,3.0034,23,82.19,48
HIPK4,1.9017,36,81.47,49
CDK13,2.4415,31,81.16,50
SMMLCK,-0.9087,79,78.78,51
CDKL1,0.6762,47,78.41,52
RIPK1,-0.4961,67,77.92,53
IRAK1,-1.4582,98,77.54,54
WNK4,-0.8042,76,76.82,55
P38G,2.8816,25,76.5,56
CDKL5,0.4048,51,74.92,57
CDK5,1.3215,40,74.89,58
ERK7,-0.4293,64,74.68,59
NUAK2,-0.314,60,74.34,60
ATM,-0.5315,68,74.31,61
CDK2,0.7925,46,74.17,62
CDK6,0.9578,44,73.61,63
CAMK1G,-1.4619,99,73.6,64
YANK2,-0.9524,81,73.39,65
WNK1,-0.449,65,73.23,66
CDK1,1.4567,39,73.18,67
NEK3,-2.0963,122,72.2,68
P90RSK,-0.565,69,72.07,69
SMG1,-1.1816,87,72.07,69
CRIK,-2.4084,136,71.11,71
PAK6,-1.8474,115,71.08,72
CDK3,-0.2025,59,71.01,73
DMPK1,-2.5144,142,70.7,74
SRPK1,0.2896,53,70.45,75
LKB1,-1.6881,107,70.3,76
MTOR,0.2048,55,70.22,77
LRRK2,-2.2004,127,69.77,78
CHK2,-2.1151,124,69.65,79
PRKD3,-1.0971,84,69.57,80
PRP4,-0.0934,57,69.05,81
CHK1,-0.7851,75,68.79,82
NEK11,-2.0344,120,68.78,83
MYLK4,-1.7143,109,68.75,84
RIPK3,-1.4264,97,67.97,85
DAPK2,-0.4825,66,67.7,86
CDC7,-0.6624,72,66.91,87
NUAK1,-1.7971,112,66.67,88
KIS,-0.3509,61,66.41,89
CAMLCK,-0.5667,70,66.27,90
GAK,-2.3941,134,65.78,91
BCKDK,-1.7694,111,65.41,92
MNK2,-1.2778,91,64.98,93
PRKD2,-1.4034,94,63.6,94
MSK1,-1.934,117,63.29,95
SRPK2,-0.9616,83,63.08,96
WNK3,-1.3461,93,62.94,97
CAMK1B,-0.4072,63,62.85,98
CAMKK1,-2.4594,140,62.75,99
CK1A2,-0.3736,62,61.3,100
RSK3,-1.7407,110,60.62,101
CAMK2A,-0.9033,78,60.62,101
YANK3,-0.7683,74,60.45,103
P70S6K,-2.7024,155,60.27,104
RIPK2,-3.5713,203,60.21,105
MST4,-1.5824,104,60.17,106
GSK3B,0.3114,52,59.92,107
PKR,-1.5286,102,59.67,108
PDHK1,-0.9534,82,59.58,109
CLK2,-0.6822,73,58.68,110
DAPK1,-2.6957,153,58.5,111
MEKK1,-2.0128,119,58.49,112
SKMLCK,-2.6623,151,57.94,113
WNK2,-1.307,92,57.63,114
