index,Score,Score Rank,Percentile,Percentile Rank
MLK2,2.7013,1,99.74,1
MASTL,1.2327,9,99.03,2
IRE2,1.8224,4,97.79,3
MST2,0.4448,31,97.27,4
CHK1,2.3831,2,96.73,5
BIKE,0.0105,60,96.09,6
YSK4,0.6599,23,95.67,7
PINK1,1.5392,7,95.33,8
PBK,0.5792,27,94.93,9
ANKRD3,0.5287,29,94.56,10
SLK,0.1203,52,94.45,11
LOK,0.1768,46,94.26,12
AAK1,-0.2089,70,94.23,13
PKCZ,1.4483,8,94.15,14
MLK4,0.4248,33,93.26,15
MLK1,0.6782,22,93.17,16
BUB1,0.9271,13,93.13,17
COT,1.7132,5,93.13,17
PHKG1,0.841,17,92.57,19
NEK5,0.0659,56,92.52,20
MLK3,0.3879,37,91.87,21
PKCI,0.6123,26,91.69,22
MST1,-0.3142,78,91.49,23
IKKA,0.6416,24,91.37,24
GAK,-0.3963,83,91.22,25
PIM1,1.9726,3,91.15,26
CAMKK2,-1.1272,131,90.72,27
PIM3,1.5795,6,90.45,28
PKCA,0.7445,20,90.29,29
NEK9,0.3917,36,90.14,30
DSTYK,0.7824,19,89.79,31
IRE1,0.1697,48,89.63,32
PKCD,0.851,16,89.48,33
NIK,0.9168,14,89.43,34
NEK4,-0.6534,103,89.24,35
PKCG,0.4226,34,89.19,36
PKCB,0.4176,35,89.16,37
MELK,0.8614,15,89.06,38
NEK8,-0.7138,106,88.89,39
CAMKK1,-0.8866,116,88.72,40
PKN1,-0.0153,62,88.34,41
PKCT,0.1202,53,88.09,42
MEK5,-0.8618,113,87.84,43
MYO3B,-1.6341,173,87.84,43
PERK,-0.4397,89,87.66,45
IKKB,0.6282,25,87.58,46
HRI,-0.4239,87,87.14,47
ULK2,-0.0669,63,86.93,48
IRAK4,-0.0148,61,86.54,49
PKN3,1.0173,10,85.97,50
MYO3A,-2.1656,210,85.9,51
CAMK1G,0.0264,58,85.9,51
PKCE,-0.3348,81,85.48,53
PRKD2,0.8341,18,85.47,54
PIM2,0.5429,28,85.4,55
HGK,-1.1866,135,85.35,56
CAMK4,0.1103,55,85.2,57
PKN2,0.1545,49,84.97,58
NEK7,-0.2544,72,84.75,59
CAMK1A,-0.2099,71,84.72,60
NEK2,0.0297,57,84.5,61
DRAK1,-0.2796,74,84.37,62
NEK6,-0.0707,64,84.05,63
MEKK2,-0.8649,115,83.95,64
PRKD3,0.4354,32,83.88,65
NUAK1,-0.2639,73,83.73,66
MST4,0.0124,59,83.28,67
PKCH,-0.5175,93,82.71,68
PRKD1,0.7135,21,82.7,69
SBK,0.3155,41,82.49,70
PHKG2,-1.2423,140,82.46,71
MEK1,-0.8631,114,82.31,72
NEK3,-1.3804,147,82.17,73
NEK1,-1.5402,161,81.89,74
MINK,-1.7827,179,81.71,75
ALK1,0.1125,54,81.41,76
SIK,-0.5472,95,81.15,77
CHK2,-0.7813,110,81.11,78
STK33,-1.241,139,81.07,79
QIK,-0.5162,92,81.06,80
MST3,-0.8578,112,80.48,81
NUAK2,0.1235,50,80.0,82
NEK11,-1.4567,154,79.85,83
GCN2,-0.735,109,79.6,84
TAO2,-1.4947,156,78.91,85
MAPKAPK2,-0.0711,65,77.9,86
MAPKAPK3,-0.1233,67,77.85,87
GCK,-1.6066,168,77.01,88
MPSK1,-0.5981,101,76.91,89
ULK1,-1.4293,151,76.76,90
TAO3,-0.9279,119,76.65,91
HPK1,-1.8654,188,76.32,92
NDR1,-0.5023,91,76.25,93
CAMK2D,-0.1185,66,76.23,94
RIPK3,-0.9151,118,76.2,95
YSK1,-2.366,223,76.05,96
TSSK2,-0.4212,86,75.92,97
TSSK4,-0.1898,68,75.51,98
WNK1,-0.3296,79,74.94,99
TNIK,-1.8615,187,74.92,100
MOS,0.3545,39,74.67,101
CDKL5,0.3152,42,73.74,102
CDK16,0.9931,11,73.57,103
RAF1,-0.2799,75,73.55,104
CDK10,0.3491,40,73.34,105
TAO1,-2.8841,257,73.24,106
KHS1,-2.0604,203,73.22,107
AMPKA1,-0.6361,102,72.72,108
WNK3,-0.7923,111,72.59,109
RIPK2,-2.8128,256,71.99,110
CAMK1D,-1.3738,146,71.97,111
IKKE,-1.362,145,71.91,112
CDK18,0.928,12,71.88,113
IRAK1,-1.8604,186,71.83,114
AKT3,-2.2128,214,71.78,115
MRCKA,-1.8409,185,71.78,115
DMPK1,-2.4308,228,71.59,117
KHS2,-2.284,219,71.42,118
TGFBR2,-1.1139,128,71.38,119
TBK1,-1.0136,123,71.38,119
ZAK,-1.8157,182,70.82,121
TAK1,-2.7096,249,70.72,122
MRCKB,-2.0214,201,70.71,123
AKT1,-1.756,177,70.27,124
CDK14,0.475,30,70.15,125
AMPKA2,-0.9741,122,69.89,126
P70S6K,-1.9159,191,69.82,127
CDK6,0.2887,43,69.67,128
CDK2,0.1736,47,69.44,129
MEKK1,-1.5598,164,69.4,130
CDK17,0.2318,45,69.34,131
PASK,-1.4984,157,68.91,132
PLK4,-2.6402,241,68.29,133
QSK,-1.6267,170,68.23,134
CDK5,0.1213,51,68.1,135
AKT2,-1.5468,162,68.04,136
CAMK2A,-0.3982,84,68.02,137
MYLK4,-1.7875,180,67.9,138
CDKL2,-0.5644,97,67.57,139
ERK7,-1.0793,127,66.86,140
SMG1,-1.338,144,66.77,141
ERK5,0.3674,38,66.72,142
TSSK1,-1.2003,136,66.71,143
SNRK,-2.6821,244,66.51,144
PKACG,-1.627,171,66.49,145
LKB1,-1.881,189,66.45,146
MARK1,-2.2136,215,66.05,147
MAPKAPK5,-2.0978,208,65.9,148
MEKK3,-1.6319,172,65.89,149
MNK1,-1.8172,183,65.77,150
MSK2,-1.7974,181,65.48,151
CDK9,-0.5615,96,64.81,152
BRSK2,-2.4205,227,64.8,153
WNK4,-1.5791,167,64.73,154
SMMLCK,-1.9834,196,64.68,155
TSSK3,-2.0787,206,64.52,156
TTK,-3.7696,289,64.31,157
MARK3,-2.3756,224,64.04,158
CDK3,-1.5604,165,63.64,159
MARK4,-1.3808,148,63.62,160
AURC,-2.2779,217,63.57,161
AURB,-2.4599,232,63.56,162
ERK2,-0.5719,100,63.25,163
PKG1,-4.3106,298,63.12,164
NIM1,-1.6249,169,63.07,165
PKR,-1.4143,150,62.98,166
CDK4,-0.9372,120,62.94,167
LRRK2,-2.547,236,62.51,168
CDK19,-0.9675,121,62.49,169
ERK1,-0.4562,90,62.4,170
CDK13,-0.3002,77,62.3,171
FAM20C,-2.6713,243,61.95,172
SSTK,-2.5429,235,61.57,173
MTOR,-0.1928,69,61.45,174
CDK7,-0.6751,104,61.15,175
PAK6,-2.7032,248,61.03,176
P38B,-0.5344,94,61.0,177
CDK1,-0.8974,117,60.55,178
CAMK2G,-0.7158,107,60.54,179
GRK1,-0.7235,108,60.51,180
MEK2,-3.2762,273,60.44,181
ROCK1,-3.5303,284,60.42,182
CDKL1,-0.372,82,60.35,183
PAK5,-3.5495,285,60.33,184
PAK4,-3.8256,291,59.87,185
NLK,0.2335,44,59.83,186
CRIK,-3.4391,281,59.79,187
WNK2,-1.2021,137,59.65,188
MARK2,-2.4813,234,59.51,189
CDK8,-1.119,130,59.04,190
PKG2,-2.6936,246,58.94,191
ULK3,-2.7753,253,58.86,192
DCAMKL2,-1.9923,198,58.66,193
BMPR2,-0.3306,80,58.46,194
ROCK2,-3.0041,264,58.32,195
CAMK1B,-0.5662,98,58.27,196
KIS,-1.1447,134,58.23,197
P38A,-0.5662,98,58.18,198
PKACB,-2.7957,254,57.97,199
ICK,-1.9296,192,57.78,200
RSK2,-1.5159,158,57.66,201
P70S6KB,-1.552,163,57.51,202
DLK,-1.024,125,57.35,203
MEKK6,-3.9323,294,57.29,204
GRK5,-1.0697,126,56.69,205
PAK3,-2.1875,211,56.6,206
TTBK1,-3.0516,265,55.66,207
PDK1,-2.2874,220,55.54,208
RSK3,-2.0662,205,55.13,209
CAMK2B,-1.5303,159,55.03,210
PKACA,-3.729,288,54.92,211
CHAK1,-2.3224,221,54.33,212
CDK12,-1.6921,176,54.27,213
EEF2K,-3.2329,270,54.27,213
JNK2,-1.1278,132,54.24,215
SRPK2,-1.5693,166,54.05,216
NDR2,-1.6834,174,53.27,217
GRK4,-1.3046,143,52.85,218
CHAK2,-1.6884,175,52.75,219
PDHK1,-1.1307,133,52.67,220
SGK3,-2.4316,229,52.5,221
PRKX,-3.6283,287,52.45,222
PAK2,-2.5935,238,51.93,223
RIPK1,-1.9922,197,51.85,224
P38D,-1.7612,178,51.73,225
BCKDK,-2.3891,225,51.72,226
CK1A,-1.3898,149,51.7,227
MSK1,-2.7167,250,51.56,228
MAP3K15,-3.1405,267,51.21,229
DAPK1,-3.1181,266,51.12,230
SKMLCK,-3.156,268,50.39,231
P38G,-1.9794,195,49.88,232
DAPK3,-3.2567,271,49.84,233
BRAF,-2.2793,218,49.68,234
SGK1,-3.2167,269,49.65,235
P90RSK,-1.8863,190,48.93,236
DCAMKL1,-2.1425,209,48.14,237
LATS2,-2.4355,230,47.88,238
HIPK3,-1.2343,138,47.71,239
BMPR1A,-2.8121,255,47.38,240
PAK1,-2.6188,239,47.3,241
ATR,-0.703,105,47.24,242
HASPIN,-4.1696,295,46.13,243
JNK3,-1.535,160,46.07,244
OSR1,-4.4666,300,44.4,245
YANK2,-2.3636,222,43.98,246
PRP4,-2.211,213,42.45,247
CLK3,-1.4375,153,42.25,248
ACVR2A,-2.1932,212,41.29,249
MOK,-2.9287,259,40.45,250
DAPK2,-1.244,141,40.0,251
BMPR1B,-2.0205,200,39.78,252
GRK7,-3.7736,290,39.73,253
HIPK2,-2.6922,245,39.43,254
HIPK1,-1.9392,193,39.11,255
SRPK1,-2.0424,202,39.05,256
MNK2,-2.9089,258,38.94,257
CK1A2,-1.0139,124,38.56,258
VRK1,-4.3435,299,38.14,259
MAK,-3.2649,272,37.64,260
LATS1,-2.0171,199,37.56,261
