Score,Score Rank,Percentile,Percentile Rank
2.8127,2,99.8,1
2.8787,1,99.73,2
2.404,3,98.92,3
0.8986,15,97.96,4
0.7584,16,96.72,5
1.463,4,96.44,6
0.5641,22,92.44,7
0.4318,24,92.36,8
1.4025,6,91.68,9
1.3321,7,91.19,10
0.7384,18,90.9,11
1.4511,5,90.44,12
1.1388,10,90.38,13
0.904,14,90.37,14
0.6643,21,90.23,15
0.4622,23,89.37,16
0.3171,29,89.21,17
-0.3515,55,88.17,18
-0.029,43,88.05,19
0.1153,37,87.91,20
-0.1201,47,85.26,21
-0.8753,82,84.99,22
0.2627,31,84.91,23
-0.0667,46,84.74,24
-0.8527,79,84.12,25
-1.3985,109,84.06,26
-0.8698,81,83.91,27
0.0487,42,83.58,28
0.3891,26,83.58,28
-0.8216,78,83.54,30
1.2076,8,83.04,31
-0.2876,53,82.98,32
-0.515,65,82.9,33
-0.5184,67,82.42,34
-0.8609,80,81.77,35
-0.2449,52,81.29,36
-0.053,45,80.42,37
-0.6399,70,80.28,38
-1.0298,91,80.25,39
0.1068,38,79.64,40
-0.0476,44,79.22,41
-1.7263,126,78.35,42
-0.9827,89,78.17,43
-0.5091,64,77.71,44
-0.1376,49,76.69,45
-0.382,56,76.41,46
-0.9882,90,75.81,47
-0.4981,63,75.71,48
-0.4667,60,75.47,49
-0.9067,85,75.13,50
-1.1277,97,74.92,51
1.1003,12,74.71,52
0.337,28,74.24,53
-0.6101,69,74.2,54
-1.1127,93,74.04,55
-1.659,122,73.78,56
0.3062,30,73.64,57
-0.7401,76,73.36,58
1.1011,11,73.22,59
-1.4345,113,72.66,60
-2.6287,175,72.64,61
-0.4307,59,72.35,62
-0.9527,88,72.17,63
-1.5448,118,71.94,64
0.7259,20,71.9,65
-0.3004,54,71.77,66
-1.8517,132,71.67,67
0.742,17,71.06,68
-1.2724,101,70.56,69
0.9652,13,70.47,70
0.0979,39,69.95,71
-0.8916,84,69.76,72
-0.4254,58,69.53,73
-2.4607,165,69.51,74
-2.9822,196,69.48,75
1.1502,9,69.46,76
-1.3405,105,69.43,77
0.0771,40,69.13,78
0.7272,19,69.09,79
-2.7711,185,69.01,80
-0.7051,74,68.98,81
0.392,25,68.81,82
-0.4753,62,68.8,83
-1.3097,104,68.67,84
0.1208,36,68.45,85
0.2499,33,68.19,86
-1.12,95,67.88,87
-1.2181,99,66.48,88
-2.1391,148,66.34,89
-0.8874,83,66.32,90
-2.0427,141,66.26,91
-0.1938,50,66.1,92
-2.2652,153,65.99,93
-2.0673,144,65.81,94
-1.4217,111,65.54,95
0.0556,41,65.49,96
-0.1242,48,65.47,97
-1.1253,96,65.42,98
0.2624,32,65.23,99
0.2495,34,65.22,100
-3.1165,201,65.01,101
-0.39,57,63.78,102
-2.4813,167,62.58,103
-3.2644,207,62.14,104
-0.6487,71,61.91,105
-2.063,143,61.89,106
-1.4809,114,61.74,107
-0.6572,72,61.61,108
-2.9304,194,61.47,109
0.3413,27,61.27,110
-1.4168,110,61.15,111
-3.9991,244,60.65,112
-1.5615,119,60.44,113
