index,Score,Score Rank,Percentile,Percentile Rank
TGFBR2,3.3513,7,99.76,1
SMG1,3.9142,1,99.67,2
GRK2,2.751,12,99.21,3
ATM,3.9025,2,99.21,3
GRK3,3.7552,3,99.08,5
TLK1,2.0767,17,98.61,6
PERK,1.4773,22,98.6,7
ACVR2A,3.7114,5,98.51,8
BMPR2,1.1009,28,98.11,9
GCN2,1.3891,24,98.07,10
ALK4,2.6538,13,97.77,11
ALK1,2.5418,14,97.46,12
ATR,2.2511,16,97.38,13
ACVR2B,3.1096,10,97.36,14
ALK7,3.7241,4,97.28,15
PLK2,3.2128,8,97.01,16
BMPR1B,3.5346,6,96.89,17
TGFBR1,3.0662,11,96.51,18
CK1E,1.3902,23,96.39,19
BMPR1A,3.1174,9,96.1,20
ALK2,2.5156,15,95.86,21
CK1G2,1.79,20,95.83,22
PLK3,2.0258,18,95.47,23
TLK2,1.3493,26,95.24,24
CHK1,1.91,19,95.0,25
CK1A,1.1496,27,94.75,26
CK1G3,1.3626,25,94.39,27
HRI,0.2876,38,93.75,28
GRK4,1.6146,21,93.43,29
TTK,-1.2462,78,91.75,30
HUNK,0.2453,39,90.9,31
DNAPK,0.8758,29,90.31,32
NEK6,0.3147,37,88.34,33
TTBK2,0.236,40,88.24,34
CK1D,0.6765,30,87.44,35
CDC7,0.5695,34,87.2,36
CK1G1,0.105,41,86.74,37
GRK7,0.0713,43,85.75,38
DSTYK,0.3471,36,85.39,39
CK1A2,0.5715,33,84.56,40
NEK7,-0.3007,53,84.11,41
TTBK1,-0.8654,63,83.96,42
GRK5,0.5933,32,83.74,43
PRKD1,0.6302,31,81.97,44
PLK1,-0.1464,47,81.16,45
EEF2K,-1.6914,101,80.65,46
TSSK3,-0.3114,54,80.61,47
VRK2,-1.4417,89,79.5,48
SIK,-0.8512,62,78.76,49
TSSK2,-0.193,48,78.73,50
TSSK1,-0.2853,52,78.11,51
MLK4,-1.3607,85,77.29,52
MST2,-2.0852,123,76.81,53
PRKD2,-0.2443,50,76.72,54
MLK1,-0.6643,59,76.16,55
COT,0.5013,35,75.87,56
CAMK1A,-1.6377,96,75.64,57
GRK6,0.1045,42,75.27,58
NEK5,-1.1765,75,75.24,59
CHAK2,-0.6033,57,74.89,60
DCAMKL2,-0.9458,64,74.75,61
PRKD3,-0.6813,60,74.38,62
VRK1,-2.6424,151,73.86,63
NUAK1,-1.3116,82,73.19,64
CAMK2B,-0.1194,46,73.17,65
CAMK1D,-1.2958,81,72.72,66
MAPKAPK2,-0.601,56,72.48,67
CK2A2,-2.0863,124,71.67,68
QSK,-1.3667,86,71.62,69
CHAK1,-1.2866,80,70.81,70
GRK1,-0.2847,51,70.78,71
CK2A1,-2.3356,139,70.68,72
BRSK1,-1.8637,111,70.62,73
CAMK1B,-0.1175,45,69.56,74
ULK1,-1.9236,114,68.52,75
BRSK2,-2.1537,129,68.16,76
NIM1,-1.3569,84,67.87,77
AMPKA2,-1.1298,73,67.81,78
NEK9,-0.9549,66,67.57,79
NEK8,-2.098,125,67.57,79
MARK2,-1.9541,117,67.4,81
CHK2,-2.3382,140,67.21,82
MARK4,-1.1823,76,67.2,83
OSR1,-3.174,178,67.09,84
TSSK4,-0.8159,61,67.04,85
DCAMKL1,-0.994,68,67.03,86
PHKG1,-1.9043,113,66.35,87
ANKRD3,-1.113,72,66.24,88
FAM20C,-2.4214,144,65.18,89
BUB1,-2.3251,137,64.47,90
BIKE,-3.7306,203,63.75,91
MLK2,-1.0454,70,63.75,91
NUAK2,-1.0191,69,62.89,93
CAMK1G,-2.3322,138,62.86,94
MARK1,-2.4654,146,62.63,95
TBK1,-1.4189,88,62.61,96
AMPKA1,-1.3189,83,62.38,97
PRPK,-0.0793,44,62.28,98
MARK3,-2.5308,149,61.88,99
PINK1,-0.969,67,61.69,100
PKN3,-0.4263,55,61.39,101
CAMK4,-2.1229,127,60.99,102
MELK,-1.8529,109,60.86,103
QIK,-2.0614,122,60.72,104
AAK1,-4.351,227,60.41,105
MLK3,-1.7402,104,59.76,106
STLK3,-5.2018,259,58.71,107
MEKK2,-2.0515,121,58.36,108
PLK4,-3.3047,181,58.16,109
IKKE,-1.9867,118,57.16,110
CAMK2A,-1.1542,74,56.66,111
MAPKAPK3,-1.7326,103,56.64,112
MOS,-0.2382,49,55.87,113
ULK2,-1.8183,108,55.36,114
DLK,-1.1033,71,54.78,115
MEK1,-1.5713,93,53.91,116
TAK1,-3.5188,190,53.88,117
SSTK,-3.1468,175,53.84,118
KIS,-1.5271,92,53.34,119
DAPK3,-3.0823,170,53.21,120
RSK2,-1.7682,105,53.02,121
IRE1,-2.3393,141,52.98,122
CDK8,-1.662,98,52.98,122
MYLK4,-2.7618,153,52.69,124
MEKK3,-2.1638,130,52.29,125
YSK4,-2.2645,135,52.25,126
AURA,-3.1055,173,52.07,127
PAK4,-4.4514,228,52.01,128
MAPKAPK5,-3.0021,165,51.76,129
DAPK1,-3.13,174,50.92,130
IKKB,-1.5027,90,50.17,131
MEK2,-3.6732,197,49.97,132
P90RSK,-1.8552,110,49.61,133
LATS2,-2.3484,142,49.34,134
PIM1,-1.6647,99,49.18,135
P38D,-2.0993,126,47.83,136
PKR,-1.9324,116,47.62,137
RSK3,-2.5018,147,47.26,138
CLK1,-1.9938,119,46.37,139
SRPK3,-1.9014,112,46.3,140
CAMK2D,-1.9277,115,46.19,141
PAK5,-4.6615,235,45.92,142
LATS1,-1.6,95,45.0,143
NDR2,-2.2091,133,44.98,144
DRAK1,-2.2111,134,44.97,145
CLK4,-1.7936,107,44.83,146
IKKA,-2.2812,136,44.57,147
PHKG2,-4.7932,241,44.53,148
CAMK2G,-1.2155,77,44.51,149
SRPK2,-2.1834,131,44.32,150
CDK19,-2.686,152,44.23,151
RIPK3,-2.8213,157,43.55,152
MASTL,-1.683,100,43.13,153
IRE2,-3.0691,168,42.37,154
NIK,-0.9533,65,42.22,155
AURB,-3.8127,205,41.98,156
ZAK,-3.0785,169,41.77,157
CLK2,-2.2081,132,40.25,158
DAPK2,-1.2468,79,39.88,159
IRAK1,-3.8612,208,39.75,160
NDR1,-2.8143,156,39.74,161
SNRK,-4.5421,231,39.39,162
PAK6,-4.2149,221,39.31,163
MSK1,-3.533,191,37.72,164
NEK1,-4.1888,218,37.54,165
PKCB,-3.6898,199,36.75,166
AURC,-4.1438,216,36.26,167
MEKK1,-2.8867,160,36.18,168
RSK4,-3.4767,188,36.15,169
CDK2,-3.1551,176,35.85,170
YANK3,-1.6556,97,35.67,171
WNK3,-2.7812,154,35.42,172
PIM3,-2.0467,120,34.68,173
PKCH,-3.9924,212,34.43,174
MSK2,-3.4626,186,34.41,175
NEK2,-3.1716,177,34.39,176
IRAK4,-3.8271,206,34.36,177
CAMKK1,-3.8863,210,34.33,178
MNK2,-3.2184,180,34.08,179
CDK1,-3.0261,166,33.98,180
PRKX,-5.0616,249,33.41,181
YANK2,-2.8839,159,32.87,182
BRAF,-2.964,164,32.39,183
CDK5,-3.4295,185,32.3,184
CAMLCK,-1.4107,87,31.93,185
SKMLCK,-4.3053,226,31.3,186
WNK4,-3.5553,193,30.74,187
SRPK1,-2.6122,150,30.58,188
MEK5,-2.8012,155,30.01,189
P38G,-3.0987,172,29.37,190
SBK,-4.2137,220,29.02,191
PKG1,-7.4359,304,28.41,192
PKN2,-3.7229,202,28.25,193
PASK,-3.6771,198,28.1,194
P70S6KB,-2.85,158,27.93,195
MRCKA,-4.9866,246,27.07,196
SLK,-4.8411,243,26.48,197
PAK3,-4.0768,213,26.25,198
PAK1,-3.886,209,25.79,199
MNK1,-4.6468,234,25.65,200
ERK1,-3.5178,189,25.62,201
MST1,-4.2331,222,25.41,202
ERK7,-4.1553,217,25.24,203
SMMLCK,-3.7797,204,25.17,204
NEK3,-5.1776,257,25.05,205
PAK2,-4.1304,215,24.87,206
ERK2,-3.2145,179,24.83,207
RAF1,-2.1288,128,24.7,208
WNK2,-2.927,163,24.66,209
PKACB,-5.1165,252,24.44,210
PKN1,-6.1181,282,24.14,211
JNK1,-3.0961,171,24.13,212
GAK,-3.578,194,24.12,213
PKACA,-5.8329,276,23.73,214
MYO3B,-6.254,284,23.51,215
PKCZ,-4.2038,219,23.44,216
NEK4,-4.8177,242,23.43,217
CRIK,-5.9905,278,23.32,218
PKG2,-5.2483,262,22.79,219
RIPK1,-3.6194,196,22.63,220
YSK1,-5.8007,274,21.89,221
CAMKK2,-5.1363,253,21.82,222
PKACG,-4.5994,233,21.41,223
AKT2,-4.2891,225,21.3,224
PKCT,-5.7559,273,20.99,225
CDKL1,-1.7841,106,20.86,226
NLK,-1.7024,102,20.77,227
TAO3,-3.6142,195,20.4,228
STK33,-5.1444,254,20.36,229
CDK7,-3.6974,200,20.27,230
MRCKB,-5.5408,268,20.05,231
PDHK4,-1.5076,91,19.74,232
PKCA,-4.7601,240,19.59,233
ERK5,-2.4356,145,19.57,234
CDK16,-5.023,248,19.33,235
WNK1,-3.7225,201,19.31,236
PKCD,-3.8478,207,18.97,237
MYO3A,-6.7651,299,18.97,237
RIPK2,-6.0964,281,18.85,239
P70S6K,-5.4575,265,18.8,240
CLK3,-2.9153,162,18.7,241
ROCK1,-6.7046,298,18.7,241
BCKDK,-3.962,211,17.94,243
MINK,-5.4949,267,17.92,244
CDK17,-4.7443,238,17.87,245
CDKL5,-3.0626,167,17.8,246
PRP4,-3.3092,182,17.33,247
HIPK4,-3.4759,187,17.24,248
LOK,-5.6044,270,17.23,249
PKCG,-5.267,263,17.23,249
TAO1,-6.5058,292,16.7,251
ROCK2,-5.9885,277,16.49,252
