index,Score,Score Rank,Percentile,Percentile Rank
ULK3,2.2953,2,99.0,1
NEK2,2.2206,4,98.79,2
PDHK4,1.172,17,98.68,3
PDHK1,1.3307,12,98.5,4
RAF1,1.47,7,96.89,5
MARK2,2.2283,3,96.69,6
RIPK2,-0.0303,52,96.2,7
AURA,2.403,1,94.95,8
PKG1,1.6907,5,94.74,9
NEK7,0.8092,27,94.56,10
NEK4,-0.0048,51,94.56,10
MARK4,1.416,9,94.33,12
PAK4,1.3527,10,94.26,13
NIM1,0.9311,23,94.07,14
TTBK1,0.2811,39,93.86,15
MARK1,1.1743,16,93.85,16
PAK5,1.3342,11,93.65,17
MARK3,1.0915,20,93.61,18
IKKE,0.8653,25,92.94,19
QSK,1.2313,14,92.7,20
PAK3,1.4315,8,92.54,21
AURB,1.5679,6,92.51,22
RIPK3,0.5612,31,92.42,23
ATR,0.6935,29,92.39,24
PAK2,1.237,13,92.21,25
CK1A2,1.0766,21,91.82,26
PAK6,1.0596,22,91.81,27
ANKRD3,0.2167,41,91.51,28
TBK1,0.7952,28,91.33,29
MEK2,-1.5889,147,91.11,30
HUNK,0.2526,40,90.96,31
QIK,0.5506,32,90.11,32
MYLK4,1.1779,15,90.04,33
SIK,0.8255,26,89.93,34
IRAK1,-0.3733,65,89.91,35
SKMLCK,0.908,24,89.8,36
SNRK,-0.4388,71,89.39,37
CK1G2,0.5406,33,89.34,38
PKCI,0.1429,45,88.89,39
NEK3,-0.827,95,88.29,40
DAPK2,1.0998,19,88.27,41
SMMLCK,0.2004,42,87.96,42
ULK1,-0.6339,82,87.55,43
PKG2,0.4772,34,87.5,44
PLK4,-0.9892,103,87.29,45
PAK1,0.5793,30,87.13,46
AURC,0.3839,36,87.13,46
CAMLCK,1.1227,18,86.92,48
STK33,-0.7019,85,86.89,49
NEK1,-1.1707,118,86.63,50
CK1G1,0.0695,48,86.37,51
DSTYK,0.3666,37,85.61,52
CK1G3,0.1363,46,85.6,53
DAPK1,-0.0765,54,85.01,54
BCKDK,-0.6021,78,84.59,55
WNK1,0.4062,35,84.47,56
PKCH,-0.335,63,84.36,57
DAPK3,-0.4499,72,84.22,58
MRCKB,-0.3818,67,84.03,59
PKCT,-0.4601,73,83.93,60
PKACA,-0.1283,57,83.7,61
SMG1,-0.6344,83,83.34,62
DNAPK,0.073,47,83.13,63
PKACG,0.0593,49,83.11,64
MSK2,-0.2236,58,82.1,65
WNK4,-0.4383,70,81.63,66
BRSK2,-0.8938,98,81.63,66
IKKB,0.1568,44,81.2,68
SGK3,-0.0579,53,80.66,69
YANK3,0.1817,43,80.58,70
ROCK1,-1.6103,149,80.24,71
MSK1,-0.2907,61,79.99,72
NEK5,-0.9171,99,79.85,73
IRE2,-0.7919,92,79.79,74
HPK1,-1.6509,152,79.33,75
AKT1,-0.7082,88,79.25,76
NEK9,-0.3605,64,79.03,77
WNK3,-0.428,69,78.35,78
ULK2,-0.6203,81,78.32,79
PDK1,-1.2181,122,78.24,80
BRSK1,-1.1447,113,78.08,81
PLK1,-0.3766,66,77.9,82
MNK2,-0.2914,62,77.85,83
MEKK1,-1.1705,117,77.54,84
MYO3A,-2.9754,235,77.46,85
NEK8,-1.5472,143,77.42,86
AKT3,-1.5163,140,77.35,87
PHKG2,-1.8572,170,77.34,88
RIPK1,-0.5819,77,76.65,89
PKCD,-0.4258,68,76.49,90
MEK1,-1.0623,107,75.96,91
MEKK3,-1.1682,116,75.95,92
TSSK1,-0.4919,75,75.78,93
PKN1,-1.8163,167,75.67,94
PKACB,-1.0701,108,75.62,95
SSTK,-1.3126,124,75.45,96
MASTL,-0.7075,87,75.11,97
DMPK1,-2.0862,192,74.94,98
IRAK4,-1.0354,106,74.94,98
GRK1,-0.0918,56,74.74,100
IKKA,-0.6701,84,74.66,101
PKCZ,-0.772,90,74.59,102
NEK11,-1.7562,161,74.46,103
CAMK1G,-1.4382,131,73.85,104
MRCKA,-1.6535,153,73.57,105
MINK,-2.3718,199,73.55,106
RSK3,-0.8124,93,73.3,107
YANK2,-0.9635,101,73.19,108
TTBK2,-0.7738,91,73.18,109
MEK5,-1.5026,137,73.15,110
ROCK2,-1.8888,175,72.51,111
CAMK1B,0.0407,50,72.5,112
MEKK2,-1.4676,135,72.33,113
AKT2,-1.1558,115,72.31,114
CAMKK2,-2.6398,212,71.99,115
LOK,-2.0201,186,71.86,116
AMPKA1,-0.72,89,71.53,117
ATM,-0.7021,86,71.22,118
YSK1,-2.7099,216,71.16,119
MYO3B,-3.1768,251,71.06,120
PKCE,-1.9061,177,71.05,121
PKCG,-1.4395,133,71.02,122
IRE1,-1.3053,123,70.92,123
PKN2,-1.0865,110,70.88,124
MST4,-0.9223,100,70.86,125
MEKK6,-3.1538,248,70.54,126
P70S6K,-1.9006,176,69.98,127
TGFBR2,-1.1955,121,69.92,128
NUAK1,-1.5736,146,69.79,129
CAMK4,-1.5035,138,69.72,130
PKCA,-1.3345,127,69.64,131
MLK1,-0.9949,104,69.19,132
DRAK1,-1.1773,120,69.11,133
PLK3,-0.982,102,69.02,134
BRAF,-1.5222,141,68.88,135
TLK1,-1.6406,150,68.19,136
NEK6,-1.1284,111,67.95,137
LKB1,-1.8398,168,67.3,138
WNK2,-0.8175,94,66.94,139
CAMK1D,-1.8686,171,66.67,140
SGK1,-1.997,185,66.51,141
SLK,-2.5328,206,66.51,141
MST3,-1.7098,155,66.36,143
PLK2,-1.7304,159,65.91,144
TAK1,-2.9539,234,65.84,145
CAMKK1,-2.328,197,65.6,146
HGK,-2.5264,205,64.44,147
KHS1,-2.633,210,64.36,148
MNK1,-1.9314,179,64.24,149
TAO1,-3.4729,261,64.19,150
P70S6KB,-1.1521,114,64.09,151
PINK1,-0.861,96,63.88,152
MST2,-2.8169,223,63.71,153
HIPK3,0.3064,38,63.68,154
PKCB,-1.9475,180,63.49,155
CAMK2G,-0.6135,79,63.08,156
TTK,-3.8587,276,62.94,157
CHK2,-2.6939,214,62.77,158
TLK2,-1.3285,126,62.61,159
CK1A,-0.9953,105,62.4,160
AMPKA2,-1.5274,142,62.16,161
TSSK2,-1.4302,130,61.69,162
MELK,-1.7942,165,61.68,163
CAMK1A,-3.0937,242,61.65,164
KHS2,-2.9257,232,61.63,165
PRPK,-0.0887,55,61.52,166
CHAK1,-1.8757,173,61.51,167
PRKD3,-1.7372,160,60.96,168
ASK1,-4.2288,286,60.48,169
NIK,-0.4645,74,59.89,170
MAP3K15,-2.7389,218,59.83,171
RSK4,-2.0204,187,59.66,172
CK1D,-1.7919,164,59.35,173
CRIK,-3.4938,262,59.09,174
YSK4,-2.0233,188,58.32,175
STLK3,-5.3063,296,57.08,176
GRK6,-0.8853,97,57.04,177
PKN3,-0.6166,80,56.86,178
PHKG1,-2.5703,208,56.51,179
PRKX,-3.3353,256,56.07,180
NDR1,-1.9244,178,55.49,181
ACVR2A,-1.642,151,54.98,182
ACVR2B,-1.7271,157,54.86,183
GCK,-2.8346,224,54.25,184
MLK3,-2.0322,189,53.34,185
MAPKAPK5,-2.9164,231,53.09,186
DYRK3,-1.3468,128,52.87,187
TNIK,-3.0958,243,52.35,188
GRK3,-1.1744,119,52.1,189
P90RSK,-1.7615,162,51.45,190
CLK1,-1.6086,148,51.14,191
ZAK,-2.7076,215,51.13,192
CDK12,-1.948,181,51.09,193
NLK,-0.2469,59,51.05,194
DYRK1A,-1.317,125,50.3,195
NUAK2,-1.6824,154,49.7,196
GRK7,-3.2493,252,48.37,197
TAO2,-2.8669,227,47.89,198
