index,Score,Score Rank,Percentile,Percentile Rank
GRK5,4.4341,1,99.39,1
GRK6,4.0442,3,99.33,2
GRK1,2.8194,11,98.98,3
CDC7,2.8086,12,98.91,4
GRK4,3.288,7,98.68,5
GRK7,3.723,5,98.33,6
MOS,2.4453,16,98.1,7
DLK,1.0819,30,97.57,8
ALK2,3.241,8,97.53,9
CK1D,3.029,9,97.5,10
GRK3,2.6403,14,97.26,11
BCKDK,1.0336,31,96.95,12
BRSK1,2.4206,17,96.88,13
PLK2,2.9552,10,96.53,14
GRK2,1.7017,24,96.53,14
BMPR1A,3.3346,6,96.51,16
PLK3,2.1314,20,95.93,17
CK2A1,4.1663,2,95.75,18
BMPR2,0.8309,33,95.46,19
CK2A2,4.0264,4,95.44,20
ACVR2B,2.3173,18,95.36,21
PLK1,1.5502,27,95.01,22
CAMK2B,2.7686,13,94.3,23
TTBK2,0.808,37,94.15,24
BMPR1B,2.514,15,93.86,25
LATS1,2.0764,21,93.68,26
TGFBR1,2.1723,19,93.55,27
ACVR2A,1.6944,25,92.96,28
MEK1,-0.3451,66,92.87,29
FAM20C,1.6414,26,91.55,30
CAMK2A,2.0737,22,91.11,31
HUNK,0.2633,49,91.05,32
ALK4,0.7747,38,90.86,33
MASTL,0.0337,56,90.59,34
ATM,0.8121,36,90.4,35
CK1G3,0.6722,39,90.19,36
CK1A,0.5263,43,89.98,37
LATS2,0.8201,35,89.32,38
PLK4,-0.7662,81,89.02,39
ALK7,1.5049,28,88.56,40
DRAK1,0.0657,54,88.37,41
PRPK,0.3207,47,87.53,42
BRSK2,-0.1546,62,87.38,43
ALK1,0.6238,42,86.78,44
RSK4,0.8241,34,86.46,45
PRP4,1.4426,29,86.44,46
TTBK1,-0.6929,77,85.75,47
PIM3,0.957,32,85.6,48
CAMK2G,0.6531,40,85.57,49
AURA,-0.3546,67,84.84,50
CK1G2,0.0403,55,84.67,51
ULK1,-0.8934,89,84.45,52
CHK1,0.4111,45,84.43,53
PDHK1,-0.07,60,84.38,54
MAPKAPK2,0.647,41,83.8,55
IKKB,0.3214,46,83.54,56
AMPKA1,0.276,48,83.13,57
AMPKA2,0.2298,51,82.74,58
PDHK4,0.0123,58,82.6,59
NDR2,0.4641,44,82.6,59
CK1E,0.2539,50,82.52,61
MLK4,-0.9731,92,82.11,62
ASK1,-2.566,155,81.88,63
GSK3A,1.9737,23,81.74,64
VRK2,-1.3613,103,81.23,65
GCN2,-0.6401,74,81.07,66
CAMK2D,0.2288,52,80.57,67
TLK2,-0.2768,64,80.55,68
MNK2,-0.0607,59,80.33,69
DCAMKL2,-0.4355,68,80.32,70
MSK2,-0.5542,70,79.74,71
MSK1,-0.3271,65,79.73,72
YANK3,0.1102,53,79.41,73
CAMK4,-0.6277,73,79.22,74
NIM1,-0.7075,79,78.22,75
EEF2K,-1.9175,130,77.92,76
MAPKAPK3,-0.148,61,77.61,77
PAK1,-0.6081,72,77.23,78
SNRK,-1.8238,124,76.97,79
P90RSK,-0.2697,63,75.73,80
YANK2,-0.8318,86,75.61,81
MARK4,-0.7052,78,75.06,82
MARK1,-1.6021,111,73.56,83
MNK1,-1.2205,99,73.24,84
RSK2,-0.573,71,71.65,85
MARK2,-1.6382,113,71.52,86
ULK2,-1.0149,93,71.1,87
PAK2,-1.4282,104,70.97,88
DNAPK,-0.785,84,70.77,89
YSK4,-1.4586,106,70.74,90
MARK3,-1.8722,129,70.66,91
TSSK2,-0.8567,87,70.13,92
DCAMKL1,-0.7799,83,70.0,93
IKKA,-0.9518,91,69.99,94
TSSK3,-1.5614,108,69.9,95
TSSK4,-0.6463,75,69.53,96
PIM1,-0.5351,69,69.16,97
STLK3,-4.5631,248,68.5,98
PAK3,-1.4488,105,68.01,99
CAMK1D,-1.7606,123,67.91,100
NUAK1,-1.7268,122,67.69,101
QSK,-1.675,117,67.53,102
RSK3,-1.2826,101,67.44,103
CK1G1,-1.2733,100,65.95,104
TSSK1,-1.306,102,65.31,105
DAPK1,-2.272,143,64.87,106
NUAK2,-0.9399,90,64.27,107
MLK3,-1.5363,107,63.9,108
ALPHAK3,-2.9691,176,63.67,109
PERK,-1.831,125,63.64,110
MAPKAPK5,-2.2751,144,63.29,111
STK33,-2.5203,154,62.58,112
LKB1,-2.0647,134,62.56,113
VRK1,-3.2605,190,61.92,114
CAMKK1,-2.5037,152,61.8,115
SIK,-2.4113,146,61.22,116
MLK2,-1.1635,97,60.99,117
IKKE,-1.8627,128,60.46,118
PRKX,-2.9941,177,60.15,119
TGFBR2,-1.7051,120,59.8,120
PASK,-2.0893,135,59.66,121
RIPK1,-1.5947,110,59.41,122
PKACA,-3.3732,196,59.39,123
IRAK1,-2.6714,163,59.08,124
PKACB,-2.7258,166,58.92,125
PKACG,-2.1877,139,58.85,126
DAPK3,-2.7681,169,58.71,127
MELK,-2.0582,133,57.94,128
SSTK,-2.8674,173,57.46,129
DAPK2,-0.819,85,57.44,130
AURC,-2.7394,168,57.4,131
NDR1,-1.8421,126,56.87,132
MYLK4,-2.5919,158,55.78,133
CAMKK2,-3.4041,200,55.41,134
PKCG,-2.5783,157,54.76,135
ZAK,-2.5706,156,54.49,136
NEK9,-1.5919,109,54.38,137
PKCH,-2.724,165,54.38,137
AURB,-3.0723,180,54.28,139
CAMK1B,-0.7148,80,53.54,140
MLK1,-1.6689,115,53.35,141
CHAK2,-1.6862,118,52.79,142
SMG1,-1.6686,114,52.19,143
DYRK4,-1.17,98,51.65,144
MEKK6,-4.2408,238,51.21,145
CDK13,-1.1583,95,50.97,146
PKN3,-0.8617,88,50.8,147
PAK4,-4.5517,247,50.7,148
CAMK1A,-3.9647,228,50.7,148
RIPK2,-4.1347,231,50.68,150
MEK2,-3.6474,215,50.65,151
OSR1,-4.1521,233,50.09,152
NEK2,-2.2382,141,49.82,153
TTK,-4.6143,252,49.72,154
PKG2,-3.3262,193,49.63,155
ATR,-0.6598,76,49.5,156
RIPK3,-2.5023,151,49.02,157
SKMLCK,-3.2478,189,48.85,158
PKCA,-2.7327,167,48.4,159
PKCB,-2.9494,175,48.2,160
PKCD,-2.146,138,48.09,161
NEK6,-2.2093,140,47.26,162
CK1A2,-0.7798,82,47.24,163
GSK3B,0.0304,57,46.64,164
P70S6K,-3.6197,212,46.56,165
WNK2,-1.8449,127,46.28,166
SGK3,-2.8545,172,45.9,167
NEK11,-2.9944,178,45.28,168
PKCZ,-2.6839,164,45.12,169
PRKD1,-2.1332,137,44.92,170
TBK1,-2.1008,136,44.7,171
NEK5,-2.6536,161,44.54,172
CAMLCK,-1.1595,96,44.09,173
CDK12,-2.4525,148,43.95,174
MEKK3,-2.4835,149,43.84,175
PKG1,-6.0605,283,43.76,176
CRIK,-4.5975,249,43.62,177
SBK,-3.2003,188,43.55,178
DYRK2,-1.6982,119,42.0,179
MST2,-3.8298,221,41.8,180
LRRK2,-3.3799,198,41.15,181
NEK1,-3.9547,226,41.11,182
QIK,-3.2909,191,40.95,183
CDK8,-2.4391,147,40.91,184
BRAF,-2.6265,159,40.67,185
ROCK2,-4.1897,235,40.61,186
PKCT,-4.1227,230,40.42,187
P70S6KB,-2.3837,145,39.64,188
HIPK4,-1.7263,121,38.5,189
MAP3K15,-3.7687,219,37.69,190
IRAK4,-3.6212,213,37.04,191
ERK5,-1.6714,116,36.91,192
SGK1,-3.9637,227,36.62,193
CLK2,-2.5201,153,36.47,194
TAK1,-4.3452,240,36.2,195
PIM2,-3.1517,186,36.04,196
IRE2,-3.447,202,35.97,197
CDK9,-2.8513,171,35.84,198
NIK,-1.1241,94,35.59,199
PRKD2,-3.4117,201,35.25,200
CDK7,-2.6526,160,34.53,201
SMMLCK,-3.3768,197,34.32,202
PAK5,-5.5688,275,34.22,203
MRCKA,-4.5985,250,33.16,204
NEK7,-3.0897,181,32.59,205
PDK1,-3.1357,185,32.3,206
TLK1,-3.5353,208,31.98,207
CDK1,-3.1295,184,31.95,208
CDK19,-3.5619,210,31.47,209
ROCK1,-5.7039,278,30.75,210
COT,-1.6102,112,30.74,211
MEK5,-2.7844,170,30.53,212
NEK8,-3.9037,223,30.09,213
DYRK3,-3.6233,214,29.91,214
