index,Score,Score Rank,Percentile,Percentile Rank
CAMKK1,-0.294,13,93.6,1
CAMKK2,-0.998,36,91.63,2
CHK1,0.8812,1,88.72,3
ULK1,-0.8037,29,85.59,4
DLK,-0.095,6,83.65,5
PRKD1,0.6825,2,82.45,6
CK1G2,-0.2879,12,80.97,7
IKKA,-0.2967,14,80.43,8
TSSK2,-0.1884,7,78.78,9
PRKD3,-0.2538,10,78.57,10
GRK6,0.3046,3,78.14,11
NEK9,-0.4229,17,77.9,12
MAPKAPK2,-0.0901,5,77.72,13
PRKD2,-0.247,9,76.71,14
DSTYK,-0.3182,16,76.68,15
MAPKAPK3,-0.3022,15,76.0,16
ALPHAK3,-2.1413,103,75.8,17
CAMK4,-1.0369,39,75.16,18
CAMK1A,-1.8174,80,74.18,19
ULK2,-0.853,32,74.12,20
PLK2,-1.1002,40,73.39,21
NEK6,-0.887,33,72.17,22
PKN3,0.0741,4,71.68,23
NEK8,-1.9215,86,70.78,24
CAMK1D,-1.5293,58,70.41,25
PLK1,-0.8481,31,70.34,26
MAPKAPK5,-1.7872,76,70.2,27
STLK3,-4.5267,256,69.03,28
NEK7,-1.2532,47,68.72,29
IKKB,-0.5678,21,68.68,30
TTBK1,-2.1295,101,68.59,31
GRK2,-0.1946,8,68.42,32
RIPK2,-3.0775,168,67.97,33
BUB1,-2.1092,99,67.25,34
TTBK2,-1.1392,42,67.1,35
CHK2,-2.4363,120,66.08,36
ALK2,-1.2794,49,66.04,37
BMPR1A,-1.6888,69,65.94,38
IRE2,-1.7355,72,65.82,39
P70S6K,-2.2859,113,65.61,40
TLK1,-1.8082,79,65.09,41
GRK3,-0.5742,22,65.07,42
ALK1,-0.7451,27,64.74,43
YANK2,-1.4064,54,64.69,44
MLK2,-1.0348,38,64.01,45
IKKE,-1.7386,73,63.52,46
PDHK4,-0.5075,19,62.89,47
MELK,-1.7153,71,62.8,48
TSSK1,-1.5538,59,61.73,49
TSSK3,-2.3599,117,61.39,50
CAMK1B,-0.4604,18,61.37,51
NEK5,-1.8746,82,61.26,52
CAMK1G,-2.4602,122,61.08,53
NUAK1,-2.2004,109,60.58,54
PLK3,-1.5251,57,60.37,55
HRI,-1.8583,81,60.29,56
IRAK4,-2.0856,98,60.17,57
LKB1,-2.1764,105,60.06,58
GRK1,-0.7471,28,59.92,59
CHAK1,-1.9873,92,59.74,60
BRAF,-1.9012,83,59.5,61
TGFBR1,-0.9127,34,59.3,62
IRAK1,-2.6623,134,59.23,63
MLK1,-1.4297,56,59.03,64
SSTK,-2.7723,140,58.67,65
PKN2,-1.9315,88,58.14,66
SNRK,-3.2987,184,57.71,67
SBK,-2.2211,111,57.67,68
CK2A2,-3.5146,202,57.49,69
NEK1,-2.9999,162,57.17,70
BMPR1B,-1.2873,50,56.99,71
ZAK,-2.466,124,56.97,72
GRK4,-1.1244,41,56.96,73
GRK7,-2.706,137,56.87,74
ACVR2A,-1.5604,60,56.83,75
PKN1,-3.5108,201,56.37,76
TBK1,-1.6742,67,56.26,77
MLK3,-1.9211,85,55.87,78
ACVR2B,-1.6839,68,55.76,79
AURA,-2.9002,152,55.67,80
NEK3,-3.1179,170,55.65,81
NEK4,-2.8704,150,55.33,82
AMPKA2,-1.9858,91,55.25,83
PHKG2,-3.936,227,54.91,84
NEK2,-1.9276,87,54.86,85
FAM20C,-3.2071,177,54.47,86
CAMK2B,-1.5698,61,54.47,86
COT,-0.5127,20,54.07,88
ERK5,-0.6354,23,54.0,89
MST2,-3.3032,186,53.46,90
MEKK3,-2.1235,100,53.38,91
CK2A1,-3.943,228,53.03,92
TTK,-4.4354,252,52.98,93
EEF2K,-3.2941,183,52.95,94
GCN2,-2.1521,104,52.91,95
JNK2,-1.2696,48,52.21,96
MLK4,-2.853,147,52.21,96
RIPK3,-2.3431,116,51.83,98
OSR1,-4.074,233,51.51,99
CHAK2,-1.7509,75,51.37,100
CAMK2G,-1.0291,37,51.27,101
GRK5,-1.3066,51,51.01,102
TSSK4,-1.8046,77,50.95,103
MSK2,-2.6245,131,50.85,104
CK1G3,-1.9623,90,50.0,105
MNK1,-2.9187,154,49.96,106
AMPKA1,-2.0704,97,49.84,107
ERK2,-1.6733,66,49.81,108
YANK3,-1.1747,43,49.44,109
PASK,-2.6396,133,49.29,110
PERK,-2.4557,121,49.22,111
RAF1,-1.1949,44,49.1,112
VRK2,-2.4195,119,48.9,113
MARK1,-3.4126,195,48.43,114
P38D,-2.0535,95,48.4,115
CAMK2A,-1.6462,64,48.31,116
SIK,-3.3151,187,47.82,117
P70S6KB,-2.0382,94,47.76,118
MSK1,-2.9653,158,47.46,119
PKCH,-3.1615,174,47.44,120
ALK4,-1.2525,46,47.37,121
RSK4,-2.8068,144,47.2,122
PHKG1,-3.2072,178,46.82,123
NIK,-0.8433,30,46.51,124
PRPK,-0.2694,11,46.4,125
MEKK1,-2.4869,126,46.26,126
